irrational,"n. 无理数
a. 无理性的, 不合理的"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
unconventional,"a. 不依惯例的, 非传统的, 非常规的"
originality,"n. 创意, 新奇, 独创能力, 原始"
novelty,"n. 新奇, 新鲜, 新奇的事物"
originate,"vt. 创始, 发明, 发起
vi. 发源, 发生, 起航
"
astute,"a. 敏锐的, 狡猾的"
debut,"n. 初次登台, 开张
v. 初次登台"
flamboyant,"a. 火焰似的, 辉耀的, 华丽的"
respite,"n. 暂缓, 缓期执行
vt. 使暂缓"
relief,"n. 减轻, 解除, 救济, 安慰, 调剂, 浮雕, 换班, (地势的)起伏
"
lull,"n. 暂停, 间歇, 稍息, 使人安静的东西
vt. 使平静, 哄骗, 使安静
vi. 变平静"
mascot,"n. 福神, 吉祥的东西"
isolated,"a. 孤立的, 孤零零的
"
destructive,"a. 毁灭性的, 破坏的, 有害的
"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
emergent,"a. 紧急的, 浮现的, 出现的, 自然发生的
"
emergence,"n. 出现, 浮现, 发生"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
revise,"n. 校订, 修正, 改样
vt. 校订, 修正, 校正"
modification,"n. 修正, 修饰, 修改
"
perplex,"vt. 使困惑, 使复杂化, 使为难
"
confound,"vt. 使混淆, 使狼狈, 挫败"
flummox,"vt. 使狼狈, 使失措, 使混乱, 挫败
n. 失败"
perplexing,"a. 令人费解的, 令人困惑的"
nuance,n. 细微差别
subtlety,"n. 微妙, 精明"
finicky,"a. 过分注意的, 过分周到的, 过分讲究的"
valorize,"vt. 限定价格, 稳定物价
"
exalt,"vt. 提升, 提高, 赞扬, 使得意
vi. 使人兴奋, 使人得意"
prolong,"vt. 延长, 拖延, 拖长
"
prolonged,"a. 延续的, 长时间的"
circuitous,"a. 迂回的, 间接的, 绕行的"
indirect,"a. 间接的, 非直截了当的, 不坦率的
"
circuitry,"n. 电路学, 电路系统
"
prone,"a. 俯伏的, 面向下的, 有...倾向的
"
corrosive,"a. 腐蚀的, 腐蚀性的, 有害的
n. 腐蚀物, 腐蚀剂"
conciliatory,"a. 安抚的, 和好的, 调和的"
chagrin,"n. 懊恼
vt. 使懊恼"
anecdote,"n. 轶事, 奇闻"
anecdotal,"a. 轶事的, 爱谈奇闻轶事的, 多轶事的"
terrain,"n. 地带, 地区, 地形, 领域, 范围"
terrestrial,"n. 地球上的人
a. 地球的, 陆生的, 陆地的, 人间的"
extraterrestrial,"a. 地球外的, 地球大气圈外的"
sluggish,"a. 偷懒的, 懒惰的, 迟钝的
"
dilatory,"a. 拖拉的
"
proliferate,"vi. 增殖, 激增, 扩散
vt. 使激增"
abound,"vi. 大量存在, 富于, 充满"
proliferation,"n. 增殖, 激增
"
congenial,"a. 协调的, 一致的, 适意的, 趣味相同的"
investor,"n. 投资者
"
startling,a. 令人吃惊的
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
objectivity,"n. 客观, 客观现实, 客观性
"
fairness,"n. 晴朗, 光明正大, 美丽
"
understate,"v. 不完全地陈述, 保守地说, 有意轻描淡写"
understatement,"n. 软弱无力的陈述, 克制的说法
"
interdisciplinary,[计] 学科间的
undisciplined,"a. 未受过训练的, 训练不足的, 不遵守纪律的
"
converge,"vi. 聚合, 集中于一点
vt. 使集合"
coincide,"vi. 一致, 符合
"
convergent,"a. 趋集于一点的, 会聚性的, 收敛的
"
literary,"a. 文学的, 文艺的, 精通文学的
"
gainsay,"vt. 否定, 反驳
n. 否认, 反驳, 反对"
strenuous,"a. 奋发的, 费劲的, 艰苦的"
arduous,"a. 费力的, 努力的, 险峻的"
taxing,"a. 繁重的, 费力的
"
upkeep,"n. 维持, 维修费
"
precipitate,"n. 沉淀物, 凝结物, 结果
vt. 猛抛, 使陷入, 促成, 使沉淀
vi. 猛地落下
a. 突然的, 猛地落下的, 轻率的"
ironic,"a. 冷嘲的, 挖苦的, 反话的, 讽刺的, 令人啼笑皆非的, 出乎意料的"
irony,"n. 反语, 讽刺, 具有讽刺意味的事"
cognition,"n. 认识, 认识力, 认识的结果
"
cognitive,"a. 认知的, 认识的"
protracted,a. 拖延的
malfeasance,"n. 不正当, 不法行为, 坏事, 渎职
"
misfeasance,"n. 不当行为, 行为失检, 侵犯他人权利的行为
"
recreation,"n. 娱乐, 消遣, 休息, 再创造
"
recreational,"a. 消遣的, 娱乐的"
minuscule,"n. 小书写体, 小写字
a. 用小书写体的, 小写字的"
diminutive,"a. 小的, 小型的, 指小的
n. 身材极小的人, 指小词, 爱称"
interest,"n. 兴趣, 嗜好, 利息, 利益, 爱好, 趣味, 势力
vt. 使感兴趣, 与...有关系"
self-interest,"私心
利己
自我利益"
disinterested,"a. 无私欲的, 廉洁的, 公平的"
disinterest,"n. 无兴趣, 不关心
vt. 使不关心"
abstemious,"a. 有节制的, 节约的"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
precedent,"n. 先例, 前例
a. 在先的, 在前的"
unprecedented,"a. 空前的
"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
cultivate,"vt. 培养, 耕作"
chimera,"n. 客迈拉(狮头、羊身、蛇尾的吐火女怪), 假想的妖怪, 妄想
"
illusion,"n. 幻影, 错觉, 幻想
"
inflammatory,"a. 激动的, 煽动的, 炎症性的
"
provocative,"a. 激发感情的, 挑拨的, 刺激的
n. 刺激物, 挑拨物, 兴奋剂"
laconic,"a. 简洁的, 简明的"
strike,"n. 罢工, 打击, 殴打
vt. 打, 撞击, 冲击, 侵袭, 取消, 结算, 打掉, 罢工, 刺透, 使生根, 遇见
vi. 打, 打击, 抓, 罢工, 搏动, 触礁, 敲, 响, 穿透, 打动"
striking,"a. 醒目的, 惊人的, 打击的, 罢工的
"
audacious,"a. 大胆的, 鲁莽的, 胆大妄为的"
archaic,"a. 古体的, 过时的, 古老的, 古代的
"
antediluvian,"a. 大洪水前的, 陈旧的, 过时的
n. 大洪水以前的人, 老迈的人"
outdated,"a. 旧式的, 落伍的, 过时的"
bedrock,"n. 基岩, 基本原理, 基础"
recollection,"n. 记忆, 回想, 回忆"
sever,"vt. 切断, 脱离, 分开, 使分离, 断绝, 中断
vi. 断, 裂开"
cur,"n. 恶狗, 杂狗"
acrimony,"n. 严厉, 尖刻
"
bitterness,"n. 苦味, 悲痛, 怨恨"
acrimonious,"a. 尖刻的, 讥讽的, 激烈的"
cutting,"n. 切断, 切下, 路堑
"
acerbic,"a. 酸的, 尖刻的"
pristine,"a. 太古的, 原来的, 古时的, 原始的"
unblemished,"a. 无瑕疵的, 无缺点的, 无污点的, 清白的"
taciturn,"a. 沉默寡言的, 不太说话的, 无言的"
reserved,"a. 保留的, 预备的, 预定的, 腼腆的, 不露感情的, 含蓄的, 缄默的, 冷淡的
"
effluvium,"n. 臭气, 恶臭, 废料
"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
resigned,"a. 服从的, 听任的, 已辞职的"
resignation,"n. 辞职, 辞呈, 听从
"
deify,"vt. 奉为神, 奉若神明, 崇拜"
meager,"a. 质量差的, 贫乏的, 不毛的, 瘦的"
insufficient,"a. 不够的, 不能胜任的, 不充足的
"
paltry,"a. 不足取的, 琐碎的, 可鄙的"
onerous,"a. 繁重的, 负有法律责任的
"
burdensome,"a. 累赘的, 恼人的, 繁重的
"
taxing,"a. 繁重的, 费力的
"
exacting,"a. 苛求的, 吃力的"
disgorge,"vt. 吐出, 流注, 被迫交出
vi. 呕吐"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
plaintive,"a. 悲哀的, 哀伤的, 伤心的, 表示痛苦的"
distract,"vt. 转移, 分心, 使发狂"
redolent,"a. 芬芳的, 有...香味的, 令人想起...的"
disseminate,"vt. 散播, 传播, 宣传
vi. 广为传播"
meditation,"n. 沉思, 冥想"
hard-boiled,"熟蛋黄,冷酷"
capricious,"a. 反复无常的, 多变的, 任性的"
unpredictable,a. 不可预知的
flighty,"a. 轻浮的, 轻狂的, 心情浮动的"
impulsive,"a. 冲动的, 受感情驱使的, 任性的
"
inconsistent,"a. 不一致的, 易变的, 前后矛盾的
"
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的"
veneration,"n. 尊敬, 崇敬, 崇拜"
obdurate,"a. 顽固的, 执拗的, 冷酷的
"
obduracy,"n. 顽固, 执拗, 冷酷"
nourishment,"n. 滋养品, 养料, 营养
"
latent,"a. 潜伏性的, 隐藏的
n. 隐约指纹"
lyrical,"a. 抒情诗调的, 有抒情味的, 感情丰富的"
merge,"vt. 使合并, 使消失, 吞没
vi. 合并, 渐渐消失
"
spew,"vi. 呕吐, 喷涌
vt. 呕出, 喷
n. 呕吐物, 喷涌物"
considerably,"adv. 非常地, 很, 颇"
brackish,"a. 有盐味的, 令人不快的
"
vault,"n. 拱顶, 窖, 地下室, 撑竿跳, 穹窿
vt. 做成圆拱形, 撑竿跳过
vi. 成穹状弯曲, 跳跃"
assurance,"n. 保证, 把握, 信心, 保险
"
trove,"n. 发现物, 收藏品
"
clandestine,"a. 偷偷摸摸的
"
covert,"a. 隐蔽的, 偷偷摸摸的, 隐密的
n. 树丛, 隐藏处"
surreptitious,"a. 秘密的, 暗中的, 偷偷摸摸的
"
membrane,"n. 薄膜, 膜, 羊皮纸
"
circumstantial,a. 依照情况的
contingent,"a. 或许发生的, 附随的, 偶然发生的
n. 偶然事件, 分遣队"
refer,"vt. 提交, 归诸于, 把...提交, 使求助于
vi. 提到, 涉及, 查阅, 查询, 咨询"
reference,"n. 参考, 索引, 参照
vt. 给...加上参考资料
vt. 引用
vi. 引用
"
perfidious,"a. 不忠贞的, 背信的, 有异心的"
serendipity,"n. 偶然发现珍宝的运气/才能, 易遇奇缘的运气"
forbear,"v. 忍耐, 克制, 容忍
n. 祖先"
tract,"n. 大片土地, 地带, 小册子
"
renounce,"vt. 拒绝, 放弃, 否认, 垫牌
vi. 垫牌, 声明放弃权利
n. 垫牌"
utilize,vt. 利用
utility,"n. 功用, 有用之物, 实用, 公用事业, 实用程序
a. 实用的, 有多种用途的
"
utilitarian,"a. 有效用的, 实利主义的, 功利主义的
n. 功利主义者"
functional,"a. 功能的
"
utilitarianism,"n. 功利主义
"
underestimate,"n. 低估
vt. 低估, 看轻"
rattle,"vt. 使嘎嘎响, 喋喋不休地说
vi. 格格响, 喋喋不休
n. 格格声, 拨浪鼓, 喋喋不休的话"
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
prime minister,"总理, 首相
"
distort,"vt. 扭曲, 歪曲
"
distortion,"n. 扭曲, 变形, 曲解
"
convey,"vt. 传达, 运输, 转让
"
fall short of,"没有达到标准, 不够, 不足"
adroit,"a. 灵巧的, 敏捷的, 聪明的"
boundary,"n. 边界, 分界线
"
revile,"v. 辱骂, 斥责"
disdain,"n. 蔑视
vt. 蔑视, 鄙弃"
negate,"vt. 否定, 否认, 取消
"
labor,"n. 劳动, 努力, 工作, 劳工, 分娩
vi. 劳动, 努力, 苦干
vt. 详细分析, 使厌烦"
labor union,[机] 工会
union,"n. 联盟, 联合, 结合, 工会
"
judicial,"a. 法庭的, 公正的, 审判上的, 司法的
"
judicious,"a. 头脑精明的, 贤明的, 判断正确的"
witty,"a. 富于机智的, 诙谐的"
unwitting,"a. 不知情的, 没有意识到的, 不知不觉的"
limpid,"a. 清澈的, 透明的, 平静的"
pellucid,"a. 透明的, 澄清的, 明了的
"
rarity,"n. 稀罕, 罕有, 珍奇, 稀薄"
rarefied,"a. 变成稀薄的, 纯化的, 精炼过的, 崇高的"
strew,"vt. 散播, 撒满"
vantage,"n. 优势, 有利情况"
megalomania,"n. 夸大狂
"
norm,"n. 基准, 模范, 标准, 准则, 平均数
"
pose,"n. 姿势, 姿态, 装模作样, 伪装
vi. 摆姿势, 装模作样, 假装
vt. 使摆好姿势, 提出, 造成"
incommensurable,a. 不能比较的
incommensurate,"a. 不相称的, 不适应的"
shading,"n. 留下阴影, 描影法, 明暗法, 细微变化
"
supercilious,"a. 傲慢的, 自大的, 目空一切的"
overthrow,"n. 推翻, 瓦解, 倾覆
vt. 打倒, 推翻, 倾覆"
bewilder,"vt. 使迷惑, 使不知所措"
disparate,"a. 根本不同的, 全异的, 不相干的
n. 无法相比的东西(或人)"
heterogeneous,"a. 异种的, 异质的, 由不同成分形成的
"
dissimilar,"a. 不同的, 相异的"
diverse,"a. 不同的, 变化多的"
disparity,"n. 不一致
"
variance,"n. 不一致, 变化, 变异, 分歧, 不和
"
parity,"n. 同等, 同位, 平价, 奇偶性
"
stoicism,"n. 斯多葛哲学, 禁欲主义, 淡泊"
marvel,"n. 奇异事物, 罕见例子
vt. 惊异于
vi. 惊异"
attest,"vi. 证明, 表明, 作证
vt. 为...作证"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
prudence,"n. 审慎, 慎重, 精明, 节俭"
anatomy,"n. 剖析, 解剖学, 骨骼, 结构
"
anatomize,"vt. 解剖, 仔细分析
"
mirthful,"a. 愉快的, 高兴的"
jovial,"a. 快活的, 高兴的, 愉快的
"
gregarious,"a. 社交的, 群居的"
proxy,"n. 代理, 代理人, 委托书
"
infinite,"n. 无限, 神
a. 无穷的, 无限的, 极大的"
finite,"a. 有限的, 有穷的, 限定的
n. 有限物"
incite,"vt. 刺激, 激励, 引诱
"
impotence,"n. 无力, 虚弱, 无效, 阳萎
"
excellence,"n. 优秀, 卓越, 优点"
mediate,"a. 居间的, 间接的
vt. 斡旋, 调停
vi. 处于中间, 调解"
alleviate,"vt. 减轻, 使缓和"
protean,"a. 千变万化的, 变化不定的, (海神)普罗透斯的
"
thwart,"a. 横放的
vt. 反对, 阻挠, 横过
prep. 横过
adv. 横过"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
inimical,"a. 有敌意的, 有害的, 抵触的"
pensive,"a. 沉思的, 哀思的, 忧郁的"
slumber,"n. 睡眠, 麻木状态
vi. 微睡, 静止, 麻木
vt. 睡着度过(时间)"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
luminous,"a. 发光的, 明亮的
"
copious,"a. 很多的, 丰富的, 内容丰富的"
abundant,"a. 丰富的, 充分的, 大量的"
patchwork,"n. 拼缝物, 拼凑物"
hodgepodge,"n. 杂烩菜, 混杂物"
callow,"a. 年轻而无经验的, (鸟)羽毛未丰的
"
standing,"n. 起立, 持续, 身分
a. 立着的, 不动的, 经常的, 持续的"
peripheral,"a. 周边的, 周围的, 圆周的, 无关紧要的, 肤浅的
"
periphery,"n. 外围, 边缘地区, 圆周
"
spot,"n. 污点, 地点, 斑点, 点, 娱乐场所, 处境, 少量
a. 当场的, 现场的, 现货买卖的, 现金交易的, 抽样的
vt. 点缀, 玷污, 认出, 准确定...的位, 用灯光照射
vi. 玷污, (从空中)侦察敌方目标"
autobiography,n. 自传
serenity,"n. 宁静, 沉着, 晴朗"
polarize,"v. (使)偏振, (使)极化, (使)两极分化"
portend,"vt. 成为...的前兆, 预知, 给与...的警告"
predict,"v. 预知, 预言, 预报"
foretell,"vt. 预言, 预告, 预示"
prefigure,"vt. 预示, 预见, 预想"
presage,"n. 预感, 预兆, 预知
vt. 预示, 预言
vi. 预感, 预言"
portent,"n. 前兆, 预示, 异常之物"
harbinger,"n. 通告者, 预告者, 先驱, 预兆
vt. 预告, 充做...的前驱"
mordancy,"n. 辛辣, 尖酸, 刻薄"
verifiable,"a. 可核实的, 可证实的
"
testable,"a. 可试验的, 有资格作证人的, 有资格立遗嘱的, 可根据遗嘱处理的"
verification,"n. 证实, 查证, 证明属实
"
adulate,"vt. 谄媚, 过分称赞"
adulation,"n. 谄媚, 过分的称赞"
poignant,"a. 辛酸的, 尖锐的, 剧烈的"
contemptuous,"a. 轻蔑的, 鄙视的, 瞧不起人的"
jovial,"a. 快活的, 高兴的, 愉快的
"
mirthful,"a. 愉快的, 高兴的"
mediocre,"a. 不好不坏的, 通常, 平凡的"
superfluous,"a. 多余的, 过剩的"
countenance,"n. 面容, 面部表情, 支持, 镇定"
caterwaul,"n. 猫叫春声, 象猫叫春的声音
vi. 叫春, (象猫一样)号叫"
shriek,"n. 尖锐的响声
vi. 尖叫, 发尖声
vt. 尖声发出"
notoriety,"n. 恶名, 臭名, 声名狼藉"
convivial,"a. 酒宴的, 欢宴的, 欢乐的"
cordial,"n. 兴奋剂, 补品
a. 热忱的, 诚恳的, 有兴奋作用的"
conviviality,"n. 欢宴, 欢乐, 高兴"
sway,"n. 摇摆, 影响力, 支配
vt. 摇动, 支配, 弄歪, 使倾斜, 使动摇, 影响
vi. 摇动, 摇摆, 倾斜, 动摇, 统治, 转向"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
affect,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于
n. 自觉感情"
preachy,"a. 爱讲道的, 爱教训人的"
sanctimonious,"a. 假装圣洁的, 假装虔诚的, 假装诚实的"
incisive,"a. 敏锐的, 机敏的, 激烈的, 切入的, 锋利的
"
trenchant,"a. 锐利的, 尖锐的, 有力的, 鲜明的, 清晰的"
prying,a. 窥探
prodigious,"a. 庞大的, 惊人的, 异常的"
prodigy,"n. 惊人的事物, 奇迹, 不凡的人, 奇才, 神童, 预兆"
municipality,"n. 自治区, 市当局, 市民
"
avant-garde,"n. 前卫; 先锋
adj. 前卫的"
pastiche,"n. 模仿作品, 东拼西凑的杂烩"
antidote,"n. 解毒剂, 解毒药
"
vituperation,"n. 谩骂, 辱骂
"
opprobrium,"n. 污名, 耻辱, 咒骂
"
cue,"n. 提示, 线索
vt. 给...暗示(或提示)
"
onshore,"a. 向陆的, 陆上的, 在国内的
adv. 向陆地, 在陆上, 在国内"
monolithic,"a. 独石的, 完全统一的, 整体的
"
insight,"n. 察看, 洞察力, 见识
"
insightful,"a. 有深刻见解的, 富有洞察力的"
sagacious,"a. 睿智的, 聪明的, 贤明的, 伶俐的"
zenith,n. 顶点；最高点；顶峰
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
impair,"vt. 损害, 减少, 削弱
"
assiduous,"a. 勤勉的, 刻苦的"
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
balanced,"a. 公平的, 平衡的
"
quantum,"n. 量, 量子
"
in the course of,"在...期间
"
authorship,"n. 原作者, 根源, 原创造者"
pitfall,"n. 陷阱, 诱惑, 阴谋, 易犯的错误, 意想不到的困难"
facial,"n. 美颜, 脸部按摩
a. 脸的, 表面的, 脸部用的"
jibe,"vi. 嘲笑, 一致
vt. 转帆, 嘲笑
n. 嘲笑"
gleam,"n. 光束, 微光, 反光
vi. 闪烁, 隐约地闪现
vt. 使发微光, 使闪烁"
felicitous,"a. 巧妙的, 极为适当的, 善于措辞的, 可喜的"
cliquish,a. 小集团的
individualist,"n. 个人主义者, 利己主义者"
elusive,"a. 难懂的, 易忘的, 难以捉摸的"
evasive,"a. 逃避的, 回避的, 托辞的
"
slippery,"a. 滑的, 光滑的, 靠不住的, 圆滑的, 不稳固的
"
elude,"vt. 逃避, 规避, 把...难倒"
conjure up,"na. 念咒召来；使现出
"
commence,"v. (使)开始, 得学位"
therapy,"n. 治疗
"
revision,"n. 校订, 修正, 修订本, 修订版
"
revisionist,"n. 修正主义者
a. 修正主义的"
prolix,"a. 冗长的, 说话罗唆的"
prolixity,"n. 冗长, 罗唆
"
invigorate,"vt. 使精力充沛, 鼓舞, 搞活, 使健壮"
vigor,"n. 精力, 活力"
let alone,"na. 任随；更不用说；放任；莫说…(连)
"
candor,"n. 坦白, 直率"
candid,"a. 坦白的, 率直的, 公正的"
ogre,"n. 食人魔鬼, 怪物, 象鬼的人, 可怕的东西"
spirited,"a. 有精神的, 活泼的, 生气勃勃的"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
culpability,"n. 可责, 有罪性, 有过失"
all the more,更加
detached,"a. 超然的, 分离的, 冷淡的
"
detachment,"n. 分离, 分遣, 分遣队
"
objectivity,"n. 客观, 客观现实, 客观性
"
impartiality,"n. 公平, 无私, 不偏
"
civic,"a. 市的, 市民的, 公民的
"
rivalry,"n. 竞争, 对抗
"
unrivaled,"a. 无敌的, 无双的, 无可匹敌的, 无比的, 至高无上的, 极好的"
quirky,"a. 诡诈的, 突兀的, 古怪的, 离奇的
"
unconventional,"a. 不依惯例的, 非传统的, 非常规的"
allege,"vt. 宣称, 主张, 提出, 断言
"
alleged,"a. 被断言的, 所谓的
"
vilify,"vt. 诽谤, 贬低
"
species,"n. 种, 类, 外形
"
captious,"a. 吹毛求疵的, 挑剔的"
beneficence,"n. 慈善, 善行, 赠物
"
altruism,"n. 利他主义, 利他"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
aid,"n. 帮助, 外援, 助手
vt. 援助, 帮助, 有助于
vi. 帮助
"
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
immaterial,"a. 非物质的, 无形的, 精神的
"
inconsequential,"a. 不合逻辑的, 不合理的, 不重要的"
deter,"vt. 制止, 吓住, 威慑"
constrain,"vt. 强迫, 限制, 关押"
constrict,"vt. 压缩, 束紧, 使收缩
vi. 收缩"
depict,"vt. 描述, 描写"
catalog,"n. 目录, 大学概况手册
vt. 编目录
"
codify,"vt. 编成法典
"
thrift,"n. 节约, 茂盛, 海石竹"
exact,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
exactitude,"n. 正确(性), 精密, 精确(性), 严格"
meticulousness, 谨小慎微
exacting,"a. 苛求的, 吃力的"
proscriptive,"a. 剥夺人权的, 放逐的
"
demanding,"a. 要求高的, 费力的"
taxing,"a. 繁重的, 费力的
"
arduous,"a. 费力的, 努力的, 险峻的"
antibacterial,"a. 抗菌的
n. 抗菌剂"
condemnation,"n. 非难, 宣告有罪, 非难的理由"
plot,"n. 小块土地, 地区图, 图, 阴谋, 情节
vt. 划分, 绘图, 密谋
vi. 密谋, 策划
"
voracious,"a. 贪吃的, 狼吞虎咽的, 贪婪的"
