actual,"a. 真实的, 实际的, 现行的
"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
mood,"n. 心情, 气氛, 生气, 基调
"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
Monday,n. 星期一
month,"n. 月
"
monthly,"n. 月刊
a. 每月的, 每月一次的"
money,"n. 金钱, 一笔款, 财富, 货币, 金额
"
monetary,"a. 货币的, 金钱的
"
monkey,"n. 猴子, 猿, 打桩锤
vi. 淘气, 胡闹
vt. 嘲弄"
monarch,"n. 帝王, 统治者, 元首
"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
monopoly,"n. 垄断, 专卖权, 独占事业
"
monotonous,"a. 单调的, 无变化的"
monument,"n. 纪念碑, 纪念物, 石碑"
monster,"n. 怪物, 恶人, 巨物
"
demonstrate,"vt. 示范, 证明
vi. 示威"
among,prep. 在...之中
ceremony,"n. 典礼, 仪式, 礼节
"
common,"a. 通常的, 共同的, 通俗的, 公共的
"
commonplace,"n. 寻常事, 老生常谈, 普通的东西
a. 平凡的, 普通的"
commonwealth,n. 共和国；联邦；国民整体
diamond,"n. 钻石, 菱形
"
harmony,"n. 协调, 和睦, 调和
"
pneumonia,"n. 肺炎
"
summon,"vt. 召唤, 召集, 号召, 振奋, 唤起, 鼓起
"
testimony,"n. 证言, 证据, 声明
"
mount,"n. 乘骑用马, 框, 衬纸, 山
vi. 乘马, 爬上, 增长
vt. 爬上, 使上马, 装上, 装裱, 安放, 制作...的标本, 设置, 上演
"
mountain,"n. 山, 山脉, 大堆"
amount,"n. 总数, 总额
vi. 总计, 等同"
moreover,"adv. 而且, 此外"
furthermore,"adv. 此外, 而且"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
morality,"n. 道德, 教训, 品行
"
mortal,"n. 生物, 人类
a. 不免一死的, 人类的, 临终的"
mortgage,"n. 抵押, 约束性义务, 抵押借款
vt. 抵押, 以...作担保, 把...许给"
glamor,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
humor,"n. 幽默, 诙谐, 心情
vt. 迎合, 牵就, 顺应"
humorous,"a. 富幽默感的, 滑稽的, 诙谐的"
rumor,"n. 谣言, 传闻
vt. 谣传"
sophomore,"n. (大学)二年级生
a. 二年级学生的, 二年级的"
tomorrow,"n. 明天, 未来
adv. 明天, 未来地"
tumour,"n. 瘤, 肿块"
mostly,"adv. 大概, 大部分, 主要
"
almost,"adv. 几乎, 差不多"
foremost,"a. 最初的, 最重要的
adv. 在最前"
utmost,"n. 极限, 最大限度, 极度
a. 极度的, 最远的"
mosquito,"n. 蚊子
"
moss,"n. 苔藓, 泥沼
vt. 使长满苔藓"
movement,"n. 运动, 动作, 运转, 移动, 倾向, 变化, 活动, 乐章
"
movie,n. 电影
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
"
removal,"n. 移动, 移居, 迁移, 排除, 切除
"
mob,"n. 暴民, 民众, 暴徒
vt. 大举包围, 蜂拥进入, 围攻
vi. 聚众生事"
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
mobilize,"vt. 动员, 调动, 使流通
vi. 动员"
motor,"n. 马达, 发动机, 原动力, 汽车
a. 马达的, 发动机的, 汽车的, 发动的
vt. 推动, 以汽车载运
vi. 乘汽车, 驾车"
motel,n. 汽车旅馆
motive,"n. 动机, 目的, 主题, 基调
a. 运动的, 成为动机的"
locomotive,"n. 火车头, 机车
a. 运转的, 火车头的, 移动的"
motivate,"vt. 给与动机, 刺激, 提高...的学习欲望, 促动
"
motion,"n. 移动, 手势, 动作, 意向, 请求, 提议
v. 打手势"
emotion,"n. 情绪, 激动, 强烈的情感
"
promote,"vt. 促进, 晋升, 创办, 推销
"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
moist,"a. 潮湿的, 多雨的, 感伤的, 含泪的
"
moisture,"n. 湿气, 水分, 降雨
"
mouse,"n. 老鼠, 胆小羞怯的人, 鼠标
vi. 捕鼠, 窥探
vt. 探出
"
mouth,"n. 嘴, 口, 口腔, 口状物
vi. 装腔作势说话, 做鬼脸
vt. 说出, 做作地说"
molecule,"n. 分子, 些微
"
museum,n. 博物馆
music,"n. 音乐, 乐曲"
musical,"n. 音乐片, 音乐舞台剧
a. 音乐的, 声音美妙的, 喜爱音乐的"
musician,"n. 音乐家, 乐师, 作曲家"
muscle,"n. 肌肉, 臂力
"
muscular,"a. 强壮的, 肌肉发达的, 有力的
"
natural,"n. 白痴
a. 自然的, 自然界的, 本能的, 天然的, 物质的, 正常的, 原始的, 自然数的"
nation,"n. 国家, 民族
"
national,"a. 国家的, 国立的, 全国性的, 民族的
"
nationality,"n. 国籍, 国家, 民族性
"
native,"n. 本地人, 土产, 当地人
a. 本国的, 与生俱来的, 自然的"
naive,"a. 天真的, 纯真的, 幼稚的"
naked,"a. 裸体的, 无装饰的, 无保护的, 赤贫的
"
naughty,"a. 顽皮的, 没规矩的, 不适当的, 下流的"
nap,"n. 小睡, 稍睡, 细毛, 孤注一掷
vi. 小睡, 疏忽
vt. 使拉毛, 打盹度过, 预测...为获胜马"
napkin,"n. 餐巾, 餐巾纸, 尿布"
narrow,"n. 狭窄部分, 隘路
a. 狭窄的, 仔细的, 有限的, 勉强的, 狭隘的, 手紧的
vi. 变窄
vt. 使变狭窄"
narrative,"n. 叙述, 故事
a. 叙述的, 叙事的, 故事体的"
navy,"n. 海军, 海军人员, 海军军力, 烟蒂"
naval,"a. 海军的, 军舰的, 有舰队的
"
navigation,"n. 航行, 航海, 导航
"
namely,"adv. 即, 就是, 换句话说"
nickname,"n. 绰号, 昵称
vt. 给...取绰号, 叫错名字
"
ornament,"n. 装饰, 点缀品, 教堂用品
vt. 装饰, 修饰"
anonymous,"a. 姓氏不详的, 无名的, 无特色的
"
nominal,"a. 名义上的, 名字的, 有名无实的, 稍许的
n. 名词性词"
nominate,"vt. 提名, 任命, 命名
"
astronomy,n. 天文学
autonomy,"n. 自治, 自治权
"
economy,"n. 经济, 理财, 节约
"
economic,"a. 经济上的, 实用的, 节省的
"
economical,"a. 节俭的, 经济的, 合算的
"
economics,"n. 经济学
"
noun,n. 名词
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
denounce,"vt. 告发, 抨击, 谴责
"
pronoun,n. 代词
pronounce,"v. 发音, 宣告, 断言"
pronunciation,"n. 发音, 读法"
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
cabinet,"n. 橱柜, 内阁
a. 内阁的, 细木工做的
"
internet,"[计] 因特网, 国际互连网, 网际网络, 互连网络, 广域网"
magnet,"n. 磁铁, 有吸引力之人, 有吸引力之物
"
magnetic,"a. 有磁性的, 有吸引力的, 催眠术的
"
network,"n. 网络, 广播网, 网状物
"
connect,"v. 连接, 联合, 联系"
connection,"n. 连接, 关系, 前后关系
"
nest,"n. 巢, 窝, 休息所, 隐匿处
vi. 筑巢, 找鸟巢
vt. 为...设窝, 使套叠
"
knit,"v. 编织, 结合"
number,"n. 数, 数字, 数目, 号码
vt. 数, 计算, 共计
vi. 计算, 报数
"
numerical,"a. 数字的, 数值的, 以数字表示的, 擅长于计数的
"
numerous,"a. 很多的, 数目众多的, 多数的
"
innumerable,"a. 无数的, 数不清的"
nursery,"n. 托儿所, 苗圃, 温床
"
nurture,"n. 养育, 营养物, 培育
vt. 养育, 供给营养物, 教养"
nutrition,"n. 营养, 营养学
"
nut,"n. 坚果, 核心, 螺帽
"
peanut,"n. 花生, 小人物, 极小的数额
a. 渺小的, 微不足道的"
nucleus,"n. 核心, 核子, 原子核, 起点
"
nuclear,"a. 核子的, 原子能的, 核的, 中心的
"
nourish,"vt. 滋养, 使健壮, 怀有"
enough,"n. 充足, 够, 很多
a. 充足的, 足够
adv. 足够
interj. 够了"
nerve,"n. 精神, 勇气, 叶脉, 神经
vt. 鼓起勇气"
nervous,"a. 神经紧张的, 不安的, 神经的
"
energy,"n. 精力, 精神, 活力, 能量
"
energetic,"a. 精力充沛的, 积极的"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
normalization,"n. 常态化, 正常化, 正规化
"
enormous,"a. 巨大的, 庞大的"
north,"n. 北方, 北
a. 北的, 北方的
adv. 向北方, 在北方"
northeast,"n. 东北
a. 东北的, 向东北的, 来自东北的
adv. 向东北, 来自东北"
northern,"n. 北方人
a. 北方的, 向北的, 自北方来的"
northwest,"n. 西北, 西北方
a. 西北的, 在西北的, 来自西北的
adv. 向西北"
none,"adv. 一点也不, 毫不
pron. 没有人, 无一物, 并无一个
a. 没有的"
nonetheless,"conj. 然而, 尽管, 不过
adv. 不过, 仍然, 尽管如此, 然而"
nonsense,"n. 无意义的事, 荒谬言行, 荒唐"
nobody,"n. 小人物, 无名小卒
pron. 无人, 没有人"
nowhere,"adv. 无处, 到处都无"
not,"adv. 不, 非, 未
"
notwithstanding,"adv. 虽然, 尽管
prep. 尽管
conj. 虽然"
nothing,"n. 无, 不关紧要之事, 零
adv. 毫不, 决不
interj. 什么也没有, 无"
nor,"conj. 也不, 也没有
"
noise,"n. 噪音, 杂音, 响声, 喧闹
vt. 谣传
vi. 喧闹
"
noisy,"a. 嘈杂的, 喧闹的
"
annoy,"vt. 使恼怒, 骚扰"
nuisance,"n. 讨厌的东西, 讨厌的人, 损害
"
neglect,"n. 疏忽, 忽略, 漏做
vt. 疏忽, 忽视, 不顾"
negligible,"a. 可以忽略的, 不足取的, 无用的
"
negative,"n. 否定, 否定语, 负数, 底片
a. 否定的, 消极的, 负的, 阴性的
n. 负数, 负值
"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
never,"adv. 从不, 决不, 不曾
"
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
neither,"adv. 皆不, 两个都不
a. (两者)都不的
pron. 两者都不
conj. 既非, 既不"
Negro,"n. 黑人
a. 黑人的"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
ignorant,"a. 无知识的, 不知道的, 由无知产生的
"
ignorance,"n. 无知, 愚味
"
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
notebook,"n. 笔记本, 手册, 期票簿"
notice,"n. 注意, 布告, 通知, 预告, 短评
vt. 注意, 通知, 评论, 提及, 关注
vi. 注意"
noticeable,"a. 显而易见的, 显著的, 值得注意的"
notify,"vt. 通知, 通告, 报告
"
notion,"n. 概念, 观念, 想法, 打算, 别致的小东西
"
notorious,"a. 声名狼藉的, 臭名昭著的, 众人皆知的"
denote,"vt. 指示, 表示"
knot,"n. 结, 群, 难题
v. 打结, (使)纠缠"
knob,"n. 把手, 瘤, 旋钮, 球形突出物
vt. 使有球形突出物
vi. 鼓起"
noble,"n. 贵族
a. 高贵的, 高尚的, 贵族的, 辉煌的"
nod,"n. 点头, 打盹, 晃动
vi. 点头, 打盹
vt. 点头表示, 点(头)"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
nowadays,"n. 现在, 现时, 当今
adv. 时下, 现今"
novel,"n. 小说, 长篇故事
a. 新奇的, 异常的"
novelty,"n. 新奇, 新鲜, 新奇的事物"
innovation,"n. 改革, 创新
"
renovate,"vt. 更新, 革新, 刷新, 修复, 使恢复活力"
new,"a. 新的, 陌生的, 最近的, 不熟悉的
"
news,"n. 新闻, 消息, 报导
"
newspaper,n. 报纸
renew,"vt. 使更新, 使恢复, 复兴, 修补, 补充, 继续, 重订, 重申, 续借
vi. 更新, 重新开始"
orderly,"a. 有秩序的, 整齐的, 值班的
n. 护理员, 清道夫, 传令兵, 勤务兵
adv. 依次地, 顺序地"
disorder,"n. 杂乱, 混乱
vt. 扰乱, 使失调"
ordinary,"a. 平常的, 普通的, 平凡的
n. 平常的人(或事)"
extraordinary,"a. 非常的, 特别的, 非凡的
"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
lord,"n. 统治者, 阁下, 上帝
vi. 称王, 作威作福
vt. 使成贵族"
landlord,"n. 房东, 地主
"
lead,"n. 铅, 铅条, 领导, 超前量, 领引, 榜样, 主角, 导线
vt. 引导, 带领, 领导, 指挥, 致使, 加铅于, 用铅包
vi. 领导, 带头, 导致, 用测深锤测深, 被铅覆盖
a. 带头的, 最重要的"
leadership,"n. 领导能力, 领导阶层"
leading,"n. 领导, 指挥, 神示, 铅板
a. 领导的, 主要的, 在前的"
word,"n. 话, 消息, 词, 诺言, 命令
vt. 用言辞表达
"
sword,"n. 刀, 剑, 战争, 武力, 剑状物"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
space,"n. 位置, 空间, 距离, 太空, 空白, 间隔, (期刊等的)篇幅
vt. 隔开, 分隔
vi. 留间隔
"
spacious,"a. 广大的, 宽广的"
spacecraft,n. 航天飞船
spaceship,n. 宇宙飞船
spade,"n. 铲子, 锄, 铲刀, 黑桃
vt. 以锄掘, 把...弄实抹平
vi. 铲"
pack,"n. 包裹, 一伙, 一副, 背包, 包装
vt. 包装, 捆扎, 塞满, 压紧, 挑选
vi. 包装货物, 挤, 群集, 被包装
"
package,"n. 包裹, 套装软件, 包, 包装用物, 程序包
vt. 包装, 打包
a. 一揽子的
"
packet,"n. 小包, 一批信件, 大量, 信息包
vt. 打包, 装进小包
"
pad,"n. 填补, 衬垫, 印色盒, 路
vt. 填补, 走, 夸大
vi. 步行
"
pedal,"n. 踏板, 脚蹬子
a. 脚的, 脚踏的
vt. 用脚踏动
vi. 踩踏板, 骑车"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
pave,"vt. 铺设, 安排, 铺满, 为...铺路
"
pavement,"n. 路面, 人行道, 铺面路, 铺路材料"
pebble,"n. 小圆石, 小鹅卵石, 水晶透镜, 碎石花纹
"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
peace,"n. 和平, 和约, 治安, 和睦, 安宁, 静寂
vi. 安静下来, 不作声"
peaceful,"a. 平静的, 和平的, 和平时期的, 爱好和平的, 喜爱安静的
"
peak,"n. 山峰, 巅, 山顶, 顶点, 尖峰, 帽舌
a. 最高的, 最大值的
vi. 到达最高点, 消瘦, 变憔悴, 逐渐缩小
vt. 使竖起, 使达到最高点"
peach,"n. 桃子, 桃树, 桃色, 美人儿, 极好的事物
vt. 告发
vi. 告密, 检举"
appal,"vt. 使惊骇, 使吓坏"
palace,"n. 宫, 宫殿, 华丽大厦"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
paper,"n. 纸, 文件, 文章, 报纸, 证券, 证件
vt. 用纸糊, 贴壁纸于, 用纸包装
vi. 贴壁纸
a. 纸做的, 纸上的"
paperback,"n. 平装本, 纸面本"
page,"n. 页, 记录, 事件, 专栏, 男侍
vt. 标明...的页数, 翻...的书页, 分页排版, 呼叫, 侍候
vi. 翻书页, 侍侯
"
propaganda,"n. 宣传, 宣传活动
"
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
painter,"n. 画家, 油漆匠
"
painting,"n. 画, 绘画, 油漆
"
pain,"n. 痛苦, 疼痛, 辛苦
vt. 使痛苦, 痛苦
vi. 作痛, 疼"
painful,"a. 痛苦的, 困难的, 令人烦恼的
"
palm,"n. 手掌, 棕榈, 胜利
vt. 与...握手, 藏...于掌中"
pamphlet,"n. 小册子, 活页文选"
panel,"n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员
vt. 嵌镶板"
panic,"n. 恐慌, 惊慌
a. 惊慌的, 没有理由的, 恐慌的
vt. 使惊慌, 使狂热
vi. 惊慌"
panorama,"n. 全景, 全貌, 概论, 范围"
company,"n. 公司, 友伴, 交往, 连队, 朋友, 一群
vt. 陪伴
vi. 交往"
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
discrepancy,"n. 不符合, 差异, 不相符之处
"
expand,"vt. 使膨胀, 详述, 扩张
vi. 张开, 发展
vt. 展开
vi. 展开
"
expansion,"n. 扩充, 开展, 膨胀
"
pant,"n. 喘息, 悸动
vi. 喘息, 渴望
vt. 气喘吁吁地说"
pants,"n. 裤子, 长裤, 短衬裤, 女式运动短裤"
panda,"n. 大熊猫, 小熊猫"
party,"n. 宴会, 党, 政党, 团体, 当事人, 聚会
v. 举办聚会"
partial,"a. 部分的, 偏袒的, 偏爱的
n. 分音"
impartial,"a. 公平的, 不偏不倚的
"
particle,"n. 颗粒, 粒子, 质点, 极小量
"
particular,"n. 一项(或条、点), 个别项目, 详细说明
a. 特别的, 独有的, 挑剔的, 详尽的"
partly,"adv. 部分地, 在一定程度上"
partner,"n. 合伙人, 股东, 伙伴, 伴侣
vt. 与...合伙, 组成一对
vi. 做伙伴, 当助手"
participate,"vi. 参加, 分享, 参与, 带有
vt. 分享, 分担"
participant,"n. 参加者, 参与者
a. 有份的, 参加的, 参与的"
apart,"adv. 成零碎, 成距离, 分别地, 分离着
a. 分离的"
apartment,"n. 房间, 公寓"
compartment,"n. 分隔间, 卧车包房, 防水舱隔
"
depart,"vi. 离开, 出发, 背离, 违反, 去世"
department,"n. 部门, 系, 机关
"
departure,"n. 离开, 出发, 违背, 偏离
"
impart,"vt. 给予, 传授, 告知"
counterpart,"n. 副本, 复本, 配对物, 相应物
"
parade,"n. 游行, 炫耀, 阅兵
v. 游行, 炫耀, (使)列队行进"
paradigm,"n. 范例, 式样, 词形变化表, 纵聚合关系语言项"
parachute,"n. 降落伞
vi. 跳伞"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
paralyze,"vt. 使瘫痪, 使麻痹
"
parameter,"n. 参变数, 参变量, 参数, 参量
"
parasite,"n. 寄生生物, 寄生虫, 食客
"
appear,"vi. 出现, 显得, 来到
"
disappear,"vi. 消失, 不见"
appearance,"n. 出现, 露面, 外观, 外表, 出版
"
apparatus,"n. 装置, 器具, 器官
"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
comparable,"a. 可比较的, 比得上的"
comparative,"a. 比较的, 相对的
n. 对手"
comparison,"n. 比较, 对照, 比喻
"
parcel,"n. 包裹, 部分, 片
vt. 分配, 打包
a. 部分的
adv. 局部地"
pardon,"n. 原谅, 赦免
vt. 宽恕, 原谅"
parent,"n. 父母, 父母亲, 根源
"
parliament,"n. 国会, 议会
"
prepare,"vt. 准备, 筹备, 使在思想上有准备, 制造, 调制
vi. 预备"
preparation,"n. 准备, 预备, 预习
"
separate,"n. 独立件, 抽印本
a. 分开的, 各别的, 单独的, 分隔的
vi. 分开, 隔开, 分居
vt. 使分离, 使分开, 区分, 使分居"
transparent,"a. 透明的, 显然的, 清晰的
"
park,"n. 公园, 停车处
vt. 停车, 置于
vi. 停车"
spark,"n. 火花, 火星, 闪光, 无线电报务员, 瞬间放电, 活力, 朝气, 花花公子, 情郎
vi. 闪光, 发火花, 求婚
vt. 发动, 鼓舞, 使有朝气, 求婚"
sparkle,"n. 闪耀, 火花, 活力, 发泡
vi. 闪耀, 冒火花
vt. 使闪耀"
spare,"n. 剩余, 备用品, 备件, 备用零件, 备用轮胎
a. 多余的, 备用的, 空闲的, 节约的, 瘦的
vi. 节约, 省掉, 宽恕
vt. 节约, 省用, 剩下, 饶恕, 赦免"
repertoire,"n. 全部剧目, 全部技能, 全部节目, 全部作品"
passage,"n. 通道, 通过, 移居, 航行, 一段, 走廊
vi. 通过, 经过, 航行, 横渡, 争吵
vt. (使)马以斜横步前进, 使传代"
passenger,"n. 乘客, 旅客
"
passer-by,n. 过路人; 经过者
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
passive,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的
"
passport,"n. 护照, 手段, 通行证
"
bypass,"n. 旁路
vt. 省略, 绕过, 忽视, 回避"
compass,"n. 指南针, 范围, 音域
vt. 包围, 达到, 图谋, 理解"
compassion,"n. 同情, 怜悯"
compatible,"a. 能共处的, 可并立的, 适合的
"
overpass,"n. 天桥, 旱桥, 立交桥
vt. 超越, 胜过, 通过, 忽略, 侵犯"
surpass,"vt. 超越, 凌驾, 胜过"
past,"n. 过去, 昔时, 往事, 早年经历, 过去时
a. 过去的, 结束的, 卸任的, 过去时的
prep. 越过, 晚于, 超越, 超出...的可能性(能力、范围等)
pass的过去分词"
pastime,"n. 消遣, 娱乐, 游戏"
pasture,"n. 牧场, 草地, 牧草
vt. 放牧
vi. 吃草"
paste,"n. 面团, 面食, 浆糊, 糊状物, 粘贴, 用拳重击
vt. 用浆糊粘, 张贴, 狠狠地打
"
path,"n. 路径, 小路, 道路, 途径, 路线, 轨道
"
pathetic,"a. 悲哀的, 可怜的, 感伤的, 差劲的
"
patient,"n. 病人, 承受者
a. 忍耐的, 容忍的, 有耐性的, 坚忍的"
patience,"n. 耐性, 忍耐"
