similar,"a. 相似的, 类似的
n. 相似的东西"
come into,"得到, 继承
"
come into being,"形成, 产生"
divide ... into ...,"把…划分成,分成"
get into,[网络] 到达什么地方；这个错误可能使他陷入困境
go into,"进入, 加入, 探究, 变得, 进入...状态
"
look into,"窥视, 浏览, 观察
"
put one's heart into ...,一心扑在…上，对…全力以赴
turn into,[网络] 了解
turn ... into ...,[网络] 了解
knock into,撞上
run into,"跑进, 撞上, 遭遇, 陷入, 达到"
talk sb. into doing sth.,无
persuade sb. into doing sth.,无
add to,"na. 增加
"
add up to,合计达
belong to,属于
compare ... to, 把…比作， 喻为; 与…相比
get close to, 接近; 附; 迫临; 际
get used to sth.,习惯于...
be used to sth.,习惯于
get used to doing sth.,无
be used to doing sth.,无
give birth to,产生
go into,"进入, 加入, 探究, 变得, 进入...状态
"
keep to,"v. 坚持；固守
"
lead to,"导致, 通向"
live up to,"实践, 做到"
look up to," 抬头看（某人或某物）, 尊重[敬仰]（某人）; 企慕; 瞧得起; 仰慕"
make one's way to ...,到...去
next to,几乎
point to,指向
put an end to ...,"结束, 终止"
refer to,"v. 查阅；提到
"
stick to,粘住
take to,"na. 嗜好；开始；参加；逃入
"
turn to,"转向, 变成, 求助于, 起劲地开始行动"
blow away,"na. 吹走；〈非正式〉用枪杀死某人；〈非正式〉震惊；主要用于美式英语
"
break away,"突然离开, 脱离, 放弃"
break away from,"摆脱,脱离"
clear away,"na. 扫除；砍去；(雾等)消散
"
die away,"熄灭, 平息, 消失"
do away with,"废除, 弄死"
get away,"离开, 逃脱, 起跑, 出发"
get away from,"离开,摆脱,脱离"
give away,"na. 赠送；分发；放弃；露马脚
"
go away,走开
keep away from,(使)远离，(使)不接近；(使)不在
put away,"v. 把…收起来；储存
"
take away,"adj. 买回去的
"
pass away,"去世, 停止, 离去, 消逝"
run away,"潜逃
"
run away from sb.,逃避
run away from sth.,逃避
take away,"adj. 买回去的
"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
account for,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
apply for,"申请,请求,要求…"
ask for,"na. 要(价)；来找
"
beg for,"乞求,恳求"
call for,"叫(某人)来, 要求, 为...叫喊, 为...叫"
care for,"喜欢, 照顾, 为...操心, 尊重"
get ready for,(使)准备好...
go for,"去找, 努力获取, 被认为, 主张, 拥护"
go in for,"参加, 追求, 从事, 赞成"
long for,渴望
look for,"寻找, 期待"
hunt for,搜寻
make up for sth.,"补偿,弥补"
run for,竞选
search for,搜查
seek for,"寻找, 追求, 探索"
speak for,"代表...讲话, 要求得到, 订购"
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
"
take ... for example,以...为例
wait for,"na. 等；等待
"
wish for,"盼望, 企求"
hope for,"希望,期望"
come over,"过来
"
get over,"爬过, 克服, 熬过, 恢复, 原谅"
go over,"转变, 仔细检查, 润色, 复习"
look over,"na. 浏览；检查；察看
"
make over,"转让, 移交, 改造
"
take over,"na. 接管；继承
"
turn over,"na. ￡ 500 a week 每星期卖得五百镑
"
fall over, 被…绊倒; 意外地从…上跌落; 落在…之外; 迫不及待做某事
hand over,交出；移交
stay over,过夜
think over,"v. 仔细考虑
"
watch over,"监督, 保护, 照管
"
agree with sb.,"同意…,与…意见一致;适应…"
compare with,"比较…,跟…相比,比得上…"
deal with,"安排, 处理, 涉及, 做生意"
do with,"与...相处, 忍受, 对付"
fall in love with,爱上
get along with,"进展, 走开"
get away with,na. 拿走；避开责备[惩罚]；〈俚〉卷(款)潜逃；吃掉，喝掉
get on with, 继续（干某事）; 和…友好相处
go with,"伴随, 与...相配"
keep in touch with,与...保持联络
be concerned about,关心...
bring about,"na. 造成；带来；【航】(使船)回转
"
care about,担心
come about,"发生, 改变方向"
complain about,抱怨
set about,"开始, 散布
"
think about,"考虑, 回想"
worry about,"焦虑..., 为...而操心/担心"
apart from,除了...之外
be made from,"用…制造,由…制成"
break away,"突然离开, 脱离, 放弃"
break away from,"摆脱,脱离"
come from,"来自, 出生于"
die from,"[法] 由于...而死, 死于"
differ from,不同
be different from,"与…不同,和…不一样"
get away from,"离开,摆脱,脱离"
hear from,"接到...的信, 受...批评"
keep away from,(使)远离，(使)不接近；(使)不在
learn from,向...学习
prevent ... from,"阻止, 妨碍"
result from,"由...产生
"
run away from sb.,逃避
run away from sth.,逃避
suffer from,"忍受, 遭受
"
accept sb.'s apology,无
accuse sb. of sth.,"un. 控告
"
accuse sb. of doing sth.,无
achieve one's goal,无
achieve success, 获得成功
adapt oneself to,使(自己)适应于(某种环境)；使(自己)习惯于(某事)；使(自己)对…通融
adapt to the new environment,无
apologize to sb., 向某人道歉
apologize to sb. for sth.,[网络] 因某事向某人道歉
make an apology to sb.,无
make an apology to sb. for sth.,无
attempt to do sth.,v. 尝试去做
attend school, 上学；读；读书；念书
attend university, 上大学
attend the meeting, 参加会议
attract sb.'s attention,无
draw sb.'s attention,无
call sb.'s attention,引起注意
break one's promise,食言; 不守诺言
break out in tears,无
break the habit of,无
break the law,"[法] 犯法, 违法"
break the rule,违反规则
bring sth. to effect,"实行,实施,使生效,实现"
bring sth. into effect,"实现, 实施"
bring sth. back to life,"使复活, 给…以活力"
bring sb. back to life,"使复活, 给…以活力"
brush one's teeth,无
burst into cheers,无
burst into laughter,哈哈大笑起来
burst out laughing,"放声大笑,突然笑起来"
burst into tears,突然哭起来
can't help but do sth.,无
can't help doing sth.,[网络] 禁不住做某事；情不自禁做某事；忍不住做某事
catch a glimpse of,瞥见
catch fire, 着火着火; 失火; 发火; 走水
catch sight of,瞥见
cause damage to ...,造成…的损失
change one's mind,"改变主意
"
chat on line,[网络] 在线聊天；网上聊天；上网聊天
come to an end,结束
come to life,苏醒
come to power,"上台,夺取政权"
come into power,"执政, 掌权
"
come true,"实现, 成为事实"
commit a crime,犯罪
date back to,"始于,可以追溯到…"
develop a lifelong friendship with sb.,无
display one's deep sympathy,无
do a good deed,做好事
do business,"na. 做买卖
"
do housework,vt. 做家务
do one's best,尽全力
do one's homework,做家庭作业; 做必要的准备工作
do research on ..., 查考
do sb. a favour,[网络] 帮忙；帮个忙；帮助某人
do well in ...,"成绩好,…做得好"
do better in ...,无
do wrong,"na. 干坏事；犯罪；犯法
"
draw a conclusion,得出结论
draw attention to,"un. 促使…注意
"
earn a living,"谋生,挣钱,自食其力"
earn one's living,"谋生, 维持生活"
make a living,"谋生, 挣钱度日, 维持生活"
make one's living,"谋生, 挣钱度日, 维持生活"
earn money,赚钱
make money,"挣钱
"
fall asleep,"入睡, 长眠, 懈怠, 静止不动"
fall ill,得病
fall in love with sb.,爱上
follow sb.'s advice,无
take sb.'s advice,无
follow customs,无
follow sb.'s instructions,无
follow the rules,无
gain weight,体重增加
put on weight,体重增加
lose weight,体重减轻
get close to, 接近; 附; 迫临; 际
get hold of,"抓住, 得到"
get ready for,(使)准备好...
get rid of,"摆脱, 除去"
get dressed, 穿衣服
be dressed,[网络] 穿着；穿好衣服；打扮
get lost,"迷路,迷失方向"
be lost,迷
get married, 结婚; 结亲; 成家立室
be married, 已婚
get married to sb.,[网络] 与某人结婚；和……结婚；与…结婚
be married to sb.,"和…结婚,嫁给"
get tired of,"讨厌,厌倦"
be tired of,厌烦
get used to sth.,习惯于...
be used to sth.,习惯于
get used to doing sth.,无
be used to doing sth.,无
give birth to,产生
give sb. a hand,"un. 制住；帮着干一点
"
lend sb. a hand,"na. 帮忙；参加；帮助
"
go abroad,出国
go bad, 变质; 坏
go Dutch,各人付自己的帐
go shopping,去买东西
go fishing,去钓鱼
go sailing,"出航,乘船去游览"
go camping,去野营
go skating,去滑冰
go to a movie, 去看电影
go to school,上学
go to work,上班
go to see a doctor,无
go to sleep,"入睡, 睡着"
have a break, 休息一下
have a cold,患感冒
have a cough, （患）咳嗽
have a headache, 头疼，头痛
have a fever, 发烧
have a gift for,对...有天赋
have a good time,过得快乐
have a great time,n. 玩得愉快
have a wonderful time,玩得快活极了.
have fun, 玩得高兴，过得快活; 耍笑; 玩耍
have great fun,无
have access to ...,可以获得;进入
have an effect on ...,(对…)有影响〔产生效果〕
have an effect upon ...,"对…有影响;对…起作用,产生效果"
have breakfast, 吃早饭
have lunch, 吃午餐
have supper, 吃晚餐
have lessons, 上课
have classes, 上课
have no choice but to do sth.,除(做)…外别无他法，非(做)…不可
have some difficulty with ...,无
have some trouble with ...,无
have some problems with ...,无
have a seat,"就座,入座,请坐;拥有一个席位"
take a seat,坐下
have one's seat,无
take one's seat,就座
hold a meeting,举行会议
hold a party,〈口〉举行宴会、酒会等
hold one's breath,屏息
keep a record,保持记录
keep records,无
keep an eye on,"照看, 密切注视"
keep in touch with,与...保持联络
keep one's word,守信
keep ... in mind,"na. 记在心里；记住；注意
"
lay eggs,[俚语](飞机) 投弹
lead a cosy life,无
have a cosy life,无
live a cosy life,无
lead an active life,无
have an active life,无
live an active life,无
lose control, 失去自制能力; 沉不住气
be out of control,adj. 失掉控制（不受控制）
lose face,"丢脸, 失去自尊与别人的信任, 失去尊严/影响力/名望"
lose heart,丧失勇气
lose one's life,"na. 死；丢了性命
"
lose one's sight,失明
lose one's voice,说不出话来，嗓子哑了
lose sight of ...,"不再看见, 忽略, 忘记"
make ends meet,"量入为出,使收支相抵"
make both ends meet,"量入为出
"
make use of ...,使用
make full use of ...,充分利用...
make the most of ...,尽量利用
make the best of ...,充分利用
make a contribution to ...,为…作出贡献
make a great contribution to ...,无
make a difference,"有区别,有很大关系"
make no difference,没有影响
make a decision,作决定
make a difference,"有区别,有很大关系"
make a mistake,犯错误
make mistakes,犯错误
make a promise,允许
make fun of ...,取笑
make it,"及时抵达, 做成"
make one's acquaintance,与某人结识
make one's way to ...,到...去
make progress,取得进步/展
make progress in ...,在…方面取得进步[进展]
make sense,有意义
make sure,确定
make up one's mind,"下决心, 接受, 承认"
obey the rules,[网络] 遵守规则；遵守规章；遵守规章制度
break the rules, 犯规
obey the law,[法] 遵从法律
observe the law,无
occur to sb.,…发生在; 被想起〔到〕
offer advice about ...,无
offer advice on ...,无
play a part,"扮演角色, 参与, 有影响, 装腔骗人"
play a part in,"在…中扮演角色,在…中起作用"
play a trick on sb.," 捉弄某人, 对某人恶作剧; 撮弄"
play football,踢足球;对难办的事采取踢足球的态度
play basketball,[网络] 打篮球；玩篮球；篮球锻炼知多少
play the piano, 弹钢琴
put an end to ...,"结束, 终止"
put one's heart into ...,一心扑在…上，对…全力以赴
put ... to use,"使用, 利用"
raise money for ...,为…募捐
return to normal,复正常
run a business,管理企业
run a restaurant,无
start a restaurant,无
satisfy the needs of ...,满足…的需要
meet the needs of ...,满足...的需要
save money,"省钱, 储蓄金钱, 节省资金
"
save sb.'s life,无
serve in the army,"服兵役,从戎"
serve the dishes,无
serve the people,n. Serve the people heart and soul 全心全意为人民服务
set a goal,[网络] 设定目标；制定目标；树立目标
set foot on ...,踏上
set foot in ...,进入
set sail for,"开船,动身"
set sb. free,"释放
"
set an example to ...,"做…榜样,树立(好)榜样"
give an example to ...,"做…榜样,树立(好)榜样"
set a good example to ...,"做…榜样,树立(好)榜样"
give a good example to ...,"做…榜样,树立(好)榜样"
shake hands with sb.,和…握手
start a fire,"生火,起火"
stay the same, 保持不变，保持一致
remain the same, 仍旧
support the family,无
raise the family,无
surf the internet, 网上冲浪
take advantage of,"v. 利用
 欺骗, 占…的便宜"
take care of,"照顾
"
take care," 当心, 小心; 坚持到底"
take chances,"冒险, 投机"
take a chance,冒险
take charge of,"掌管..., 负责..., 看管..., 不受...控制
"
take control of,"控制,掌管"
take it easy,"从容, 不紧张"
take part in,"参与, 参加
"
take place,"na. 发生；举行
"
take pride in,以...为傲
take risks,"冒险,担风险"
take a risk,"冒险
"
take steps to do sth.,[网络] 着手落实；采取措施做某事；采取步骤做某事
take measures to do sth.,[网络] 采取措施做某事；采取措施去做；采取措施去做某事
take action to do sth.,无
take the place of sb.,"代替
"
take sb.'s place,[网络] 解构发生；就位
take turns to do sth.,无
take turns in doing sth.,无
take ... for example,以...为例
tell a lie,说谎话
tell the difference between A and B,无
tell the truth,说实话
tend to do sth., 倾向于做某事
turn a deaf ear to ...,置若罔闻
wait in line,排队等候
wait in a queue,无
stand in line,"站队, 排齐"
stand in a queue,无
on account of,由于
on average, 平均起来
on behalf of,"代表...
"
on board,"在船/车/飞机上, 在公共交通车辆上
"
on business,因公
on condition that,"若是…, 以…为条件"
if,"conj. 如果, 是否, 无论何时, 假设, 即使
n. 条件
"
on duty,"值班, 上班
"
on earth,"在世上, 究竟"
on foot,"na. 步行；在进行中；徒步
"
on holiday,"na. 在休假中
"
on purpose,"故意
"
on sale,"廉售的, 拍卖的"
on the contrary,"正相反
"
on the whole,"大体上, 基本上"
on top of,"熟练掌握, 在...之上, 完全控制着, 另外, 紧接着"
on the one hand ... on the other hand ..., 一方面…，另一方面…
in a flash,"一刹那间, 瞬间, 即刻"
in a moment,立刻
in a while,"马上,不久,不一会儿"
in a minute,"马上, 立刻"
in a second,"一会儿,很快,马上"
in a hurry,匆忙
in a word,总之
in short,"简而言之
"
in other words,换句话说
in addition,另外
in advance,"预先
"
in all,"总共
"
in total,"总共, 总计
"
altogether,"adv. 完全地, 总而言之"
in all,"总共
"
in case,万一
in case of,"假设, 万一"
in charge,"主管, 看管, 在...看管下"
in common,共有
in conclusion,最后
in danger,在危险中
in danger of,有…的危险
in debt,"un. 背上了债；负债；欠款
"
in demand,"[经] 销路好, 有需要"
in detail,详细地
in fact,"事实上
"
in reality,"实际上, 事实上"
in effect,"有效
"
as a matter of fact,事实上
in general,大多数
in good condition,"情况良好
"
in poor condition,无
in history, 在历史中
in nature,"na. 现在存在；事实上；究竟
"
in need,"在急需时,在贫困时,在危难中"
in one's opinion,"na. 据某人意见
"
in one's view, 依某人看来
in particular,特别
in place,"na. 得其所；适当的
"
in practice,"在实践中, 实际上, 熟练"
in public,当众
in rags,"穿着破衣服,衣衫褴褛"
in return,作为报答
in silence,沉默着
in store,"贮藏着, 保存着, 准备着, 将要发生
"
in the distance,在远处
in the end,"最后, 终于"
in the meantime,"同时;当其时,在其间"
in the past,在过去
in the future,"未来, 将来, 往后"
in the short term,短期内
in the long term,长远地
in theory, 理论上
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
"
in total,"总共, 总计
"
in trouble,"处于不幸中, 在监禁中"
in turn,"na. 挨次
"
in vain,"徒然
"
in shape,"在外形上, 处于良好状态"
out of shape,"走形了,变样了,不成样子;身体不佳,竞技状态不佳"
in fashion,"时髦,流行,合潮流"
in front of,在...前面
in the front of,在最前面; 在最重要的位置
in front,在前面
in face of,"面对,在…面前;不顾,即使"
in favour of,"[经] 同意, 支持, 有利于..."
in honour of,"为纪念, 为庆祝"
in memory of sb.,纪念...
in need of,"需要...时, 如果需要..."
in possession of,"获得,弄到,佔有,佔领…"
in praise of,为赞扬
in search of,寻找
in spite of,不管
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
regardless of,"不注意, 不关心"
in terms of,"用...的话, 根据, 按照, 在...方面
"
in the name of,"以...的名义
"
in the form of,以…形式
in view of,"考虑到, 由于
"
in contrast to,"与...形成对照, 而..."
in order to, 为了…
in relation to,"关于, 涉及"
in response to,"回答..., 响应..., 对...有反应
"
in reply to,作为答复
in contact with,与...在接触中
in harmony with,"与...协调, 与...一致"
in exchange for,交换
out of breath,上气不接下气
out of control,"不受控制, 失去控制
"
lose control, 失去自制能力; 沉不住气
out of date,"过时的, 废弃的
"
out of order,"次序颠倒, 不整齐
"
out of place,"不在合适位置, 不合适"
out of reach,"adj. 够不着的；无法连络的；超出范围的
"
out of one's reach,无
out of sight,"在看不见的地方, 极度"
out of work,"失业, 机器有毛病
"
out of question,毫无疑问
out of the question,"不知底细
"
home and abroad, 国内外，海内外
at home and abroad,国内外
at a loss,"困惑, 亏本地"
at ease,"na. 自由自在；=stand at ease.
"
at last,终于
at length,"最后, 详细地"
at most,至多
at once,立刻
right away,立刻
right now,就在此时
at present,"现在, 目前"
at random,"胡乱地, 随便地
"
at risk,"un. 担风险
"
at the age of ...,在…年龄的时候
at the cost of,以...为代价
at the same time,"同时, 但是"
meanwhile,"n. 其时, 其间
adv. 同时, 于此时"
at times,"有时, 不时"
at war,在交战状态中
for a moment,"一会儿,片刻"
for a while,暂时
for a minute,"一会儿,短时间"
for ever,"永远, 老是"
for good,"永久地, 永远地, 一劳永逸地"
for example,例如
for instance,"例如
"
for fear of,"害怕,恐怕,生怕,唯恐,以防"
for fear that, 唯恐，害怕; 生恐; 惟恐; 生怕
for free,免费地
for sure,确实
for the first time,第一次
for the first time ever,无
for the reason,[网络] 因为；因为某种原因；为了一个理由
for the sake of,"为...缘故, 为...起见, 为了某人, 为...目的, 为了...的利益"
for the time being,暂时
"for one thing ..., for another ...",无
from time to time,有时
from now on,从现在开始
from then on,从那时起
from that moment on,从那时起
from one generation to another,无
from the bottom of one's heart,从心底
by accident,偶然
by chance,"偶然, 也许"
by and by,不久以后
by coincidence, 碰巧；巧合
by contrast,"对比起来, 与之相比, 相反地"
by mistake,由于差错
by nature,天生地
by the end of,"到…结束的时候,到…末"
by the time,"到…的时候,截至"
by the way,"在途中, 顺便"
by means of sth.,依靠
by means of doing sth.,无
by all means,"尽一切办法, 一定"
in all ways,从各方面说
by no means,决不
in no way,决不
by this means,用这种方法
in this way,这样
by air,乘飞机
by boat,乘船
by bus,乘公共汽车
by train,乘火车
according to,"根据, 按照；取决于；据…所说"
around the corner,"在拐角处, 在附近, 即将来临"
around the clock,"连续一整天, 连续一昼夜, 二十四小时"
because of,因为
due to,"由于, 应归于"
thanks to,由于
along with,"与…一道,与…一起,连同…"
except for,"除...以外
"
in this way,这样
instead of,代替
next to,几乎
regardless of,"不注意, 不关心"
under arrest,[法] 被逮捕
under attack,[法] 受到攻击
under fire,受攻击
under construction, （正在）修建中
under control,"un. 失去控制；被控制住；克制；在控制之下
"
under discussion,在讨论中
under repairs,"在修理中(的),在修缮中"
up to date,"最近的, 最新的
"
up to now,到目前为止
up to,"从事于(坏事), 忙于, 胜任, 能做, 适合, 适于"
with regard to,关于
in regard to,"关于
"
with the help of,"借助于…,在…的帮助下"
with the purpose of,为了...
of one's own,属于某人自己的
on one's own,"na. 独自地；独立地；凭自己力量；主动地
"
by oneself,"单独, 独自"
be crazy about,"狂热爱好..., 着迷..."
be curious about,对...感到好奇
be excited about, 对…感到兴奋
be particular about,"对…很挑剔,过于讲究"
be aimed at,"旨在,目的在于,针对"
be amazed at, 对…感到惊讶；对…感到害怕
be good at,擅长
be common for,无
be fit for,适合于
be suitable for,"适合…,适用于…"
be honoured for,无
be qualified for,"合格做…,胜任…,有资格…"
be responsible for,"引起..., 是...的原因, 对...起作用, 构成...的一部分
"
be to blame for, 对…应负责任
be harmful to sb., 妨害
do harm to sb., 损害。。。，伤害。。。; 残害
harm sb.,(T 接头之)H平面臂
be lost in,沉醉于…
be involved in, 涉及，专心; 卷入
be ashamed of,"感到羞耻, 惭愧"
be aware of,知道
become aware of,v. 知道
be fond of,"喜爱, 爱好"
be full of,充满
be jealous of,妒嫉
be made up of,由...所组成
be proud of,"自豪, 高兴"
be short of,"缺乏..., ...不足"
be sure of,"确信..., 肯定..., 对...有把握"
be sure about,对…有把握
be tired of,厌烦
get tired of,"讨厌,厌倦"
be uncertain of,"不肯定..., 不确定..."
be uncertain about,[网络] 对---没有把握；对…不确定；他没有把握能准时完成任务
be accustomed to sth.,习惯于
be accustomed to doing sth.,无
be used to sth.,习惯于
be used to doing sth.,无
be addicted to,沉迷于…
be equal to,"胜任, 相等, 合适"
be grateful to,"v. 感谢
"
be loyal to,忠于...
be faithful to,对…忠实
be devoted to,致力于…
be opened to,无
be related to,"与...有关, 和...有联系, 和...有亲戚关系"
be similar to,与...相似
be up to sb.,"胜任,达到,由…负责"
be angry with sb.,对(某人)生气
be angry with sb. for sth.,无
be armed with,"na. 用…武装着；装备着
"
be bored with,对…感到厌倦
be busy with sth.,忙于
be busy doing sth.,忙于(做)...
be occupied with sth.,忙于…;专注于…
be occupied in doing sth.,无
be blessed with,在…方面有福气;幸运地享有
be equipped with,"配备有,装备有…"
be faced with,"面对,面临着…"
be fed up with,"饱受,厌烦"
be linked with, 与…连接
be pleased with,"对…喜欢,满意于"
be satisfied with,对...感到满意
be content with,以...为满足
feel content with,无
be content to do sth.,无
be popular with,为...所喜欢
be strict with sb.,"对...严格, 对...严历"
be surrounded with,无
be surrounded by,"na. 被…环绕着
"
be eager for,渴望
long for,渴望
be dying for,"渴望,极想得到"
be absent from,缺席
be different from,"与…不同,和…不一样"
be free from,免于…
be badly off,生活过得不好
be well off,生活过得好
be eager to do sth.,渴望(做)...
be familiar with,熟悉
get familiar with, 熟悉
be familiar to sb.,对…熟悉的
be famous for,"因…而出名,以…着称"
be famous as,作为…而闻名遐迩
be afraid of,害怕
be afraid to do,"na. 怕
"
be reduced to ..., 减少到， 缩短到
be reduced by ...,[网络] 降低了；较少了；被减少了
be worth doing sth.,无
be worthy of sth.,"值得,应得到"
be worthy of being done,值得(做)...
be worthy to be done,值得(做)...
be about to do sth., 即将做某事
be bound to do sth.,[网络] 注定；一定会做某事；必然
be delighted to do sth.,无
be desperate to do sth.,无
be determined to do sth.,决心(做)...
determine to do sth.,[网络] 决定做某事；决心做某事；动作
be forced to do sth.,无
be likely to do sth.,无
be supposed to do sth., 应当，应该
be used to do sth.,无
be willing to do sth., 愿意做某事
be able to do sth.,[网络] 能够做某事；能做某事；有能力做某事
be of benefit,"na. 有益
"
be of great importance,[网络] 很重要；非常重要；具有很大重要性
be of great value,无
be of use,"有用处, 起作用"
be of no use,[网络] 无用；没用的
be on good terms, 要好；说得来
be on good terms with sb.,与…有交情
be stressed out, 紧张，饱受压力
all in all,"总而言之, 合计, 头等重要的东西"
hand in hand,"手拉手, 联合"
back to back,"背靠背, 一前一后"
face to face,面对面
one by one,一个接一个
side by side,"并排, 并肩"
again and again,"再三地, 反复地"
over and over again,反复地; 再三地
time and time again, 一再
all one's life,一生
all over,"全部结束, 到处, 浑身"
all over the world,全世界
all throughout the world,无
all over the country, 遍及全国; 天南海北
all throughout the country,无
all the same,仍然
all the time,始终
all the way,"从远道, 自始至终, 一路上"
all together,一起
all year round,一年到头，终年；全年地，整年地
throughout the year, 一年到头；无冬无夏；一年四季；终岁
above all,"尤其是, 首先"
ahead of,在…之前
far away, 遥远; 迢迢; 远离; 迥
far from,"远离, 远非"
one after another,"接连地
"
pretty well,几乎
well off,"富裕的, 处境好的"
badly off,"穷的, 缺少的"
before long,不久以后
day after day,日复一日
day by day,逐日
day and night,日以继夜
just now,刚刚
just then," 就在这时候, 那时候; 方才"
later on,稍后
now and then,偶尔
once in a while,偶尔
once more,再一次
once again,再一次
once upon a time,从前
one day,有一天
some day,来日
sooner or later,迟早
so far,迄今为止
the day after tomorrow,后天
the day before yesterday,前天
the other day,不久前某一天
private school,n. 私立中小学
public school,n. 公立中小学
primary education,初等教育
primary school,"n. 小学, 初等学校; 参见：elementary school"
elementary education,"初等教育,小学教育"
elementary school,小学
secondary education,中等教育
secondary school,n. 中学
junior high school,初中
senior high school,高中
further education,"n. 进修, 继续教育"
physical education,[医] 体育
track and field,a. 田径运动的
school year,学年
academic year,学年
student union,学生会
beginning courses,无
basic courses,[网络] 所学主干课程；基础课程；基本课程
advanced courses,无
required courses,n. 必修课
compulsory courses,无
optional courses,[网络] 选修课；选修课程；进修课
online courses,网络课程（online course的复数）
academic performance,学业成绩;学术成就
record card,"记录卡,核算卡,统计卡,登记卡"
all-round ability,无
open-book exams,无
close-book exams,无
make-up exams,无
an academic essay,无
a research project,无
data analysis,[经] 数据(资料)分析
a technical term,无
graduation ceremony,毕业典礼
a high school diploma,无
a high college diploma,无
Bachelor of Arts,文学士
BA,"abbr. 文学士（Bachelor of Arts）
n. (Ba)人名；(日)马(姓)；(阿拉伯、柬、几、马里、刚(金)、毛里塔、塞内、缅)巴"
Bachelor of Science,理学士
BSc,理学士
BS,"abbr. 外科学士（大学医学学位）
"
Master of Arts,"文学硕士, 文科硕士"
MA,瘤
Master of Science,理科硕士
MSc,[网络] 硕士；边际社会成本；瑞士地中海航运
MS,"abbr. 多发性硬化
n. “M”的复数
"
overseas students,[网络] 留学生；海外留学生；外国留学生
foreign students,n. 外国学生；外国留学生（foreign student的复数）
high season,"旺季,繁忙季节"
peak season,[经] 旺季
low season,"淡季,萧条季节"
off season,
summer vacation,暑假
travel agency,"旅行社
"
travel agent's,"na. (旅行社的)旅行代理人
n. 旅行社；旅行代办人；旅行代理商
"
a tour guide,无
public transport,"n. 公共交通, 公共交通工具, 公交车辆"
public transportation,"公共交通, 公共运输；公共交通工具"
traffic lights,红绿灯
zebra crossing,斑马线
taxi stand,(侯租的)出租车行列
bus station,n. 公交车站
railway station,火车站
gas station,加油站
booking office,"售票处
"
ticket office,"票房, 售票处"
driving licence,n. 驾驶执照
driver's licence,"驾照
驾驶证
驾驶执照"
traffic jam,"塞车, 交通阻塞"
rush hour,"n. （上, 下班的）高峰期"
non-stop flight,"un. 不经停飞行
"
non-stop train,[网络] 直达车；直达火车；直达列车
direct flight,n. 直航：飞行于两地之间，经停一个或以上机场，但不更换航班号或飞行器的航班
first class,第一堂课
VIP class,无
business class," 二等舱, 商务客舱"
tourist class,"二等舱, 经济舱"
economy class,n. （客机之）经济舱位，二等舱位
single ticket,单程票
one-way ticket,"n. 单程票
"
return ticket,[经] 来回票
round-trip ticket,[网络] 来回票；往返票；双程票
historic spot,古迹
tourist spot,n. 旅游景点
cultural sites,无
places of interest, 名胜古迹
places of great interest,无
theme park,n. （游乐园中的）主题乐园; 主题公园
twin room,"n. 双人房
"
double room,双人房
single room,单人房
room service,客房用餐服务
business hours,[经] 营业时间
hit songs,n. 畅销歌曲
action film, 动作片; 情节电影
action movie, 动作片
folk art, 民间艺术
art gallery,"美术馆,画廊"
work of art,n. 艺术作品
artistic work,无
modern sculpture, 现代雕塑
oil painting, 油画
art museum,n. 美术馆
concert hall, 演奏厅，音乐厅
live concert,实况音乐会；(车床等)转轴的中心
folk music,n. 民间音乐; 民谣; 民族音乐
folk song,民歌
classical music,n. 古典乐; 严肃音乐
pop music,abbr. popular music 流行音乐
opera house,n. 歌剧院
exhibition hall, 展览馆
mass media,"大众传播媒体
"
traditional media,[网络] 传统媒体；传统绘画；传统传媒
new media," [医]新传播媒介, 新媒体"
best seller,"畅销书, 畅销书作者
"
TV channel,"un. 电视通道
"
front page,"标题版, 头版"
headline news,头条新闻
current affairs,n. 时事; 新闻; 时务
chat show,n. （电视或广播电台的）访谈节目
a reality show,无
a talk show,无
a quiz show,无
science fiction," 科幻, 科学幻想小说; 科幻小说"
body language,"n. 身体语言, 手势语言（由手势或姿态无意中传递的讯息）, 肢体语言"
native language,[计] 本国语言
mother tongue,"母语
"
fairy tale,"神话故事, 童话, 谎言"
computer games,"un. 计算机游戏
"
video games,电子游戏；视频游戏；电动游戏
sun bath,[医] 日光浴
water recreation,无
fishing industry,"捕鱼工业, 渔捞业"
farming products,无
senior manager,高级经理人员
sales manager,"[经] 营业主任, 销售经理"
human resource,[计] 人的资源
job vacancy,职位空缺
employment agency,[经] 职业介绍所
work experience,"n. 工作经验, 工作经验强化培训计划"
job interview,招工面试
job offer,"n. 工作录用函；聘任书；工作机会
"
business culture,企业文化
working condition,
sick leave,"病假, 病假工资
"
working hours,[计] 工作时间
work schedule,
business trip,商务旅行
day shift,"日班
"
night shift,"夜班
"
flexible working hours,[经] 弹性工时
natural resources,n. 天然资源; 自然资源; 富源
water shortage,水量不足
fresh water,[化] 淡水; 甜水; 新鲜水
underground water,地下水
tap water,"自来水
"
bottled water, 包装饮用水
boiled water, [医]沸过的水，凉开水; 熟水
solar power,太阳能
solar energy,[医] 太阳能
