Abacavir,"n. 【药】阿巴卡韦
"
commissure,"n. 合缝处, 接索, 接合
"
commissurotomy,"n. 连合部切开术
"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
commitment,"n. 委托, 交押, 承担义务, 赞助
"
commonplace,"n. 寻常事, 老生常谈, 普通的东西
a. 平凡的, 普通的"
communicable,"a. 可传达的, 会传染的, 爱说话的
"
communication,"n. 交流, 交通, 通讯
"
community,"n. 社区, 公众, 共有, 共同体
"
comorbid,[网络] 共病；共存性疾病；共发
comorbidity, [医]同病
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
comparable,"a. 可比较的, 比得上的"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
compartment,"n. 分隔间, 卧车包房, 防水舱隔
"
compatibility,"n. 兼容性
"
compatible,"a. 能共处的, 可并立的, 适合的
"
compel,"vt. 强迫, 迫使"
compensate,"v. 偿还, 补偿, 付报酬"
compensatory,"a. 赔偿的, 补偿的, 代偿的
"
competence,"n. 胜任, 职称, 能力
"
competent,"a. 能干的, 胜任的, 有效的, 足够的
"
competition,"n. 竞争, 竞赛
"
competitive,"a. 竞争的
"
compilation,"n. 编辑, 编纂, 编辑(编纂)物
"
compile,"vt. 编译, 编辑, 编纂, 收集
"
compiler,"n. 编辑者
"
complain,"v. 抱怨, 抗议, 控诉"
complaint,"n. 诉苦, 抱怨, 控诉
"
complement,"n. 补足物, 补语, 补数
vt. 补充, 补足
"
complementarity,"n. 互补性, 互为补充
"
complementary,"a. 补充的, 补足的
"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
compliance,"n. 遵从, 顺从, 屈从
"
complicate,"vt. 弄复杂, 使错综, 使恶化
vi. 变复杂"
complication,"n. 复杂化, 复杂情况
"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
comply,"vi. 顺从, 依从
"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
composite,"a. 合成的, 混合成的, 菊科的
n. 合成物, 复合材料, 菊科"
composition,"n. 作文, 创作, 组成
"
compound,"n. 混合物, 复合词, 化合物, 院子
a. 复合的, 混合的, 化合的
vi. 化合, 和解, 妥协
vt. 使复合, 使化合"
comprehend,"vt. 理解, 包括"
comprehension,"n. 理解, 包含"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
compress,"vt. 压缩, 压紧
vi. 受压缩小
"
compressibility,"n. 压缩系数, 压缩性, 压缩率
"
compression,"n. 压缩, 压紧
"
comprise,"vt. 包含, 构成"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
compulsive,"a. 强制的, 强迫的
"
compulsory,"a. 被强制的, 强迫的, 义务的
"
computer,"n. 电脑, 电子计算机
"
concavity,"n. 中央凹陷, 凹洼, 凹曲线
"
conceal,"vt. 隐藏, 掩盖, 隐瞒
"
concede,"vt. 承认, 退让
vi. 让步"
conceivably,"adv. 想得到地, 想象上, 以为"
conceive,"vt. 构思, 认为
vi. 怀孕"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
concentrated,"a. 集中的, 浓缩的
"
concentration,"n. 集中, 专心
"
concentric,"a. 同中心的, 同轴的
"
conception,"n. 观念, 概念
"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
concerted,"a. 商定的, 协定的, 一致的
"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
conclusion,"n. 结论, 结尾, 推论
"
conclusive,"a. 决定性的, 确定性的, 最后的
"
conclusively,"adv. 最后, 释疑, 确定性, 结论性"
concomitant,"a. 相伴的, 伴随的, 共存的
n. 伴随物"
concomitantly," [医]伴随地, 并发地"
concrete,"n. 凝结物, 混凝土
a. 具体的, 实在的, 混凝土的
v. (使)凝结, 用混凝土浇筑"
concurrently,[计] 并行地
concussion,"n. 剧烈摇动, 震荡
"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
condition,"n. 情况, 条件
vt. 使健康, 以...为条件, 决定, 使适应
"
condom,"n. 避孕套
"
conduce,"vi. 有助于, 有益于, 有贡献于, 导致"
conducive,"a. 有益于...的, 有助于...的, 助长的"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
conduction,"n. 传导
"
condyle,"n. 骨节
"
condyloma,n. [医]湿疣
confer,"vt. 授予, 带来
vi. 协商"
conference,"n. 会议
"
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的
"
confidentiality,
configuration,"n. 结构, 表面配置, 外形, 配置
"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
confinement,"n. 限制, 被禁闭, 分娩
"
confirm,"vt. 证实, 确定, 批准, 使巩固
"
confirmation,"n. 证实, 证明, 批准, 确认
"
confluence,"n. 合流, 合流点, 集合, 人群
"
confluent,"a. 合流的, 汇合的, 融合性的
n. 支流"
conform,"vt. 使一致, 使遵守, 使符合
vi. 一致, 符合, 适应"
conformation,"n. 构造, 形态, 完整的配置
"
conformational,a. [化]构象的
confounder,n. confound的变形
confounding,n. 混杂；混淆
confront,"vt. 使面对, 对抗, 遭遇, 使对质, 比较
"
confuse,"vt. 使混乱, 使狼狈, 使困惑
"
confusion,"n. 混乱, 混淆, 无秩序
"
confusional,[医] 精神混乱的
congenital,"a. 天生的, 先天的
"
congenitally,"adv. 天生地, 先天地"
congest,"vt. 使充满, 使拥塞, 使充血
vi. 充塞, 充血, 拥挤"
congestion,"n. 拥挤, 充血
"
congestive,"a. 充血的, 引起拥塞的
"
congression, [医]中板集合（指染色体）
conical,"a. 圆锥形的, 圆锥的
"
conidia,conidium 的复数
conidiophore,n. [微]分生孢子
conidium,"n. 分生孢子
"
conjoined,a. 结合的；联合的
conjugate,"vt. 结合, 配合, 使成对
vi. 结合, 结亲
a. 结合的, 成对的, 同根变形的
n. 同根变形词"
conjugation,"n. 结合, 配合, 动词的词形变化
"
conjugative,[网络] 可接合的；转移性；接合型
conjunction,"n. 连接词, 联合, 结合
"
conjunctiva,"n. 结膜
"
conjunctivitis,"n. 结膜炎
"
consanguineous,"a. 血亲的, 血缘的, 同族的
"
consanguinity,"n. 血亲, 血缘, 同族
"
conscientious,"a. 有责任心的, 负责的, 本着良心的
"
conscientiousness, 责任心
conscious,"a. 有意识的, 知觉的, 觉察的
"
consciousness,"n. 意识, 知觉, 自觉
"
consecutive,"a. 连续的, 联贯的
"
consensus,"n. 合意, 一致, 同感
"
consent,"n. 同意, 许可
vi. 同意, 赞同"
consequence,"n. 结果, 重要性
"
consequent,"n. 随后发生的事情, 结果
a. 作为结果的, 合乎逻辑的"
conservation,"n. 保护, 保存
"
conservative,"a. 保守的, 守旧的, 有保存力的
"
conserve,"n. 蜜饯, 果酱
vt. 保存, 使(能量等)守恒"
considerable,"a. 相当的, 可观的, 重要的"
considerably,"adv. 非常地, 很, 颇"
consideration,"n. 考虑, 原因
"
consistency,"n. 坚硬性, 黏稠度, 一致性
"
consistent,"a. 一致的, 坚持的, 并立的, 坚固的"
consistently,"adv. 坚固, 坚实, 一致, 始终如一, 连贯
"
consist of,由...组成
console,"vt. 安慰, 藉慰
n. 控制台
"
consolidate,"vt. 巩固, 使联合, 统一
vi. 巩固
"
consolidation,"n. 巩固, 团结, 合并, 加强
"
conspicuous,"a. 显著的, 显眼的, 出众的"
constancy,"n. 坚定不移, 持久不变"
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
constantly,"adv. 不变地, 不断地, 时常地"
constipation,"n. 便秘, 秘结
"
constituent,"n. 成分, 选民, 构成物
a. 构成的, 组织的, 选举的"
constitute,"vt. 构成, 组成, 任命
"
constitution,"n. 构成, 宪法, 体格
"
constitutional,"a. 宪法的, 立宪的, 体质的
"
constitutionally,"adv. 本质地, 天生, 体质上"
constitutively,"adv. constitutive（构成的, 本质的, 有制定权的）的变形"
constrain,"vt. 强迫, 限制, 关押"
constrict,"vt. 压缩, 束紧, 使收缩
vi. 收缩"
constriction,"n. 压缩, 收缩, 紧压的感觉
"
constrictive,"a. 紧缩的, 收缩的, 压缩性的
"
consult,"vi. 商讨, 商量, 协商, 会诊
vt. 向...请教, 查阅, 考虑"
consultand,无
consultant,"n. 顾问, 征询意见者
"
consume,"vt. 消耗, 消费, 消灭
vi. 耗尽, 毁灭"
consumption,"n. 消费, 消费量, 痨病
"
consumptive,"a. 消费的, 浪费的, 消耗性的
n. 肺病患者"
contact,"n. 联系, 交际, 熟人, 接触
vi. 接触, 联系
vt. 使接触"
contactant,n. 接触性过敏原
contagious,"a. 触染性的, 会蔓延的
"
contagium,"n. 接触传染物
"
container,"n. 容器, 集装箱
"
contaminant,"n. 污染物, 沾染物
"
contaminate,"vt. 弄污, 弄脏, 污染, 毒害
"
contamination,"n. 污染, 污物
"
contemplate,"vt. 注视, 沉思, 盘算
vi. 冥思苦想"
contempt,"n. 轻视, 轻蔑
"
content,"n. 内容, 满足, 意义, 要旨
a. 满足的, 满意的
vt. 使...满足, 使...安心
"
contention,"n. 争论, 争辩, 所持的论点
"
context,"n. 上下文, 背景, 来龙去脉
n. 上下文
"
contiguous,"a. 邻近的, 接近的
"
continuation,"n. 继续, 续集, 补编
"
continuity,"n. 连续性
"
continuously,"adv. 不断地, 连续地
"
continuum,"n. 连续统一体, 连续统, 闭联集
"
contour,"n. 轮廓
vt. 画轮廓
a. 显示轮廓的
"
contraception,"n. 避孕, 避孕法
"
contraceptive,"a. 避孕的
n. 避孕剂, 避孕用具"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
contractile,"a. 会缩的, 有收缩性的
"
contraction,"n. 收缩, 缩写式, 害病
"
contracture,"n. 挛缩
"
contraindicate,vt. 禁忌
contraindication,"n. 禁忌症
"
contralateral,"a. 对侧的
"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
contribution,"n. 捐助, 捐助之物, 贡献
"
contributor,"n. 贡献者, 捐助者, 赠送者, 投稿者
"
control,"n. 控制, 管理, 克制, 控制器, 操纵装置
vt. 控制, 操纵, 抑制
"
controllability,
controversial,"a. 争论的, 论争的, 被议论的"
controversy,"n. 论争, 辩论, 论战, 争论
"
contuse,"vt. 捣, 碾, 挫伤
"
contusion,"n. 捣碎, 碾碎, 挫伤
"
convalesce,"vi. 渐渐康复, 渐愈"
convalescence,"n. 渐愈, 恢复期
"
convalescent,"a. 恢复健康的, 恢复期的, 渐愈的, 康复的
n. 恢复中的病人, 康复的人"
convection,"n. 传送, 对流, 传导
"
convenience,"n. 方便, 便利的事物, 方便的时候"
convenient,"a. 方便的, 合宜的
"
conventional,"a. 传统的, 习惯的, 约定的
"
conventionally,"adv. 照惯例, 照常套, 照老例"
convergence,"n. 集中, 收敛
"
converse,"n. 相反的事物, 倒, 逆向
a. 相反的, 逆向的, 颠倒的
vi. 交谈, 谈话"
conversely,"adv. 相反, 逆, 颠倒, 反题, 反"
conversion,"n. 转变, 转换, 改变宗教信仰, 换位法
"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
convertase,"n. 转化酶
"
converter,"n. 使改变信仰的人, 炼钢炉, 吹风转炉, 换流器, 变压器, 变换器, 变频器, 密码机
"
convertor,"n. 变流器
"
convex,"a. 中凸的, 凸圆的, 凸面的
n. 凸状, 凸面体, 凸面结构"
convey,"vt. 传达, 运输, 转让
"
convoluted,"a. 盘绕的, 回旋的, 旋绕的, 卷绕的, 复杂的
"
convulsion,"n. 震动, 震撼, 动乱, 惊厥, 痉挛
"
coolant,"n. 冷却剂
"
cooperation,"n. 合作, 协力, 配合
"
coordinate,"n. 同等的人(或物), 坐标
a. 同等的, 并列的
v. (使)协调"
coordination,"n. 同等, 协调
"
cope,"vi. 竞争, 应付
n. 长袍"
copious,"a. 很多的, 丰富的, 内容丰富的"
copolymer,"n. 共聚物
"
coprecipitate,vt.vi. 一同沉淀
coprolalia,"n. 秽语症, 污秽言语"
copy,"n. 副本, 摹仿, 一册
v. 复印, 抄袭, 复制
"
copyright,"n. 版权, 著作权
"
coracoid,"n. 鸟喙骨, 喙突
a. 喙状的"
cordotomy,"n. [医]脊髓前侧柱切断术,脊髓索切开术"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
coreceptor,[网络] 受体；辅助受体；受体形式
corepressor,"n. [生化]辅抑制物,辅阻遏物"
corn,"n. 玉蜀黍, 谷类, 谷粒, 鸡眼
vt. 使成颗粒, 腌"
cornea,"n. 角膜
"
corneal,"a. 角膜的
"
cornerstone,"n. 奠基石, 基础"
coronary,"a. 冠的, 花冠的, 冠状的
"
coronavirus,"n. [微]日冕形病毒,冠状病毒"
cor pulmonale,[医] 肺(原)性心(脏)病
corpus,"n. (事物的)主体, 文集, 本金, 语料库
"
corpuscle,"n. 细胞, 血球, 微粒
"
correct,"a. 正确的, 合适的
vt. 改正, 订正"
correction,"n. 订正, 改正, 改正的地方
"
correlate,"n. 有相互关系的东西, 相关物
vt. 使有相互关系
vi. 相关"
correlation,"n. 相互关系, 相关, 关联
"
correlative,"a. 有相互关系的, 相关的
n. 相关物, 相关语, 关联词"
correspond,"vi. 符合, 通信, 相当
"
corroborate,"vt. 巩固, 确证
"
corrosive,"a. 腐蚀的, 腐蚀性的, 有害的
n. 腐蚀物, 腐蚀剂"
cortex,"n. 皮层
"
cortical,"a. 皮层的
"
corticoid,n. (=corticosteroid)[生化]肾上腺皮质类脂醇
corticosteroid,"n. 皮质类固醇
"
corticosterone,"n. 皮质脂酮, 皮质硬脂酮
"
corticotropin,"n. 促肾皮素
"
cortisol,"n. 皮质醇, 氢化可的松
"
cortisone,"n. 可的松
"
coryza,"n. 鼻炎
"
cosmesis,[医] 美容术
cosmetic,"n. 化妆品
a. 化妆用的"
cosmopolitan,"a. 世界主义的, 世界性的, 全世界的, 遍生的, 不偏狭的, 卓有见识的
n. 世界主义者, 世界性"
co-stimulation,[网络] 共刺激；共同信号
costimulator,"n. 协同刺激因子
"
costotransversectomy,[医] 肋骨椎骨横突切除术
cough,"n. 咳嗽
vi. 咳嗽
vt. 咳出"
coulomb,"n. 库仑
"
council,"n. 会议, 委员会
"
counsel,"n. 商议, 忠告, 法律顾问
v. 商议, 劝告"
counseling,n. 咨询服务
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
"
counteract,"vt. 抵消, 阻碍, 中和
"
counterfeit,"n. 赝品, 伪造品
a. 假冒的, 假装的
v. 仿造, 伪装, 假装"
counterpulsation,n. [医]反搏
countershock,"n. [医](治疗心房纤维性颤动的)对抗电震, 对抗休克"
countertransference,"[医] 反转移法, 反移情作用"
couple,"n. 对, 夫妇, 数个
vt. 使成双, 连接, 使成婚, 把...联系起来
vi. 结合, 成婚"
coupler,"n. 连结者, 连接器, 耦合器, 车钩
"
court,"n. 法院, 庭院, 奉承
vt. 献殷勤, 追求, 招致
vi. 求爱"
courtesy,"n. 礼貌, 谦恭, 好意
"
covalent,"a. 共有原子价的, 共价的"
covariable,[网络] 协变量
covariate,"n. 协变量, 相关变量"
cowpox,"n. 牛痘
"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
cramp,"n. 痉挛, 腹部绞痛, 铁夹钳
a. 狭窄的, 难认的
vt. 使抽筋, 以铁箍扣紧, 束缚"
cranial,"a. 头盖的, 颅侧的
"
craniocerebral,a. [解]颅与脑的
cranioplasty,[医] 颅成形术
craniosynostosis,"[医] 颅缝骨接合, 颅缝早闭"
craniotabes,[医] 颅骨软化
craniotomy,"n. 颅骨切开术, 破头盖术
"
cranium,"n. 颅, 头盖骨
"
cream,"n. 乳酪, 奶油, 面霜
"
creaming,[化] 乳状液分层
creatine,"n. 肌酸
"
creatinine,"n. 肌酸酐
"
credible,"a. 可信的, 可靠的
"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
crepitant,"a. 劈劈啪啪响的
"
crepitation,"n. 劈啪声, 爆裂声
"
crescendo,n. 声音渐强
crescent,"n. 新月, 新月形(物)
a. 新月形的, 逐渐增加的"
crescentic,[医] 新月形的
cresol,"n. 甲酚
"
crest,"n. 冠, 饰毛, 头盔的顶部
vi. 到达绝顶
vt. 加以顶饰"
cretinism,"n. 白痴病, 呆小症
"
cricothyrotomy,环甲膜切开术
crime,"n. 犯罪, 罪行, 罪恶
"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
cripple,"n. 跛者, 残废
vt. 使跛, 使成残废, 削弱
a. 跛的, 残废的"
crisis,"n. 危机, 危险期, 紧要关头
"
criterion,"n. 标准, 准则, 规范
"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
cromoglycate,"n. 色甘酸盐
"
cromolyn,[化] 色甘酸
crospovidone,[网络] 交联聚维酮；交聚维酮；交联聚乙烯吡咯烷酮
cross,"n. 十字架, 十字架形物件, 交叉, 十字标, 交叉路, 磨难, 杂交
a. 生气的, 交叉的, 相反的
v. 交叉, 横过, 越过
"
crossing-over, 互换
cross-linkage,"[建] 交键, 交联"
cross-match, [医]交叉配（血）
cross-presentation,无
cross-reaction,[医] 交叉反应
crossreactivity,"n. 交叉反应性
"
croton,n. 巴豆
crotonaldehyde,
crown,"n. 王冠, 王权, 顶点
vt. 使成王, 加冕, 居...之顶"
crucial,"a. 决定性的, 重要的, 严厉的
"
cruciferous,"a. 戴有十字架的, 饰有十字架的, 十字花科的"
crude,"a. 天然的, 未成熟的, 粗糙的, 粗鲁的
n. 天然的物质"
crumble,"v. (使)粉碎, (使)成为碎屑, 瓦解, 崩溃, 败落"
crust,"n. 外壳, 坚硬外皮, 面包皮
vt. 盖以硬皮
vi. 结硬皮"
crutch,"n. 拐杖, 支撑, 依靠
vt. 支撑"
cryoglobulin,"[生化]冷球蛋白, 冷沉(淀)球蛋白"
cryosurgery,n. 冷冻手术
cryotherapy,"n. 冷冻疗法
"
cryptdin,粘膜基
cryptic,"a. 神秘的, 含义模糊的, 隐藏的
"
cryptococcal, 隐球菌的
cryptogenic,a. 起因不明的
cryptopatche,无
cryptospermia,少精子症
cryptosporidiosis, 隐孢子虫病
cryptosporidium," 隐孢子虫（水中寄生虫, 可引致体内受感染）"
crystalline,a. 透明的；水晶般的；水晶制的
crystallize,"vt. 使结晶, 使具体化
vi. 结晶, 具体化"
crystalluria,[医] [结]晶尿症
cubic,"a. 立方体的, 立方的
"
cuff,"n. 袖口, 一巴掌
vt. 用巴掌打
vi. 殴斗"
culdocentesis,后穹窿穿 刺术
culminate,"vi. 到绝顶, 达于极点, 达到高潮
vt. 使到绝顶, 使达到高潮"
culprit,"n. 犯人, 罪犯, 刑事被告
"
cultivate,"vt. 培养, 耕作"
cultivation,"n. 教化, 培养, 耕作
"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
cumulate,"a. 堆积的, 累积的
v. 堆积, 累积"
cumulative,"a. 累积的
"
cupping,"n. 杯吸法, 拔火罐
"
curable,"a. 可医治的, 医得好的
"
curative,"a. 治病的, 有疗效的
n. 药物, 治疗法"
curcumenol,莪术醇
curcumin,"姜黄色素, 酸性黄"
curd,"n. 凝乳
"
curettage,"n. 刮术, 刮除术
"
curie,"n. 居里
"
curious,"a. 好奇的, 求知的, 古怪的"
currently,"adv. 现在, 当前, 一般, 普通
"
curriculum,"n. 课程
"
curvature,"n. 弯曲, 曲率
"
curve,"n. 曲线, 弯曲, 曲线球
vt. 弯, 使弯曲
vi. 成曲形"
cusp,"n. 尖头, 尖端
"
customary,"a. 习惯的, 惯常的
"
cutaneous,"a. 皮肤上的, 影响皮肤的
"
cyanide,"n. 氰化物
vt. 用氰化物处理
"
cyanobacteria, 蓝细菌
cyanobacterium,n. [微]藻青菌
cyanocobalamin,"n. 维生素B12
"
cyanosis,"n. (医)发绀, 青紫
"
cyanotic,"a. 发绀的, 青紫的
"
cyclase,n. [生化]环化酶
cyclodextrin,n. [生化] 环糊精
cyclophilin,亲环蛋白
cyclophosphamide,
cyclosporin,[化] 环孢菌素
cyclothymia,"n. 循环性精神病
"
cyclotron,"n. 回旋加速器
"
cylinder,"n. 圆筒, 圆筒状物, 汽缸, 柱面
"
cylindrical,"a. 圆柱体的, 圆筒形的
"
cynamorlum,无
Cynanchol,白薇素
cyperene,香附烯
cyst,"n. 包囊, 囊肿
"
cystadenoma,[医] 囊腺瘤
cystathionine β-synthase,无
cystectomy,"n. 囊切除术, 胆囊切除术"
cysteine,"n. 半胱氨酸
"
cystic,"a. 胞囊的, 膀胱的, 胆囊的
"
cystine,"n. 胱氨酸
"
cystitis,"n. 膀胱炎
"
cystoma,n. [医]囊瘤
cystoscope,"n. 膀胱镜
"
cystoscopy,"n. 膀胱镜检查
"
cytochalasin,"n. [生化]细胞松弛素,松胞素,细胞分裂抑素"
cytochrome,"n. 细胞色素
"
cytogenetics,"n. 细胞遗传学
"
cytokine, 细胞活素
cytokinesis,"n. 胞质分裂
"
cytology,"n. 细胞学
"
cytolysin,n. [生化]溶细胞素
cytolysis,"n. 细胞溶解
"
cytomegalovirus,n. 巨细胞病毒
cytometry,n. 血细胞计数
cytopathic,a. 细胞病变的
cytopathology,细胞病理学
cytopenia,"n. 血细胞减少, 血细胞减少症
"
cytoplasm,"n. 细胞质
"
cytoplasmic,"a. 细胞质的
"
cytoreduction,[网络] 细胞减灭术；减瘤术；减积手术
cytoreductive,[网络] 细胞减积术；细胞减量
cytosine,
cytoskeletal,n. 细胞骨架
cytoskeleton,[医] 细胞支架
cytotoxic,"a. 细胞毒素的
"
cytotoxicity,n. 细胞毒性
dacryoadenitis,[医] 泪腺炎
daemon,[计] 无交互后台程序
daily,"a. 每日的, 日常的
adv. 每日地, 日常地
n. 日报"
dairy,"n. 牛奶公司, 乳品店, 乳牛场"
damage,"n. 损害, 伤害
v. 损害"
damp,"n. 潮湿, 湿气
a. 潮湿的
vt. 使潮湿, 使阻尼, 抑止
vi. 变潮湿, 衰减"
