counteract,"vt. 抵消, 阻碍, 中和
"
exhaustion,"n. 抽空, 耗尽, 疲惫, 筋疲力尽
"
eclipse,"n. 日食, 月食, (地位名誉等的)消失
vt. 引起日食, 引起月食, 使黯然失色"
effable,a. 可表达的
effeminate,"a. 柔弱的, 女人气的"
effervesce,"vi. 冒泡, 泡腾, 兴奋
"
elegant,"a. 优雅的, 端庄的, 高雅的"
emergence,"n. 出现, 浮现, 发生"
emigration,"n. 移民, 移居外国(或外地)
"
erupt,"vi. 爆发
vt. 喷出"
essay,"n. 随笔, 短文, 评论, 企图
vt. 试图"
evade,"v. (巧妙地)逃脱, 规避, 逃避"
evaporate,"vi. 蒸发, 失去水分, 消失
vt. 使蒸发, 使脱水, 使消失"
evaporation,"n. 蒸发, 脱水, 消失
"
excavate,"v. 挖空, 挖出, 凿通"
excavator,"n. 开凿者, 开凿机, 挖土机
"
excel,"vt. 胜过, 优于, 擅长
vi. 胜过其他"
exception,"n. 例外, 除外, 异议
"
exalt,"vt. 提升, 提高, 赞扬, 使得意
vi. 使人兴奋, 使人得意"
exert,"vt. 发挥, 运用, 施以影响
"
exhale,"v. 呼气, 发出, 散发"
exodus,"n. 大批的离去
"
exorbitant,"a. 过度的, 过高的, 过分的"
expansive,"a. 扩张性的, 使扩大的, 广阔的
"
expatriate,"n. 移居国外者, 侨民, 被流放者, 背井离乡者
vt. 逐出国外, 脱离国籍, 放逐
vi. 移居国外"
explicit,"a. 详述的, 清楚的, 直言的"
explode,"vi. 爆炸, 爆发, 激增
vt. 使爆炸"
explore,"v. 探险, 探测, 探究"
explosion,"n. 爆发, 激增, 爆炸(声)
"
extension,"n. 延长, 扩充, 范围, 扩展名
a. 伸缩的
"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
exaggerate,"v. 夸大, 夸张"
executive,"n. 执行部门, 执行委员会, 执行者, 经理主管人员
a. 执行的, 善于执行的, 善于经营的
"
educational,"a. 教育的, 教育性的"
effectively,"adv. 有效地, 有力地, 实际上"
elastic,"n. 松紧带, 橡皮筋
a. 有弹性的, 能伸缩的, 可通融的"
erect,"a. 直立的, 竖立的, 笔直的
vt. 使竖立, 使直立, 树立, 建立
vi. 勃起"
erode,"vt. 腐蚀, 侵蚀
vi. 受腐蚀"
especially,"adv. 尤其, 特别, 格外"
execute,"vt. 执行, 实行, 完成, 处死, 制成
"
expurgate,"vt. 删除, 修订, 使纯洁"
exquisite,"a. 精致的, 细腻的, 敏锐的"
extol,"vt. 颂扬, 称赞, 吹捧"
extraction,"n. 抽出, 取出, 拔出术, 抽出物
"
estrange,"vt. 使疏远, 离间, 使离开"
enumerate,"vt. 列举, 计算, 枚举, 数
"
eradicate,"vt. 根除, 扑灭, 根绝, 消灭"
ecological,"a. 生态学的, 主张生态保护的
"
ecology,"n. 生态学, 社会生态学
"
ecosystem,"n. 生态系统
"
eco-friendly,"adj. 对环境无害的；环保的
"
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
encase,"vt. 把...装入箱内, 包住"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
embarrassingly,"adv. 使人尴尬地, 使人为难地, 使人难堪地"
embarrassment,"n. 困难, 阻碍, 困窘
"
empirically,adv. 以经验为主地
enclosure,"n. 附件, 围墙, 围绕
"
encompass,"vt. 围绕, 完成, 包括, 包含, 环绕, 包围"
encroach,"vi. 侵犯, 侵蚀, 蚕食
"
endemic,"n. 地方病
a. 某地(或某些人中)流行的, 地方的"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
enlist,"vt. 征募, 参与, 谋取
vi. 从军, 应募, 赞助"
enthusiasm,"n. 巨大的热情, 热心"
entire,"n. 整个, 全部
a. 全体的, 完全的, 全部的"
endorse,"vt. 支持, 赞同, 背书于, 签署
"
endeavour,"n. 努力, 力图, 尽力
vi. 努力, 力图, 尽力"
emphasis,"n. 强调, 加强, 重点, 强语气"
employment,"n. 雇用, 职业, 工作
"
enable,"vt. 使能够
"
encourage,"vt. 鼓励, 支持, 激励
"
energetic,"a. 精力充沛的, 积极的"
engross,"vt. 用大字体书写, 独占(市场), 使全神贯注
"
enrich,"vt. 使富足, 使肥沃"
entitle,"vt. 给...权利, 取名为, 给予名称, 叫做
"
entrench,"vt. 围以壕沟, 防护, 保卫, 使处于牢固地位
vi. 掘壕, 侵犯"
encode,"vt. 把(电文、情报等)译成密码
"
entwine,"v. (使)缠住, (使)盘绕, (使)纠缠"
embryo,"n. 胚胎, 胎儿, 胚芽
"
embodiment,"n. 具体化, 化身"
embody,"vt. 具体表达, 使具体化
"
emboss,"vt. 浮雕, 加以浮饰, 装饰
"
empower,"vt. 授予权力, 允许, 使能够
"
encouragement,"n. 鼓励, 激励, 奖励
"
endanger,"vt. 危及
"
endurance,"n. 忍耐, 忍耐力, 耐性
"
enforcement,"n. 执行, 强制
"
enfranchise,"vt. 给予自治权, 给予选举权, 解放
"
enlarge,"vt. 扩大, 增大
vi. 扩大, 详述"
enslave,"vt. 奴役, 束缚, 使受控制, 征服"
ensure,"vt. 确定, 保证, 担保, 保护
"
entangle,"vt. 使纠缠, 卷入, 使混乱"
episodic,a. 插曲似的
epigram,"n. 警句, 讽刺短诗"
epigraph,"n. 碑文, 题铭, 题词"
epilogue,"n. 结语, 尾声, 收场白
"
epitome,"n. 概要, 缩影, 象征"
epitomise,"vt. 对...作摘要, 集中体现, 成为...的化身, 成为...的缩影, 概括"
extracurricular,"a. 课外的, 业余的"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
extrovert,"n. 外向性格的人
"
extraneous,"a. 外来的, 非必要的, 无关的
"
extravagance,"n. 奢侈, 浪费, 放肆的言行"
foresee,"vt. 预见, 预知"
forecast,"n. 预想, 预测, 预报
vt. 预想, 预测, 预报
"
forestall,"vt. 预先阻止, 先...一步行动, 占先一步, 垄断, 阻碍
"
forefront,"n. 最前部, 最前线"
foremost,"a. 最初的, 最重要的
adv. 在最前"
foreland,"n. 沿海地区, 海角, 海岸地"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
incur,"vt. 招致, 蒙受, 遭遇
"
inflict,"vt. 施以, 加害, 使承受
"
incendiary,"a. 放火的, 煽动的, 燃烧的
n. 纵火犯人, 煽动者, 燃烧弹"
illustrious,"a. 著名的, 辉煌的, 明亮的"
impair,"vt. 损害, 减少, 削弱
"
impending,"a. 即将发生的, 迫切的, 悬空的
"
impoverished,"a. 穷困的, 无力的,用尽了的"
imputable,"a. 可归罪的, 使负责的, 可嫁祸的"
incite,"vt. 刺激, 激励, 引诱
"
incline,"n. 倾斜, 斜坡, 斜面
vt. 使倾向于, 使倾斜
vi. 倾向, 倾斜, 爱好, 易于"
incriminate,"vt. 连累, 暗示...有罪, 控告
"
inflame,"vt. 激怒, 点火, 激起
vi. 着火, 激动, 发炎"
inflate,"vt. 使膨胀, 使得意, 使通货膨胀, 使充气
vi. 充气, 膨胀"
inflation,"n. 胀大, 夸张, 通货膨胀
"
intentional,"a. 故意的, 与目的有关的
"
involvement,"n. 卷入, 牵连, 包含, 困窘
"
irradiate,"vt. 照耀, 启发, 使灿烂, 放射
vi. 发光, 变灿烂"
irritate,"vt. 激怒, 使发怒, 使兴奋, 使发炎
vi. 引起不快"
ignore,"vt. 不理睬, 忽视, 驳回, 忽略
"
ignorance,"n. 无知, 愚味
"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
inevitable,"a. 不可避免的, 必然的
"
illegitimate,"a. 不法的, 私生的, 不合规则的, 不合理的, 不符合习惯的
n. 无合法身份的人
vt. 宣告...为非法, 证明...为私生"
illiberal,"a. 狭隘的, 无教养的, 吝啬的"
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
illicit,"a. 不法的, 不正当的, 禁止的
"
immature,"a. 不成熟的, 未完全发育的, 粗糙的
"
immortal,"n. 不朽人物, 神仙
a. 永远的, 不死的, 长久的"
immortality,"n. 不朽, 不灭的声望"
immutable,"a. 不可变的, 不变的, 不能变的"
impassive,"a. 无感情的, 冷淡的, 无感觉的, 不能伤害的"
impersonal,"a. 客观的, 和个人无关的, 没有人情味的, 非人称的
n. 非人称动词(或代词)"
impossible,"a. 不可能的, 难以置信的, 令人无法忍受的"
imprecise,"a. 不严密的, 不精确的, 不明确的"
inadequate,"a. 不充分的, 不适当的
"
inappropriate,"a. 不适当的, 不相称的"
inaudible,a. 听不见的
incompatible,"a. 不相容的, 不能并存的, 矛盾的
"
incongruity,"n. 不协调, 不一致, 不合适
"
incongruous,"a. 不协调的, 不一致的, 不合适的"
inconvenient,"a. 不便的, 有困难的"
incorrectly,adv. 错误地；不适当地
incredible,a. 难以置信的
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
indigestible,"a. 不消化的, 难消化的, 难理解的
"
indignity,"n. 侮辱
"
individuality,"n. 个性, 个人, 特征"
inedible,a. 不适于食用的
inefficient,"a. 无效率的, 无能的
"
inescapable,"a. 逃不掉的, 不可避免的"
inexhaustible,"a. 用不完的, 无穷尽的, 不知疲倦的"
innocuous,"a. 无害的, 无伤大雅的
"
innumerable,"a. 无数的, 数不清的"
insecure,"a. 不安全的, 不牢靠的, 不坚固的, 不稳定的"
insecurity,"n. 不安全, 不安全感
"
inseparable,"a. 不能分的
"
insignificant,"a. 无关紧要的, 无意义的, 琐碎的"
insincerity,"n. 不诚实, 无诚意, 伪善
"
instability,"n. 不安定, 不稳定
"
insufficient,"a. 不够的, 不能胜任的, 不充足的
"
intangible,"a. 难以明了的, 无形的
"
invisible,"a. 看不见的, 无形的
"
irrational,"n. 无理数
a. 无理性的, 不合理的"
irreconcilable,"a. 不能和解的, 不能协调的, 矛盾的"
irregularity,"n. 不规则, 例外, 违反规则的行为
"
irreparable,"a. 不能修补的, 不能挽回的
"
irrespective,"a. 不顾的, 无关的, 没关系的"
irrevocable,"a. 不能挽回的, 不能取消的, 不能变更的
"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
impulse,"n. 冲动, 驱使, 刺激, 推动, 冲力, 建议, 脉冲
vt. 推动"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
impede,"vt. 妨碍, 阻碍, 阻止"
intrigue,"n. 阴谋, 复杂的事
vi. 密谋, 私通
vt. 激起...的兴趣, 用诡计取得"
incorporate,"a. 合并的, 组成公司的, 一体化的
vt. 吸收, 合并, 使组成公司, 体现
vi. 合并, 混合, 组成公司"
inflammable,"a. 易燃的, 易怒的
"
infringe,"v. 破坏, 侵犯, 违反"
ingredient,"n. 成分, 因素
"
install,"vt. 安装, 安置, 使就职
"
intrusion,"n. 闯入, 侵扰
"
invest,"vt. 投资, 花费, 笼罩, 授予
vi. 投资, 利用"
immerse,"vt. 沉浸, 使陷入
"
illusion,"n. 幻影, 错觉, 幻想
"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
immigrant,"n. 移民
a. 移入的, 移民的"
impel,"vt. 推动, 激励, 驱使, 迫使"
imperil,"vt. 使处于危险, 危害"
impetus,"n. 动力, 推动力, 动量
"
implant,"vt. 深植, 灌输, 嵌入
n. 植入物, 植入管"
imprison,"vt. 使下狱, 关闭, 拘禁, 限制
"
imprisonment,"n. 监禁, 下狱, 坐牢
"
inaugurate,"vt. 开始, 举行...就职典礼"
inborn,a. 天生的；先天的
index,"n. 索引, 指针, 指数, 指标
vt. 编入索引中, 指出
vi. 做索引
"
influx,"n. 流入, 河口, 汇集
"
inhale,"vt. 吸入
vi. 吸气"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
initially,"adv. 最初, 开头"
innate,"a. 先天的, 天生的
"
input,"n. 输入, 输入电路
vt. 输入
"
inscription,"n. 题字, 碑铭
"
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
"
instill,"vt. 滴注, 慢慢地灌输"
intimidate,"vt. 威胁, 恐吓
"
irrigate,"vt. 灌溉, 冲洗伤口, 使清新
vi. 灌溉"
illapse,[网络] 不正常
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
interactive,"a. 相互作用的, 相互影响的
"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
interview,"n. 面谈, 访问, 接见, 面试
vt. 接见, 对...进行面谈(试)"
interweave,"v. (使)交织, 织进, (使)混杂"
interaction,"n. 交互作用, 交感
"
interdependent,"a. 相互依赖的, 相互依存的"
intermix,"v. (使)混和, (使)混杂"
international,"a. 国际的
n. 国别设定
"
internationally,"adv. 国际性地, 在国际间"
interpersonal,"a. 人与人之间的, 人际(关系)的
"
interplay,"n. 互相作用, 互相影响
vi. 互相作用"
interpreter,"n. 直译程序, 解释者, 口译者, 注释器
"
interrogate,"vt. 质问, 讯问, 审问
vi. 质问, 讯问"
intersect,"vt. 贯穿, 横穿
vi. 交错, 相交"
intersection,"n. 交集, 十字路口, 交叉点
"
intertwine,"v. (使)纠缠, (使)缠绕"
interval,"n. 间隔, 距离, 间歇, 间隙
"
intervene,"vi. 插入, 调停, 干涉
"
introduce,"vt. 介绍, 引入, 采用, 输入
"
introduction,"n. 介绍, 传入, 采用, 初步"
introspection,"n. 内省, 反省
"
introvert,"n. 个性内向者
vt. 使内向, 使内弯, 内陷
vi. 内省, 内弯
a. 性格内向的"
malevolent,"a. 有恶意的, 坏心肠的"
malediction,"n. 咒, 坏话"
malefaction,"n. 罪行, 罪恶
"
malnutrition,"n. 营养失调, 营养不良
"
maltreat,"vt. 虐待, 滥用
"
misuse,"n. 误用, 滥用
vt. 误用, 滥用, 虐待"
misapprehend,"vt. 误会, 误解"
misfortune,"n. 不幸, 灾祸, 坏运气
"
mishap,"n. 不幸之事, 灾祸, 恶运"
misnomer,"n. 取名不当
"
mistrust,"n. 不信任, 疑惑
v. 不信任, 疑惑"
microscope,"n. 显微镜
"
microcosm,"n. 小宇宙, 小世界, 人类"
microphone,"n. 扩音器, 麦克风
"
microprocessor,"n. 微处理器
"
multinational,"a. 多国的, 跨国公司的
n. 跨国公司"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
multiply,"v. 繁殖, 乘, 增加
"
multiform,"a. 各种形式的, 多样的, 多种的
"
multilateral,"a. 多边的, 多国的
"
multilingual,a. 多语言的
obstruct,"vt. 阻隔, 妨碍, 阻塞, 遮没
vi. 设障碍"
object,"n. 物体, 目标, 目的, 对象, 宾语, 客体
vi. 反对, 抱反感
vt. 提出...来反对
"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
obloquy,"n. 辱骂, 毁谤, 耻辱"
opaque,"n. 不透明物
a. 不透明的, 不传热的, 不传导的, 阴暗的
"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
obligation,"n. 义务, 责任, 约束, 契约, 恩惠, 债务
"
obdurate,"a. 顽固的, 执拗的, 冷酷的
"
offensive,"a. 令人不快的, 侮辱的, 攻击性的
"
obnoxious,"a. 可憎的, 使人不愉快的, 令人讨厌的"
obsess,"vt. 迷住, 使困扰"
obtrude,"vt. 逼使, 强迫, 伸出
vi. 打扰, 强行闯入"
outward,"a. 向外的, 表面的, 外服的
adv. 向外, 在外, 表面"
outcast,"a. 被逐出的, 被遗弃的, 无家可归的
n. 被驱逐的人, 流浪者"
outgoing,"n. 外出, 开支, 流出
a. 喜欢外出的, 即将离职的, 乐于助人的"
outlaw,"n. 被剥夺法律保护的人, 罪犯
vt. 使...失去法律保护, 将...逐出社会, 宣告非法, 取缔"
outpost,"n. 前哨, 前哨部队, 前哨基地"
outskirts,"n. 近郊, 市郊"
outstanding,"a. 杰出的, 突出的, 未偿付的, 未决定的
"
outrage,"n. 暴行, 侮辱, 愤怒
vt. 凌辱, 虐待, 触犯"
outweigh,"vt. 比...重, 比...重要, 比...有价值"
outdo,"vt. 超越, 胜过, 战胜"
outnumber,"vt. 数目超过, 比...多"
outrageous,"a. 暴虐的, 极无礼的, 可恶的"
outsell,"vt. 卖得比...多, 比...更畅销"
overcome,"vt. 战胜, 克服, 胜过
vi. 得胜"
overall,"a. 全部的, 全体的, 从头至尾的, 一切在内的
adv. 从头到尾, 总的说来
n. 罩衫, 工作服"
overhead,"n. 经常开支, 普通用费, 天花板
a. 在头上的, 高架的
adv. 在头顶上, 在空中, 在高处, 从头到脚全部没入地
"
overweight,"n. 超过重量, 过重, 优势
a. 超过重量的, 超重的
vt. 使超重, 重于, 过于重视"
overdose,"n. 配药量过多
vt. 配药过量, 使过分沉溺"
overdraft,"n. 透支, 透支额, 气流, 过度通风
"
overestimate,"vt. 评价过高, 过高估价
n. 估计过高, 评价过高"
overfill,"vt. 装得太多, 装到满溢, 充满
vi. 满溢"
overgraze,vi. 过度放牧
overlie,"vt. 躺在...上面, 压在...上面, 盖得使窒息, 压得...闷死"
overload,"vt. 超载, 过载, 超过负荷
n. 超载, 负荷过多"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
overrate,"vt. 评价过高, 高估, 估价过高
"
oversee,"vt. 向下看, 了望, 监督, 偷看到
"
overshadow,"vt. 遮阴, 使阴暗, 使失色, 使相形见绌, 使蒙上阴影"
overview,"n. 概述, 概观, 总的看法
"
overwork,"n. 过度操劳的工作, 额外工作
v. (使)工作过度, 使过分劳累"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
unparalleled,"a. 无比的, 无双的, 空前的"
paramount,"n. 首长, 最高当局
a. 最重要的, 最高的, 至上的"
perpetual,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的
"
persuade,"vt. 劝, 使相信, 恳求, 敦促, 说服
vi. 劝服, 被说服"
persuasive,"a. 有说服力的, 劝诱的, 劝导性的"
permeate,"vt. 弥漫, 渗透, 充满, 影响, 感染
vi. 透入, 散布"
perambulate,"vt. 巡行, 徘徊, 漫步于, 勘查
vi. 漫步, 闲荡, 迂回"
percussion,"n. 敲打, 碰撞, 叩击, 叩诊, 击发, 打击, 打击乐器组
"
permit,"n. 许可证, 许可, 执照, 通行证
vt. 允许, 容许, 可能, 使放手做
vi. 容许, 给以机会, 提供可能"
perquisite,"n. 额外补贴, 特殊待遇, 外快
"
persevere,"vi. 坚持, 孜孜不倦, 不屈不挠, (辩论中)固执己见"
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
perturb,"vt. 扰乱, 使混乱, 使心绪不宁"
perfidy,"n. 不诚实, 背信弃义(行为)
"
perjury,"n. 伪誓, 伪证, 背信弃义
"
peripheral,"a. 周边的, 周围的, 圆周的, 无关紧要的, 肤浅的
"
perimeter,"n. 周长, 周界, 边缘
"
periphery,"n. 外围, 边缘地区, 圆周
"
postage,"n. 邮资
"
postcode,n. 邮政编码
postgraduate,"a. 大学毕业后的, 大学研究院的
n. 研究生"
postscript,"n. 附言
"
predominant,"a. 占主导地位的, 卓越的
"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
presume,"vt. 假定, 推测, 擅自, 意味着
vi. 擅自行动, 相信"
prevent,"v. 预防, 防止, 阻止, 妨碍"
precisely,"adv. 精确地, 明确地, 刻板地, 拘泥地, 正好, 恰恰, 对, 正是如此, 确实如此, 不错"
predict,"v. 预知, 预言, 预报"
predispose,"vt. 预先处置, 使预先有倾向"
predominance,"n. 主导地位, 优势"
predominate,"vt. 掌握, 控制, 支配
vi. 占主导地位, 占优势"
prefabricate,"vt. 预先制造, 预先准备
"
prefix,"前缀, 称谓
"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
prehistoric,"a. 历史以前的, 史前的"
prejudice,"n. 偏见, 成见, 侵害
vt. 使存偏见, 使有成见, 侵害"
premium,"n. 额外补贴, 奖金, 奖赏, 保险费
"
prerogative,"n. 特权, 君权, 职权
a. 特权的, 行使特权的"
preservation,"n. 保存, 保藏, 保护
"
prestige,"n. 声望, 威望, 威信
"
presuppose,"vt. 预先假定, 预料, 以...为先决条件"
preventable,"a. 可防止的, 可阻止的, 可预防的"
prevention,"n. 阻止, 妨碍, 预防
"
previously,"adv. 先, 先前, 以前, 前, (非正式)过早, 过急, 在前, 在...以前, 在先
"
propel,"vt. 推进, 驱使
"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
propagate,"vt. 繁殖, 传播, 传送
vi. 繁殖, 蔓延"
prosecute,"vt. 告发, 起诉, 彻底进行, 执行, 从事
vi. 告发, 起诉, 作检察官"
protect,"vt. 防卫, 保护, 警戒
"
provide,"vt. 提供, 供应, 规定, 预备
vi. 作准备, 抚养, 规定"
profession,"n. 职业, 表白, 声明
"
proficient,"n. 高手, 专家
a. 精通的, 熟练的"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
progress,"n. 进步, 发展, 前进
vi. 进步, 进行"
progression,"n. 前进, 连续, 级数
"
progressive,"n. 改革论者, 进步论者
a. 前进的, 累进的, 进步的"
prohibit,"vt. 禁止, 阻止
"
prologue,"n. 开场白, 序言, 序幕
vt. 为...作序, 加上...前言"
promote,"vt. 促进, 晋升, 创办, 推销
"
pronounce,"v. 发音, 宣告, 断言"
proponent,"n. 建议者, 支持者
"
