intellect,"n. 智力, 出众的才华, 知识分子
"
urge,"n. 冲动, 推动力, 迫切的要求
vt. 驱策, 力劝, 竭力主张, 推动
vi. 强烈要求"
shield,"n. 盾, 防卫物, 保护者, 屏蔽
vt. 保护, 遮蔽, 屏蔽, 庇护, 挡开, 避开
vi. 起保护作用"
track,"n. 轨迹, 足迹, 径迹, 小道, 轨道, 磁轨, 途径
vt. 循路而行, 追踪, 通过, 用纤拉
vi. 追踪, 留下足迹, 沿轨道运行
"
ally,"n. 同盟者, 同盟国, 助手
vt. 使联盟, 使联合, 使有关系
vi. 结盟"
break,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变
vt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃
vi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停
n. 分隔符
"
circle,"n. 圆周, 社交圈, 循环, 范围
vt. 围着, 环绕
vi. 盘旋, 循环"
detect,"vt. 发现, 察觉, 探测
"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
inherent,"a. 固有的, 与生俱来的
"
lump,"n. 块, 瘤, 很多, 肿块, 笨人
vt. 使成块状, 混在一起
vi. 结块"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
previous,"a. 早先的, 前面的, 过急的
"
remold,"vt. 改造, 改铸"
shift,"n. 变化, 移动, 轮班, 手段, 应急办法, 移位
vt. 替换, 转移, 改变, 推卸, 变速
vi. 转换, 移动, 转变, 推托, 变速
"
tractor,"n. 牵引器, 拖拉机, 拉纸器
"
allocate,"vt. 分派, 分配
"
circuit,"n. 电路, 环(行)道, 巡回
"
deteriorate,v. (使)恶化
ethical,"a. 伦理的, 民族的, 民族特有的
"
folk,"n. 人们, 家人, 亲属, 民族
a. 民间的"
inhuman,"a. 残忍的, 无人性的, 非人类的
"
modify,"vt. 修正, 变更, 修饰, 缓和, 减轻
vi. 被修改
"
prey,"n. 被掠食者, 牺牲者
vi. 捕食"
remote,"a. 遥远的, 偏僻的, 疏远的, 微少的
"
trade,"n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风
vi. 进行交易, 做买卖, 经商, 对换, 购物
vt. 用...进行交换"
allow,"vt. 允许, 同意给予, 承认
vi. 容许, 猜想
"
circumstance,"n. 环境, 状况, 事件"
determine,"v. 决定, 决心"
follow,"vt. 跟随, 沿行, 遵循, 追求
vi. 跟随, 接着
n. 跟随, 追随"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
luxury,"n. 奢侈, 豪华
a. 奢侈的, 豪华的"
molecule,"n. 分子, 些微
"
price,"n. 价格, 代价, 价值
vt. 定...的价格"
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
"
shock,"n. 震动, 冲突, 震惊, 冲击, 突击, 禾束堆, 休克, 长毛狗
vt. 使震动, 使休克, 使受电击, 震惊得
vi. 震动, 吓人
a. 蓬乱浓密的"
tradition,"n. 传说, 传统, 交付
"
alone,"a. 孤独的, 单独的, 独自的
adv. 独自地"
broad,"a. 宽广的, 辽阔的, 广大的, 显著的
adv. 宽阔地
n. 宽阔部分"
cite,"vt. 引用, 引证, 表彰
"
devastate,"vt. 毁坏
"
evade,"v. (巧妙地)逃脱, 规避, 逃避"
fond,"a. 喜欢的, 宠爱的, 温柔的"
innermost,"a. 内心的, 秘密的, 最深处的"
pride,"n. 骄傲, 自尊心, 自豪, 精华, 勇气
vt. 以...自豪"
render,"vt. 回报, 给于, 付给, 汇报, 提出, 舍弃, 反映, 表示, 表演, 致使, 执行, 实施
vi. 给予补偿
n. 交纳, 打底"
shoot,"n. 射击, 狩猎, 芽, 射伤, 发射, 发芽, 急流, 推力, 摄影, 急送, 滑运道, 浪费
vt. 射击, 射中, 损毁, 拍摄, 喷出, 投射, 挥出, 飞速行进, 挥霍, 给...注射
vi. 射出, 射击, 发出, 拍电影, 射门, 发芽"
traffic,"n. 交通, 通行, 运输, 交通量, 贸易, 交易, 交往, 通信量
vi. 交易, 做买卖
vt. 用...作交换
"
along,"adv. 平行地, 向前
prep. 沿着"
broadcast,"n. 广播, 传播
a. 广播的
v. 广播
adv. 经广播, 四散地
"
citizen,"n. 市民, 公民
"
develop,"vt. 发展, 使发达, 进步, 洗印, 显影
vi. 发展, 生长"
evaluate,"vt. 评估, 评价, 赋值"
espionage,"n. 间谍活动
"
flow,"n. 流程, 流动, 流量, 洋溢, 泛滥, 涨潮
vi. 流动, 流泄, 畅流, 川流不息, 飘扬, 涌出
vt. 使流动, 淹没, 流出"
inflate,"vt. 使膨胀, 使得意, 使通货膨胀, 使充气
vi. 充气, 膨胀"
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
prestige,"n. 声望, 威望, 威信
"
reluctant,"a. 不情愿的, 勉强的
"
shear,"n. 修剪, 剪下的东西, 大剪刀, 切变, 剪切机, 切
vt. 修剪, 割, 剥夺, 横越, 削剪
vi. 剪, 修剪, 剪羊毛, 切断"
branch,"n. 树枝, 支店, 支流, 分部
vi. 分支, 出枝
vt. 分割, 用枝状叶脉刺绣花纹装饰
"
chronology,"n. 年代学, 资料按年月次序的排列, 按时间顺序编制的表格, 年表"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
essay,"n. 随笔, 短文, 评论, 企图
vt. 试图"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
low,"n. 低点, 低价, 低, 牛叫声
a. 低的, 消沉的, 低等的, 浅的, 卑贱的
adv. 低下地, 谦卑地, 低
vi. 牛叫"
mock,"n. 嘲笑, 戏弄, 模仿
a. 假的, 伪造的, 模拟的
adv. 虚伪地
vt. 嘲弄, 模仿, 使失望, 欺骗, 挫败
vi. 嘲弄"
pretend,"v. 假装, 伪称, 自命, 自称"
remain,"vi. 保持, 逗留, 剩余
"
shelf,"n. 架子, 搁板
"
townsfolk,"n. 镇民, 市民, 城里生长的人, 城镇居民"
alive,"a. 活着的, 活泼的, 敏感的, 热闹的"
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
chunk,"n. 大块, 矮胖的人(或物)
"
destruct,"n. 自毁
vi. 自毁"
essential,"n. 要素, 要点, 本质
a. 必要的, 重要的, 本质的
"
inform,"vt. 通知, 使了解, 使充满
vi. 提供资料, 告发"
low-level,
mode,"n. 模态, 调式, 样式, 文体, 状态, 方式, 风尚
"
pretty,"a. 漂亮的, 优美的, 机灵的, 狡猾的, 恰当的
adv. 相当, 颇"
remark,"n. 评论, 注意
vt. 评论, 注意
vi. 评论, 谈论
"
shell,"n. 贝壳, 壳, 外形, 炮弹
vt. 去壳, 脱落, 炮轰
vi. 剥落, 脱壳
"
toxic,"a. 有毒的, 中毒的
"
allege,"vt. 宣称, 主张, 提出, 断言
"
brave,"a. 勇敢的, 美好的, 华丽的
n. 勇敢者
vt. 勇敢地面对"
church,"n. 教堂, 礼拜, 教会
vt. 使人接受宗教仪式
a. 教堂的"
detach,"vt. 使分离, 分遣
"
establish,"vt. 建立, 确立, 制定
vi. 移植生长"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
informality,n. 非正式
loyal,"a. 忠诚的, 忠实的, 忠贞的"
model,"n. 模型, 模范, 模特儿
a. 模范的, 作模型用的
vi. 做模型, 做模特儿
vt. 使模仿, 塑造
"
prevail,"vi. 获胜, 流行, 盛行
"
shelter,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽
vt. 庇护, 保护, 隐匿
vi. 躲避"
trace,"n. 痕迹, 踪迹, 微量, 迹线, 缰绳
vt. 追踪, 回溯, 描绘
vi. 追溯, 沿路走"
alleviate,"vt. 减轻, 使缓和"
bread-earner,n. 挣钱养家的人
cigar,n. 雪茄
detail,"n. 细节, 详情
vt. 详述, 选派
vi. 画详图
"
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
inhabit,"vt. 居住于, 占据, 栖息"
lucre,"n. 收益, 钱财"
prevent,"v. 预防, 防止, 阻止, 妨碍"
remind,"vt. 提醒, 使想起"
effect,"n. 结果, 影响, 效果, 印象
vt. 实行, 引起, 完成
"
faint,"n. 昏厥, 昏倒
a. 模糊的, 微弱的, 无力的
vi. 昏倒, 变得微弱"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
illiquid,"a. 不能立即兑现的, 无流动资金的
"
journey,"n. 旅程, 旅行, 行程
vi. 旅行
vt. 游历"
knock,"n. 敲, 敲打, 敲门
v. 敲击, 互撞, 攻击"
nature,"n. 自然, 大自然, 本性, 性格, 性质
"
obvious,"a. 明显的, 明白的, 显然的, 平淡无奇的"
provocation,"n. 激怒, 刺激, 挑拨
"
question,"n. 问题, 询问
v. 询问, 审问, 怀疑
"
sample,"n. 样品, 范例, 样本
vt. 抽样, 尝试
"
steer,"vt. 引导, 驾驶, 航行, 控制
vi. 驾驶, 掌舵, 行驶
n. 驾驶指示, 劝告"
taste,"n. 味道, 品味, 味觉, 感受, 体验, 爱好, 审美, 少量
vt. 尝, 察觉...的味道, 体会
vi. 品尝, 察觉味道, 有某种味道"
uncertain,"a. 不确定的, 无常的, 不确信的, 不可预测的
"
vary,"vt. 改变, 使多样化
vi. 变化, 有不同, 违反"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
banquet,n. 宴会
cancer,"n. 癌, 恶性肿瘤
"
control,"n. 控制, 管理, 克制, 控制器, 操纵装置
vt. 控制, 操纵, 抑制
"
date,"n. 日期, 约会, 枣椰树
vt. 约会, 定日期
vi. 注明日期, 过时"
efficient,"a. 有效率的, 能干的"
fair,"n. 展览会, 市集, 美好的事物
a. 公平的, 按规则进行的, 不好不坏的, 晴朗的, 美丽的
adv. 公平地, 正面地, 有教养地, 清楚地
vi. 转晴"
gender,"n. 性
vt. 产生"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
lane,"n. 小路, 巷, 弄, 单行道"
male,"n. 男人, 雄性动物
a. 男性的, 雄性的, 有力的"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
palm,"n. 手掌, 棕榈, 胜利
vt. 与...握手, 藏...于掌中"
prudent,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
quick,"a. 快的, 迅速的, 敏捷的, 灵敏的, 急速的
adv. 快
n. 新长出的肉, 要害, 核心, 感觉敏锐部位"
rally,"n. 重振旗鼓, 集合, 群众集会, 跌停回升
v. 重整旗鼓, 集合, 恢复精神, 团结, 挖苦, 嘲笑"
tax,"n. 税, 税款, 重负, 会费
vt. 课以税, 使负重荷, 斥责"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
candidate,"n. 候选人, 投考者
"
controversy,"n. 论争, 辩论, 论战, 争论
"
dawn,"n. 破晓, 黎明
vi. 破晓"
effort,"n. 努力, 成就"
faith,"n. 信心, 信任, 忠实, 保证
"
gene,"n. 基因
"
hand,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手
vt. 交给, 支持, 搀扶"
illusion,"n. 幻影, 错觉, 幻想
"
judge,"n. 法官, 裁判员, 审判官, 鉴定人
vt. 审理, 鉴定, 判断, 判决, 裁定
vi. 下判断, 作评价"
knowledge,"n. 知识, 学问, 认识, 知道"
talent,"n. 天才, 才能, 有才干的人, 天资"
unattractive,"a. 无吸引力的, 无魅力的, 乏味的, 不美的"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
wardrobe,"n. 衣橱, 衣室, 全部衣服"
campaign,"n. 战役, 运动, 竞选运动
vi. 参加运动, 作战"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
danger,"n. 危险, 威胁
"
fade,"vi. 褪色, 消失, 凋谢
vt. 使褪色
n. 淡入, 淡出
a. 平淡的"
gather,"n. 集合, 聚集
vi. 聚集, 集合, 渐增
vt. 使聚集, 搜集, 积聚"
half,"n. 一半, 半场, 不完全
a. 一半的, 不完全的, 部分的, 半场的
adv. 一半地, 部分地, 在某种程度上地, 几乎"
knight,"n. 骑士, 爵士
vt. 授以爵位"
lame,"a. 跛足的, 僵痛的, 不完全的, 金属薄板, 不知内情的人
vi. 变跛
vt. 使成残废, 使无用"
major,"n. 主修课, 成年人, 陆军少校
a. 主要的, 较多的, 大部分的, 成年的, 严重的
vi. 主修
"
nationwide,"a. 全国性的
"
obstacle,"n. 障碍, 妨害物, 阻碍"
pain,"n. 痛苦, 疼痛, 辛苦
vt. 使痛苦, 痛苦
vi. 作痛, 疼"
protoscience,[网络] 原科学；前科学；原论科学
query,"n. 疑问, 疑问号, 质问, 查询
v. 询问, 质问
"
saliva,"n. 唾液, 唾沫, 涎
"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
value,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果
vt. 评价, 估价, 重视
"
warn,"vt. 警告, 提醒, 通知
vi. 发出警告"
absence,"n. 缺席, 缺乏, 没有
"
canal,"n. 运河, 水道, 管, 沟渠
vt. 开运河"
contrary,"a. 相反的, 矛盾的, 对立的
n. 相反, 对立面
adv. 相反地"
dare,"n. 挑战, 挑动, 大胆
v. 敢, 胆敢"
edit,"vt. 编辑, 编校, 修订, 剪辑
"
fail,"vi. 失败, 缺乏, 中断, 衰退, 失灵
vt. 忘记, 使...失望, 缺乏, 不及格
n. 不及格"
gay,"a. 欢快的, 艳丽的, 快乐的, 放荡的"
hall,"n. 门厅, 走廊, 会堂"
journal,"n. 日记, 杂志, 日报
"
knit,"v. 编织, 结合"
lance,"n. 长矛, 柳叶刀, 执矛战士
vt. 以长矛攻击, 冲进
vi. 急进"
native-born,adj. 本地生的，本国生的
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
paint,"n. 油漆, 颜料, 绘画作品, 涂漆
vt. 油漆, 绘, 画, 描绘, 装饰, 点缀
vi. 绘画, 涂漆"
provision,"n. (政府提供的)钱和设备, 准备, 供应品, 规定, 条款
vt. 供给...食物及必需品"
quest,"n. 探索, 寻求, 调查
v. 寻找, 找, 追寻猎物"
railroad,"n. 铁路, 铁路公司
vt. 铺设铁路, 用铁路运输
vi. 在铁路工作"
strategy,"n. 战略, 策略
"
target,"n. 目标, 靶子, 指标
vt. 对准, 订指标"
unbiased,"a. 没有偏见的
"
vanish,"vi. 消失, 不见, 成为零"
wash,"n. 洗, 洗涤, 冲洗, 洗的衣服, 冲积物, 洼地
vt. 洗, 洗涤, 洗清, 用水冲洗, 流过, 弄湿, 粉刷, 镀金属薄层于
vi. 洗涤, 洗澡, 被冲蚀, 漂浮"
absolute,"a. 绝对的, 专制的, 完全的, 独立的
n. 绝对事物"
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
cancel,"n. 取消, 撤消, 盖销(邮票)
vt. 取消, 删去, 抵销, 盖销
vi. 相互抵销
"
contrast,"n. 差别, 对比, 对照物
vt. 使对比
vi. 成对照
"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
database,"n. 数据库
"
