enjoyable,"a. 可从中得到乐趣的, 令人愉快的"
pray,"v. 祈祷, 恳求, 请"
chant,"n. 圣歌, 赞美诗
v. 吟唱, 诵扬"
pagoda,n. 宝塔
frog,"n. 青蛙
"
croak,"n. 呱呱叫声, 哇哇声
vi. 呱呱地叫, 发牢骚
vt. 用嘶哑的声音说"
prayer,"n. 祈祷, 恳求, 祷辞, 祈祷者"
short-term,[经] 短期
long-term, 长期的
rainfall,"n. 降雨, 降雨量
"
Ethiopia,n. 埃塞俄比亚
gravity,"n. 地心引力, 重力
"
headline,"n. 大标题, 新闻摘要
vt. 为...做标题, 写标题"
put pressure on somebody,无
put pressure on somebody to do something,无
politician,"n. 政客, 政治家, 从事党派政治的人
"
statesman,n. 政治家
wrestle,"n. 摔跤, 角力, 扭斗
vi. 摔跤, 搏斗, 斗争, 斟酌
vt. 与(对手)摔跤"
dilemma,"n. 困境, (进退两难的)窘境"
agency,"n. 代理机构, 经销商, 中介
"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
beyond,"prep. 超过, 在那一边, 迟于
adv. 在远处
n. 更远处"
at a crossroads, 处于关键时刻，在紧要关头
loaf,"n. 一条面包, 块, 游荡
v. 游手好闲, 虚度光阴"
permanent,"a. 永久的, 不变的, 固定的, 持久的
n. 烫发
"
infrastructure,"n. 基础结构, 基础设施
"
irrigation,"n. 灌溉, 冲洗
"
framework,"n. 结构, 骨架, 参照标准, 准则, 观点
"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
housewife,"n. 主妇, 家庭妇女"
Nigeria,n. 尼日利亚
problem-solving,[计] 问题求解
work of art,n. 艺术作品
conventional,"a. 传统的, 习惯的, 约定的
"
water buffalo,水牛
ox,n. 牛
tractor,"n. 牵引器, 拖拉机, 拉纸器
"
dam,"n. 水坝, 障碍
v. 控制, 筑坝
"
expense,"n. 费用, 代价, 开支, 损失
"
repay,"v. 偿还, 报答, 报复"
repayment,"n. 付还, 偿还, 报复, 付还的钱
"
catch up on,补做(工作)
weaken,"vt. 削弱, 减弱, 使虚弱
vi. 变弱, 变软弱"
moreover,"adv. 而且, 此外"
squeeze,"n. 紧握, 挤, 榨, 榨取, 佣金
vt. 紧握, 挤, 榨取
vi. 压榨, 榨"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
fashion,"n. 流行, 风尚, 时样
vt. 形成, 造, 作"
fashionable,"a. 时髦的, 上流社会的, 流行的"
basement,"n. 地下室, 墙脚
"
creativity,"n. 创造力, 创造性"
catering,n. 给养；承办酒席；[医]提供饮食及服务
alarm bell,"警铃, 警钟
"
adjustment,"n. 调整, 调节, 校正
"
sustainable,"a. 足可支撑的, 养得起的, 可以忍受的"
health care, 卫生保健
housing,"n. 遮盖, 住房供给, 居留(处), 房屋, 装饰
"
put something into practice,无
grandchild,"n. 孙, 外孙女, 外孙, 孙女, 孙子"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
oilfield,n. 油田
on top of,"熟练掌握, 在...之上, 完全控制着, 另外, 紧接着"
push for something,[网络] 推东西
solar,"a. 太阳的, 日光的, 源自太阳的
"
hydroelectricity,"n. 水力电气
"
flour,"n. 面粉, 粉沫, 碎粉
"
tentative,"n. 试验
a. 试验性的, 暂时的"
Costa Rica,n. 哥斯达黎加
hopefully,"adv. 有希望地, 如果希望能实现的话"
systematic,"a. 有系统的, 分类上的, 体系的
"
edition,"n. 版本, 版, 翻版"
be on the move,[网络] 流转；在移动之中
the Midwest,"n. （美国）中西部
"
retire,"n. 隐居
vi. 引退, 退役, 退休, 退去, 撤退, 退却
vt. 使...撤退, 辞退"
pension,"n. 养老金, 退休金, 津贴, 年金, 抚恤金, 膳宿学校, 膳宿费
vt. 发给退休金, 用津贴拉拢"
hurricane,"n. 飓风, 暴风, 暴风雨"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
turn into,[网络] 了解
slip,"n. 滑, 滑行, 事故, 溜, 差错, 滑台, 下降, 插条, 后裔, 板条, 瘦长的年轻人
vi. 滑动, 滑倒, 失足, 溜走, 滑落, 犯错, 变坏
vt. 使滑动, 滑过, 摆脱, 闪开, 塞入, 从...取接枝
a. 滑动的, 滑移的, 活络的, 有活结的
"
make sense,有意义
cater,"v. 提供饮食及服务, 投合, 迎合"
ambulance,"n. 救护车
"
bingo,"n. 宾戈(一种赌博游戏), 烈酒"
herb,"n. 药草, 香草
"
seagull,n. 鸥
boom,"n. 繁荣, 隆隆声
vi. 急速发展, 发隆隆声
vt. 使兴旺, 发隆隆声"
mobile,"a. 移动的, 易变的, 机动的
n. 活动物体"
flexible,"a. 易曲的, 灵活的, 柔顺的, 能变形的, 可通融的
"
Oceania,n. 大洋洲
inn,"n. 旅馆, 客栈
vi. 住旅馆"
Midwestern,[网络] 中西部
one's flesh and blood,亲属，亲骨肉；和自己气味相投的人
one's own flesh and blood,亲骨肉
elect,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择"
swap,"n. 以货易货
v. 交换, 替换, 交易
"
rent,"n. 租金, 房租, 出租物, 裂缝, 破裂处, 分裂
vt. 租用, 租出
vi. 出租
a. 分裂的, 破裂的
rend的过去式和过去分词"
accountant,"n. 会计人员, 会计师
"
clerk,"n. 办事员, 职员, 文书
vi. 当店员"
waitress,"n. 女侍者, 女服务员"
privilege,"n. 特权, 特别恩典, 基本权利, 特免
vt. 给与...特权, 特免"
numb,"a. 麻木的, 失去知觉的
vt. 使麻木, 使昏迷, 使失去知觉"
physicist,"n. 物理学家, 机械唯物论者, 自然科学家
"
biologist,"n. 生物学家
"
botany,"n. 植物学
"
biochemistry,"n. 生物化学
"
analytical,"a. 分析的, 善于分析的, 解析的
"
bungalow,n. 平房
skateboard,n. 溜冰板
telescope,"n. 望远镜
vi. 叠缩, 嵌进, 缩短
vt. 使叠缩, 使缩短"
bakery,n. 面包店
botanical,"a. 植物学的
n. 植物性药材"
drain,"n. 排水沟, 消耗, 排水
vt. 排出, 喝光, 耗尽
vi. 排水, 流干"
currency,"n. 货币, 通货, 流通, 通用
"
word of mouth,n. 口头传述的，口碑
Romany,"n. 吉普赛人, 吉普赛语
a. 吉普赛人的"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
precise,"a. 精确的, 严谨的, 明确的
"
council,"n. 会议, 委员会
"
Gypsy,"n. 吉卜赛人, 吉卜赛语
a. 象吉卜赛人的
vi. 流浪"
fortune-telling,"n. 算命；占卜
adj. 算命的"
shabby,"a. 衣衫褴褛的, 低劣的, 破旧的, 吝啬的, 卑鄙的"
thief,"n. 小偷, 贼
"
rob,"v. 抢夺, 抢掠, 剥夺"
collision,"n. 碰撞, 冲突, 抵触
"
Norway,n. 挪威
Switzerland,n. 瑞士
gay,"a. 欢快的, 艳丽的, 快乐的, 放荡的"
Jew,"n. 犹太人, 守财奴, 犹太教信徒
vt. 欺骗, 杀价"
Nazi,"n. 纳粹党人；纳粹主义信徒
adj. 纳粹党的；纳粹主义的
n. (Nazi)人名；(布基)纳齐；(俄)娜济"
controversial,"a. 争论的, 论争的, 被议论的"
at best,"na. 充其量也不过
"
sympathy,"n. 同情, 赞同, 怜悯, 慰问, 吊唁
"
bathe,"vt. 沐浴, 用水洗
vi. 洗澡"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
weep,"n. 哭, 哭泣
vi. 哭泣, 流泪, 哀悼, 滴落
vt. 哭着使..., 悲叹, 滴下"
sideways,"adv. 向旁边, 向侧面地
a. 旁边的, 向侧面的"
HIV,[网络] 电压
deadly,"a. 致命的, 致死的
adv. 非常, 如死一般地"
outward,"a. 向外的, 表面的, 外服的
adv. 向外, 在外, 表面"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
unprotected,"a. 没有防卫的, 无掩护的, 未设防的, 没有保护人的, 不受关税保护的
"
breast,"n. 胸部, 乳房, 胸怀
vt. 以胸对着, 面对"
abortion,"n. 流产, 堕胎, 失败, 夭折, 中止
"
mosquito,"n. 蚊子
"
sneeze,"n. 喷嚏
vi. 打喷嚏"
burst on the scene,无
bid,"n. 出价
v. 命令, 吩咐, 请求, 表示, 宣布, 投标"
agenda,"pl. 议程, 日常工作事项
"
prescription,"n. 处方, 命令, 指定
"
prevention,"n. 阻止, 妨碍, 预防
"
conclude,"vt. 结束, 作结论, 推断
vi. 结束, 推断"
discriminate,"v. 区别, 差别待遇"
weapon,"n. 武器, 兵器
vt. 武装"
additional,"a. 附加的, 另外的, 额外的
"
pain pill,[网络] 止痛丸
case study,
jog,"n. 轻推, 轻撞, 慢跑
v. 轻推, (使)蹒跚行进, (使)慢跑"
over-the-counter medicine,[网络] 非处方药；成药；既成药
over-the-counter drug,[网络] 非处方药；处方在杂货店就可买到；不需医生处方的药品
antibiotic,"n. 抗生素
a. 抗生的"
drawer,"n. 抽屉, 开票人
"
unconscious,"a. 未意识到的, 无意识的, 无知觉的
"
pan,"n. 平锅, 浅盘, 盆地, 硬土层, 拍摄全景
v. 上下左右移动, 摇镜头, 淘洗, 淘金"
porridge,"n. 粥, 糊"
super,"n. 跑龙套角色, 冗员, 特级品, 特大号, 管理人
a. 上等的, 特大的, 超级的, 极好的, 十分的, 过分的
adv. 非常"
rebel,"n. 叛徒, 反叛者
vi. 造反, 反抗, 抵抗, 反感
a. 造反的, 反抗的"
reaction,"n. 反应, 反作用, 反动
"
upper,"a. 上面的, 较高的, 上级的, 上院的, 穿在外面的, 北部的, 地表的, 后期的
n. 鞋帮, 上齿"
speed,"n. 速率, 速度, 迅速
vi. 加速, 超速, 快进
vt. 快速传送, 促进, 使加速
"
capsule,"n. 胶囊, 蒴果, 瓶帽, 航天舱
"
appetite,"n. 食欲, 欲望, 爱好
"
nicotine,"n. 烟碱, 尼古丁
"
caffeine,"n. 咖啡因, 咖啡碱
"
cocoa,"n. 可可粉, 可可茶, 可可色
"
downer,"n. 镇定剂, 令人沮丧的人"
artificial,"a. 人造的, 假的, 非原地产的
"
heroin,"n. 海洛因, 吗啡
"
downward,a. 向下的
slide,"n. 滑, 滑道, 山崩, 雪崩, 幻灯片
vt. 使滑动, 偷偷放入
vi. 滑动, 滑落, 不知不觉陷入, 偷偷地走"
LSD,abbr. 大屏显示（Large Screen Display）；激光信号装置（Laser Signal Device）；最小显著差别（Least Significant Difference）；最低有效位（Least Significant Digit）；麦角酸二乙基酰胺（一种麻醉药，lysergic acid diethylamide）
trap,"n. 圈套, 陷阱, 诡计, 存水弯
vi. 设圈套, 设陷阱
vt. 诱捕, 诱骗, 抓住, 使受限制
"
suck,"vt. 吸, 吮, 吸入, 吮吸, 吸收
vi. 吸, 吸奶
n. 吸, 吸入, 吮吸"
over again," 再一次, 重新, 重复"
wipe,"n. 擦拭, 用力打, 凸轮
vt. 擦, 揩, 消灭, 涂上, 拭去
vi. 擦, 打"
stain,"n. 污染, 污点, 着色剂
vt. 沾染, 染污, 着色
vi. 变脏"
abuser,n. 滥用者
cybercrime,n. 网络犯罪
theoretical,"a. 理论的, 理论上的, 假设的, 推理的
"
involve,"vt. 包括, 使陷于, 潜心于, 包围
"
download,"[计] 卸载, 下栽"
delete,"vt. 删除
"
file,"n. 档案, 公文箱, 文件夹, 文件, 卷宗, 锉刀
vi. 列队行进, 用锉刀做
vt. 归档, 申请, 锉, 琢磨
"
offensive,"a. 令人不快的, 侮辱的, 攻击性的
"
hatred,"n. 憎恨, 仇恨, 憎恶
"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
property,"n. 财产, 所有权, 性质, 属性
"
assess,"vt. 估定, 对...征税, 评定
"
cheque,n. 支票
bank account,银行存款；银行往来帐户
ripe,"a. 成熟的, 熟练的, 成年的
"
firm,"n. 公司, 商号
a. 坚定的, 坚强的, 牢固的, 结实的, 坚硬的, 坚挺的, 严格的, 确定的
vt. 使牢固, 使坚定
vi. 变稳固, 变坚实
adv. 稳固地"
database,"n. 数据库
"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的
"
suspect,"n. 被怀疑者, 嫌疑犯
a. 令人怀疑的, 不可信的, 可疑的
v. 怀疑, 猜想"
visa,"n. 签证
vt. 签发"
cooperation,"n. 合作, 协力, 配合
"
join forces, （同…）联合; 并力; 会师; 合力
draft,"n. 气流, 草稿, 汇票, 草案
vt. 起草, 征兵
"
negotiate,"vi. 商议, 谈判, 交涉
vt. 谈妥, 转让, 处理"
applicant,"n. 申请者
"
penfriend,n. <英>笔友
request,"n. 请求, 需要, 申请书
vt. 请求, 要求, 邀请
"
considerate,"a. 体贴的, 体谅的, 考虑周到的"
cafeteria,"n. 自助餐厅
"
conscience,"n. 良心
"
lid,"n. 盖子, 限制, 眼睑
vt. 给...盖盖子"
lame,"a. 跛足的, 僵痛的, 不完全的, 金属薄板, 不知内情的人
vi. 变跛
vt. 使成残废, 使无用"
suspension,"n. 悬挂, 暂停, 中止
"
the World Intellectual Property Organization,无
pirate,"n. 海盗, 盗印者, 侵犯专利权者
vt. 盗印, 掠夺, 翻印
vi. 做海盗, 从事劫掠"
purse,"n. 钱包, 小钱袋, 金钱, 募捐款, 囊状物
v. 缩拢, 皱起"
smooth,"a. 平滑的, 平稳的, 流畅的, 和蔼的, 安祥的, 圆滑的, 调匀的, 无毛的
vt. 使光滑, 烫平, 使平和, 消除
vi. 变平滑, 变平静
n. 一块平地, 平滑部分"
the World Trade Organization,[网络] 主题十六世界贸易组织；世界贸易组织协议；世界商贸组织
put into effect,"使生效, 执行...
"
luggage,"n. 行李, 皮箱"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
import,"n. 进口货, 进口, 输入, 含义, 重要性
vt. 输入, 引入, 进口, 含...的意思, 重要
vi. 有关系
"
authentic,"a. 可靠的, 可信的, 真正的
"
certificate,"n. 证书, 证明书
vt. 发给证明书, 用证书批准, 用证书证明"
compensate,"v. 偿还, 补偿, 付报酬"
carpenter,n. 木匠
suited,a. 适合的
career,"n. 事业, 生涯, 成功
"
actually,"adv. 事实上, 竟然, 如今, 现在"
so-called,adj. 所谓的
glamorous,"a. 富有魅力的, 迷人的"
cushion,"n. 垫子, 橡皮软垫
vt. 加垫褥, 缓冲, 掩盖"
jet,"n. 喷射流, 喷嘴, 煤玉
v. 射出, 迸出, 喷射
a. 黑而发亮的, 墨黑的"
baggage,"n. 行李
"
suitcase,n. 手提箱
trunk,"n. 树干, 干线, 躯干, 主干, 象鼻, 箱子
vt. 把...放入旅行箱内
a. 树干的, 躯干的, 干线的, 箱形的
"
waiter,n. 侍者
grocer,n. 食品商
option,"n. 选择权, 挑选, 选项
"
lawyer,"n. 律师
"
well-paid, 报酬（或薪金）丰厚的
canyon,"n. 峡谷, 海底悬崖"
zone,"n. 地带, 带, 地区
vt. 环绕, 使分成地带
vi. 分成区
"
brewery,"n. 啤酒厂, 酿酒厂
"
litre,"n. 升, 公升
"
shopkeeper,"n. 零售商, 店主, 老板"
barber,n. 理发师
barbershop,n. 理发店
cleaner,"n. 清洁工人, 清洁剂, 干洗商
"
rat,"n. 鼠, 卑鄙的人, 破坏者, 变节者
vi. 捕鼠, 变节
vt. 弄蓬松"
go about,"从事, 走动, 传开"
salesgirl,n. 女店员
cucumber,"n. 黄瓜
"
sly,"a. 狡猾的, 诡密的, 俏皮的, 偷偷摸摸的"
fox,"n. 狐狸, 狡猾的人
vi. 奸狡地行动, (书页)生斑, 变酸
vt. 欺骗, 使变酸, 为(鞋等)换面, 使生黄斑"
cast-iron,"铸铁
"
nerve,"n. 精神, 勇气, 叶脉, 神经
vt. 鼓起勇气"
martial,"a. 战争的, 军事的, 尚武的, 威武的
"
weed,"n. 杂草, 野草
vi. 除草
vt. 除...的草, 剔除"
spear,"n. 矛, 枪, 持矛者, 嫩枝
vt. 用矛刺
vi. 刺, 戳
a. 父系的"
magician,"n. 魔术家, 幻术家, 术士"
bath,"n. 沐浴, 浴室
"
bedding,"n. 被褥, 寝具, 床上用品, 基床
"
bandage,"n. 绷带
"
ward,"n. 病房, 守卫, 保卫, 保护, 监护, 牢房, 行政区, 锁孔内的榫舌
vt. 使入病房, 守护, 保卫"
creative,"a. 有创造力的, 创作的, 产生的"
self-confident, [体]自信的
artistic,"a. 艺术的, 艺术家的, 富有艺术性的"
realistic,"a. 现实的, 逼真的, 现实主义的, 实在论的"
greengrocer,"n. 蔬菜水果商, 菜贩"
tailor,"n. 裁缝, 成衣匠
vt. 缝制, 制作, 使适应
vi. 做裁缝"
investigative,"a. 审查的, 调查的, 好研究的
"
pianist,"n. 钢琴家, 钢琴演奏者"
violinist,"n. 小提琴演奏者, 小提琴家"
librarian,"n. 图书馆员, 图书管理员
"
stewardess,"n. 空中小姐, 女管理人, 女管家"
enterprising,"a. 有魄力的, 有进取心的, 有事业心的"
take pleasure in,乐于
typist,n. 打字员
Ltd,有限的
engineering,"n. 工程学, 工程, 操纵
"
covering,"n. 覆盖物, 掩蔽物
a. 掩护的, 掩盖的
"
gap,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序
vt. 打开缺口, 造成缝隙
vi. 豁开
"
session,"n. 期间, 开庭期, 会议, 学期
"
employer,"n. 雇主, 老板
"
employee,"n. 职员, 员工, 受雇人员
"
interviewer,"n. 会见者, 面谈者, 进行面试者"
off the top of one's head,不假思索
have butterflies in one's stomach,[网络] 感到紧张；肚子里有蝴蝶；忐忑不安
refresh,"vt. 使清新, 使恢复, 使生气蓬勃
vi. 提起精神, 恢复精神, 吃点心, 喝饮料
vt. 刷新, 重新整理
vi. 刷新, 重新整理
"
yawn,"n. 哈欠
vi. 打哈欠, 裂开
vt. 打着哈欠说"
razor,"n. 剃刀
vt. 剃"
shaver,"n. 修面的人, 电动剃刀, 刨刀, 杀价买进期票的人, 善于讨价还价的人"
shave,"n. 修面, 刮胡子, 幸免, 剃刀
vt. 修面, 剃, 修剪, 掠过
vi. 刮脸, 勉强通过"
haircut,"n. 理发, (男子的)发式"
conservative,"a. 保守的, 守旧的, 有保存力的
"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
roundabout,"a. 迂回的, 委婉的
n. 迂回路线"
parking,"n. 停车
a. 停车的"
look somebody in the eye,na. 无畏惧
look somebody in the eyes,无
wag,"vt. 摇摆, 摇动, 饶舌
vi. 摆动, 喋喋不休
n. 摇摆, 爱说笑打趣的人"
follow something up, 紧追，对…进行进一步调查
give somebody the edge,无
punctuation,"n. 标点, 标点符号
"
as easy as pie,极容易
management,"n. 经营, 支配, 管理
"
trainee,"n. 实习生, 新兵, 受培训者
"
smartly,"adv. 潇洒地, 火辣辣地, 刺痛地"
garage,"n. 车库, 汽车修理厂, 机库
vt. 把车送入修车场"
relaxed,"a. 松懈的, 不严密的, 不严格的, 放松的, 得到休息的, 随意的, 不拘束的, 自在的"
team player,n. 合作意识强的人；有团队精神的人
response,"n. 反应, 回答, 响应
"
diploma,"n. 文凭, 毕业证书
"
videophone,n. 电视电话
division,"n. 分, 分开, 除法, 部门(如部、处、系等), 师
"
fluency,"n. 流畅, 雄辩, 善辩"
CV,"adj. 心血管的
n. 履历
"
ladder,"n. 梯, 梯状物, 发迹的途径
vi. 袜子抽丝, 成名"
Antarctic,"a. 南极的, 南极地带的
n. 南极地区"
fund,"n. 基金, 资金, 存款, 财源, 贮藏
vt. 提供资金, 积累"
Brazil,n. 巴西
Amazon,"n. 亚马孙河
"
Ghana,n. 加纳
cooker,"n. 炊事用具, 炉灶, 锅, 炊具, 烹饪用水果, 窜改者, 伪造者
"
switch,"n. 开关, 电闸, 转换, 软枝, 鞭子, 道岔
vt. 转变, 切换, 摆动, 转换, 使转轨
vi. 转换, 变换, 摆动
"
nail,"n. 钉子, 指甲
vt. 用钉钉牢, 使固定, 截住, 揭露"
mayor,"n. 市长
"
improvement,"n. 进步, 改善, 利用
"
self-educated,"a. 自修的, 自我教育的"
geometry,"n. 几何学
"
diagram,n. 图表；图解
circuit,"n. 电路, 环(行)道, 巡回
"
resign,"vt. 辞职, 放弃, 使顺从
vi. 辞职, 屈从"
pocket-sized,a. 可放在衣袋中携带的；小型的；袖珍的
pull out,"拔出, 离开, (使)渡过难关, (使)恢复健康"
the last minute,[网络] 最后一分钟；紧急关头
the last moment, [电影]悲恋三人行
put out,"v. 扑灭；熄灭；放出；伸出
"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
calculator,"n. 计算者, 计算器
"
amateur,"n. 业余爱好者, 外行, 爱好者
"
put together,"na. 编辑；拼拢；比较考虑；使结婚
"
receipt,"n. 收据, 收入, 收到
vt. 开...的收据"
spectrum,"n. 光谱, 范围, 系列
"
motor,"n. 马达, 发动机, 原动力, 汽车
a. 马达的, 发动机的, 汽车的, 发动的
vt. 推动, 以汽车载运
vi. 乘汽车, 驾车"
ridiculous,"a. 荒谬的, 可笑的"
tire,"n. 轮胎, 头饰
vt. 使疲倦, 使厌烦, 打扮
vi. 疲劳, 厌倦"
throw oneself into,积极从事
fold,"n. 折层, 折, 羊栏, 折痕, 信徒
vt. 折叠, 包, 合拢, 交迭
vi. 折叠起来, 彻底失败
"
cycle,"n. 周期, 循环, 自行车, 一段时间, 整套
vi. 循环, 轮转, 骑自行车
vt. 使循环, 使轮转
"
will,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱
vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱
vi. 下决心, 愿意
aux. 将, 愿意, 必须"
plug,"n. 塞子, 栓, 插头
vt. 插入, 塞住, 接插头
vi. 被塞住"
graph,"n. 曲线图, 图表, 图形
"
economical,"a. 节俭的, 经济的, 合算的
"
sanitary,"a. 卫生的
n. 公共厕所"
correctional,"a. 改正的, 修正的, 矫正的"
facility,"n. 容易, 灵巧, 设备
"
downsize,vt. 以较小尺寸设计；缩小尺寸；裁减人数
body count, 敌尸计数；死亡人数统计
survivor,"n. 生还者, 幸存者
"
unsure,"a. 不肯定的, 不确定的, 没有自信的"
reveal,"vt. 露出, 显示, 透露, 揭露, 泄露, (神)启示
n. 窗侧, 门侧"
informer,"n. 密告者, 控告者, 通知者
"
offshore,"a. 海面的, 吹向海面的, 近海的
adv. 向海面"
scratch,"n. 抓痕, 搔, 抓, 擦伤, 刮擦声, 乱写, 零分, 起跑线
vt. 搔, 抓, 挖出, 擦, 刮, 乱涂, 勾抹掉
vi. 搔, 抓, 发刮擦声, 勉强糊口
a. 碰巧的, 凑合的, 打草稿用的
"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
allergic,"a. 对...过敏的, 极反感的
"
employment,"n. 雇用, 职业, 工作
"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
capital punishment, 死刑
taxpayer,"n. 纳税人
"
pre-owned, 旧的；二手的；转手的
flexibility,"n. 弹性, 适应性
"
unemployed,"a. 失业的, 未被利用的
"
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
"
faith,"n. 信心, 信任, 忠实, 保证
"
optional,"a. 可选择的, 随意的
"
fibre,"n. 纤维, 构造, 纤维制品
"
thirst,"n. 口渴, 渴望
vi. 口渴, 渴望"
microscope,"n. 显微镜
"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
"
for the taking,供随意拿取
bless,"vt. 祝福, 祈佑, 使神圣化"
nursery,"n. 托儿所, 苗圃, 温床
"
porter,"n. 大楼管理员, 门房, 搬运工人, 侍者, 服务员
"
mop,"n. 拖把, 鬼脸
vt. 用拖把洗擦, 擦, 拭
vi. 做鬼脸
"
jar,"n. 广口瓶, 震动, 刺耳声
vi. 震惊, 冲突, 发刺耳声, 不一致
vt. 震动, 刺激"
turkey,"n. 火鸡, 无用的家伙, 土耳其"
brunch,n. 早午餐
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
dignity,"n. 尊严, 高贵
"
archaeology,n. 考古学
preview,"n. 事先查看, 预览
vt. 事先查看, 预演
"
numerous,"a. 很多的, 数目众多的, 多数的
"
brochure,"n. 小册子, 小册"
catalogue,"n. 目录, 大学情况一览
vt. 编入目录"
psychology,"n. 心理学, 心理状态
"
fry,"n. 油炸食物, 鱼苗
v. 油炸, 煎"
pepper,"n. 胡椒粉, 胡椒, 辣椒
"
steak,"n. 牛排, 鱼排, 肉排"
rice cooker,"n. 饭锅
"
bean curd,豆腐
garlic,"n. 大蒜
"
microwave,"n. 微波
"
saucer,"n. 茶碟, 茶托
"
Thermos,n. 热水瓶
put something away, （非正式）（体育运动用语）处理; 同 put something down （见后面义项3）; （非正式）（大量）吃喝; 存（钱）
furnished,"a. 家具, 有家具的"
basin,"n. 盆, 盆地
"
hook,"n. 钩, 钩状, 镰刀, 陷阱
vt. 挂...于钩上, 钩住, 引上钩, 偷窃
vi. 弯成钩状, 钩紧
"
millimetre,"n. 毫米
"
room-mate,"n. 室友；同住一室的人
"
astronomy,n. 天文学
mineral,"n. 矿物, 无机物, 苏打水
a. 矿物的, 似矿物的"
bat,"n. 蝙蝠, 球棒
v. 用球棒打, 眨眼
"
dive,"n. 潜水, 跳水
vi. 跳水, 俯冲, 猛冲
vt. 把...突然伸入"
terrify,"vt. 使恐惧, 恐吓"
as for,至于
universe,"n. 宇宙, 星系, (思想等)范围"
embassy,"n. 大使馆, 大使馆全体人员
"
allusion,"n. 提及, 暗指"
surprisingly,"adv. 使人惊奇, 出人意外, 惊人, 令人惊讶"
den,"n. 兽穴, 洞穴
"
catch-22,"n. 互相抵触之规律或条件所造成的无法脱身的困窘；不合逻辑的或矛盾的问题
a. 摆脱不了的"
heel,"n. 脚后跟, 踵, 后部, 倾侧
vt. 尾随, 装以鞋跟, 倾侧, 追赶
vi. 紧随, 用脚后跟传球"
mythology,n. 神话
unbeatable,"a. 无敌的, 无与伦比的"
prophet,"n. 预言者, 先知, 提倡者"
overboard,"adv. 自船上落下, 在船外"
vomit,"vt. 吐出, 呕吐
vi. 呕吐
n. 呕吐, 呕吐物, 催吐剂"
Herculean,a. 魁梧有力的
a good Samaritan,一个乐善好施的人
bang,"n. 重击, 突然巨响, 刘海
v. 发巨响, 重击
adv. 砰然地, 突然巨响地, 直接地
"
aimless,"a. 无目的的, 没有目标的"
land on one's feet,"交好运, 脱离困境"
atom,"n. 原子, 核能, 微粒, 微量
"
nuclear,"a. 核子的, 原子能的, 核的, 中心的
"
missile,"n. 发射物, 导弹, 飞弹, 火箭
a. 可发射的"
communism,n. 共产主义
socialism,"n. 社会主义, 社会主义运动"
socialist,"n. 社会主义者, 社会党党员
"
fountain,"n. 水源, 源, 喷泉, 泉水, 本源
"
currently,"adv. 现在, 当前, 一般, 普通
"
premier,"n. 总理, 首相
a. 首位的, 最初的"
arch,"n. 拱门, 拱形, 足弓
vt. 使成弓形
vi. 拱起, 成弓形
a. 主要的, 调皮的, 傲慢无礼的, 狡猾的"
seminar,"n. 研究班, 专题讨论会
"
sharpen,"vt. 使尖锐, 使敏捷, 加重, 削尖
vi. 尖锐化, 变锋利"
shuttle,"n. 穿梭, 梭子, 往返移动之物
v. (使)穿梭移动, 往返运送"
