cent,"n. 分
"
decode,"vt. 解码, 译解
"
decolor,"v. 脱色, 漂白"
deforest,"vt. 滥伐森林, 砍掉...上的树林"
desalt,vt. 除去盐分
depress,"vt. 使沮丧, 压低, 降低, 使萧条
"
devalue,"vt.vi. 降低...的价值, 贬值, 降低价值, 使(货币)贬值
"
decelerate,v. (使)减速
derail,"vt. 使出轨
n. 脱轨器
"
detrain,v. (使)下火车
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
evanish,"vi. 消失, 消灭"
enumerate,"vt. 列举, 计算, 枚举, 数
"
estrange,"vt. 使疏远, 离间, 使离开"
eliminate,"vt. 除去, 排除, 剔除, 消除"
elimination,"n. 除去, 消除, 消灭
"
efface,"vt. 抹去, 消除, 忘却"
eradicate,"vt. 根除, 扑灭, 根绝, 消灭"
observe,"vt. 觉察到, 遵守, 注意到, 庆祝
vi. 注意, 评论"
obtain,"vt. 获得, 达到
vi. 流行, 得到公认"
obsess,"vt. 迷住, 使困扰"
oppress,"vt. 压迫, 压抑, 使烦恼"
obtrude,"vt. 逼使, 强迫, 伸出
vi. 打扰, 强行闯入"
divorce,"n. 离婚
vt. 与...离婚"
digest,"n. 文摘
vi. 消化
vt. 消化, 理解
"
dilute,"vt. 冲淡, 稀释
a. 淡的, 稀释的"
divert,"vt. 转移, 使欢娱
vi. 转移"
divest,"vt. 使摆脱, 使脱去, 夺去
"
dilate,"vi. 扩大, 详述, 膨胀
vt. 使膨胀"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
dilemma,"n. 困境, (进退两难的)窘境"
dioxide,"n. 二氧化物
"
dilapidate,"v. (使)荒废, (使)毁坏"
digamist,"n. 再婚者
"
elect,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择"
emit,"vt. 发出, 放射, 发表(意见等), 散发, 发行
"
erupt,"vi. 爆发
vt. 喷出"
evaluate,"vt. 评估, 评价, 赋值"
emerge,"vi. 浮现, 形成, 出现, (事实)显露"
eject,"vt. 逐放, 放逐, 喷射
"
emigrate,"v. (使)移居, (使)移民"
evaporate,"vi. 蒸发, 失去水分, 消失
vt. 使蒸发, 使脱水, 使消失"
evade,"v. (巧妙地)逃脱, 规避, 逃避"
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
export,"n. 输出品, 输出
vt. 输出, 出口
vi. 输出物资
"
expose,"vt. 使暴露, 使曝光, 揭穿, 陈列
"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
exclude,"vt. 除外, 排除, 排斥
"
expel,"vt. 驱逐, 逐出, 排出, 开除
"
excise,"n. (烟、酒等)消费税, 货物税, 国产税
vt. 切除"
exhume,"vt. 掘出, 发掘"
expire,"vi. 期满, 呼气, 断气
vt. 呼出"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
exalt,"vt. 提升, 提高, 赞扬, 使得意
vi. 使人兴奋, 使人得意"
excavate,"v. 挖空, 挖出, 凿通"
ex-mayor,n. 前任市长
ex-minister,[网络] 前部长；前任部长；我把
ex-president,n. 前总统
ex-wife,n. 前妻
ex-husband,n. 前夫
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的
vt. 使缺席"
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担
"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
abrupt,"a. 突然的, 唐突的, 陡峭的, 不连贯的"
abuse,"n. 滥用, 虐待, 恶习, 辱骂
vt. 滥用, 辱骂, 虐待"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
abduct,"vt. 诱拐, 绑架, 使外展
"
abdicate,"vt. 正式放弃
vi. 退位, 退出, 辞职"
abrogate,"vt. 废除, 取消
"
abstain,"vi. 自制, 戒绝, 弃权, 回避"
telephone,"n. 电话, 电话机
v. 打电话"
telescope,"n. 望远镜
vi. 叠缩, 嵌进, 缩短
vt. 使叠缩, 使缩短"
television,"n. 电视
"
telegram,"n. 电报, 一封电报
"
telegraph,"n. 电报, 电报机
vi. 打电报
vt. 打电报给, 电汇, 流露, 显示出要...的样子"
hopeless,"a. 无希望的, 绝望的, 不可救药的"
homeless,"a. 无家的, 无养主的"
endless,"a. 不停的, 无穷尽的, 无尽的
"
useless,"a. 无用的, 无效的, 无益的
"
effortless,"a. 容易的, 不费力气的"
colorless,"a. 无色的
"
flawless,"a. 无瑕疵的, 无缺点的
"
shameless,a. 不知羞耻的
relentless,"a. 无情的, 冷酷的, 残酷的"
banker,"n. 银行家, 庄家
"
jumper,"n. 跳跃者, 工作服
"
teenager,n. 十三岁到十九岁的少年
jailer,"n. 看守监狱的人, 狱卒
"
insider,"n. 内部的人, 权威人士, 知道内情的人
"
cashier,"n. 出纳员
"
financier,"n. 财政家, 金融家
vi. 从事欺骗性金融活动, 欺骗"
cooker,"n. 炊事用具, 炉灶, 锅, 炊具, 烹饪用水果, 窜改者, 伪造者
"
washer,"n. 洗衣人, 垫圈, 洗衣机
"
boiler,"n. 煮器, 汽锅, 锅炉
"
heater,"n. 加热器, 灯丝, 加热工
"
lighter,"n. 点火者, 点灯工人, 打火机, 驳船
vt. 以驳船搬运"
engineer,"n. 工程师, 工兵
vt. 设计, 监造, 精明地处理, 策划"
mountaineer,"n. 登山家, 山地人
vi. 登山"
pioneer,"n. 先锋, 拓荒者, 创始人
vt. 提倡, 开辟, 开创, 倡导
vi. 作先驱, 开路
a. 最早的, 开拓的, 先驱的, 有开拓者特点的"
volunteer,"n. 志愿者
a. 志愿的
v. 自愿"
mutineer,"n. 暴徒, 反抗者
vi. 暴动, 反抗"
interviewee,"n. 被接见者, 被采访者, 被面试者"
refugee,"n. 难民, 流亡者
"
trainee,"n. 实习生, 新兵, 受培训者
"
absentee,"n. 缺席者, 不在者
"
devotee,"n. 爱好者, 献身者, 虔诚的宗教信徒"
forgetful,"a. 健忘的, 易忘的"
peaceful,"a. 平静的, 和平的, 和平时期的, 爱好和平的, 喜爱安静的
"
doubtful,"a. 可疑的, 疑心的, 不明确的
"
shameful,"a. 可耻的, 丢脸的, 不道德的, 淫猥的, 猥亵的, 不体面的"
willful,"a. 任性的, 故意的, 有意的"
teaching,"n. 教学, 学说, 教导"
swimming,"n. 游泳, 眩晕"
shopping,"n. 买东西, 购物
"
ageing,"n. 变老, 成熟
"
feeling,"n. 摸, 触觉, 知觉, 感觉, 情绪, 同情
a. 有同情心的, 有感觉的, 仁慈的, 动人的"
building,"n. 建筑物, 建筑
"
clothing,n. 衣服
sailing,"n. 航行, 航海术, 启航
a. 航行的"
coloring,"n. 着色, 色彩, 色调, 面色, 气色, 外貌, 伪装, 色素, 颜料, 染料, 着色剂, 特质
"
washing,"n. 洗涤, 浸, 洗涤物
"
fishing,"n. 钓鱼, 鱼业
a. 钓鱼的"
hairdressing,"n. 理发, 美发"
advertizing,"n. 广告业, 广告
a. 广告的"
printing,"n. 印刷, 印刷术, 印花
"
banking,"n. 银行业务
"
accounting,"n. 会计学, 帐单, 清帐
"
burning,"a. 燃烧的, 象燃烧一样的
n. 烧, 燃烧"
fascinating,"a. 迷人的, 吸引人的, 使人神魂颠倒的"
encouraging,"a. 鼓励的, 促进的"
fighting,"a. 战斗的, 容易引起争斗的, 适于格斗的, 好斗的, 好战的, 斗争的, 搏斗的
n. 战斗, 斗争, 搏斗"
inviting,"a. 引人动心的, 有魅力的
"
gifted,a. 有天才的
aged,"a. 老的, 陈的, 有...岁的
"
bearded,"a. 有须的, 有胡子的"
pointed,"a. 尖的, 有尖顶的, 锐利的, 率直的, 显然的"
hooked,"a. 钩状的, 有钩的, 用钩针编织的"
horned,"a. 有角的, 角状的"
breaded,a. 涂面包屑后烹制的
iced,a. 冰冷的；装冰的；冰冻的
accepted,"a. 公认的, 一般承认的
"
canned,"a. 罐装的, 录音的, 一稿数用的, 刻板的, 被囚的
"
boxed,a. 醉酒的
impressed,a. 外加的；印象深刻的；了不起的；受感动的
national,"a. 国家的, 国立的, 全国性的, 民族的
"
personal,"a. 私人的, 涉及隐私的, 有人性的, 人称的, 亲自的, 身体的
"
rural,"a. 乡下的, 田园的, 乡村风味的
"
animal,"n. 动物
"
hospital,"n. 医院
"
regional,"a. 地方的, 地域性的
"
emotional,"a. 情绪的, 情感的
"
external,"n. 外部, 外面
a. 外部的, 客观的, 表面的"
continental,"a. 大陆的, 洲的
n. 欧洲大陆人"
exceptional,"a. 例外的, 异常的, 特别的"
arrival,"n. 到达, 抵达, 到达者
"
survival,"n. 生存, 残存, 幸存者
a. 赖以生存的"
trial,"n. 审判, 试验, 艰苦, 麻烦事, 考验
a. 审讯的, 试验性的"
refusal,"n. 拒绝, 推却, 优先决定权
"
withdrawal,"n. 提款, 撤退, 退回, 撤消, 退隐, 戒毒过程
"
dismissal,"n. 免职, 解雇
"
confidential,"a. 机密的, 获他人信赖的, 易于信任他人的
"
presidential,"a. 总统制的, 总统的, 首长的, 统辖的
"
beneficial,"a. 有益的, 受益的
"
commercial,"a. 商业的, 商用的, 商品化的
n. 商业广告节目"
facial,"n. 美颜, 脸部按摩
a. 脸的, 表面的, 脸部用的"
impartial,"a. 公平的, 不偏不倚的
"
judicial,"a. 法庭的, 公正的, 审判上的, 司法的
"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
dependent,"n. 依赖他人者
a. 依赖的, 从属的"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
obedient,"a. 服从的, 顺从的, 孝顺的
"
prevalent,"a. 普遍的, 流行的"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
correspondent,"n. 通讯记者, 通信者
"
resident,"n. 居民, 常驻程序, 居住者, 留鸟
a. 居留的, 定居的"
antecedent,"n. 前情, 先行词
a. 先前的, 先行的"
bookish,"a. 好读书的, 书呆子的"
childish,"a. 天真的, 孩子气的"
foolish,"a. 愚蠢的, 傻的"
modish,"a. 流行的, 时髦的"
flourish,"vi. 繁荣, 茂盛, 活跃, 手舞足蹈
vt. 挥舞, 夸耀
n. 挥舞, 炫耀, 茂盛, 兴旺, 华丽词藻"
vanish,"vi. 消失, 不见, 成为零"
nourish,"vt. 滋养, 使健壮, 怀有"
diminish,"v. (使)减少, (使)变小"
banish,"vt. 驱逐, 消除
"
weekly,"n. 周刊, 周报
a. 每周的, 一周一次的, 周刊的
adv. 每周, 一周一次"
homely,"a. 家常的, 平凡的, 朴实无华的"
manly,"a. 象男人的, 强壮的, 适于男人的"
scholarly,"a. 学者派头的, 学者风度的, 有学问的, 博学的, 好学的"
timely,"a. 及时的, 适时的
adv. 及时地"
probably,"adv. 大概, 或许"
definitely,"adv. 明确无疑地, 清楚地"
extremely,"adv. 极端地, 非常地"
largely,"adv. 大量地, 很多地, 大半地"
widely,adv. 广泛地
exceedingly,"adv. 极端地, 极度地, 非常"
amusement,"n. 兴味, 娱乐, 消遣
"
advertisement,"n. 广告, 启事, 广告宣传
"
development,"n. 发展
"
establishment,"n. 确立, 制定, 设施
"
fragment,"n. 碎片, 破片, 片段
"
management,"n. 经营, 支配, 管理
"
movement,"n. 运动, 动作, 运转, 移动, 倾向, 变化, 活动, 乐章
"
statement,"n. 陈述, 指令, 声明
"
harassment,"n. 困扰, 烦扰, 烦恼
"
government,"n. 政府, 内阁
"
equipment,"n. 装备, 设备, 才能
"
basement,"n. 地下室, 墙脚
"
pavement,"n. 路面, 人行道, 铺面路, 铺路材料"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
embankment,"n. 堤防, 筑堤"
decision,"n. 决定, 决心, 决断
"
suspension,"n. 悬挂, 暂停, 中止
"
addition,"n. 加法, 增加的人(或物)
"
definition,"n. 定义, 精确度, 清晰度
"
inflation,"n. 胀大, 夸张, 通货膨胀
"
expansion,"n. 扩充, 开展, 膨胀
"
profusion,"n. 大量, 慷慨, 挥霍, 充沛, 浪费"
dilapidation,"n. 荒废, 破损, 崩塌
"
provocation,"n. 激怒, 刺激, 挑拨
"
brightness,"n. 光亮, 明亮, 聪明
"
kindness,"n. 仁慈, 亲切, 和蔼"
weakness,"n. 虚弱, 薄弱, 弱点
"
bitterness,"n. 苦味, 悲痛, 怨恨"
emptiness,"n. 空虚, 无知"
positiveness,n. 信心；肯定
strength,"n. 力量, 实力, 强度, 浓度, 人数, 抵抗力
"
warmth,"n. 温暖, 温情, 暖和, 激动, 生气"
breadth,"n. 宽度
"
width,"n. 宽度, 宽广, 广博
"
mirth,"n. 欢笑, 欢乐, 愉快"
discovery,"n. 发现, 被发现的事物
"
inquiry,"n. 质询, 探索, 调查, 询盘
"
jealousy,"n. 妒忌, 猜忌, 羡慕
"
doggy,"n. 小狗儿
a. 时髦的, 装阔气的"
kitty,"n. 小猫, 全部赌注"
silky,"a. 丝的, 柔滑的"
tardy,"a. 慢的, 迟到的, 勉强的, 拖拉的, 迟的"
bandage,"n. 绷带
"
beverage,"n. 饮料
"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
mileage,"n. 英里数
"
voltage,"n. 电压, 伏特数
"
foliage,"n. 树叶, 植物"
breakage,"n. 破坏, 破损处, 破损量
"
marriage,"n. 婚姻, 结婚, 婚礼, 合并
"
passage,"n. 通道, 通过, 移居, 航行, 一段, 走廊
vi. 通过, 经过, 航行, 横渡, 争吵
vt. (使)马以斜横步前进, 使传代"
drainage,"n. 排水
"
shrinkage,"n. 收缩, 收缩量, 减低
"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
usage,"n. 用法, 使用, 习惯, 惯用法, 习惯法
"
shortage,"n. 不足, 缺乏
"
teenage,a. 十三岁到十九岁的
postage,"n. 邮资
"
railage,"n. 铁路运输, 铁路运费"
waterage,"n. 水路运输, 水运费
"
towage,"n. 拖, 拉, 拖带, 拖船费
"
appearance,"n. 出现, 露面, 外观, 外表, 出版
"
reliance,"n. 信任, 信赖, 受信赖的人(或事)
"
vacancy,"n. 空, 空白, 空缺, 空虚, 空闲
"
disturbance,"n. 扰乱, 不安, 忧虑
"
pregnancy,"n. 怀孕；丰富, 多产；意义深长"
perseverance,"n. 毅力, 忍耐, 锲而不舍, 不屈不挠"
resemblance,"n. 相似处, 类似, 肖像"
buoyancy,"n. 浮力, 弹性, 快活, 轻快, (股票市场)保持高价
"
forbearance,"n. 节制, 自制, 忍耐
"
vigilance,"n. 警戒, 警觉, 失眠症
"
difference,"n. 不同, 差异
"
dependence,"n. 依赖, 依存, 信赖
"
efficiency,"n. 效率, 效能, 功效
"
tendency,"n. 趋向, 倾向
"
emergence,"n. 出现, 浮现, 发生"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
currency,"n. 货币, 通货, 流通, 通用
"
consistency,"n. 坚硬性, 黏稠度, 一致性
"
deficiency,"n. 缺乏, 不足
"
persistency,"n. 坚持, 固执, 持续, 持久性, 存留, 余辉的保留时间"
reverence,"n. 尊敬, 敬重, 敬礼, 尊严, 威望
vt. 崇敬, 敬畏, 尊敬"
delinquency,"n. 行为不良, 失职
"
innocence,"n. 无罪, 无知, 天真无邪
"
insistence,"n. 坚持, 坚决主张"
negligence,"n. 疏忽, 粗心大意, 忽视
"
accuracy,"n. 精确, 正确
"
bankruptcy,"n. 破产者
"
conspiracy,"n. 同谋, 阴谋, 阴谋集团
"
illiteracy,"n. 文盲, 无知"
infancy,"n. 幼年, 初期, 幼儿期
"
intimacy,"n. 亲密, 熟悉, 亲昵行为(言语)
"
efficacy,"n. 功效, 效力
"
rapacity,"n. 抢夺, 贪欲, 贪婪
"
addictive,a. 上瘾的
receptive,"a. 能接纳的
"
appreciative,"a. 有欣赏力的, 感激的"
detective,"n. 侦探
a. 侦探的"
native,"n. 本地人, 土产, 当地人
a. 本国的, 与生俱来的, 自然的"
directive,"a. 指导的, 指挥的, 方向的
n. 指令
"
explosive,"n. 炸药, 爆破音
a. 易爆发的, 爆炸的, 暴躁的"
captive,"n. 俘虏, 迷恋者
a. 被俘的, 被迷住的"
preventive,"a. 预防的, 防止的
n. 防止物, 预防方法, 预防药"
competitive,"a. 竞争的
"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
representative,"n. 代表, 众议员, 典型
a. 描写的, 表现的, 代理的, 代表的, 代议制的, 典型的"
affirmative,"a. 肯定的, 赞成的, 积极的
n. 肯定语"
argumentative,"a. 好辩的, 引起争论的, 论证式的
"
talkative,"a. 喜欢说话的, 饶舌的, 多嘴的"
repetitive,"a. 重复的, 反复性的"
meditative,"a. 默想的, 耽于默想的, 冥想的"
authoritative,"a. 权威性的, 官方的, 命令式的
"
considerate,"a. 体贴的, 体谅的, 考虑周到的"
moderate,"a. 适度的, 稳健的, 中等的, 节制的
vt. 节制, 减轻, 使缓和
vi. 变缓和, 主持会议"
sedate,"a. 沉着的, 镇静的, 安静的
vt. 给...服镇静剂"
illegitimate,"a. 不法的, 私生的, 不合规则的, 不合理的, 不符合习惯的
n. 无合法身份的人
vt. 宣告...为非法, 证明...为私生"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
vaccinate,v. 预防接种
agitate,"vt. 使摇动, 搅动, 使激动, 使不安
vi. 鼓动, 煽动"
differentiate,"v. 区别, 区分"
accentuate,"vt. 以重音念, 强调, 重读"
remonstrate,"vi. 表示异议, 抗议, 责备
vt. 抗议地说"
darken,"vt. 弄暗, 使模糊
vi. 暗下来, 颜色变深"
deepen,"vi. 深化
vt. 使加深, 使强烈"
lengthen,"vt. 加长, 使延长
vi. 变长"
sweeten,"vt. 使变甜, 加糖于, 使悦耳, 使温和, 减轻
vi. 变甜"
sharpen,"vt. 使尖锐, 使敏捷, 加重, 削尖
vi. 尖锐化, 变锋利"
broaden,"vi. 变宽, 扩大
vt. 放宽, 使扩大"
golden,"a. 金的, 含金的, 金色的, 贵重的, 繁盛的
"
woolen,"n. 毛制品
a. 羊毛的, 羊毛制的, 毛织的"
wooden,"a. 木制的, 呆笨的, 木然的"
current,"n. 涌流, 趋势, 流
a. 流通的, 现在的, 当前的, 流行的
"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
curious,"a. 好奇的, 求知的, 古怪的"
curiosity,"n. 好奇心, 新奇的事物, 珍品"
course,"n. 课程, 路线, 过程, 一道菜, 道路
v. 追, (使)跑"
secure,"a. 无虑的, 安心的, 安全的, 可靠的, 保险的
vt. 固定, 获得, 保证, 使安全, 掩护, 招致
vi. 停止操作, 船抛锚"
occur,"vi. 发生, 被想到, 存在"
curable,"a. 可医治的, 医得好的
"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
cursory,"a. 匆匆忙忙的, 草率的, 粗略的"
excursive,"a. 游览的, 离题的, 散漫的
"
invasion,"n. 侵犯, 侵入, 侵害
"
invade,"vt. 侵入, 拥入, 侵略, 侵袭
"
evade,"v. (巧妙地)逃脱, 规避, 逃避"
pervade,"vt. 弥漫于, 遍及于, 流行于, 蔓延, 渗透于, 充满"
pervasion,"n. 扩散, 渗透, 弥漫, 流行"
pervasive,"a. 普遍的, 流行的, 到处蔓延的, 到处渗透的"
failure,"n. 失败, 失败者, 不足, 缺乏, 破产
"
fault,"n. 过错, 故障, 毛病
vt. 挑剔
vi. 产生断层, 弄错
"
default,"n. 违约, 不履行责任, 缺席, 默认值
v. 疏怠职责, 缺席, 拖欠, 默认
"
faulty,"a. 有过失的, 有缺点的, 不完美的, 应受责备的
"
faultless,"a. 完美的, 无缺点的
"
fallacious,"a. 使人误解的, 谬误的, 不合理的, 骗人的"
infallible,"a. 绝无错误的, 绝对可靠的
n. 一贯正确的人"
falsify,"vt. 伪造, 歪曲
vi. 说谎"
sole,"n. 脚掌, 鞋底, 底部
a. 唯一的, 仅有的, 单独的, 独身的
vt. 上鞋底, 触底"
solitude,"n. 孤独, 单独, 孤寂"
solo,"n. 独奏, 独唱, 单独表演
a. 单独的, 独奏的, 独唱的
vi. 放单飞"
desolate,a. 荒凉的
solitary,"n. 独居者
a. 孤独的, 独居的"
delicious,a. 美味的
delicate,"a. 细致优雅的, 微妙的, 美味的
"
elicit,"vt. 引出, 推导出, 引起"
frolic,"n. 嬉戏
vi. 嬉戏
a. 嬉戏的, 欢乐的"
introduce,"vt. 介绍, 引入, 采用, 输入
"
produce,"n. 生产品, 物产, 后代
vt. 产生, 生产, 提出, 出示
vi. 生产, 制造"
product,"n. 产品, 结果, 乘积
"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
conduct,"n. 行为, 举动, 指导
vt. 为人, 指挥, 管理, 实施
vi. 领导, 传导, 指挥"
deduction,"n. 减除, 扣除, 减除额, 推论
"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
productive,"a. 能生产的, 有生产价值的, 多产的
"
productivity,"n. 生产力
"
deduce,"vt. 推论, 演绎出
"
aqueduct,"n. 水管, 沟渠, 导管
"
educe,"vt. 引出, 推断出, 使显出"
improper,"a. 不合适的, 错误的, 不成体统的, 不道德的
"
property,"n. 财产, 所有权, 性质, 属性
"
proper,"a. 适当的, 固有的, 高尚的, 专属的
adv. 完全地, 彻底地"
appropriate,"a. 适当的
"
proprietory,"a. 所有的, 私人拥有的
n. 所有者, 所有权"
expropriate,"vt. 剥夺, 没收, 征用
"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
accredit,"vt. 信托, 确认, 归结于, 委派
"
credential,"n. 国书, 凭据, 证明书
"
creed,"n. 宗教信条, 教义, 纲领"
discredit,"n. 无信用, 丢脸, 不名誉
vt. 不信, 怀疑, 使丢脸"
incredulity,"n. 不轻信, 怀疑, 疑心"
credible,"a. 可信的, 可靠的
"
profession,"n. 职业, 表白, 声明
"
professor,n. 教授
fable,"n. 寓言, 神话, 谎言
vi. 虚构, 作寓言"
