ambiguity,"n. 不明确, 含糊
"
germinate,"vi. 发芽, 萌芽, 开始发育
vt. 使发芽, 使发育"
conservatory,"a. 保存性的, 有保存力的
n. 温室, 音乐学校"
sheath,"n. 鞘, 叶鞘, 翅鞘
"
inlaid,"a. 嵌入的, 镶嵌的, 镶饰的
inlay的过去式和过去分词"
glint,"n. 闪光, 一闪
vi. 闪耀, 闪闪发光, 反射, 迅速移动
vt. 使发光, 使闪光"
inlaid with ...,无
gurgle,"n. 汩汩声
vi. 汩汩地流, 作汩汩声"
vale,"n. 谷, 溪谷, 告别
interj. 再见"
impinge,"vi. 撞击, 起作用, 侵犯
vt. 撞击"
oneness,"n. 单一性, 同一性, 统一性"
neurosis,"n. 神经症, 神经机能病
"
hypnosis,"n. 催眠状态, 催眠术
"
interlock,"v. (使)连结, (使)连锁
n. 连锁, 连结
"
precipitous,"a. 陡峭的, 轻率的"
jut,"n. 尖端, 突出部分
v. (使)突出, 伸出"
secluded,"a. 隐退的, 隐蔽的"
insulation,"n. 绝缘；隔离, 孤立"
muffle,"n. 低沉的声音, 拳击手套, 唇鼻部, 围巾, 头巾
vt. 围裹, 抑制, 发低沉的声音"
mutilate,"vt. 切断, 使残废, 使不完整
"
haphazard,"n. 偶然性, 偶然事件
a. 无计划的, 偶然的, 随便的
adv. 偶然地"
patter,"n. 急速拍打声, 轻快脚步声, 行话, 快板, 饶舌
vi. 急速地说, 滴答地响, 祷告, 念经, 念顺口溜
vt. 使发嗒嗒声, 喋喋不休地说"
hangar,"n. 棚厂, 飞机库"
ostracism,"n. 流放, 放逐, 排斥
"
permeate,"vt. 弥漫, 渗透, 充满, 影响, 感染
vi. 透入, 散布"
despotic,"a. 专制的, 专横的, 暴虐的
"
Jew,"n. 犹太人, 守财奴, 犹太教信徒
vt. 欺骗, 杀价"
roundup,"n. 驱集, 集拢, 综述"
polarize,"v. (使)偏振, (使)极化, (使)两极分化"
sedate,"a. 沉着的, 镇静的, 安静的
vt. 给...服镇静剂"
presage,"n. 预感, 预兆, 预知
vt. 预示, 预言
vi. 预感, 预言"
cataclysm,"n. 大洪水, 地震, (社会政治的)大变动
"
propagate,"vt. 繁殖, 传播, 传送
vi. 繁殖, 蔓延"
genus,"n. 种, 类
"
narcissus,n. 水仙
cove,"n. 山凹, 小湾
v. (使)内凹, (使)成拱形"
periscope,"n. 潜望镜(镜头)
"
protrude,"vi. 伸出, 突出
vt. 使伸出, 使突出"
senile,"a. 高龄的, 衰老的, 老年期的
"
recuperate,"vt. 恢复, 使复原, 使恢复健康, 使恢复精神
vi. 复原, 恢复健康, 挽回损失"
typhoid,"a. 伤寒的
n. 伤寒"
zest,"n. 兴趣, 热情, 风味, 热心
vt. 给...调味"
rejuvenate,"vt. 使年轻, 使复原, 使恢复精神
vi. 返老还童, 复原"
resuscitate,"v. (使)复苏, (使)复兴"
panacea,"n. 万能药, 灵丹妙药
"
coroner,"n. 验尸官
"
seclude,"vt. 使隔离, 使孤立, 隔开"
fir,"n. 枞树, 杉木
"
smolder,"vi. 闷烧, 郁积
n. 闷烧"
sod,"n. 草地, (铺草坪用的)草皮, 故乡
vt. 铺上草皮, 以生草土覆盖"
stagnate,"v. (使)淤塞, (使)停滞, (使)变萧条"
decadence,n. 颓废
hedonism,"n. 快乐论, 享乐主义
"
supersede,"vt. 代替, 取代, 接替
"
frugality,"n. 节俭, 俭省"
tarry,"vi. 耽搁, 逗留, 留住, 等候
n. 逗留
a. 涂了焦油的"
berth,"n. 船岸之间的水区, 锚地, 卧铺
vi. 停泊
vt. 使停泊"
chivalry,"n. 骑士精神, 骑士制度"
underpin,"vt. 从下面支承, 支撑, 支持
"
valor,"n. 英勇, 刚勇, 勇猛"
kerosene,"n. 煤油, 火油, 灯油
"
waft,"vt. 随风传送, 使飘荡
vi. 飘荡
n. 吹拂, 飘荡"
incinerator,"n. 焚烧装置, 焚烧炉, 焚尸炉
"
wean,"vt. 使断奶, 使丢弃, 使断念
n. 小儿"
aegis,"n. 羊皮盾, 保护, 庇护, 赞助, 支持
"
It's time to do ...,无
domicile,"n. 住所, 住宅
v. (使)定居"
beseech,"v. 恳求, 哀求"
dike,"n. 堤防
vt. 筑堤防护"
orator,"n. 演说者, 演讲者, 雄辩家, 原告, 请愿人
"
canvass,"n. 细查, 讨论, 游说
vt. 彻底检查, 向...拉票或拉生意, 讨论
vi. 游说"
plebiscite,"n. 公民投票, 平民表决"
appeal for ..., 呼吁; 将
chastise,"vt. 责骂, 惩罚
"
indemnity,"n. 赔偿, 保障, 补偿, 赦免, 保护
"
serviceman,"n. 军人, 维修人员
"
condescend,"vi. 谦逊, 屈就, 堕落"
nomad,"n. 游牧部落一员, 流浪者
a. 游牧的, 流浪的"
exponent,"n. 说明者, 倡导者, 说明物, 指数
a. 说明的
"
deviate,"vi. 脱离, 偏离
vt. 使偏离
a. 脱离常规的
n. 脱离常规的人"
disseminate,"vt. 散播, 传播, 宣传
vi. 广为传播"
chauvinism,"n. 盲目的爱国主义, 沙文主义
"
embellish,"vt. 修饰, 装饰, 润色"
filial,"a. 子女的, 当做子女的, 孝顺的
"
allegory,n. 寓言
enjoin,"vt. 吩咐, 命令, 嘱咐, 禁止
"
claimant,"n. 提出要求者, 原告
"
enunciate,"vt. 明确地叙述, 表明
vi. 发音"
diction,"n. 措辞, 发音, 用语"
expound,"v. 详细说明, 解释"
psalm,"n. 圣诗, 圣歌, 诗篇
vt. 唱(圣歌)"
depraved,"a. 堕落的, 腐化的, 道德败坏的
"
fiend,"n. 魔鬼, 邪神, 能手, 成癖者"
imbue,"vt. 使感染, 灌输, 使浸透"
fallacy,"n. 错误的观念(或信念), 谬见, 谬论
"
instigate,"vt. 教唆, 怂恿, 煽动
"
foolhardy,"a. 愚勇的, 有勇无谋的"
commit a robbery,抢劫
jeer,"n. 嘲笑, 讥讽, 戏弄
v. 嘲弄, 揶揄, 戏弄"
attire,"n. 服装, 盛装
vt. 使穿衣, 打扮"
pacify,"vt. 使平静, 安慰, 绥靖, 使服从"
peevish,"a. 易怒的, 暴躁的, 带怒气的, 撒娇的"
conciliatory,"a. 安抚的, 和好的, 调和的"
postulate,"n. 假定, 基本条件
vt. 要求, 假定"
salutary,"a. 有益的, 有用的, 有益健康的
"
pedagogy,"n. 教育学, 教授法, 教学工作"
reiterate,"vt. 反复地说, 重申, 反复地做
"
volition,"n. 行使意志, 意志力, 决定"
suffrage,"n. 投票, 选举权, 参政权, 代祷
"
sprightly,"a. 活泼的, 愉快的
adv. 活泼地, 愉快地"
reminisce,"vt. 追忆说
vi. 追忆往事, 话旧"
memento,"n. 纪念物, 令人回忆的东西"
retract,"v. 缩回, 收回, 取消, 撤消"
altercation,"n. 争论, 争吵"
spar,"n. 晶石, 圆材, 拳斗, 争论
vt. 装圆材于
vi. 拳斗, 争论"
opinionated,"a. 固执己见的, 武断的"
twitter,"n. 啁啾, 唧唧喳喳声
vi. 啭, 啁啾, 颤抖
vt. 嘁嘁喳喳地讲, 抖动"
interminable,"a. 无限的, 冗长的"
on and on,继续不停地
voluble,"a. 流利的, 健谈的, 易旋转的, 缠绕的"
extrovert,"n. 外向性格的人
"
vouch,"vi. 担保, 保证, 证明, 确定地说
vt. 担保, 证明, 断定, 传唤...出庭作证"
cavalry,n. 骑兵
amble,"n. 马的缓行步态, 缓行漫步
vi. 马缓行, 从容漫步"
thoroughfare,"n. 通路, 大道"
borough,"n. 自治的市镇, 区"
skipper,"n. 船长, 机长, 队长"
batten,"n. 板条, 木板
"
tremulous,"a. 发抖的, 战栗的, 胆小的
"
cower,"vi. 畏缩, 退缩, 抖缩"
dingy,"a. 暗淡的, 昏暗的, 邋遢的"
buggy,"a. 多虫的
n. 双轮单座轻马车, 四轮单座马车"
creak,"n. 辗轧声, 嘎吱嘎吱声
vi. 作辗轧声, 发出辗轧声"
detour,"n. 绕路, 迂回
v. (使)绕道"
unobtrusive,"a. 不唐突的, 不引人注目的, 谦虚的"
matron,"n. 妇女, 主妇, 女总管
"
cringe,"n. 畏缩, 奉承
vi. 畏缩, 抖缩, 阿谀"
cavalier,"n. 骑士, 骑手"
crochet,"n. 钩针编织品, 钩边
v. 用钩针编织"
frock,"n. 女礼服, 连衣裙, 工装, 罩袍, 僧衣"
visage,"n. 脸, 面貌, 容貌"
daub,"v. 涂抹, 乱画, 弄脏
n. 污迹, 劣画"
sacrilegious,"a. 冒渎的, 犯渎圣罪的"
denunciation,"n. 谴责, 告发
"
daunt,"vt. 威吓, 难倒, 使气馁"
rostrum,"n. 讲坛, 演讲台, 演讲, 演讲者
"
douse,"vt. 插入水中, 浇(或洒、泼)水在...上, 熄(灯、火等), 平息
vi. 浸泡
n. 泼洒"
husk,"n. 外壳, 皮, 无价值之物
vt. 剥...的壳, 削皮"
excavate,"v. 挖空, 挖出, 凿通"
casket,"n. 首饰盒, 小箱, 匣子, 棺材"
extricate,"vt. 使解脱, 救出"
dune,n. 沙丘
flail,"n. 连枷
v. 用连枷打, 打"
delirium,"n. 精神错乱, 说谵语状态, 狂热
"
flinch,"vi. 畏缩, 退缩, 畏首畏尾
n. 退缩, 弗林奇戏"
thud,"n. 砰的一声, 重击
vi. 砰的一声掉下, 嘭的一声"
flit,"n. 掠过, 迁徙
vi. 掠过, 迁徙"
sprig,"n. 小树枝, 无头钉
vt. 用小树枝装饰, 用钉子钉上, 使蔓生"
from sprig to sprig,无
nocturnal,"a. 夜的, 夜曲的
"
lynx,"n. 猞猁
"
lair,"n. 兽穴, 兽窝, 泥潭
vi. 进入兽穴, 在泥中打滚
vt. 放于穴中, 使陷入泥潭"
forage,"n. 粮草, 饲料, 搜寻粮草
vt. 喂, 掠夺, 搜寻粮秣
vi. 搜寻粮草, 掠夺"
garnish,"n. 装饰, 装饰品
vt. 装饰"
pheasant,"n. 雉鸡, 野鸡, 雉科鸟"
persimmon,"n. 柿子(树)
"
grate,"n. 炉格, 炉篦, 炉栅, 火炉, 壁炉, 格栅
vt. 装格栅于, 磨擦, 轧碎, 磨碎, 使焦急, 触怒, 使人烦躁, 刺激, 激怒
vt.vi. 擦响, 发出刺耳的尖厉声"
squid,"n. 枪乌贼, 鱿鱼, 反潜水雷发射装置
"
hiccup,"n. 打嗝
v. 打嗝"
glutton,"n. 暴食者, 酷爱...的人"
hoist,"n. 升高, 起重机, 推动
v. 升起, 升高, 举起"
charlatan,"n. 庸医
"
impersonate,"vt. 模仿, 扮演, 体现, 使人格化
"
terminology,"n. 术语, 术语学
"
nave,"n. (教堂)中殿, 中央广场, 轮毂
"
inscribe,"vt. 登记, 铭记于, 题写, 雕刻
"
gilt,"n. 镀金, 眩目的外表, 小母猪
a. 镀金的
gild的过去式"
infatuation,"n. 迷惑, 迷恋, 醉心"
jostle,"n. 推挤, 冲撞
vi. 推挤, 冲撞
vt. 推, 挤, 煽动"
resplendent,"a. 辉煌的, 灿烂的"
flippant,"a. 轻率的, 没礼貌的, 嘴碎的"
loiter,"v. 闲荡, 虚度, 徘徊"
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部"
morose,"a. 郁闷的, 孤僻的"
lubricate,"vt. 使润滑, 涂油
vi. 润滑"
lathe,"n. 车床
vt. 用车床加工"
lunge,"n. 刺, 刺进, 跃进, 套马索
v. 突进, 刺"
bison,n. 野牛
javelin,n. 标枪
escapade,n. 越轨行为
molest,"vt. 妨碍, 干扰, 调戏
"
be involved in ..., 涉及，专心; 卷入
cessation,"n. 停止
"
pelt,"n. 投掷, 打击, 快速, 毛皮
vt. 剥...的皮, 连续投掷, 攻击, 抨击, 拍打
vi. 投击"
haggard,"n. 野鹰
a. 憔悴的, 形容枯槁的, 野性的"
plod,"n. 沉重的步伐, 辛勤工作
vi. 沉重地走, 辛勤工作, 孜孜从事
vt. 沉重缓慢地走"
glacial,"a. 冰的, 冰川的, 冰川时代的, 冰冷的
"
vulture,"n. 秃鹫, 贪婪的人
"
pounce,"n. 猛扑, 爪
vi. 猛扑, 突袭
vt. 扑住"
talon,"n. 爪, 如爪的手, 魔爪, 爪饰
"
wicker,"n. 柳条
a. 柳条编的"
sleigh,"n. 雪撬
vt. 用雪撬搬运
vi. 乘雪撬"
pout,"n. 撅嘴, 生气, 条鳕
v. 撅嘴"
mackerel,n. 鲭
nook,"n. 角落, 躲蔽处, 隐匿处, 凹处"
purr,"v. 呼噜呼噜叫, 发出喉音
n. 呼噜呼噜声"
lie down in ...,无
condolence,"n. 哀悼, 吊唁"
bereaved,"a. 丧失亲人的
bereave的过去式和过去分词"
quaver,"vi. 发颤音, 颤抖
vt. 颤抖地说, 用颤声唱出
n. 颤抖, 颤声, 八分音符"
express one's condolences,无
lattice,"n. 格子, 组合格子, 格子状东西
vt. 制做格子, 使成格子状
"
ransack,"vt. 到处搜索, 遍寻, 掠夺, 洗劫
"
otter,"n. 水獭, 水獭皮"
recoil,"n. 畏缩, 后退, 弹回, 反作用, 后坐力
vi. 退却, 畏缩, 弹回, 撤退, 反冲, 报应"
hedgehog,"n. 豪猪, 刺猬, 难交朋友的人, 防卫森严的阵地"
at the sight of ...,在看到…时
tempestuous,"a. 有暴风雨的, 暴乱的"
ruffle,"n. 皱褶, 波纹, 生气, 混乱
vt. 弄皱, 触怒, 洗(牌), 连续轻擂(鼓)
vi. 起皱, 发脾气, 连续轻擂"
surly,"a. 不和蔼的, 无礼的, 板面孔的, 阴沉的, 粗暴的, 乖戾的"
scowl,"n. 愁容, 阴沉脸色
vi. 皱眉, 绷着脸
vt. 怒视"
antic,"n. 滑稽动作
a. 古怪的"
scrabble,"vi. 扒寻, 摸索, 挣扎
vt. 扒成, 急急搜索
n. 扒, 抓, 摸索, 挣扎"
cot,"n. 行军床, 小屋, (家畜等的)棚, (家畜等的)栏
"
padlock,"n. 挂锁, 关闭, 禁止进入"
slacken,"vt. 使松弛, 放松, 放慢
vi. 变松弛, 减弱, 松劲"
gradient,"n. 倾斜度, 梯度, 坡度, 斜率
a. 渐升的, 渐降的, 步行的"
slither,"vi. 不稳地滑动
vt. 使滑动"
clump,"n. 丛, 块, 笨重的脚步声
"
snip,"v. 剪, 剪断, 削减, 删节
n. 剪, (剪刀的)一剪, 不足道的人"
whisker,"n. 腮须, 胡须, 一丝儿
"
snooze,"vi. 小睡, 打盹儿
vt. 懒散地打发日子
n. 打盹儿, 小睡"
anteroom,"n. 候见室, 前厅, 休息室
"
tongs,"n. 钳子, 夹具
"
squat,"n. 蹲, 窝
a. 蹲着的, 矮胖的
vi. 蹲下, 蹲坐, 蹲伏
vt. 使蹲下, 擅自占有"
squirt,"v. 喷出, 溅迸, 注射
n. 水枪, 注射器, 喷出"
aviary,"n. 大型鸟舍, 鸟类饲养场"
antiseptic,"n. 抗菌剂, 防腐剂
a. 抗菌的, 防腐的"
stow,"vt. 收藏, 装填, 贮藏, 装满, 使暂留, 堆垛
"
ballast,"n. 压载物, 压舱物
"
suffocate,"vt. 使窒息, 噎住, 闷熄
vi. 闷死, 窒息, 受阻"
convulsion,"n. 震动, 震撼, 动乱, 惊厥, 痉挛
"
epilepsy,"n. 癫痫症
"
angler,"n. 钓鱼, 攫取, 追逐"
thrash,"vt. 打, 使逆行, 胜过, 推敲, 鞭打
vi. 打谷, 痛打, 剧烈扭动, 逆行
n. 打谷, (划水)鞭状动作"
scuffle,"vi. 扭打, 混战, 拖着脚走, 敷衍了事
n. 扭打, 混战, 拖着脚走"
totter,"vi. 蹒跚, 动摇
n. 蹒跚的步子"
unfurl,"vt. 展开, 展示, 公开, 使临风招展
vi. 打开, 展开, 显露"
deterrence,"n. 威慑, 威慑力量
"
detriment,"n. 损害, 损害物
"
variegated,"a. 杂色的, 斑驳的, 富于变化的
"
warble,"n. 用颤音唱的歌, 鸟啭, 颤声
v. 鸟鸣, 用柔和的颤声唱"
roost,"n. 栖木, 休息所, 群栖的禽鸟
vi. 栖息, 安歇
vt. 使栖息"
infirm,"a. 弱的, 虚弱的, 柔弱的
"
wheeze,"vi. 喘气
vt. 喘息着说
n. 喘气声, 喘息"
suffer from ...,"忍受, 遭受
"
whimper,"n. 抽泣, 呜咽, 啜泣, 哭诉
vi. 呜咽, 啜泣, 抽噎地哭
vt. 呜咽着说, 啜泣着说"
mortuary,"n. 停尸间, 太平间
a. 丧葬的, 悲哀的, 埋葬的"
wrest,"n. 扭, 拧
vt. 夺取, 猛扭, 歪曲, 费力取得"
hatchet,"n. 斧头, 手斧, 战斧
"
daft,"a. 愚笨的, 癫狂的, 狂闹的"
wriggle,"n. 蠕动, 蜿蜒
vi. 蠕动, 蜿蜒前进, 摆脱
vt. 使扭动, 扭动着爬"
moat,"n. 壕沟, 护城河
vt. 将...围以壕沟"
shin,"n. 胫骨
v. 攀, 爬"
pike,"n. 长矛, 尖头, (体操)屈体, 流浪者, 狗鱼, 通行费
vi. 用矛刺杀, 刺, 离开, 谨慎办事, 采用屈体姿势"
writhe,"n. 扭动, 盘绕, 苦恼
vt. 扭曲, 缠绕
vi. 蠕动, 扭动身体, 盘绕, 遭受苦难"
alderman,"n. 市政委员会委员, 高级市政官
"
adjourn,"vi. 休会, 换地方
vt. 使中止, 推迟"
functionary,"n. 职员, 负责人员, 官员
a. 机能的, 作用的, 职务的"
peddler,"n. (毒品)小贩, 传播者, 沿街叫卖的小贩"
appraise,"vt. 评价, 估价
"
stallion,n. 种马
assail,"vt. 攻击, 质问
"
citadel,"n. 城堡, 避难处"
promontory,"n. 岬, 海角
"
assay,"n. 试验, 化验, 分析
vt. 化验, 分析, 评价, 尝试
vi. 被验明内含成分"
fluoride,"n. 氟化物
"
parson,n. 教区牧师
bandit,n. 强盗
atone,"vi. 补偿, 弥补
"
bequeath,"vt. 遗赠, 遗留
"
sundry,"a. 各式各样的
"
curio,n. 古董
synod,"n. 教会会议, 会议"
circumscribe,"vt. 在...周围画线, 限制"
laity,"n. 俗人, 外行
"
crypt,"n. 土窖, 地穴, 地下室
"
coddle,"vt. 娇养, 溺爱, 用文火煮(蛋)"
bashful,a. 害羞的
coerce,"vt. 强制, 强迫"
atheist,n. 无神论者
sabbath,n. 安息日
keep the Sabbath,守安息日
conciliate,"vt. 安抚, 说服, 博得...的支持, 调和
"
litigant,"a. 诉讼的
n. 诉讼当事人, 诉讼关系人"
reparation,"n. 补偿, 赔偿, 弥补, 修复, 修理
"
onlooker,"n. 旁观者, 袖手旁观者"
congregate,"v. (使)集合, (使)聚集
a. 集合在一起的, 集体的"
fuselage,n. 机身
consecrate,"vt. 把...供祭祀用, 奉献, 使神圣
a. 被献给神的, 神圣的"
jubilee,"n. 五十周年纪念/庆祝, 二十五周年纪念/庆祝, 欢乐的佳节, 欢庆日, 狂欢节"
a silver jubilee,无
coercion,"n. 强迫, 威压, 高压统治
"
contravene,"vt. 违反, 触犯, 否认, 反驳, 抵触, 与...冲突
"
assessor,"n. 辅佐人, 顾问, 估税员
"
dally,"vi. 戏耍, 玩弄, 闲混
vt. 浪费"
ledger,"n. 分类帐, 分户总帐, 盖墓石板, 横木
"
fill in ...,"na. 填充；填写；同“fill”
"
drudgery,"n. 苦差事, 苦工"
contagion,"n. 触染, 触染病, 蔓延, 歪风
"
demoralize,"vt. 使道德败坏, 使堕落, 挫折锐气"
dislodge,"vt. 逐出, 使移动, 驱逐
vi. 离开原位"
scum,"n. 浮渣, 糟粕, 浮藻, 熔渣, 不起好作用的人
vt. 撇去(浮沫)
vi. 产生泡沫"
sediment,"n. 沉淀物, 沉积
"
sluice,"n. 水门, 水闸, 蓄水
vt. 泄洪, 冲洗
vi. 奔流"
dissect,"v. 解剖, 切开"
sinew,"n. 肌肉, 精力, 体力, 力量的源泉, 腱
vt. 赋予力量, 加强"
exhortation,"n. 劝告, 训词, 讲道词"
edify,"vt. 启迪, 熏陶, 教诲"
dejected,"a. 沮丧的, 灰心的"
veterinarian,"n. 兽医
"
elucidate,"vt. 阐明, 说明"
rabies,"n. 狂犬病
"
embezzle,"vt. 盗用, 挪用
"
kickback,"n. 回答, 反扑, 退还
"
enshrine,"vt. 入庙祀奉, 铭记"
goblin,n. 小妖精
talisman,"n. 护身符, 驱邪物, 法宝"
evict,"vt. 逐出, 赶出, 驱逐
"
turnpike,"n. 收税栅, 收税路, 收税高速公路, 公路, 大道"
exorcise,"vt. 驱邪, 除怪"
malevolent,"a. 有恶意的, 坏心肠的"
apparition,"n. 鬼, 幽灵, 幻影"
expedite,"vt. 加快, 促进, 发出
a. 畅通的, 无阻碍的, 迅速的, 方便的"
embankment,"n. 堤防, 筑堤"
extradite,"vt. 引渡, 获取(逃犯等)的引渡
"
itinerant,"a. 巡回的
n. 巡回者"
squatter,"n. 蹲着的人, 擅自占用土地或房屋者
vi. 涉水而过"
devolution,"n. 相传, 转让, 委付
"
foreclose,"vt. 阻止, 排除, 预先处理, 取消抵押品赎回权
vi. 取消抵押品赎回权"
complainant,"n. 发牢骚的人, 原告
"
gird,"n. 嘲笑
vt. 用带束, 佩带, 围绕, 嘲笑
vi. 准备, 嘲笑"
rebuttal,"n. 辩驳, 驳回, 反驳, 反驳的证据, 反证
"
immunize,"vt. 使免疫, 赋予免疫性"
mumps,"n. 流行性腮腺炎, 愠怒
"
eviction,"n. 逐出, 赶出
"
infringe,"v. 破坏, 侵犯, 违反"
liquidate,"vt. 偿付, 清算, 扫除, 整理, 变卖, 消灭
vi. 清算, 清理"
decrepit,a. 衰老的
foundry,"n. 铸造, 铸造厂, 铸造类
"
modulate,"vt. 调整, 使转调, 控制
vi. 转调, 调制"
autism,"n. 孤独症
"
polemic,"a. 争辩的, 好争论的
n. 争论, 辩论, 辩论者"
negate,"vt. 否定, 否认, 取消
"
ratification,"n. 批准, 承认, 认可
"
nullify,"vt. 使无效, 废弃, 取消
"
bilateral,"a. 有两边的, 双边的, 双方的
"
saturation,"n. 饱和, 渗透, 浸透, 色饱和度
"
saturation bombing,n. 密集轰炸
outwit,"vt. 瞒骗, 以智取胜"
sentry,"n. 哨兵, 看守
vt. 设岗哨
vi. 站岗, 放哨"
subterranean,"a. 地下的, 秘密的
n. 地下室, 地下工作者"
mercenary,"n. 唯利是图者, 雇佣兵
a. 为钱而工作的, 被雇的, 图利的"
overrate,"vt. 评价过高, 高估, 估价过高
"
thoroughbred,"a. 受过严格训练的, 良种的
n. 受过严格训练的人, 良种动物"
armpit,"n. 腋窝
"
scruffy,"a. 不整齐的, 肮脏的, 破旧的, 褴褛的"
panhandle,"n. 锅柄, 锅柄状地区, 狭长土地
v. 街头行乞, 讨钱"
New York City,纽约市（美国一座城市）
shifty,"a. 变化的
"
pilfer,"v. 盗取, 小偷小摸, 剽窃"
satchel,"n. 书包, 小背包"
pillage,"n. 掠夺, 抢劫, 掠夺物, 战利品
v. 掠夺, 抢劫"
vicinity,"n. 附近, 邻近, 附近地区, 近处
"
procrastinate,"v. 延迟, 耽搁"
irksome,"a. 厌恶的, 讨厌的, 令人厌烦的"
deal with ...,"安排, 处理, 涉及, 做生意"
proscribe,"vt. 剥夺...的公民权, 使失去法律保护, 把...充军, 把...放逐, 排斥, 禁止"
sojourn,"n. 逗留, 旅居
vi. 逗留, 旅居"
raze,"vt. 毁灭, 刮去, 把...夷为平地, 消除, 抹去, 破坏"
dilapidated,"a. 破坏的；荒废的, 要塌似的"
upmarket,"a. 高级的, 高档的, 高端的"
recompense,"n. 报偿, 酬金, 赔偿
vt. 报偿, 赔偿, 报酬"
bountiful,"a. 慷慨的, 宽大的"
gratuity,"n. 小费, 赠物, 赏钱
"
redress,"n. 赔偿, 补救, 矫正
vt. 纠正, 赔偿, 救济"
welter,"vi. 翻滚, 滚动, 沉溺, 浸湿, 起伏
n. 翻滚, 汹涌, 混乱, 起伏, 重量级骑手"
as soon as possible,尽快
reimburse,"vt. 付还, 偿还, 赔偿
"
outlay,"n. 费用, 经费, 支出
vt. 花费"
flora,"n. 植物群
"
repatriate,"vt. 把...遣返
vi. 回国
n. 被遣返回国者"
quarantine,"n. 隔离, 封锁交通, 检疫期
vt. 隔离, 排斥"
repudiate,"vt. 声明离婚, 拒绝, 拒付, 拒绝履行
"
consignment,"n. 委托
"
used clothes,无
futility,"n. 无用, 无益, 无价值"
rescind,"vt. 废止, 使无效, 取消, 撤消, 解除
"
rummage,"v. 仔细翻寻, 仔细搜查, 检查出
n. 仔细翻找, 查出的物件"
urn,"n. 瓮, 缸, 坟墓"
toad,"n. 蟾蜍, 癞蛤蟆, 讨厌的家伙"
secrete,"vt. 隐秘, 隐藏, 隐匿, 分泌
"
sequester,"vt. 使隐退, 使隔绝, 扣押, 没收
"
cavern,"n. 巨穴, 洞窟, 深处
vt. 放于山洞中, 挖空"
exemplar,"n. 模范, 榜样, 原型, 标本"
slough,"n. 泥沼, 沼泽, 蜕下的皮, 腐肉
vt. 使陷入泥沼, 使沉沦, 脱落, 抛弃
vi. 在泥浆中跋涉, 蜕皮, 脱落"
dermatologist,"n. 皮肤学者, 皮肤科医生
"
sterilize,"vt. 使成不毛, 使绝育, 杀菌, 使不起作用
"
subjugate,"vt. 征服, 使服从, 抑制, 克制"
kindred,"n. 家族, 相似, 亲戚关系
a. 同族的, 同类的, 血缘的"
sewerage,"n. 排水设备, 污水
"
substantiate,"vt. 使实体化, 证实
"
sulk,"n. 闹情绪, 闷闷不乐
vi. 不高兴, 闷闷不乐, 不悦, 生气, 愠怒"
brusque,"a. 唐突的, 直率的"
recrimination,"n. 反责, 反唇相讥
"
superimpose,"vt. 把(一物)放在另一物的上面, 添上, 附加, 加上, 添加
"
cactus,"n. 仙人掌
"
vindictive,"a. 有报仇心的, 怀恨的, 惩罚的
"
swindle,"n. 骗取, 欺诈, 骗局
v. 骗取, 诈取"
usurp,"vt. 篡夺, 侵占, 夺取
vi. 篡夺, 侵占"
forgery,"n. 伪造, 伪造罪, 伪造物
"
vacate,"vt.vi. 使空出, 搬出, 腾出, 不再使用/居住, 解除(职位), 撤离(阵地), 辞职, 退位
vt. 取消, 使作废"
tenancy,"n. 租用, 租赁
"
vanquish,"vt. 打败, 征服, 克服
"
mane,n. 鬃毛
wheedle,"vt. 以甜言蜜语诱惑, 用甜言蜜语骗
vi. 用甜言蜜语哄骗"
docile,"a. 容易教的, 温顺的"
whitewash,"n. 白色涂料, 粉饰, 得零分的惨败"
concomitant,"a. 相伴的, 伴随的, 共存的
n. 伴随物"
heretic,"n. 异教徒, 异端者"
abhor,"vt. 憎恶, 痛恨, 回避, 拒绝"
rebellion,"n. 谋反, 叛乱, 反抗
"
bronchitis,"n. 支气管炎
"
ail,"vt. 使苦恼
vi. 生病, 处境困难
"
affront,"n. 公开侮辱, 轻蔑
vt. 公开侮辱, 冒犯, 面对"
magnate,"n. 大官, 巨头
"
antagonize,"vt. 使对抗, 使敌对, 反对
vi. 引起反抗"
friar,n. 修道士
blanch,"vt. 漂白, 使变白
vi. 发白"
filth,"n. 污秽, 不洁, 猥亵
"
claustrophobia,"n. 幽闭恐怖症
"
detest,"vt. 厌恶, 憎恨"
foyer,"n. 门厅, 入门大堂"
eavesdrop,"v. 偷听
n. 屋檐水, 偷听"
exchequer,"n. (英国)财政部, 国库
"
emissary,"n. 密使, 间谍, 使者
a. 充当密使的, 充当间谍的"
efface,"vt. 抹去, 消除, 忘却"
abominable,"a. 讨厌的, 令人憎恶的"
slapstick,"n. 闹剧, 趣剧"
hark,vi. 倾听
puberty,"n. 青春期, 春情发动期
"
scruple,"n. 踌躇, 犹豫, 微量
vi. 踌躇, 有顾忌"
impel,"vt. 推动, 激励, 驱使, 迫使"
diabolic,"a. 恶魔的, 恶毒的, 凶暴的, 恶魔似的, (非正式)非常可憎的"
keynote,"n. 主调音, 基音, 基调
vt. 说明基本政策, 定基调"
oscillate,"vi. 振动, 彷徨, 犹豫
vt. 使振动, 使动摇"
