evict,"vt. 逐出, 赶出, 驱逐
"
discombobulated,vt. 使混乱；使泄气；使困惑
beneficial,"a. 有益的, 受益的
"
propulsive,"a. 推进的, 有推进力的
"
mnemonic,"a. 记忆的, 助记的
n. 助记符
"
smear,"vt. 涂, 擦上, 玷污, 把...擦模糊
vi. 被弄脏
n. 污点, 污迹, 污蔑"
balk,"n. 障碍, 错误, 失败
vt. 阻止, 错过, 推诿
vi. 逡巡不前"
crass,"a. 粗俗的, 愚钝的, 粗糙的, 非常的"
principle,"n. 原则, 原理, 主义
"
astounding,a. 令人惊骇的
contentious,"a. 好争吵的, 爱争论的, 有异议的
"
essence,"n. 实质, 本质, 香精
"
vain,"a. 无价值的, 徒然的, 空虚的, 自负的, 愚蠢的"
endue,"vt. 授予, 赋予, 穿上"
inaccessible,"a. 难得到的, 难接近的, 难达成的"
coalescence,"n. 联合, 结合, 合并
"
conformity,"n. 遵照, 适合, 一致, 相似
"
assurance,"n. 保证, 把握, 信心, 保险
"
disprove,"vt. 证明...是不对的, 提出...的反证, 反驳
"
optimism,"n. 乐观主义, 乐观, 乐天
"
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的"
temperance,"n. 节欲, 戒酒, 禁酒, 节制
"
dauntless,"a. 不屈不挠的, 大胆的"
discretion,"n. 慎重, 辨别力, 考虑, 处理权
"
painstaking,"n. 辛苦, 苦心, 工夫
a. 辛苦的, 勤勉的, 小心的"
ethical,"a. 伦理的, 民族的, 民族特有的
"
sensational,"a. 使人感动的, 非常好的"
authenticity,"n. 可靠性, 真实性
"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
exempt,"n. 免税者, 被免除义务者
a. 免除的
vt. 使免除, 豁免"
supplementary,"a. 补足的, 补充的, 追加的
"
overpass,"n. 天桥, 旱桥, 立交桥
vt. 超越, 胜过, 通过, 忽略, 侵犯"
pedal,"n. 踏板, 脚蹬子
a. 脚的, 脚踏的
vt. 用脚踏动
vi. 踩踏板, 骑车"
bowdlerize,"vt. 删除, 删改"
affray,"n. 吵架, 滋事
"
unveil,"vt. 揭开, 揭幕, 除去...的面纱
vi. 显露, 除去面纱"
hostility,"n. 敌意, 敌对, 反对"
forbearance,"n. 节制, 自制, 忍耐
"
arduous,"a. 费力的, 努力的, 险峻的"
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
comport,"vt. 举动, 表现
vi. 相称, 适合"
disparage,"vt. 蔑视, 贬损
"
repulse,"n. 击退, 拒绝
vt. 厌恶, 击退, 拒绝"
aviary,"n. 大型鸟舍, 鸟类饲养场"
rigor,"n. 严格, 严厉, 苛刻, 严酷, 严密, 精确
"
didactic,"a. 教训的, 说教的, 教导的, 教诲的
"
glacial,"a. 冰的, 冰川的, 冰川时代的, 冰冷的
"
elude,"vt. 逃避, 规避, 把...难倒"
inclination,"n. 倾向, 趋向, 倾斜度, 点头
"
inconvenient,"a. 不便的, 有困难的"
incentive,"n. 动机
a. 激励的"
armada,n. 舰队
phenomenon,"n. 现象, 迹象, 表现, 奇迹, 奇才
"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
issue,"n. 发行, 问题, 后果, 流出, 出口, 争端
vi. 发行, 流出, 造成...结果, 传下
vt. 使流出, 放出, 发行, 发布, 发给"
ambiguous,"a. 不明确的, 模棱两可的
"
opponent,"n. 对手, 敌手, 反对者
a. 敌对的, 反对的, 对面的"
repress,"vt. 镇压, 抑制, 压制
vi. 压制"
auditory,"a. 听觉的, 听觉器官的
"
omen,"n. 预兆, 前兆, 征兆
vt. 预示, 有...的前兆, 显出...的预兆"
playful,"a. 爱打趣的, 多趣的, 开玩笑的, 嬉戏的"
negligent,"a. 疏忽的, 粗心的, 不在意的"
buttress,"n. 拱壁, 扶壁, 支持物
vt. 支持, 以扶壁支撑"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
feat,"n. 壮举, 功绩, 技艺表演
a. 灵巧的, 合适的, 整洁的"
anecdote,"n. 轶事, 奇闻"
asylum,"n. 庇护, 收容所
"
submarine,"n. 潜水艇, 海底生物
a. 海中的, 生长在海中的
vt. 用潜水艇攻击
vi. 在下疾行, 在下滑动"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
populous,"a. 人口多的, 人口稠密的"
wherever,adv. 无论哪里
diligent,"a. 勤勉的, 用功的"
divest,"vt. 使摆脱, 使脱去, 夺去
"
typify,"vt. 代表, 象征, 为...之典型"
diplomat,"n. 外交官, 有外交手腕的人
"
circumvent,"vt. 绕行, 陷害, 包围, 智取"
illusion,"n. 幻影, 错觉, 幻想
"
aesthetic,"a. 美学的, 审美的, 有美感的"
inevitable,"a. 不可避免的, 必然的
"
portent,"n. 前兆, 预示, 异常之物"
vaccinate,v. 预防接种
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
rotate,"a. 辐状的
vt. 使旋转, 使转动, 使轮流
vi. 旋转, 循环
"
frightful,"a. 可怕的, 惊人的, 丑的, 非常的"
exert,"vt. 发挥, 运用, 施以影响
"
offshoot,"n. 分支, 旁系, 衍生事物"
wry,"a. 扭歪的, 歪曲的, 歪斜的
v. 扭曲, 扭歪"
contingent,"a. 或许发生的, 附随的, 偶然发生的
n. 偶然事件, 分遣队"
sociable,"a. 好交际的, 社交的, 过社会生活的
n. 联谊会"
domestic,"a. 家庭的, 国内的, 驯养的
"
cerebration,"n. 脑髓作用, 大脑活动, 思考
"
wrath,"n. 愤怒, 激怒, 愤怒的举动, (自然现象等)严酷"
inhume,"vt. 埋葬, 土葬"
cantankerous,"a. 专爱唱反调的, 爱吵架的"
vivacity,"n. 快活, 活泼, 精神充沛"
earthy,"a. 土的, 土质的, 土味的"
rendition,"n. 译文, 施舍, 表演
"
illimitable,"a. 无限的, 无边际的"
log,"n. 记录, 圆木, 日志, 计程仪
vt. 伐木, 切, 航行
vi. 伐木
"
turbulence,"n. 混乱, 动荡, 骚乱, 紊流
"
rumple,"v. 弄皱, 弄得乱七八糟
n. 皱纹, 皱褶"
intrusive,"a. 打扰的, 插入的
"
disconsolate,a. 郁郁不乐的
antiseptic,"n. 抗菌剂, 防腐剂
a. 抗菌的, 防腐的"
breach,"n. 裂口, 违背, 破坏, 违反, 突破, 破裂
vt. 攻破, 突破
vi. 跳出水面"
underlie,"vt. 位于...之下, 成为...的基础"
landscape,"n. 风景, 山水, 风景画
vi. 从事景观美化
vt. 美化...景观
"
alliance,"n. 联盟, 联合
"
ancillary,"a. 从属的, 辅助的, 副的
"
element,"n. 元件, 元素, 要素
"
tact,"n. 机智, 手法, 老练
"
intangible,"a. 难以明了的, 无形的
"
bellicose,"a. 好战的, 好斗的
"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
qualification,"n. 资格, 条件, 限制
"
concede,"vt. 承认, 退让
vi. 让步"
beatitude,"n. 至福, 祝福"
prominence,"n. 突起, 突出, 显著, 突出物, 凸出
"
paralyze,"vt. 使瘫痪, 使麻痹
"
transcript,"n. 抄本, 副本, 成绩单
"
trait,"n. 特征, 特性, 一笔, 少许"
extinct,"a. 熄灭的, 灭绝的, 耗尽的
"
emphasis,"n. 强调, 加强, 重点, 强语气"
commonplace,"n. 寻常事, 老生常谈, 普通的东西
a. 平凡的, 普通的"
beneficiary,"n. 受惠者, 受益人
a. 受封的"
compression,"n. 压缩, 压紧
"
powerless,"a. 无力的, 无权的, 无效能的"
misunderstand,"vt. 误解, 误会"
shatter,"n. 碎片, 粉碎, 落叶, 喷洒
vt. 打碎, 使散开, 粉碎, 破坏
vi. 粉碎, 损坏, 脱落"
alcove,"n. 凹室, 壁龛, 小亭"
profession,"n. 职业, 表白, 声明
"
seize,"vt. 抓住, 逮捕, 俘获, 没收, 扣押, 掌握
vi. 突然抓住, 利用"
utopian,"a. 乌托邦的, 空想社会主义的
n. 理想社会主义者"
emphasize,"vt. 强调, 加强语气, 着重"
rupture,"n. 破裂, 断裂, 裂开, 决裂, 不和
v. (使)破裂"
legible,"a. 清晰的, 易读的"
anonymous,"a. 姓氏不详的, 无名的, 无特色的
"
seminar,"n. 研究班, 专题讨论会
"
stubborn,"a. 顽固的, 不听话的, 执拗的, 棘手的"
guilty,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
"
notorious,"a. 声名狼藉的, 臭名昭著的, 众人皆知的"
abstruse,"a. 难解的, 深奥的"
introspect,"vt.vi. 进行反省
"
engross,"vt. 用大字体书写, 独占(市场), 使全神贯注
"
component,"n. 元件, 组件, 成分
a. 组成的, 构成的
"
extinguish,"vt. 熄灭, 使消亡, 压制, 使减色
"
elasticity,"n. 弹力, 弹性
"
archipelago,"n. 群岛, 多岛屿的海"
idealize,"vt. 使理想化
vi. 理想化, 形成思想, 描述理想"
bureau,"n. 局, 办公处
"
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
adamant,"n. 坚硬的东西
a. 非常坚硬的, 坚强的, 固执的"
attest,"vi. 证明, 表明, 作证
vt. 为...作证"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
faction,"n. 小派系, 内讧
"
ashen,"a. 由灰烬构成的, 灰色的, 苍白的
"
noticeable,"a. 显而易见的, 显著的, 值得注意的"
economic,"a. 经济上的, 实用的, 节省的
"
abusive,"a. 恶言谩骂的, 被滥用的, 腐败的, 虐待的"
cognate,"a. 同族的, 同语系的, 同词源的, 母族的, 同性质的, 同类的, 同种的
n. 亲族, 同语系的语言, 同词源的词, 同性质的东西, 同源物
"
magnitude,"n. 巨大, 重大, 重要, 大小, 数量, 星等(指星的亮度)
"
intuition,"n. 直觉, 直觉的知识"
sympathetic,"a. 有同情心的, 合意的, 赞成的
n. 交感神经, 容易感受的人"
denigrate,"vt. 使变黑, 玷污, 诋毁"
positive,"a. 肯定的, 积极的, 有把握的
"
zealous,"a. 热衷的, 热诚的, 热心的, 热情的"
fluent,"a. 流利的, 流畅的"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
gamble,"n. 赌博, 冒险
v. 赌博, 孤注一掷"
prohibition,"n. 禁令, 禁止"
warrant,"n. 授权, 正当理由, 根据, 证明, 批准, 凭证, 令状, 委任状
vt. 授权给, 保证, 担保, 批准, 使有正当理由"
autonomous,"a. 自治的
"
lasting,"a. 永久的, 永恒的, 持久的
n. 厚实斜纹织物"
august,"n. 八月
a. 威严的, 令人敬畏的"
aperture,"n. 孔, 缝隙, 孔径
"
bauble,"n. 美观而无价值的东西, 玩具, 小玩意"
bawdy,"a. 淫秽的, 言语猥亵的"
revelation,"n. 揭露, 泄露, 发觉, 默示, 启示"
acquaintance,"n. 认识, 相识者"
scarcity,"n. 缺乏, 不足, 缺少
"
conspicuous,"a. 显著的, 显眼的, 出众的"
syllable,"n. 音节
vt. 分成音节
"
chicanery,"n. 强词夺理, 狡辩, 欺骗"
outcry,"n. 尖叫, 倒彩, 强烈抗议, 喊价
vi. 喊叫
vt. 叫得比...响"
cardinal,"n. 红衣主教, 鲜红色
a. 主要的, 深红色的"
immerse,"vt. 沉浸, 使陷入
"
aggregate,"n. 合计, 总计, 聚集体
a. 合计的, 聚集的
v. 聚集, 集合, 合计达
"
regime,"n. 政权, 当权期间, 政体, 社会制度, 体制, 情态
"
cower,"vi. 畏缩, 退缩, 抖缩"
hover,"vi. 盘旋, 翱翔, 徘徊
vt. 孵
n. 翱翔"
garbled,"a. 断章取义的, 曲解的, 篡改的, 歪曲事实的, 混淆不清的
"
recess,"n. 休息, 休会, 放假, 凹进处, 深处
vt. 使凹进
vi. 休假, 休息"
budge,"vi. 微微移动
vt. 推动
n. 羔羊皮"
smug,"a. 自以为是的, 自鸣得意的, 整洁的
n. 书呆子, 自命不凡的家伙"
loiter,"v. 闲荡, 虚度, 徘徊"
leave,"n. 许可, 告别, 请假, 休假
vt. 离开, 剩下, 遗忘, 委托, 丢弃
vi. 出发, 离开, 生叶"
skeptic,"n. 怀疑者, 怀疑论者, 不可知论者"
prohibit,"vt. 禁止, 阻止
"
legislate,"vi. 制定法律
vt. 用立法规定"
precarious,"a. 不稳定的, 不安的, 危险的"
encyclopedia,n. 百科全书
countless,"a. 数不尽的, 无数的"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
archetype,n. 原型
strait,"n. 海峡, 困境
a. 困难的, 窘迫的, 狭窄的"
resistant,"n. 抵抗者, 反抗者
a. 抵抗的, 反抗的, 耐...的"
revive,"vt. 使苏醒, 使复兴, 使振奋, 回想起, 重播
vi. 苏醒, 复活, 复兴, 恢复精神"
vocal,"a. 嗓音的, 声音的, 有声的, 歌唱的
n. 元音, 声乐作品"
discomfit,"vt. 打乱, 挫败, 使破灭"
bygone,"n. 过去的事, 往事
a. 过去的"
amply,"adv. 充足地, 充裕地"
anomaly,"n. 不规则, 反常事物, 畸形
"
connotation,"n. 含蓄, 内涵"
citadel,"n. 城堡, 避难处"
instill,"vt. 滴注, 慢慢地灌输"
foil,"n. 箔, 烘托, 衬托
vt. 贴箔于, 衬托, 阻止, 挡开, 挫败"
finch,n. 雀科鸣鸟
addle,"vt. 使昏乱, 使腐坏
vi. 变质
a. 昏乱的, 腐坏的"
unduly,"adv. 不适当地, 过度地
"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
semiconscious,"a. 半意识的
"
glacier,n. 冰川
perform,"vt. 进行, 履行, 完成, 执行, 表演
vi. 行动, 工作, 执行, 演出"
profuse,"a. 很多的, 丰富的, 浪费的, 慷慨的"
commemorate,vt. 纪念
mean,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的
vt. 意谓, 想要, 意欲, 预定
vi. 用意, 有意义
n. 平均数, 中间, 中庸"
hypocritical,"a. 伪善的, 伪善者的"
differentiate,"v. 区别, 区分"
literature,"n. 文学, 文艺, 著作
"
perception,"n. 知觉, 感觉, 领悟力, 获取
"
levy,"n. 税款, 所征的人数, 征收
vi. 征税, 课税
vt. 征收, 强求, 召集"
biennial,"n. 两年生植物, 两年一次的事
a. 两年生的, 两年一次的"
maintenance,"n. 维护, 保持, 维修, 生活费用, 坚持, 扶养
"
tranquil,a. 安静的
torturous,"a. 折磨人的, 极端痛苦的"
toxic,"a. 有毒的, 中毒的
"
countermand,"vt. 取消, 撤回, 下命令召回
n. 收回命令, 取消命令"
allocate,"vt. 分派, 分配
"
complicity,"n. 同谋, 串通, 复杂
"
exposure,"n. 暴露, 揭发, 揭露
"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
innate,"a. 先天的, 天生的
"
unqualified,"a. 不合格的, 无资格的, 不胜任的
"
indiscernible,"a. 难识别的, 看不见的"
tutorship,"n. 教师之职位
"
punctual,"a. 准时的, 守时的, 点状的, 中肯的
"
falsify,"vt. 伪造, 歪曲
vi. 说谎"
aggravate,"vt. 使恶化, 使更严重, 加重"
deport,"vt. 举止, 驱逐出境
"
hinder,"a. 后面的
v. 阻碍, 打扰"
era,"n. 时代, 纪元, 时期"
stun,"vt. 使昏迷, 使震惊, 打昏
n. 昏迷, 猛击"
transparent,"a. 透明的, 显然的, 清晰的
"
tolerable,"a. 可容忍的, 可以的"
antecedent,"n. 前情, 先行词
a. 先前的, 先行的"
justify,"vt. 替...辩护, 证明
vi. 证明合法
"
persuasive,"a. 有说服力的, 劝诱的, 劝导性的"
modulate,"vt. 调整, 使转调, 控制
vi. 转调, 调制"
resonance,"n. 共鸣, 回声, 反响, 谐振, 共振
"
poverty,"n. 贫穷, 贫困, 缺乏
"
symptomatic,"a. 作为征候的, 症状的, 根据征候的
"
conception,"n. 观念, 概念
"
surround,"vt. 包围, 环绕, 围绕
n. 围绕物"
monetary,"a. 货币的, 金钱的
"
profound,"a. 极深的, 深厚的, 深刻的, 渊博的"
arrange,"v. 安排, 排列, 达成协议
"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
transplant,"vt. 使移居, 移植, 使迁移
vi. 移居, 耐移植
n. 移居者, 移植"
validity,"n. 有效性, 正确性
"
vague,"a. 含糊的, 不清楚的, 茫然的"
anesthetic,"n. 麻醉剂, 麻药
a. 麻醉的"
vital,"a. 生命的, 重要的, 充满活力的, 生死攸关的, 致命的
"
unyielding,"a. 不易弯曲的, 不屈的"
transcribe,"vt. 抄写, 译, 意译, 录制, 改编
"
advantage,"n. 优点, 便利, 好处, 优势
vt. 有助于"
subjective,"a. 主观的, 个人的
"
trickery,"n. 欺骗, 欺诈, 诡计
"
insignificant,"a. 无关紧要的, 无意义的, 琐碎的"
gap,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序
vt. 打开缺口, 造成缝隙
vi. 豁开
"
rationalize,"vt. 使合理, 合理地处理, 使有理化
vi. 合理地思考"
righteous,"a. 公正的, 正义的, 正直的
"
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
network,"n. 网络, 广播网, 网状物
"
condense,"vt. 使浓缩, 使压缩, 缩短
vi. 浓缩, 凝结"
candidate,"n. 候选人, 投考者
"
affix,"vt. 使附于, 署名, 粘贴, 盖印于
n. 附加物, 词缀"
convoluted,"a. 盘绕的, 回旋的, 旋绕的, 卷绕的, 复杂的
"
covert,"a. 隐蔽的, 偷偷摸摸的, 隐密的
n. 树丛, 隐藏处"
deduce,"vt. 推论, 演绎出
"
sufficiency,"n. 充足, 充分的数量, 自负"
sustainable,"a. 足可支撑的, 养得起的, 可以忍受的"
depreciate,"vi. 贬值
vt. 降价, 贬低"
legitimize,vt. 使…合法；立为嫡嗣
rancid,"a. 像油脂腐臭味的, 腐臭的
"
depreciatory,"a. 贬值的, 贬低的, 蔑视的, 跌价的"
title,"n. 头衔, 名称, 标题, 书名, 扉页, 权利, 资格, 冠军, 字幕
vt. 授予头衔, 加标题于
"
enamored,"a. 倾心于...的, 被迷住的, 迷恋的"
bedraggle,vt. 弄湿
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
ingrained,"a. 根深蒂固的, 彻底的, 深染的"
virtual,"a. 实际上起作用的, 虚的, 实质的, 有效的, 事实上生效的
"
acclivity,n. 上坡
declaim,"v. 慷慨陈词, 演讲, 朗读"
partition,"n. 分割, 隔离物, 隔墙, 财产分割
vt. 区分, 瓜分, 隔开, 分割
"
canine,"n. 犬齿, 犬
a. 犬的, 似犬的, 犬科的"
exterminate,"vt. 扑灭, 消灭, 根绝"
celebrated,"a. 驰名的, 有名的"
braggart,"n. 吹牛者, 自夸者
a. 吹牛的, 自夸的"
combustible,"a. 易燃的, 燃烧性的, 易动激情的
n. 易燃物, 可燃物"
abstain,"vi. 自制, 戒绝, 弃权, 回避"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
tendency,"n. 趋向, 倾向
"
vacillate,"vi. 游移不定, 踌躇, 犹豫, 摇摆"
atrocity,"n. 残暴, 凶恶, 暴行
"
detach,"vt. 使分离, 分遣
"
diversify,"vt. 使多样化, 使变化"
disrepute,"n. 丧失名誉, 坏名声, 不名誉"
inhuman,"a. 残忍的, 无人性的, 非人类的
"
wane,"n. 减少, 衰微, 败落, 亏缺, 月亏
vi. 变小, 亏缺, 衰落, 消逝, 退潮"
compulsory,"a. 被强制的, 强迫的, 义务的
"
setback,"n. 挫折, 退步, 逆流"
compliment,"n. 称赞, 恭维, 敬意
vt. 称赞, 褒扬, 恭维"
quaint,"a. 古雅的, 离奇有趣的, 奇怪的"
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的"
everlasting,"a. 永恒的, 持久的
n. 上帝, 神"
frustrate,"vt. 挫败, 击败, 破坏
a. 无益的, 挫败的, 挫折的"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
multiplicity,"n. 相重性, 多重性, 多样
"
intermediate,"n. 中间物, 调停者, 中级
a. 中间的, 中级的
vi. 起媒介作用
"
paradox,"n. 似非而是的论点, 自相矛盾的话, 悖论, 怪人怪事
"
reckless,"a. 不介意的, 大意的, 鲁莽的, 不顾后果的
"
dispel,"vt. 驱散, 驱逐"
transcend,"vt. 超越, 胜过"
disingenuous,"a. 不老实的, 不诚实的, 狡猾的"
exclude,"vt. 除外, 排除, 排斥
"
monarchy,"n. 君主政体, 君主国, 君主政治
"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
chronological,"a. 年代学的, 按时间顺序的, 按照年月顺序的
"
alias,"n. 别名, 化名
adv. 以化名为人所知
"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
commit,"vt. 委托(托付), 犯罪, 指派...作战, 使承担义务
"
bland,"a. 温和的, 乏味的, 冷漠的
"
indisputable,a. 无争论之余地的
aphorism,"n. 格言, 警语"
scatter,"n. 消散, 分散, 散播, 散射, 散布, 酒馆
vi. 散布, 散播, 消散
vt. 使消散, 使分散, 撒, 散布, 散播, 散射
"
carnage,"n. 大屠杀, 残杀"
minority,"n. 少数, 未成年, 少数民族
a. 少数的, 属于少数派的"
constituent,"n. 成分, 选民, 构成物
a. 构成的, 组织的, 选举的"
censure,"n. 责难
vt. 非难, 指责"
burgeon,"n. 芽, 嫩枝
v. 萌芽, 发芽"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
repute,"n. 名望, 名气, 声望
vt. 认为, 以为"
polar,"a. 两极的, 极地的, 正好相反的, 极性的
n. 极线, 极面"
rectify,"vt. 订正, 矫正, 改正, 调正, 校正, 精馏, 整流
"
graphic,"a. 生动的, 轮廓分明的, 绘画似的, 图解的
"
fabulous,"a. 传说的, 寓言般的, 难以置信的"
nickname,"n. 绰号, 昵称
vt. 给...取绰号, 叫错名字
"
cynical,"a. 愤世嫉俗的, 讽刺的, 冷嘲的"
slick,"a. 光滑的, 熟练的, 聪明的, 华而不实的, 老套的, 陈腐的
adv. 灵活地, 聪明地
vt. 使光滑, 使漂亮
vi. 打扮整洁
n. 光滑平面, 平滑器, 修光工具"
adversity,"n. 逆境, 不幸, 灾祸, 灾难"
bridge,"n. 桥, 舰桥, 桥梁, 桥牌
vt. 架桥于, 跨越
"
irrational,"n. 无理数
a. 无理性的, 不合理的"
persistent,"a. 固执的, 坚持的, 持续的, 作用持久的
"
reluctant,"a. 不情愿的, 勉强的
"
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供
vi. 适应"
unbiased,"a. 没有偏见的
"
gallop,"n. 疾驰, 飞奔
vi. 飞驰, 急速进行, 急急忙忙地说
vt. 使飞跑, 迅速运输"
