according to,"根据, 按照；取决于；据…所说"
creep,"n. 爬, 徐行, 蠕动
vi. 爬, 蔓延, 潜行"
cricket,"n. 蟋蟀, 板球"
cripple,"n. 跛者, 残废
vt. 使跛, 使成残废, 削弱
a. 跛的, 残废的"
crisp,"a. 脆的, 新鲜的, 活泼的
v. (使)烘脆, (使)拳曲, (使)起皱
n. 松脆物"
crow,"n. 啼叫, 乌鸦, 鸡鸣, 撬棍
vi. 啼叫, 报晓"
crude,"a. 天然的, 未成熟的, 粗糙的, 粗鲁的
n. 天然的物质"
cruise,"n. 巡航, 巡弋, 漫游
v. 巡航, 巡弋, 漫游"
crush,"n. 压碎, 粉碎, 群众, 迷恋
vt. 压破, 征服, 塞, 弄皱, 榨出
vi. 被压碎, 起皱, 挤"
crust,"n. 外壳, 坚硬外皮, 面包皮
vt. 盖以硬皮
vi. 结硬皮"
crystal,"n. 水晶, 水晶装饰品, 结晶
a. 水晶的, 水晶一样的, 透明的"
cucumber,"n. 黄瓜
"
cue,"n. 提示, 线索
vt. 给...暗示(或提示)
"
cunning,"a. 狡猾的, 巧妙的, 可爱的
"
curl,"n. 拳曲, 鬈发
vt. 弄卷
vi. 拳曲, 弯曲"
curse,"n. 咒骂, 诅咒
vt. 诅咒, 咒骂"
customary,"a. 习惯的, 惯常的
"
cyberspace,"[计] 空间, 网控空间"
cylinder,"n. 圆筒, 圆筒状物, 汽缸, 柱面
"
dairy,"n. 牛奶公司, 乳品店, 乳牛场"
darling,"n. 亲爱的, 可爱的人, 可爱的物
a. 可爱的, 亲爱的"
daytime,"n. 白天, 日间"
dazzle,"v. (使)眼花, 炫耀
n. 耀眼"
deadly,"a. 致命的, 致死的
adv. 非常, 如死一般地"
dealer,"n. 经销商, 商人
"
dean,"n. 院长, 主持牧师
"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
deceit,"n. 欺骗, 谎言
"
deceive,"v. 欺骗, 行骗"
decent,"a. 有分寸的, 得体的, 大方的"
decimal,"a. 十进位的, 小数的
n. 十进制, 小数
"
deck,"n. 甲板, (汽车后部的)行李仓
vt. 装饰, 打扮, 装甲板
"
declaration,"n. 宣告, 说明, 宣布
"
dedicate,"vt. 献出, 贡献"
deduct,"vt. 扣除, 减去
"
deficiency,"n. 缺乏, 不足
"
deficit,"n. 赤字, 不足额
"
defy,"vt. 藐视, 挑衅, 使落空
n. 挑战"
degenerate,"a. 堕落的
vi. 退化, 堕落
vt. 使变质, 使退化"
delegate,"n. 代表
vt. 委派...为代表"
denial,"n. 否认
"
denounce,"vt. 告发, 抨击, 谴责
"
density,"n. 密度
"
dental,"a. 牙齿的
"
descent,"n. 降落, 家系, 侵袭, 血统
"
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
desolate,a. 荒凉的
despair,"n. 绝望, 失望
vi. 绝望"
dispatch,"vt. 派遣
n. 派遣, 急件
"
despise,vt. 轻视
destiny,"n. 命运, 定数"
destruction,"n. 破坏, 毁灭
"
destructive,"a. 毁灭性的, 破坏的, 有害的
"
detach,"vt. 使分离, 分遣
"
detain,"vt. 扣留, 扣押, 耽搁
"
detector,"n. 发现者, 检验器, 检波器
"
deviate,"vi. 脱离, 偏离
vt. 使偏离
a. 脱离常规的
n. 脱离常规的人"
device,"n. 装置, 设计, 策略, 发明物, 设备
"
devise,"vt. 设计, 发明, 图谋, 遗赠给
n. 遗赠"
dew,"n. 露珠, 露水
vt. (用露水)沾湿
vi. 结露水"
diagnose,v. 诊断
dialect,"n. 方言, 同源语"
dialog,"n. 会话, 对话
"
diameter,"n. 直径
"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
dilute,"vt. 冲淡, 稀释
a. 淡的, 稀释的"
diplomatic,"a. 外交的, 老练的
"
disable,"vt. 使失去能力, 使残废, (律)使无资格
"
disastrous,"a. 损失惨重的, 悲伤的"
disc,"n. 圆盘, 唱片
vt. 灌唱片"
discharge,"vt. 卸下, 放出, 解雇, 拔染, 履行, 放电
vi. 卸货, 流出
n. 卸货, 流出, 放电"
discourse,"n. 谈话, 演讲
vi. 谈话, 讲述"
discreet,"a. 小心的, 慎重的"
discrepancy,"n. 不符合, 差异, 不相符之处
"
discriminate,"v. 区别, 差别待遇"
disguise,"n. 假面目, 假装
vt. 假装, 隐瞒"
disgust,"n. 厌恶, 嫌恶
vi. 令人厌恶
vt. 使作呕"
dismay,"n. 沮丧
vt. 使惊愕, 使气馁"
displace,"vt. 移置, 替换, 转移"
disposal,"n. 丢掉, 处理, 排列, 销毁, 布置
"
disregard,"n. 忽视, 漠视
vt. 忽视, 不顾"
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
dissipate,"vt. 散失, 驱散, 浪费
vi. 消散, 放荡"
distill,"vt. 蒸馏
vi. 滴下"
distress,"n. 苦恼, 贫困, 痛苦
vt. 使苦恼
a. 亏本出售的"
ditch,"n. 沟渠
vt. 在...开沟
vi. 开沟"
divert,"vt. 转移, 使欢娱
vi. 转移"
divine,"a. 神的, 神圣的, 非凡的
n. 神学家"
dock,"n. 码头, 船坞, 被告席, 尾巴的骨肉部分
vt. 使靠码头, 使(船)进港, 剪短
vi. 进港"
doctorate,n. 博士头衔
documentary,"n. 记录片
a. 文件的"
domain,"n. 领域, 领土, 产业, 范围
"
dome,"n. 圆顶
vt. 加圆顶
vi. 成圆顶状"
donate,v. 捐赠
donkey,"n. 驴子, 笨蛋, 顽固者, 辅助发动机, 辅助泵"
doom,"n. 厄运, 不幸, 法律, 宣告, 判决, 死亡
vt. 命中注定, 判决"
doorway,"n. 门口, 途径"
dorm,n. 宿舍
dove,"n. 鸽子
dive的过去式"
doze,"vi. 打瞌睡, 假寐
vt. 打瞌睡度过
n. 瞌睡"
dragon,"n. 龙, 凶暴的人
"
drama,"n. 戏剧, 戏剧艺术"
drastic,"a. 激烈的
"
dread,"n. 恐惧, 可怕的人(或事)
a. 可怕的, 可怖的
v. 恐惧, 害怕"
drift,"n. 漂流物, 漂流, 动向
v. (使)漂流"
drip,"n. 水滴
v. (使)滴下"
dubious,"a. 可疑的, 不确定的"
dump,"n. 垃圾场
vt. 倾倒, 倾销
vi. 倒垃圾, 倾销商品
"
duplicate,"n. 副本, 复本, 复制品
a. 复制的, 二重的
vt. 复制, 使加倍
"
duration,"n. 持续时间, 持续
"
dwelling,"n. 住处
"
dye,"n. 颜料, 染料
vt. 染, 染色
vi. 被着色"
ebb,"n. 退潮, 衰退
vi. 潮退, 衰退"
eccentric,"n. 怪人, 偏心圆
a. 古怪的, 反常的, 不同圆心的"
echo,"n. 回声, 回音, 回波
vi. 发回声, 随声附和
vt. 摹仿, 重复, 反射
"
eclipse,"n. 日食, 月食, (地位名誉等的)消失
vt. 引起日食, 引起月食, 使黯然失色"
economical,"a. 节俭的, 经济的, 合算的
"
economy,"n. 经济, 理财, 节约
"
edible,"n. 食品, 食物
a. 可食用的"
edit,"vt. 编辑, 编校, 修订, 剪辑
"
editorial,"n. 社论, 评论
a. 编辑的, 主笔的, 社论的"
efficiency,"n. 效率, 效能, 功效
"
ego,"n. 自我
"
eject,"vt. 逐放, 放逐, 喷射
"
elapse,"vi. 逝去, 过去
n. 逝去, 过去"
elastic,"n. 松紧带, 橡皮筋
a. 有弹性的, 能伸缩的, 可通融的"
elbow,"n. 手肘, 弯头, 扶手
v. 用手肘推开, 推挤"
electrician,"n. 电学家, 电气技师, 电工
"
electron,"n. 电子
"
elementary,"a. 初步的, 基本的
"
eloquent,"a. 雄辩的, 有口才的, 有说服力的"
embark,"vi. 乘船, 着手, 从事, 上飞机
vt. 使上船, 使上飞机, 使从事"
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
embody,"vt. 具体表达, 使具体化
"
eminent,"a. 显赫的, 杰出的, 有名的"
emit,"vt. 发出, 放射, 发表(意见等), 散发, 发行
"
empirical,"a. 完全跟据经验的, 经验主义的
"
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
enclosure,"n. 附件, 围墙, 围绕
"
encyclopedia,n. 百科全书
endow,"vt. 捐赠, 捐助, 赋予
"
enquire,v. 询问
enrich,"vt. 使富足, 使肥沃"
enroll,"vt. 登记, 使加入
vi. 参军, 注册"
entertain,"vt. 娱乐, 招待, 怀抱
vi. 款待"
entity,"n. 实体, 实存物, 存在
"
envisage,"vt. 面对, 正视, 想象"
epoch,"n. 新纪元, 时代, 时期"
equation,"n. 相等, 等式, 平衡
"
equator,"n. 赤道
"
era,"n. 时代, 纪元, 时期"
erase,"vt. 抹去, 擦掉
"
erect,"a. 直立的, 竖立的, 笔直的
vt. 使竖立, 使直立, 树立, 建立
vi. 勃起"
erosion,"n. 腐蚀, 冲蚀, 侵蚀
"
erroneous,"a. 错误的, 不正确的
"
escort,"n. 护送者, 护卫者, 护航舰
vt. 护卫, 护送"
eternal,"a. 永恒的, 永远的, 不灭的"
ethnic,"a. 人种的, 种族的
"
evacuate,"v. 疏散, 撤出, 排泄"
evaporate,"vi. 蒸发, 失去水分, 消失
vt. 使蒸发, 使脱水, 使消失"
evil,"n. 邪恶, 不幸, 罪恶
a. 邪恶的, 不幸的, 有害的, 讨厌的"
evoke,"vt. 唤起, 引起, 召(魂)
"
exceed,"vt. 超过, 超越, 胜过
vi. 超过其他"
excerpt,"n. 摘录
v. 引用, 摘录"
excitement,"n. 刺激, 兴奋
"
exclaim,"v. 大叫, 呼喊, 大声叫"
excursion,"n. 远足, 游览圆, 短程旅行
"
execute,"vt. 执行, 实行, 完成, 处死, 制成
"
exemplify,"vt. 例证, 例示
"
exempt,"n. 免税者, 被免除义务者
a. 免除的
vt. 使免除, 豁免"
exile,"n. 放逐, 流放, 被放逐者
vt. 放逐, 流放, 使背井离乡"
exotic,"a. 异国的, 外来的
n. 外来人, 外来物, 舶来品"
expedition,"n. 远征, 探险队, 迅速"
expend,"vt. 花费, 消耗, 用光"
experimental,"a. 实验的, 根据实验的
"
expertise,"n. 专家意见, 专门技术
"
expire,"vi. 期满, 呼气, 断气
vt. 呼出"
explosive,"n. 炸药, 爆破音
a. 易爆发的, 爆炸的, 暴躁的"
exposure,"n. 暴露, 揭发, 揭露
"
exquisite,"a. 精致的, 细腻的, 敏锐的"
exterior,"n. 外部, 表面, 外貌
a. 外部的, 外在的, 表面的"
extinguish,"vt. 熄灭, 使消亡, 压制, 使减色
"
fable,"n. 寓言, 神话, 谎言
vi. 虚构, 作寓言"
fabric,"n. 织物, 布, 结构, 构造, 建筑物
"
fabricate,"vt. 制造, 建造, 装配, 伪造"
fabulous,"a. 传说的, 寓言般的, 难以置信的"
facility,"n. 容易, 灵巧, 设备
"
faculty,"n. 才能, 能力, 全体教员, (大学的)系
"
fairy,"n. 仙女, 精灵
a. 仙女的"
faithful,"a. 忠实的, 详确的, 可靠的
n. 信徒"
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
fame,"n. 名望, 名声, 传说"
farewell,"n. 辞别, 再见, 再会
interj. 再会"
fascinate,"vt. 令人入神, 使着迷
vi. 入迷"
fate,"n. 命运, 运气
vt. 注定"
fatigue,"n. 疲乏, 疲劳
vt. 使疲劳, 使心智衰弱
vi. 疲劳
a. 疲劳的"
feasible,"a. 能实行的, 可行的, 适宜的
"
feat,"n. 壮举, 功绩, 技艺表演
a. 灵巧的, 合适的, 整洁的"
fall,"n. 落下, 瀑布, 采伐量, 下降, 落差, 降低, 堕落, 秋天
vi. 倒下, 落下, 来临, 失守, 阵亡, 下跌, 减弱, 倾斜, 垮台, 轮到, 变成, 降低
a. 秋天的"
fellowship,"n. 伙伴关系, 共同参与, 团体, 奖学金, 友谊
"
feminine,"a. 女性的, 阴性的, 柔弱的
"
fertile,"a. 可繁殖的, 肥沃的, 生产多的
"
fertilizer,"n. 肥料, 促进发展者, 受精媒介物
"
feudal,"a. 封建制度的, 封地的, 领地的"
fiber,"n. 纤维, 构造, 纤维制品
"
filter,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
"
find,"vt. 发现, 感到, 找到, 认为, 得到
vi. 裁决
n. 发现
"
finite,"a. 有限的, 有穷的, 限定的
n. 有限物"
fireman,"n. 救火队员, 消防队员
"
fixture,"n. 固定(状态), 固定物, 设备
"
flap,"n. 飘, 摆动, 拍打, 拍打声, 片状垂悬物
v. 拍打, 鼓翼而飞, 飘动"
flare,"n. 闪光, 闪耀
vi. 闪光, 闪耀
vt. 用发光信号发出, 使闪耀, 使张开"
flatter,"vt. 奉承, 阿谀, 使高兴
"
fleet,"n. 舰队, 港湾, 小河
a. 快速的, 敏捷的, 浅的, 短暂的
adv. 浅
vi. 疾驰, 飞逝, 掠过
vt. 消磨, 变换船(或船员)的位置"
fling,"n. 投掷, 急冲, 嘲弄
vt. 投, 丢下, 抛弃, 使陷入, 挥动, 嘲笑, 扫视
vi. 猛冲"
flock,"n. 兽群, 鸟群, 一群人, 大量, 棉束
vi. 成群而行, 聚集
vt. 用棉束填满"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
fluid,"n. 液体, 分泌液, 流体
a. 流动的, 可改变的"
flush,"n. 流溢, 面红, 旺盛, 发烧, 惊飞的鸟, 同花牌
a. 丰足的, 齐平的, 满盈的, 泛滥的
adv. 齐平地, 直接地
vi. 脸发红, 奔涌, 旺盛, 惊飞
vt. 淹没, 冲洗, 使脸红, 使激动, 使齐平, 使惊飞"
foam,"n. 泡沫, 水沫, 泡沫材料
vi. 起泡沫, 吐白沫
vt. 使起泡沫"
footstep,"n. 脚步, 脚步声, 足迹"
fore,"a. 在前的, 以前的
adv. 在前面, 在船头
prep. 在...前"
forge,"n. 熔炉, 铁工厂
vt. 打制, 锻造, 伪造
vi. 锻造, 伪造"
formulate,"vt. 用公式表示, 明确叙述, 制订
"
forthcoming,"a. 即将来临的
n. 来临"
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会
"
foul,"a. 污秽的, 邪恶的, 恶臭的, 肮脏的, 恶劣的, 淤塞的
vt. 弄脏, 妨害, 污蔑, 犯规, 淤塞
vi. 腐烂, 犯规, 缠结
adv. 违反规则地, 不正当地
n. 犯规, 缠绕"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
frame,"n. 框, 结构, 体格
vt. 构成, 设计, 制定, 使适合, 陷害
"
frank,"a. 坦白的, 率直的, 老实的
vt. 免费邮寄
n. 免费邮寄特权"
fraud,"n. 欺骗, 欺诈, 诡计, 骗子
"
freight,"n. 船货, 运费, 货运
vt. 装货, 使充满, 以货运运送, 租(或出租)(船等)"
frequency,"n. 频率, 频数
"
fringe,"n. 边缘, 端, 流苏, 穗, 初步
vt. 加穗于, 加饰边于
a. 边缘的, 附加的"
frown,"n. 皱眉
vi. 皱眉头
vt. 皱眉表示"
fruitful,"a. 结果实的, 多实的, 产量多的"
furious,"a. 狂怒的, 激烈的, 吵闹的"
furnace,"n. 火炉, 熔炉, 考验
vt. 在炉中烧"
furnish,"vt. 供给, 提供, 装设
"
further,"a. 更远的, 此外的, 更多的
vt. 促进, 增进, 助长
adv. 更进一步地, 更远地, 此外"
fuse,"n. 保险丝, 导火线
v. 熔化, 融合"
fuss,"n. 大惊小怪, 小题大作, 忙乱
vi. 无事自扰, 焦急, 焦燥, 忙乱
vt. 使激动, 使烦燥"
futile,"a. 无用的, 琐细的, 不重要的"
galaxy,"n. 银河, 星系, 一群(显赫的人物)
"
gallop,"n. 疾驰, 飞奔
vi. 飞驰, 急速进行, 急急忙忙地说
vt. 使飞跑, 迅速运输"
gamble,"n. 赌博, 冒险
v. 赌博, 孤注一掷"
gang,"n. 队, 群, 帮
vi. 成群结队, 结成一伙
vt. 使成群结队"
gaol,"n. 监禁, 监狱
vt. 监禁"
gap,"n. 缝隙, 缺口, 间断, 间距, 通用汇编程序
vt. 打开缺口, 造成缝隙
vi. 豁开
"
gasoline,"n. 汽油
"
gasp,"n. 喘气
vi. 喘气, 喘息, 渴望
vt. 气喘吁吁地说"
gauge,"n. 标准度量, 计量器
vt. 精确计量, 估计
"
gear,"n. 齿轮, 工具
vt. 以齿轮连起, 开动, 使适应, 安排
vi. 连接上, 适合"
gender,"n. 性
vt. 产生"
generalize,"vt. 一般化, 概括, 推广
vi. 形成概念, 笼统讲"
generator,"n. 产生器, 发电机, 生产者
"
genius,"n. 天才, 天赋, 精神, 神魔
"
genuine,"a. 真正的, 真实的, 诚恳的
"
germ,"n. 细菌, 种子, 生殖细胞, 根源
"
giant,"n. 巨人, 大力士, 巨大怪物
a. 庞大的, 巨大的"
gigantic,"a. 巨人般的, 巨大的"
giggle,"v. 吃吃地笑, 咯咯地笑
n. 咯咯笑, 傻笑"
glamor,"n. 魅力, 迷人的美, 魔法
vt. 迷惑"
gloomy,"a. 抑沉的, 忧闷的, 黑暗的, 悲观的"
glorious,a. 光荣的
gorgeous,"a. 华丽的, 灿烂的"
gossip,"n. 闲聊, 随笔, 流言, 爱讲闲话的人
vi. 说闲话, 闲聊"
governor,"n. (美)州长, (英)总督, 统治者, 管理者, 理事
"
grab,"n. 抓握, 掠夺, 强占, 东方沿岸帆船
vi. 抓取, 抢去
vt. 攫取, 捕获, 霸占"
graceful,a. 优美的
gracious,"a. 亲切的, 慈善的"
gramme,"n. 克
"
grandmother,"n. 祖母, 女祖先"
graphic,"a. 生动的, 轮廓分明的, 绘画似的, 图解的
"
grave,"n. 墓穴, 坟墓, 终结, 死亡
a. 庄重的, 严肃的, 重大的, 低沉的
vt. 雕刻"
graze,"n. 吃草, 放牧, 擦伤, 轻擦
v. (使)吃草, 放牧, 轻擦, 擦伤"
grease,"n. 脂肪, 兽脂, 油脂, 贿赂
vt. 涂脂于, 贿赂"
greenhouse,n. 温室
grieve,"vt. 使悲伤
vi. 悲痛, 伤心"
grim,"a. 冷酷的, 坚强的, 残忍的, 可怕的, 讨厌的"
grin,"n. 露齿笑
v. 露齿而笑"
grind,"n. 磨, 碾, 苦差, 摩擦声, 用功的学生
vt. 磨擦, 磨碎, 磨光, 折磨, 压榨
vi. 磨, 磨碎, 苦干"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
groan,"n. 呻吟, 叹息
vi. 呻吟, 抱怨, 受压迫
vt. 呻吟地说"
grope,"v. 摸索
n. 摸索"
gross,"n. 总数, 总量
a. 总共的, 未打折扣的, 恶劣的, 粗野的
vt. 总共收入"
grown,"a. 长大的, 成年的, 长满某物的
grow的过去分词"
guilt,"n. 罪行, 内疚
"
gulf,"n. 海湾, 深渊, 漩涡, 隔阂
vt. 吞没"
gum,"n. 树胶, 橡皮, 橡皮糖, 牙床, 老天
vt. 涂以树胶, 用胶粘, 使有粘性
vi. 分泌树胶, 发粘"
gut,"n. 剧情, 内容, 内脏, 肚子, 海峡, 勇气
vt. 取出内脏, 毁坏...的内部"
gymnasium,"n. 健身房, 体育馆
"
habitat,"n. 栖息地, 居留地, 自生地, 聚集处
"
hail,"n. 冰雹, 致敬, 欢呼, 招呼
vt. 向...欢呼, 致敬, 招呼, 使象下雹样落下
vi. 招呼, 下雹
interj. 万岁, 欢迎"
handbook,"n. 手册
"
handicap,"n. 障碍, 困难, 不利条件
vt. 加障碍于, 妨碍"
harassment,"n. 困扰, 烦扰, 烦恼
"
harden,"vt. 使变硬, 使坚强, 使冷酷
vi. 变硬, 变冷酷"
hardware,"n. 硬件, 五金器具, 零件
"
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
haste,"n. 匆忙, 急忙"
hasty,"a. 匆匆的, 轻率的, 性怠的"
hatred,"n. 憎恨, 仇恨, 憎恶
"
haul,"n. 用力拖拉, 拖运, 强拉, 捕获量, 拖运距离
vi. 拖, 拉, 改变方向, 改变主意
vt. 拖拉, 拖运"
hazard,"n. 冒险, 危险, 机会
vt. 冒...的危险, 赌运气, 使冒危险
"
heading,"n. 标题, 起始字, 方向
"
headquarters,"n. 总部, 司令部, 总部人员
"
heal,"vi. 痊愈
vt. 使复原, 使和解, 治愈"
heave,"n. 举, 抛, 起伏, 鼓起
vt. 用力举起, 使举起, 使鼓起
vi. 抛出, 起伏, 喘息, 凸起"
hell,"n. 地狱, 邪恶势力, 苦境, 阴间, 毁坏, 训斥
vi. 狂饮, 飞驰"
henceforth,"adv. 自此以后, 今后"
herd,"n. 兽群, 人群, 牧人
vt. 群集, 使成群, 放牧
vi. 聚在一起"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
heroic,"a. 英勇的, 英雄式的, 壮丽雄伟的
n. 英雄诗, 史诗, 英勇行为"
heroin,"n. 海洛因, 吗啡
"
hesitate,"vi. 犹豫, 迟疑, 踌躇, 支吾, 停顿"
hierarchy,"n. 等级制度, 僧侣统治, 等级体系
"
highland,"n. 高地, 苏格兰高地"
hinge,"n. 铰链, 关键, 枢纽
vt. 装铰链
vi. 靠铰链移动, 依...而转移"
hint,"n. 暗示, 提示
v. 暗示, 示意"
hip,"n. 臀部, 蔷薇果, 忧郁
a. 熟悉内情的
vt. 使忧郁, 给(屋顶)造屋脊
interj. 喝彩声"
historic,"a. 历史上著名的, 有历史性的"
historical,"a. 历史的, 史实的, 历史上的
"
hoist,"n. 升高, 起重机, 推动
v. 升起, 升高, 举起"
hollow,"n. 洞, 窟窿, 山谷
a. 空的, 虚伪的, 空腹的, 凹的
vi. 形成空洞
vt. 挖空"
homogeneous,"a. 同种的, 同质的, 齐性的
"
honor,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
honorable,"a. 值得尊敬的, 荣耀的, 高贵的"
hop,"n. 单脚跳, 跳跃, 舞会, 飞行
vi. 单脚跳, 跳跃
vt. 跃过, 跳上, 加蛇麻子于, 服麻醉药
"
horizontal,"n. 水平线, 水平面, 水平位置
a. 水平线的, 平坦的, 横的
n. 水平
"
horn,"n. 角, 角质, 喇叭, 号角
a. 角制的
vt. 用角触, 长角于"
horror,"n. 惊骇, 恐怖, 惨状
"
horsepower,"n. 马力
"
hose,"n. 水管, 橡皮软管, 长统袜
vt. 用水管浇"
hound,"n. 猎犬
vt. 带猎犬狩猎, 追捕, 激励, 使追逐"
hover,"vi. 盘旋, 翱翔, 徘徊
vt. 孵
n. 翱翔"
huddle,"n. 杂乱一团, 混乱, 拥挤
vt. 把...挤在一起, 乱堆, 草率了事, 蜷曲
vi. 挤作一团, 蜷缩"
hum,"n. 嗡嗡声, 哼声, 杂声
vi. 发低哼声
vt. 哼, 用哼声表示
interj. 哼, 嗯"
humid,"a. 潮湿的, 湿润的, 多湿气的"
humidity,"n. 湿气, 潮湿, 湿度
"
humiliate,"vt. 使丢脸, 使蒙羞, 屈辱"
humor,"n. 幽默, 诙谐, 心情
vt. 迎合, 牵就, 顺应"
hurl,"n. 用力的投掷
vt. 用力投掷, 发射, 愤慨地说出, 丢下
vi. 猛投, 猛掷"
hut,"n. 小屋, 茅舍, 临时军营
v. (使)住在茅舍"
hypocrisy,"n. 伪善
"
hysterical,"a. 歇斯底里的, 异常兴奋的
"
identical,"a. 同一的, 恒等的, 完全相同的
"
idiot,"n. 白痴, 极蠢之人
"
idle,"a. 懒惰的, 闲散的, 停顿的, 空闲的, 无用的
vi. 无所事事, 闲散, 浪费, 空转
vt. 虚度, 使闲散, 使空转
n. 空转, 空闲时间
"
ignite,"vt. 点燃, 使灼热, 使兴奋"
ignorance,"n. 无知, 愚味
"
ignorant,"a. 无知识的, 不知道的, 由无知产生的
"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
illuminate,"vt. 照明, 用灯装饰, 阐明, 说明, 使灿烂
vi. 照亮, 用灯装饰"
illustration,"n. 例证, 插图
"
imagination,"n. 想像, 听觉, 想像力
"
immense,"a. 极广大的, 无边的, 非常好的"
immerse,"vt. 沉浸, 使陷入
"
impair,"vt. 损害, 减少, 削弱
"
impart,"vt. 给予, 传授, 告知"
impatient,"a. 不耐烦的, 着急的, 急切的"
imperative,"n. 命令, 必要的事, 规则, 祈使语气
a. 命令式的, 急需的, 势在必行的, 强制的"
imperial,"a. 帝王的, 宗主国的, 至尊的, 壮丽的
n. 特等品"
impetus,"n. 动力, 推动力, 动量
"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
"
improvement,"n. 进步, 改善, 利用
"
incentive,"n. 动机
a. 激励的"
incidentally,"adv. 伴随地, 偶然, 顺便"
incredible,a. 难以置信的
indication,"n. 指示, 象征, 暗示
"
indicative,"a. 指示的, 象征的, 表示...的
"
indifferent,"a. 漠不关心的, 无重要性的, 中立的
"
indignant,"a. 愤怒的, 愤慨的"
indignation,"n. 愤怒, 愤慨, 义愤"
indoor,"a. 户内的, 室内的"
induce,"vt. 引诱, 招致, 归纳出, 感应
"
industrialize,"vt. 使工业化
vi. 实现工业化"
inertia,"n. 惯性, 惰性, 迟钝
"
infectious,"a. 有传染性的, 易传染的
"
