coda,"n. 尾音, 乐章结尾部, 结尾段"
beleaguer,"vt. 围, 围攻"
aver,"vt. 断言, 坚称
"
palaver,"n. 谈判, 交涉, 洽商, 废话, 奉承
vi. 唠叨, 拍马屁, 交涉, 用花言巧语骗人
vt. 笼络, 哄骗"
pushover,"n. 容易做的工作, 易被劝服的人, 易被击败的人"
maneuver,"n. 演习, 调遣, 策略
v. 调遣, 演习, 用计"
outmaneuver,"vt. 对(敌手)机动制胜, 智胜, 在谋略上胜过(敌人)"
cower,"vi. 畏缩, 退缩, 抖缩"
glower,"vi. 瞪眼, 怒目而视, 凝视
n. 怒视, 热切的注视, 灯丝"
soothsayer,"n. 预言者, 占卜者, 预测未来者, 螳螂"
debonair,"a. 温文有礼的, 高兴的"
nadir,"n. 天底, 最低点"
belabor,"vt. 痛打
"
harbor,"n. 港, 避难所
v. 庇护, 藏匿, (使)入港停泊"
succor,"n. 救援, 援助者
vt. 救援, 援助"
rancor,"n. 敌意, 深仇"
candor,"n. 坦白, 直率"
vendor,"n. 小贩, 卖主, 自动售货机
"
ardor,"n. 热忱, 热情, 情欲, 激情, 灼热
"
abhor,"vt. 憎恶, 痛恨, 回避, 拒绝"
metaphor,n. 隐喻
anterior,"a. 前面的, 先前的
"
clamor,"n. 喧闹, 叫嚷, 大声的要求
v. 喧嚷, 大声地要求"
humor,"n. 幽默, 诙谐, 心情
vt. 迎合, 牵就, 顺应"
donor,"n. 捐赠人
"
torpor,"n. 麻木, 无感觉, 迟钝
"
stupor,"n. 无感觉, 人事不省, 麻木
"
furor,"n. 喧闹, 激怒, 感动, 狂热
"
censor,"n. 检查员
vt. 检查, 审查, 删改"
precursor,"n. 先驱者, 前导, 前兆
"
predecessor,"n. 前任, 先辈, 前身
"
intercessor,"n. 仲裁者, 调解人
"
spectator,"n. 观众, 目击者, 旁观者"
mentor,"n. 指导者, 良师益友"
impostor,"n. 冒名顶替者, 骗子, 冒牌"
languor,"n. 怠惰, 疲倦, 无气力
"
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
concur,"vi. 同意, 一致, 同时发生
"
grandeur,"n. 庄严, 伟大, 壮丽"
poseur,n. 装模作样的人；装腔作势的人
connoisseur,"n. 鉴赏家, 鉴定家, 内行"
hauteur,n. 傲慢；自大
augur,"n. 占卜官, 预言者
v. 预示, 预言"
blur,"vt. 使模糊, 弄脏
vi. 弄脏, 模糊"
slur,"n. 连音符, 诽谤, 玷污, 印刷模糊
vt. 草率地看过, 忽略, 含糊地念
vi. 模糊不清"
demur,"vi. 提出异议, 反对, 抗辩
n. 异议, 反对"
murmur,"n. 低语, 低声的怨言
vi. 低语, 低声而言
vt. 低声说"
scour,"vt. 擦亮, 洗涤, 清洗, 冲刷成, 急速穿过
vi. 擦, 洗, 冲刷, 腹泻, 急速穿行
n. 擦, 洗, 腹泻, 洗涤剂"
dour,"a. 阴沉的, 严厉的, 顽强的"
misdemeanour,"n. 行为不端
"
detour,"n. 绕路, 迂回
v. (使)绕道"
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
fracas,"n. 喧噪, 吵闹, 纷扰"
ethics,"n. 道德规范
"
scads,n. 很多；巨额
debris,"n. 碎片, 残骸
"
hubris,"n. 傲慢, 狂妄野心"
parenthesis,"n. 圆括号, 插入语, 附带, 插曲"
synthesis,"n. 综合, 组织, 综合体
"
symbiosis,"n. 共栖, 共同生活
"
prognosis,"n. 预测, 预后
"
synopsis,"n. 概要, 摘要, 大意
"
catharsis,"n. 陶冶, 净化, 导泻
"
doldrums,"n. 忧郁, 赤道无风带"
kudos,"n. 称赞, 光荣, 荣誉"
ethos,n. 气质；民族精神；社会思潮
apropos,"a. 适当的, 恰好的
adv. 适当地, 恰好地"
jitters,n. 神经过敏
encompass,"vt. 围绕, 完成, 包括, 包含, 环绕, 包围"
surpass,"vt. 超越, 凌驾, 胜过"
trespass,"n. 擅自进入, 非法侵入, 侵害
vi. 侵害, 侵入, 打扰, 冒犯"
harass,"vt. 使困扰, 使烦恼, 折磨"
crass,"a. 粗俗的, 愚钝的, 粗糙的, 非常的"
embarrass,"vt. 使困窘, 使局促不安, 阻碍"
canvass,"n. 细查, 讨论, 游说
vt. 彻底检查, 向...拉票或拉生意, 讨论
vi. 游说"
groundless,"a. 无根据的, 无理由的
"
featureless,"a. 无特色的, 平凡的"
ruthless,"a. 无情的, 残忍的, 毫不留情的, 彻底的
"
pitiless,"a. 无情的, 冷酷的, 无怜悯心的"
feckless,"a. 无效的, 无能的, 不负责任的"
reckless,"a. 不介意的, 大意的, 鲁莽的, 不顾后果的
"
tactless,"a. 不机智的, 不机敏的"
shiftless,"a. 无计谋的, 偷懒的, 不中用的, 无能的"
relentless,"a. 无情的, 冷酷的, 残酷的"
bootless,"a. 无用的, 无益的
"
restless,"a. 不安静的, 慌张的, 休息不充分的
"
drollness,n. 离奇古怪; 滑稽; 幽默; 诙谐
harness,"n. 马具, 挽具状带子, 甲胄
vt. 给...上挽具, 驾驭, 披上甲胄, 利用...以产生动力"
regress,"n. 退回, 复归权, 回归, 倒退, 退步, 退化, 退行
vi. 退回, 复归, 回归, 倒退, 退步, 退化, 退行"
digress,"vi. 走向岔道, 离题, 扯到枝节上"
transgress,"vt. 违反, 犯罪, 侵犯
vi. 越界, 违法"
repress,"vt. 镇压, 抑制, 压制
vi. 压制"
compress,"vt. 压缩, 压紧
vi. 受压缩小
"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
buttress,"n. 拱壁, 扶壁, 支持物
vt. 支持, 以扶壁支撑"
obsess,"vt. 迷住, 使困扰"
assess,"vt. 估定, 对...征税, 评定
"
prowess,"n. 英勇, 勇敢, 超凡技术"
bliss,"n. 福佑, 天赐的福
"
remiss,"a. 怠慢的, 不小心的, 没精打采的, 疏忽的"
emboss,"vt. 浮雕, 加以浮饰, 装饰
"
gloss,"n. 光彩, 假象, 注释
vt. 使光彩, 掩盖, 上光于, 注释, 曲解
vi. 发光, 作注释"
engross,"vt. 用大字体书写, 独占(市场), 使全神贯注
"
syllabus,"n. 摘要, 提纲, 课程表, 教学大纲
"
exodus,"n. 大批的离去
"
bogus,"a. 假的, 伪造的
"
nonplus,"vt. 使困惑
n. 迷惑, 困惑"
animus,"n. 基本态度, 敌意, 意向
"
terminus,"n. 终点, 界标, 终点站
"
viscous,"a. 粘的, 粘性的
"
tremendous,"a. 巨大的, 非常的, 可怕的"
hideous,"a. 丑恶的, 可憎的, 令人沮丧的"
outrageous,"a. 暴虐的, 极无礼的, 可恶的"
extraneous,"a. 外来的, 非必要的, 无关的
"
spontaneous,"a. 自然的, 自发的, 未经琢磨的
"
courteous,"a. 彬彬有礼, 谦恭的"
analogous,"a. 类似的, 相似的
"
amorphous,"a. 无定形的, 无组织的
"
dubious,"a. 可疑的, 不确定的"
efficacious,"a. 有效的, 灵验的"
perspicacious,"a. 聪颖的, 聪明的, 敏锐的, 有洞察力的"
mendacious,"a. 虚假的, 说谎的
"
audacious,"a. 大胆的, 鲁莽的, 胆大妄为的"
fallacious,"a. 使人误解的, 谬误的, 不合理的, 骗人的"
contumacious,"a. 不听命令的, 反抗权威的, 反抗法院命令的
"
tenacious,"a. 紧握的, 固执的, 不屈不挠的, 黏着力强的
"
pertinacious,"a. 坚持不放的, 执拗的, 顽固的, 顽强的, (疾病)难以治好的"
rapacious,"a. 强夺的, 贪欲的, 贪婪的"
veracious,"a. 说实话的, 诚实的, 老实的, 真实的"
voracious,"a. 贪吃的, 狼吞虎咽的, 贪婪的"
loquacious,"a. 多嘴的, 好辩的, 吵闹的, 潺潺的"
vivacious,"a. 活泼的, 快活的, 多年生的"
specious,"a. 徒有其表的, 似是而非的, 外表美观的"
judicious,"a. 头脑精明的, 贤明的, 判断正确的"
officious,"a. 多管闲事的, 非官方的
"
malicious,"a. 怀恶意的, 恶毒的"
pernicious,"a. 有害的, 致命的, 恶劣的, 险恶的
"
auspicious,"a. 吉兆的, 幸运的"
meretricious,"a. 华丽而庸俗的, 俗气的, 娼妓的"
vicious,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的
"
precocious,"a. 早熟的, 像大人的
"
ferocious,"a. 残忍的, 凶猛的, 可怕的"
atrocious,"a. 残暴的, 凶恶的"
tedious,"a. 沉闷的, 冗长乏味的"
fastidious,"a. 难取悦的, 挑剔的, 苛求的"
invidious,"a. 引起反感的, 惹人不快的, 不公平的, 诽谤的"
commodious,"a. 宽敞的, 方便的"
contagious,"a. 触染性的, 会蔓延的
"
prodigious,"a. 庞大的, 惊人的, 异常的"
supercilious,"a. 傲慢的, 自大的, 目空一切的"
punctilious,"a. 精密细心的, 一丝不苟的, 拘泥形式的"
abstemious,"a. 有节制的, 节约的"
ingenious,"a. 灵敏的, 精巧的, 聪明的"
euphonious,"a. 音响好的, 悦耳的, 声音和谐的"
ceremonious,"a. 讲究仪式的, 隆重的"
acrimonious,"a. 尖刻的, 讥讽的, 激烈的"
parsimonious,"a. 过度节俭的, 吝啬小气的"
sanctimonious,"a. 假装圣洁的, 假装虔诚的, 假装诚实的"
harmonious,"a. 和睦的, 调和的, 和谐的, 协调的"
impecunious,"a. 没有钱的, 身无分文的, 贫穷的"
pious,"a. 虔诚的, 敬神的, 尽责的, 可嘉的, 不可能实现的"
impious,"a. 无信仰的, 不敬神的, 不虔诚的, 不孝的"
copious,"a. 很多的, 丰富的, 内容丰富的"
precarious,"a. 不稳定的, 不安的, 危险的"
vicarious,"a. 代理的, 代用的, 替代的
"
nefarious,"a. 恶毒的, 极坏的"
multifarious,"a. 多种的, 各种各样的, 许多的"
gregarious,"a. 社交的, 群居的"
hilarious,"a. 喜不自禁的, 欢闹的, 引人发笑的"
opprobrious,"a. 嘴不干净的, 无礼的, 粗野的, 辱骂的, 该骂的"
lugubrious,"a. 忧郁的, 悲惨的, 悲哀的"
salubrious,"a. 有益健康的, 健康的
"
imperious,"a. 专横的, 傲慢的, 迫切的
"
deleterious,"a. 有害的, 造成伤害的
"
laborious,"a. 艰苦的, 费劲的, 勤劳的"
industrious,"a. 勤勉的, 刻苦的"
illustrious,"a. 著名的, 辉煌的, 明亮的"
spurious,"a. 假造的, 伪造的, 欺骗的
"
luxurious,"a. 豪华的, 奢侈的, 放纵的"
ostentatious,"a. 装饰表面的, 铺张的, 夸示的, 华美的, 显眼的"
fractious,"a. 易怒的, 倔强的, 脾气不好的"
rambunctious,"a. 粗暴的, 难控制的, 喧闹的"
facetious,"a. 滑稽的, 爱开玩笑的"
seditious,"a. 煽动性的, 妨害治安的
"
propitious,"a. 顺利的, 适合的, 吉祥的, 慈悲的"
fictitious,"a. 假想的, 编造的, 虚伪的
"
repetitious,"a. 多次反复的, 重复的, 反复性的"
adventitious,"a. 偶然的, 外来的
"
surreptitious,"a. 秘密的, 暗中的, 偷偷摸摸的
"
licentious,"a. 放肆的
"
tendentious,"a. 有偏见的, 有倾向的, 淘气的"
conscientious,"a. 有责任心的, 负责的, 本着良心的
"
unpretentious,"a. 不铺张的, 不炫耀的, 不装模作样的, 不招摇的, 谦逊的, 质朴的"
contentious,"a. 好争吵的, 爱争论的, 有异议的
"
captious,"a. 吹毛求疵的, 挑剔的"
bumptious,"a. 瞎自夸的, 瞎自大的, 傲慢的"
obsequious,"a. 谄媚的, 奉承的, 顺从的"
devious,"a. 偏僻的, 迂回的"
oblivious,"a. 遗忘的, 健忘的, 不知不觉的
"
impervious,"a. 透不过的, 不易损坏的, 无动于衷的, 不受影响的
"
noxious,"a. 有害的, 有毒的, 使道德败坏的
"
scandalous,"a. 不体面的, 可耻的, 诽谤性的, 爱传播丑闻的"
anomalous,"a. 不规则的, 反常的
"
libelous,"a. 诽谤的, 败坏名誉的, 爱诽谤的, 诽谤性的"
perilous,"a. 危险的, 濒临毁灭的"
scurrilous,"a. 说话粗鄙恶劣的, 下流的
"
callous,"a. 麻木的, 无情的, 坚硬的, 硬皮的, 起老茧的
vt. 使生茧, 使变硬"
frivolous,"a. 轻佻的, 妄动的, 琐碎的
"
fabulous,"a. 传说的, 寓言般的, 难以置信的"
nebulous,"a. 星云的, 星云状的, 朦胧的"
meticulous,"a. 一丝不苟的, 精确的, 过细的"
credulous,"a. 轻信的, 易受骗的"
sedulous,"a. 勤勉的, 勤苦工作的"
scrupulous,"a. 小心谨慎的, 细心的"
querulous,"a. 抱怨的, 爱发牢骚的, 易怒的"
garrulous,"a. 饶舌的, 多嘴的, 喋喋不休的"
infamous,"a. 无耻的, 不名誉的, 声名狼藉的"
pusillanimous,"a. 无勇气的, 胆怯的, 优柔寡断的"
unanimous,"a. 意见一致的, 无异议的"
anonymous,"a. 姓氏不详的, 无名的, 无特色的
"
synonymous,"a. 同义词的, 同义的"
diaphanous,"a. 透明的, 轻柔的"
indigenous,"a. 本土的, 国产的, 固有的
"
ravenous,"a. 贪婪的, 饿极的, 狼吞虎咽的"
heinous,"a. 可憎的, 令人发指的"
ominous,"a. 恶兆的, 不吉利的, 预兆的"
luminous,"a. 发光的, 明亮的
"
voluminous,"a. 卷数多的, 大部头的, 著书多的, 长篇的, 庞大的, 很多的, 盘绕的"
numinous,"a. 精神上的, 超自然的"
glutinous,"a. 粘性的
"
synchronous,"a. 同时的, 同步的
"
monotonous,"a. 单调的, 无变化的"
pompous,"a. 爱炫耀的, 虚夸的, 盛大的"
barbarous,"a. 野蛮的, 残暴的, 粗野的"
ludicrous,"a. 可笑的, 滑稽的, 荒唐的"
ponderous,"a. 沉重的, 笨重的, 毫无趣味的, 生硬的"
vociferous,"a. 大声叫的, 喊叫的, 喧嚷的"
treacherous,"a. 不可信任的, 危险的, 背叛的, 不可靠的
"
cantankerous,"a. 专爱唱反调的, 爱吵架的"
onerous,"a. 繁重的, 负有法律责任的
"
obstreperous,"a. 吵闹的, 喧嚣的, 骚乱的, 不守秩序的"
prosperous,"a. 成功的, 繁盛的, 幸运的
"
boisterous,"a. 猛烈的, 喧闹的, 狂暴的"
preposterous,"a. 反常的, 乖戾的, 荒谬的, 首末倒置的"
dexterous,"a. 灵巧的, 惯用右手的"
chivalrous,"a. 骑士的, 勇敢的"
decorous,"a. 有礼貌的, 高雅的, 端正的"
indecorous,"a. 不得体的, 不合礼节的"
malodorous,a. 有恶臭的
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
dolorous,"a. 忧伤的, 悲痛的"
glamorous,"a. 富有魅力的, 迷人的"
timorous,"a. 胆怯的, 胆小的, 羞怯的"
sonorous,"n. 宏亮的, 响亮的, 作响的
"
porous,"a. 多孔的, 有气孔的, 多孔性的, 能渗透的
"
lustrous,"a. 有光泽的, 光辉的"
covetous,"a. 贪婪的, 妄想的"
infelicitous,"a. 不幸的, 不完善的, 不适当的"
solicitous,"a. 关心的, 渴望的, 热切期望的, 十分讲究的"
duplicitous,a. 奸诈的；双重的；搞两面派的
precipitous,"a. 陡峭的, 轻率的"
circuitous,"a. 迂回的, 间接的, 绕行的"
ubiquitous,"a. 无所不在的, 到处存在的, 普遍存在的"
gratuitous,"a. 免费的, 无理由的
"
momentous,"a. 重大的, 重要的"
portentous,"a. 前兆的, 不吉的, 可惊的, 自大的"
vacuous,"a. 空的, 空虚的, 没有思想的"
conspicuous,"a. 显著的, 显眼的, 出众的"
innocuous,"a. 无害的, 无伤大雅的
"
assiduous,"a. 勤勉的, 刻苦的"
arduous,"a. 费力的, 努力的, 险峻的"
ambiguous,"a. 不明确的, 模棱两可的
"
contiguous,"a. 邻近的, 接近的
"
mellifluous,"a. 加了蜜糖的, 甜蜜的, 甜美的, 流畅的"
superfluous,"a. 多余的, 过剩的"
ingenuous,"a. 坦白的, 正直的, 天真的"
disingenuous,"a. 不老实的, 不诚实的, 狡猾的"
strenuous,"a. 奋发的, 费劲的, 艰苦的"
tenuous,"a. 稀薄的, 微细的, 纤细的, 脆弱的
"
sinuous,"a. 弯弯曲曲的, 迂回的, 运动柔软的
"
fatuous,"a. 发呆的, 愚笨的"
unctuous,"a. 油的, 油质的, 油腻的, 虚情假意的
"
impetuous,"a. 冲动的, 猛烈的, 轻率的, 狂暴的"
sumptuous,"a. 奢侈的, 华丽的"
presumptuous,"a. 放肆的, 冒昧的, 傲慢的"
voluptuous,"a. 骄奢淫逸的, 贪图酒色的, 妖娆的, 肉欲的, 激起情欲的, 色情的"
virtuous,"a. 品德高尚的, 公正的, 贞洁的, 有效力的"
tortuous,"a. 扭曲的, 弯曲的, 转弯抹角的, 欺骗的
"
tempestuous,"a. 有暴风雨的, 暴乱的"
mischievous,"a. 淘气的, 有害的, 恶作剧的, 胡搅的"
consensus,"n. 合意, 一致, 同感
"
detritus,"n. 碎石
"
nexus,"n. 连结, 关系
"
offbeat,"a. 不平常的, 离奇的, 不落俗套的
n. 弱拍"
upbeat,"n. 弱拍, 上升, 兴旺
a. 上升的, 乐观的"
browbeat,"vt. 对...吹胡子瞪眼睛, 吓唬"
entreat,"v. 恳求, 乞求"
caveat,"n. 中止诉讼程序的申请, 警告
"
éclat,无
turncoat,"n. 背叛者, 变节者
"
gloat,"vi. 满足地看, 幸灾乐祸, 贪婪地盯视
n. 贪婪的盯视, 满足的注视, 幸灾乐祸"
spat,"n. 蚝卵, 口角, 拍打
vi. 拍打, 争吵
spit的过去式和过去分词"
squat,"n. 蹲, 窝
a. 蹲着的, 矮胖的
vi. 蹲下, 蹲坐, 蹲伏
vt. 使蹲下, 擅自占有"
enact,"vt. 制定法律, 扮演, 颁布
"
detract,"vi. 减去, 贬低
vt. 转移, 分散"
retract,"v. 缩回, 收回, 取消, 撤消"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
protract,"vt. 延长, 拖延, 伸出, 绘制
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
distract,"vt. 转移, 分心, 使发狂"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
tact,"n. 机智, 手法, 老练
"
disinfect,"vt. 消毒
"
abject,"a. 绝望无助的, 可怜的, 糟透的, 卑鄙的, 自卑的
"
subject,"n. 科目, 主题, 臣民, 主语, 题目, (事物的)经受者, 学科, 受治疗者, 原因, 理由
a. 服从的, 易患...的, 隶属的, 受支配的
adv. 在...条件下
vt. 使隶属, 使受到
"
deject,"vt. 使沮丧, 使灰心"
project,"n. 计划, 设计, 事业
vt. 计划, 设计, 投掷, 发射, 使凸出, 放映
vi. 凸出"
deflect,"vt. 转移, 使偏斜
vi. 偏斜"
reflect,"vt. 反射, 反映, 招致, 深思
vi. 被反射, 映出, 深思, 考虑, 指责"
aspect,"n. 外观, 方面, 面貌, 方向
"
circumspect,"a. 细心的, 慎重的"
prospect,"n. 景色, 展望
vt. 勘探, 勘察
vi. 勘探, 有前途"
resurrect,"vi. 复活
vt. 使复活, 复兴, 恢复, 盗掘"
dissect,"v. 解剖, 切开"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
indict,"vt. 起诉, 控告, 指控
"
interdict,"vt. 禁止, 封锁, 停止, 制止
n. 禁令, 禁止"
derelict,"a. 被抛弃了的, 无主的, 玩忽职守的
n. 遗弃物, 被遗弃的人, 玩忽职守者"
evict,"vt. 逐出, 赶出, 驱逐
"
sacrosanct,a. 极神圣的
succinct,"a. 简洁的, 紧缩的"
extinct,"a. 熄灭的, 灭绝的, 耗尽的
"
adjunct,"n. 附属物, 附件, 助手, 修饰语
a. 附属的"
concoct,"vt. 调合, 捏造, 编造
"
obstruct,"vt. 阻隔, 妨碍, 阻塞, 遮没
vi. 设障碍"
construct,"vt. 构造, 建造, 对...进行构思, 作图
n. 构成物"
abet,"vt. 教唆, 煽动, 怂恿, 帮助, 支持"
dulcet,"a. 悦目的, 美妙的, 美味的, 悦耳的"
fleet,"n. 舰队, 港湾, 小河
a. 快速的, 敏捷的, 浅的, 短暂的
adv. 浅
vi. 疾驰, 飞逝, 掠过
vt. 消磨, 变换船(或船员)的位置"
meet,"n. 会, 集会
a. 适宜的, 合适的
vt. 遇见, 引见, 认识, 满足, 对付
vi. 相遇, 接触"
discreet,"a. 小心的, 慎重的"
cachet,"n. 公章, 私人印戳, 标记, 威望, 纪念邮戳
"
epithet,"n. 浑名, 绰号, 称号"
whet,"n. 磨, 开胃小吃
vt. 磨, 磨快, 刺激, 促进"
plummet,"n. 测深锤, 铅坠
vi. 垂直落下"
gourmet,n. 美食家
martinet,n. 严格执行纪律的人
trumpet,"n. 喇叭, 小号, 喇叭声
vi. 吹喇叭
vt. 用喇叭吹出, 吹嘘"
beset,"vt. 围绕, 使苦恼, 镶嵌"
onset,"n. 开始, 攻击, 进攻
"
cosset,"n. 供玩赏的小动物, 爱畜
vt. 宠爱, 珍爱, 溺爱"
outset,"n. 着手, 开头, 最初"
daft,"a. 愚笨的, 癫狂的, 狂闹的"
graft,"n. 嫁接, 贪污
v. 嫁接, 移植, 贪污"
waft,"vt. 随风传送, 使飘荡
vi. 飘荡
n. 吹拂, 飘荡"
deft,"a. 敏捷熟练的, 灵巧的"
rift,"n. 裂口, 空隙
vi. 裂开
vt. 使分开, 使割开"
spendthrift,"n. 浪费的人
a. 浪费的, 挥霍无度的"
sift,"vt. 筛, 过滤, 撒, 详查
vi. 筛, 被筛下, 精选"
aloft,"adv. 在高处, 在上"
blight,"n. 枯萎病
vt. 使染上枯萎病, 破坏
vi. 枯萎"
plight,"n. 困境, 窘境
vt. 宣誓, 保证"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
forthright,"adv. 直率地, 直接地, 马上, 立即
a. 直接的, 直率的, 坦白的
n. 直路"
airtight,"a. 气密的, 不透气的, 无懈可击的
"
fraught,"a. 含有...的, 伴着...的, 充满...的"
distraught,"a. 烦恼的, 心烦意乱的, 发狂的"
overwrought,"a. 过分劳累的, 过度紧张的, 神经质的, 过度兴奋的, 过分推敲的, 不自然的"
bait,"n. 饵
vt. 以饵引诱, 欺负
vi. 中途休息"
tacit,"a. 沉默寡言的, 不苟言笑的, 缄默的"
elicit,"vt. 引出, 推导出, 引起"
implicit,"a. 暗示的, 含蓄的, 固有的, 绝对的
"
explicit,"a. 详述的, 清楚的, 直言的"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
discredit,"n. 无信用, 丢脸, 不名誉
vt. 不信, 怀疑, 使丢脸"
pundit,"n. 学者, 梵文学者, 博学的印度人, 权威"
counterfeit,"n. 赝品, 伪造品
a. 假冒的, 假装的
v. 仿造, 伪装, 假装"
forfeit,"n. 没收物, 罚金, 丧失
vt. 没收, 丧失
a. 丧失了的"
surfeit,"n. 过食, 过度, 恶心
vt. 使厌腻, 使沉溺于
vi. 饮食过度"
discomfit,"vt. 打乱, 挫败, 使破灭"
flit,"n. 掠过, 迁徙
vi. 掠过, 迁徙"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
manumit,"vt. 解放, 释放"
knit,"v. 编织, 结合"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
maladroit,"a. 笨拙的, 拙劣的, 愚钝的"
decrepit,a. 衰老的
grit,"n. 砂砾, 粗砂石
vt. 覆以砂砾, 咬牙切齿地说
vi. 摩擦作声"
posit,"vt. 假设, 安置, 布置"
deposit,"n. 存款, 定金, 堆积物
vt. 存放, 堆积
vi. 沉淀"
bruit,"vt. 散播
"
wit,"n. 机智, 智力, 头脑, 理智, 妙语, 机智的人"
outwit,"vt. 瞒骗, 以智取胜"
exalt,"vt. 提升, 提高, 赞扬, 使得意
vi. 使人兴奋, 使人得意"
heartfelt,"a. 衷心的, 真心真意的"
tilt,"n. 倾斜, 倾向, 船篷, 车篷
vt. 使倾斜, 使倾侧, 用帆布篷遮盖
vi. 倾斜, 翘起, 冲, 评击
"
wilt,"v. (使)枯萎, (使)衰弱, (使)畏缩
n. 枯萎, 衰弱, 憔悴"
dolt,"n. 呆子, 笨蛋, 傻瓜"
jolt,"n. 震摇, 摇动, 颠簸
vi. 颠簸而行, 震摇
vt. 使颠簸, 使慌张, 猛击"
molt,"n. 换毛, 脱皮, 脱落物
v. 脱毛, 换毛"
revolt,"n. 叛乱, 反抗, 反感
vi. 叛乱, 反抗, 起义, 厌恶, 反感
vt. 使反感, 使恶心"
default,"n. 违约, 不履行责任, 缺席, 默认值
v. 疏怠职责, 缺席, 拖欠, 默认
"
occult,"a. 神秘的, 不可思议的, 超自然的
v. 掩蔽, 隐藏
n. 神秘之事, 神秘学"
tumult,"n. 骚动, 吵闹, 混乱
"
exult,"vi. 非常高兴, 欢欣"
recant,"vt. 放弃
vi. 放弃信仰, 撤回声明, 公开认错"
intoxicant,"n. 酒类饮料, 致醉药物
a. 使醉的, 令人陶醉的"
scant,"a. 不充分的, 不足的
vt. 减少, 吝啬, 限制, 藐视, 忽略"
pedant,"n. 自夸学问的人, 空谈家, 书呆子"
ascendant,"n. 支配地位, 优势, 运星
a. 上升的, 占优势的"
abundant,"a. 丰富的, 充分的, 大量的"
redundant,"a. 多余的, 过多的, 冗长的
"
verdant,"a. 翠绿的, 青翠的, 无经验的, 不老练的"
mordant,"a. 尖酸的, 辛辣的, 有腐蚀性的
n. 腐蚀剂, 金属箔粘着剂, 媒染剂
vt. 媒染"
miscreant,"a. 邪恶的, 邪道的, 异端的
n. 罪大恶极的人, 恶棍, 异端"
extravagant,"a. 奢侈的, 挥霍无度的, 浪费的"
penchant,"n. 爱好, 嗜好"
trenchant,"a. 锐利的, 尖锐的, 有力的, 鲜明的, 清晰的"
disenchant,vt. 使清醒
sycophant,"n. 奉承者, 谄媚者, 追随者
a. 拍马的, 奉承的"
insouciant,"a. 漫不经心的, 无忧虑的, 不在意的, 满不在乎的"
valiant,"a. 英勇的
n. 勇敢的人"
pliant,"a. 易弯的, 柔韧的, 柔顺的"
compliant,"a. 顺从的, 屈从的
"
nonchalant,"a. 不关心的, 冷淡的, 无动于衷的"
jubilant,"a. 欢呼的, 喜洋洋的"
vigilant,"a. 警觉的, 警戒的, 警惕的
"
gallant,"a. 英勇的, 壮丽的, 华丽的"
supplant,"vt. 排挤掉, 代替"
slant,"n. 倾斜, 斜面, 观点, 偏见, 歪曲
a. 倾斜的
v. (使)倾斜"
petulant,"a. 任性的, 暴躁的, 易生气的, 难以取悦的"
adamant,"n. 坚硬的东西
a. 非常坚硬的, 坚强的, 固执的"
dormant,"a. 睡眠状态的, 静止的
"
stagnant,"a. 不流动的, 停滞的, 不景气的, 萧条的, 污浊的, 迟钝的
"
pregnant,"a. 怀孕的, 充满的, 思想丰富的, 成果丰硕的
"
malignant,"a. 有恶意的, 恶性的, 有害的
"
poignant,"a. 辛酸的, 尖锐的, 剧烈的"
repugnant,"a. 讨厌的, 不愉快的, 厌恶的, 不一致的, 矛盾的, 反对的
"
dominant,"a. 占优势的, 支配的
"
remnant,"n. 剩余, 零料, 遗迹
a. 剩余的, 残余的"
resonant,"a. 共鸣的, 反响的, 洪亮的, 共振的
"
consonant,"n. 辅音
a. 一致的, 调和的"
rampant,"a. 猖獗的, 蔓生的, 猛烈的, 跃立作扑击状的"
rant,"v. 咆哮, 痛骂
n. 咆哮, 大话"
protuberant,"a. 突起的, 招人注意的"
exuberant,"a. 繁茂的, 丰富的, 生气勃勃的
"
preponderant,"a. 占优势的, 多数的, 主要的, 突出的"
itinerant,"a. 巡回的
n. 巡回者"
aspirant,"n. 怀抱大志者, 野心家
a. 上进的, 有野心的"
