disastrous,"a. 损失惨重的, 悲伤的"
handicraft,"n. 手工艺, 手艺
"
reckless,"a. 不介意的, 大意的, 鲁莽的, 不顾后果的
"
commend,"vt. 嘉奖, 委托给, 推荐"
ammunition,"n. 军火, 弹药
"
prosecute,"vt. 告发, 起诉, 彻底进行, 执行, 从事
vi. 告发, 起诉, 作检察官"
huddle,"n. 杂乱一团, 混乱, 拥挤
vt. 把...挤在一起, 乱堆, 草率了事, 蜷曲
vi. 挤作一团, 蜷缩"
fracture,"n. 破碎, 骨折
v. (使)破碎, (使)破裂"
metallic,"a. 金属的, 含金属的, 产生金属的
"
clarity,"n. 清楚, 明晰
"
crowning,"a. 最高的, 无比的
"
liaison,n. 联络
stun,"vt. 使昏迷, 使震惊, 打昏
n. 昏迷, 猛击"
aloft,"adv. 在高处, 在上"
perplex,"vt. 使困惑, 使复杂化, 使为难
"
impetus,"n. 动力, 推动力, 动量
"
signpost,"n. 招牌柱, 广告柱, 路标"
spectrum,"n. 光谱, 范围, 系列
"
smuggle,"vt. 偷运, 走私, 私运
vi. 走私"
defiance,"n. 蔑视, 挑战
"
bruise,"n. 青肿, 挫伤, 擦伤
vi. 受伤, 擦伤
vt. 使受伤, 研碎"
flatter,"vt. 奉承, 阿谀, 使高兴
"
evacuate,"v. 疏散, 撤出, 排泄"
flutter,"n. 摆动, 鼓翼, 烦扰
vi. 摆动, 鼓翼, 烦扰
vt. 拍(翅), 使焦急
"
evade,"v. (巧妙地)逃脱, 规避, 逃避"
cell-phone,n. 手机
vigor,"n. 精力, 活力"
preoccupy,"vt. 抢先占领, 使全神贯注"
hectare,"n. 公顷
"
sanitation,"n. (环境)卫生, 环境卫生的提倡/维持, 卫生设备, 下水道设施, 卫生设施
"
partisan,"n. 党羽, 虔诚信徒, 同党, 游击队员
a. 党派的, 偏袒的, 效忠的, 献身的, 盲目推崇的"
shorthand,"n. 速记
"
prop,"n. 支柱, 支持者, 倚靠人, 道具, 螺旋桨
vt. 支撑, 维持"
appall,"vt. 使丧胆, 使惊骇"
runaway,"n. 逃跑, 逃走的人, 逃亡, 压倒性的优胜
a. 逃亡的, 逃走的"
bouquet,"n. 花束
"
aspire,"vi. 渴望, 立志于"
overhaul,"vt. 分解检查, 翻修, 精细检查, 彻底革新
n. 分解检查, 精细检查, 大检修"
strangle,"vt. 勒死, 扼死, 压制, 使窒息, 抑制
vi. 被扼死, 被绞死, 窒息而死"
warfare,"n. 战争, 战斗, 交战, 斗争, 竞争
"
riddle,"n. 谜, 谜语, 粗筛
vt. 解谜, 给...出谜, 筛, 寻根究底地检验, 充满于
vi. 出谜"
bridegroom,n. 新郎
opaque,"n. 不透明物
a. 不透明的, 不传热的, 不传导的, 阴暗的
"
salmon,"n. 鲑鱼, 大麻哈鱼
"
atop,"adv. 在顶上
prep. 在...的顶上"
comma,"n. 逗点, 逗号"
protocol,"n. 草案, 礼仪, 协议
v. 拟定
"
deplete,"vt. 耗尽, 使衰竭
"
jolly,"a. 愉快的, 高兴的, 宜人的
vt. 恭维, 使高兴, 取笑
vi. 开玩笑
adv. 非常, 极为"
freshman,"n. 新手, 生手, 大学一年级学生, (美)中学一年级学生"
medication,"n. 药物治疗, 药物处理, 医药
"
panorama,"n. 全景, 全貌, 概论, 范围"
cite,"vt. 引用, 引证, 表彰
"
frequency,"n. 频率, 频数
"
numerous,"a. 很多的, 数目众多的, 多数的
"
attribute,"n. 属性, 标志, 定语
vt. 把...归于, 认为...属于
"
tissue,"n. 薄的织物, 薄纱, 棉纸, 组织, 一套
"
refrain,"n. 重复的话, 叠句, 副歌
vi. 节制, 避免, 克制"
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
integrity,"n. 正直, 廉正, 完整
"
evaporate,"vi. 蒸发, 失去水分, 消失
vt. 使蒸发, 使脱水, 使消失"
fragment,"n. 碎片, 破片, 片段
"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
brake,"n. 刹车, 阻碍, 丛林
v. 刹车"
celebrate,"v. 庆祝, 祝贺, 举行"
donation,"n. 捐赠物, 捐款, 捐赠
"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
suffer,"vt. 遭受, 经历, 忍受
vi. 受痛苦, 受损害"
facial,"n. 美颜, 脸部按摩
a. 脸的, 表面的, 脸部用的"
pause,"n. 暂停, 中止, 停顿, 间歇, 踌躇, 休止符
vi. 暂停, 中止, 停顿, 踌躇
"
simplify,"vt. 单一化, 简单化"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
cling,"vi. 粘紧, 附着, 紧贴, 坚持"
fiction,"n. 小说, 虚构故事
"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
empire,"n. 帝国, 帝权"
proud,"a. 骄傲的, 自大的, 自豪的, 辉煌的, 壮丽的"
venture,"n. 冒险, 风险
vt. 敢于, 冒...的危险
vi. 冒险"
registration,"n. 登记, 挂号, 注册
"
assign,"vt. 分配, 指派, 赋值
"
emergency,"n. 紧急状况, 紧急事件, 紧急需要
"
religion,"n. 宗教, 信仰
"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
contribution,"n. 捐助, 捐助之物, 贡献
"
realistic,"a. 现实的, 逼真的, 现实主义的, 实在论的"
apply,"vt. 涂, 应用
vi. 申请, 适用"
inland,"a. 内陆的, 国内的
n. 内地"
contaminate,"vt. 弄污, 弄脏, 污染, 毒害
"
foster,"a. 收养的, 养育的
vt. 养育, 抚育, 培养, 鼓励, 抱(希望)"
extensive,"a. 广的, 广泛的, 多方面的
"
electronic,"a. 电子的
"
toxic,"a. 有毒的, 中毒的
"
county,"n. 县, 郡"
curb,"n. 抑制, 勒马绳, 边石
vt. 抑制, 束缚, 勒住"
ingenious,"a. 灵敏的, 精巧的, 聪明的"
committee,"n. 委员会
"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
estimate,"n. 估计, 判断
vt. 估计, 评价, 判断
vi. 估计"
conspicuous,"a. 显著的, 显眼的, 出众的"
asset,"n. 资产, 有益的东西"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
embody,"vt. 具体表达, 使具体化
"
scratch,"n. 抓痕, 搔, 抓, 擦伤, 刮擦声, 乱写, 零分, 起跑线
vt. 搔, 抓, 挖出, 擦, 刮, 乱涂, 勾抹掉
vi. 搔, 抓, 发刮擦声, 勉强糊口
a. 碰巧的, 凑合的, 打草稿用的
"
historical,"a. 历史的, 史实的, 历史上的
"
security,"n. 安全, 安全性, 防护物, 保安, 可靠性, 担保人, 抵押品, 保证金
"
furthermore,"adv. 此外, 而且"
stationary,"a. 不动的, 静止的, 不变的, 固定的, 停留的
"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
balance,"n. 平衡, 差额
vi. 平衡, 相等
vt. 称, 权衡, 比较, 使平衡, 结算, 抵消"
convert,"n. 皈依者, 改变宗教信仰者
vt. 使改变信仰, 转换, 兑换, 倒置
vi. 皈依
"
ritual,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
precaution,"n. 预防, 留心, 警戒
vt. 预先警告"
dilemma,"n. 困境, (进退两难的)窘境"
derive,"vt. 得自
vi. 起源"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
"
detective,"n. 侦探
a. 侦探的"
roar,"n. 吼, 咆哮, 轰鸣
vi. 吼, 大声说出, 叫喊, 喧闹
vt. 呼喊, 使轰鸣"
dedicate,"vt. 献出, 贡献"
subordinate,"n. 属下, 附属物
a. 下级的, 次要的, 附属的
vt. 使居下位, 使服从"
stumble,"n. 绊倒, 蹒跚而行, 失足
vt. 使绊倒, 使困惑
vi. 绊倒, 失足, 失策, 犯错, 蹒跚, 踌躇"
indignant,"a. 愤怒的, 愤慨的"
intrinsic,"a. 本质的, 原有的, 真正的
"
critical,"a. 批评的, 决定性的, 危险的, 临界的
"
prevalent,"a. 普遍的, 流行的"
flank,"n. 侧面, 侧腹, 胁, 腰窝肉
vt. 攻击侧面, 守侧面
vi. 侧面与...相接"
cosy,"a. 温暖舒适的
n. 保暖套"
secular,"n. 修道院外的教士
a. 世俗的, 现世的, 长期的"
gorgeous,"a. 华丽的, 灿烂的"
chapel,"n. 小教堂, 礼拜式"
esteem,"n. 尊敬, 尊重
vt. 尊敬, 尊重, 认为"
tangle,"n. 缠结, 纠结的一团, 困惑, 纠纷, 混乱
vt. 使缠结, 缠住
vi. 缠结, 乱作一团"
manoeuvre,"n. 调遣, 演习, 策略
vi. 调动, 演习, 用策略
vt. 调动, 操纵"
hum,"n. 嗡嗡声, 哼声, 杂声
vi. 发低哼声
vt. 哼, 用哼声表示
interj. 哼, 嗯"
militia,"n. 义勇军, 民兵组织, 国民军"
retention,"n. 保持, 留置, 保留, 保持力, 保留物, 记忆, 停滞, 固位
"
outflow,"n. 流出, 流出物
"
insurgency,"n. 叛乱状态, 发生暴动
"
wrench,"n. 扳钳, 扳手, 扭伤, 歪曲, 痛苦
vt. 猛扭, 扭伤, 曲解, 折磨
vi. 猛扭, 猛绞"
buzz,"n. 嗡嗡声, 流言
vi. 发出嗡嗡声, 说闲话
vt. 使嗡嗡叫, 散布"
sober,"a. 未醉的, 稳重的, 节制的, 严肃的, 不夸大的, 合理的, 朴素的
vt. 使醒酒, 使严肃
vi. 从醉里醒来, 变严肃"
frantic,"a. 狂乱的, 疯狂的"
porch,"n. 门廊, 走廊"
outreach,"vt. 超出...的范围, 作超出能力所及的事而害及自己, 占...的上风, 胜过
vi. 走得太远, 伸出, 展开"
verdict,"n. 裁决, 判决, 判断性意见, 定论, 结论
"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
slump,"n. 暴跌, 垂头弯腰的姿态
vi. 猛然掉落, 陷入, 衰落(经济等)"
inborn,a. 天生的；先天的
scarcity,"n. 缺乏, 不足, 缺少
"
reversible,"a. 可逆的, 可撤消的
n. 双面可用织物"
humid,"a. 潮湿的, 湿润的, 多湿气的"
immigrate,"vt. 使移居入境
vi. 移入"
faction,"n. 小派系, 内讧
"
coconut,"n. 椰子
"
panda,"n. 大熊猫, 小熊猫"
mow,"n. 草堆, 皱眉, 怪脸
vt. 割草
vi. 割草, 做怪脸"
concurrent,"n. 同时发生的事件
a. 同时发生的, 一致的
"
clergy,"n. 牧师, 僧侣, 神职人员"
bail,"n. 保释, 拎环, 杓, 栅栏
vt. 保释, 舀水"
maiden,"n. 年轻未婚女子, 少女, 处女
a. 未婚的, 处女的, 初次的, 无经验的"
debut,"n. 初次登台, 开张
v. 初次登台"
metabolism,"n. 新陈代谢, 变态
"
swipe,"n. 强打, 用力挥击, 尖刻的话, 碰擦, 起重杆
vt. 强打, 用力挥击, 偷"
binoculars,"n. 双目镜, 双筒镜
"
clown,"n. 小丑, 乡下人"
relentless,"a. 无情的, 冷酷的, 残酷的"
overdue,"a. 过期的, 未兑的, 迟到的, 早就成熟的
"
innovate,"vi. 改革, 创新"
influenza,"n. 流行性感冒
"
lenient,"a. 宽大的, 温和的, 慈悲为怀的
"
heartfelt,"a. 衷心的, 真心真意的"
barge,"n. 驳船
vt. 用船运输
vi. 蹒跚, 闯入"
outdated,"a. 旧式的, 落伍的, 过时的"
pharmacy,"n. 药房, 配药学, 制药业
"
salvage,"n. 海上救助, 抢救, 打捞, 抢救出来的财物
vt. 海上救助, 抢救, 打捞, 营救
"
topple,"vt. 推翻, 颠覆
vi. 倒塌, 摇摇欲坠"
franchise,"n. 公民权, 特权, 特许经营权, 免赔额
vt. 给以特权, 给以...公民权"
predator,"n. 食肉动物, 掠夺者
"
trumpet,"n. 喇叭, 小号, 喇叭声
vi. 吹喇叭
vt. 用喇叭吹出, 吹嘘"
scrutiny,"n. 细看, 仔细检查, 监视, 选票检查
"
perpetual,"a. 永久的, 不断的, 无期限的, 没完没了的, 四季开花的
"
blunder,"n. 大错, 大失策
vi. 失策, 跌跌撞撞地走, 犯错
vt. 做错"
minor,"n. 未成年人, 副修科目
a. 较小的, 二流的, 未成年的
vi. 副修
"
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
decent,"a. 有分寸的, 得体的, 大方的"
discriminate,"v. 区别, 差别待遇"
molecule,"n. 分子, 些微
"
offer,"n. 给予(物), 出价, 提议, 意图, 报价
vt. 提供, 出价, 奉献, 试图, 使出现, 演出
vi. 出现, 献祭, 提议, 求婚"
invent,"vt. 发明, 创作, 虚构
"
dictate,"vi. 听写, 口述, 口授
vt. 口述, 使听写, 命令
n. 命令, 指挥, 指令"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
owe,"vt. 亏欠, 负...债, 归功于, 怀有, 应给予, 感恩
vi. 欠钱"
dismiss,"vt. 解散, 开除, 解职
vi. 解散
"
deduct,"vt. 扣除, 减去
"
prepare,"vt. 准备, 筹备, 使在思想上有准备, 制造, 调制
vi. 预备"
screw,"n. 螺旋, 螺杆, 螺钉, 螺旋桨, 吝啬鬼
vt. 调节, 扭紧, 旋, 拧, 加强, 压榨, 勒索
vi. 转动, 旋, 拧"
obey,"vt. 服从, 遵从, 顺从
vi. 服从"
signal,"n. 信号, 暗号, 近因, 导火线
vt. 向...作信号, 标志, 用信号通知
vi. 发信号
a. 作为信号的, 显著的
"
solid,"n. 固体
a. 坚硬的, 稳固的, 固体的, 实心的, 纯质的, 立体的, 立方的
"
overlook,"vt. 俯瞰, 远眺, 没注意到
n. 眺望, 俯瞰到的景色"
passion,"n. 激情, 酷爱, 热爱, 强烈感情, 耶稣受难(故事)"
mental,"a. 心智的, 精神病的, 心理的, 颏的
n. 精神病患者"
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
limitation,"n. 限制, 缺陷, 限额
"
gather,"n. 集合, 聚集
vi. 聚集, 集合, 渐增
vt. 使聚集, 搜集, 积聚"
standpoint,"n. 立场, 观点"
patience,"n. 耐性, 忍耐"
forum,"n. 论坛, 公开讨论的广场, 法庭, 讨论会
"
convenient,"a. 方便的, 合宜的
"
promise,"n. 诺言, 约定的事情, 有指望
vt. 允诺, 约定, 预示
vi. 允诺, 有前途, 有指望"
exact,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
signature,"n. 签字, 识别标志, 调号
"
compete,"vi. 竞争, 对抗"
maintain,"vt. 维持, 维修, 保持, 坚持, 供养, 主张
"
outcome,"n. 结果, 出口"
successor,"n. 继承者, 接任者
"
controversy,"n. 论争, 辩论, 论战, 争论
"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
community,"n. 社区, 公众, 共有, 共同体
"
protein,"n. 蛋白质
a. 蛋白质的"
stereo,"n. 铅版, 立体照片
a. 立体的, 立体感觉的"
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
institute,"n. 学会, 学院, 协会
vt. 创立, 开始, 制定, 任命"
tough,"n. 恶棍
a. 强硬的, 艰苦的, 坚固的, 坚韧的, 粗暴的, 咬不动的"
mechanical,"a. 机械的, 机械性的, 力学的
"
profile,"n. 侧面, 轮廓, 传略
vt. 描绘...轮廓, 写...的传略
"
peer,"n. 同等的人, 匹敌, 贵族
vi. 凝视, 窥视, 费力地看, 隐现
vt. 与...同等, 封为贵族"
diminish,"v. (使)减少, (使)变小"
stimulus,"n. 刺激, 激励, 刺激品
"
wretched,"a. 可怜的, 不幸的, 卑鄙的"
costly,"a. 昂贵的, 奢华的, 费用大的"
barren,"a. 不育的, 贫瘠的
n. 荒地"
nevertheless,"adv. 然而, 虽然如此
conj. 然而"
morality,"n. 道德, 教训, 品行
"
versatile,"a. 多才多艺的, 万用的, 万向的"
optimism,"n. 乐观主义, 乐观, 乐天
"
hinder,"a. 后面的
v. 阻碍, 打扰"
finite,"a. 有限的, 有穷的, 限定的
n. 有限物"
enormous,"a. 巨大的, 庞大的"
astonish,vt. 使惊讶
vessel,"n. 船, 容器, 脉管
"
extinct,"a. 熄灭的, 灭绝的, 耗尽的
"
segment,"n. 片段, 部分, 分节, 段
v. 分割, 分裂
"
passive,"a. 消极的, 被动的, 冷漠的, 顺从的, 无源的
"
typical,"a. 典型的, 象征性的
"
consumer,"n. 消费者
"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
penalty,"n. 处罚, 刑罚, 罚款, 罚球, 报应, 不利结果, 妨碍
"
defendant,"n. 被告
"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
recession,"n. 后退, 凹处, 衰退, 归还
"
notation,"n. 记号, 符号表示法, 注释
"
dodge,"v. 避开, 躲避
n. 诡计, 躲藏"
soluble,"a. 溶解的, 可溶解的, 可以解决的
"
converge,"vi. 聚合, 集中于一点
vt. 使集合"
remnant,"n. 剩余, 零料, 遗迹
a. 剩余的, 残余的"
optic,"a. 眼睛的, 视觉的, 光学的
n. 镜片"
permissible,"a. 可允许的, 可容许程度的
"
rehearse,"vt. 预演, 排演, 使熟练掌握, 练习, 复述
vi. 排练, 练习, 演习"
ambush,"n. 埋伏, 伏兵, 伏击
vt. 埋伏, 伏击
vi. 埋伏"
bizarre,a. 奇异的
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
solicitor,"n. (英)律师, 初级律师, (美)法务官, (美)掮客, 游说者, (美)募捐者
"
repressive,"a. 压抑的, 抑制的, 镇压的"
crumble,"v. (使)粉碎, (使)成为碎屑, 瓦解, 崩溃, 败落"
fabricate,"vt. 制造, 建造, 装配, 伪造"
escalate,"vi. 逐步扩大, 逐步升高, 逐步增强
vt. 使逐步上升"
artery,"n. 动脉, 干道, 要道
"
condolence,"n. 哀悼, 吊唁"
underscore,"vt. 划线于...下
n. (表强调的)下划线
"
civic,"a. 市的, 市民的, 公民的
"
chronicle,"n. 年代记, 记录, 编年史
vt. 把...载入编年史"
gracious,"a. 亲切的, 慈善的"
hurl,"n. 用力的投掷
vt. 用力投掷, 发射, 愤慨地说出, 丢下
vi. 猛投, 猛掷"
pedal,"n. 踏板, 脚蹬子
a. 脚的, 脚踏的
vt. 用脚踏动
vi. 踩踏板, 骑车"
dogma,n. 教条
deploy,"v. 展开, 配置"
ultra,"a. 过分的, 极端的
n. 极端主义者, 过激论者, 急进论者"
statute,"n. 法令, 成文法律, 法规, 章程, 条例
"
sodium,"n. 钠
"
agitate,"vt. 使摇动, 搅动, 使激动, 使不安
vi. 鼓动, 煽动"
analogue,"n. 类似物, 相似情况
"
synonym,n. 同义词
dime,n. 10分硬币(美、加)
gut,"n. 剧情, 内容, 内脏, 肚子, 海峡, 勇气
vt. 取出内脏, 毁坏...的内部"
burglar,"n. 窃贼
"
ethic,"n. 道德规范, 伦理"
tram,"n. 电车轨道, 煤车, 纬纱, 纬丝
vt. 用煤车运载
vi. 乘电车"
ranch,"n. 大牧场
v. 经营牧场"
solicit,"v. 请求, 乞求, 招揽, 征求"
dent,"n. 凹痕
vt. 使凹下, 削弱
vi. 塌陷"
carbohydrate,"n. 碳水化合物, 糖类
"
indebted,"a. 负债的, 受惠的
"
grandparent,n. 祖父母
dissident,"a. 意见不同的, 持不同政见的
n. 意见不同的人, 持不同政见者"
crouch,"n. 蹲伏, 蜷缩
vi. 蹲下, 蜷着, 缩着
vt. 低头"
legislate,"vi. 制定法律
vt. 用立法规定"
tactic,"n. 一项战术, 一条策略
a. 战术的, 顺序的, 排列的"
complacent,"a. 满足的, 自满的, 得意的"
carton,"n. 硬纸盒, 纸板箱
"
forfeit,"n. 没收物, 罚金, 丧失
vt. 没收, 丧失
a. 丧失了的"
clench,"n. 牢牢抓住, 钉紧, 敲弯钉尖
vt. 紧握, 牢牢地抓住, 确定, 敲弯
vi. 握紧, 钉牢"
tropic,n. 回归线
beckon,"v. 招手示意, 召唤, 吸引
n. 表召唤的点头(或手势)"
heroin,"n. 海洛因, 吗啡
"
represent,"vt. 表现, 表示, 描绘, 讲述, 代表, 象征, 回忆, 再赠送, 再上演
vi. 提出异议"
slap,"n. 掴, 掌击, 侮辱, 拍击声
v. 拍击, 惩罚
adv. 正面地, 直接地, 突然地"
insight,"n. 察看, 洞察力, 见识
"
format,"n. 开本, 版式, 形式, 格式
vt. 格式化
"
grieve,"vt. 使悲伤
vi. 悲痛, 伤心"
diplomatic,"a. 外交的, 老练的
"
cultivate,"vt. 培养, 耕作"
tuck,"n. 缝褶, 活力, 鼓声, 船尾突出部, 食品
vt. 打褶, 卷起, 挤进, 塞, 收藏
vi. 缝褶裥, 缩拢"
alienate,"vt. 使疏远, 离间, 转让
"
amateur,"n. 业余爱好者, 外行, 爱好者
"
grateful,"a. 感谢的, 感激的, 令人快意的, 受欢迎的"
minus,"n. 负号, 不足
a. 减的, 负的, 阴性的
prep. 减, 缺
"
chain,"n. 链, 枷锁, 束缚
vt. 用铁练锁住, 束缚, 囚禁"
spiritual,"a. 精神上的, 神圣的, 崇高的, 高尚的, 鬼的, 招魂术的
n. 有关教会的事"
engineer,"n. 工程师, 工兵
vt. 设计, 监造, 精明地处理, 策划"
circumstance,"n. 环境, 状况, 事件"
workforce,"n. 劳动力；工人总数, 职工总数"
tower,"n. 塔, 高楼, 堡垒
vi. 高耸, 翱翔"
native,"n. 本地人, 土产, 当地人
a. 本国的, 与生俱来的, 自然的"
eager,"a. 热心的, 渴望的, 热望的"
yawn,"n. 哈欠
vi. 打哈欠, 裂开
vt. 打着哈欠说"
librarian,"n. 图书馆员, 图书管理员
"
banner,"n. 旗帜
a. 显著的, 特别好的"
definition,"n. 定义, 精确度, 清晰度
"
reject,"n. 被拒之人, 被弃之物, 不合格品, 次品
vt. 拒绝, 抵制, 否决, 驳回, 丢弃, 呕出"
symbol,"n. 符号, 象征, 代号, 信条
"
adventure,"n. 冒险, 冒险经历
v. 冒险"
exile,"n. 放逐, 流放, 被放逐者
vt. 放逐, 流放, 使背井离乡"
scream,"n. 尖叫声
vi. 尖叫, 大笑, 尖啸, 令人震惊
vt. 尖叫着说, 大叫大嚷着要求"
divide,"vi. 分开, 分配, 分裂
vt. 分, 分开, 分裂, 除
n. 分配, 分水岭
"
gradual,"a. 逐渐的, 渐增的
n. 弥撒升阶圣歌"
reduce,"vt. 减少, 分解, 降低, 使衰退, 把...分解, 把...归纳
vi. 减少, 减肥, 缩小
"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
murder,"n. 谋杀
vt. 谋杀, 损毁, 破坏
vi. 犯杀人罪"
expect,"vt. 预期, 盼望, 期待"
remedy,"n. 药物, 治疗法, 治疗, 补救, 赔偿
vt. 治疗, 补救, 矫正, 改善, 修补, 修缮"
multiple,"n. 倍数, 并联
a. 多样的, 许多的, 多功能的"
lawn,"n. 草地, 草坪, 上等细麻布
"
preach,"v. 传道, 讲道, 说教, 宣讲, 鼓吹
n. 说教, 布道"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
transfer,"n. 迁移, 移动, 传递, 转让, 转移, 过户, 汇兑, 换车
vt. 使转移, 调转, 调任, 改变, 传递, 转让
vi. 转移, 转学, 转职, 换车
"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
host,"n. 主人, 旅馆老板, 节目主持人
vt. 当主人招待, 作...节目主持人
"
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
precede,"vt. 在...之前, 优于, 较...优先
vi. 在前面"
crucial,"a. 决定性的, 重要的, 严厉的
"
necessity,"n. 需要, 必需品, 必然
"
additional,"a. 附加的, 另外的, 额外的
"
appropriate,"a. 适当的
"
arise,"vi. 站立, 出现, 起来"
exert,"vt. 发挥, 运用, 施以影响
"
bulk,"n. 大小, 体积, 大块, 大多数
vt. 显得大, 显得重要"
generate,"vt. 产生, 发生, 导致
"
prime,"n. 最佳部分, 初期, 全盛期
a. 主要的, 最初的, 根本的
v. 加油启动, 灌注, 填装"
withstand,"vt. 抵住, 顶住, 经得起"
grip,"n. 紧握, 柄, 握力, 握手方式, 手提包, 掌握, 支配, 控制
vt. 抓紧, 抱住, 吸住, 掌握
vi. 握牢, 有吸引力"
consequently,adv. 所以
upset,"a. 弄翻的, 混乱的, 心烦的
vt. 弄翻, 颠覆, 推翻, 打乱, 使不适, 使心烦
vi. 翻倒"
beneficial,"a. 有益的, 受益的
"
deem,"v. 认为, 相信"
retail,"n. 零售
a. 零售的
vt. 零售, 详述, 传播
vi. 零售"
predecessor,"n. 前任, 先辈, 前身
"
flaw,"n. 缺点, 裂纹, 瑕疵, 一阵狂风
"
horizon,"n. 地平线, 眼界, (天)视地平"
destined,"a. 预定的, 注定的, 命定的"
epidemic,"n. 传染病, 流行病
a. 流行的, 传染性的"
ward,"n. 病房, 守卫, 保卫, 保护, 监护, 牢房, 行政区, 锁孔内的榫舌
vt. 使入病房, 守护, 保卫"
gossip,"n. 闲聊, 随笔, 流言, 爱讲闲话的人
vi. 说闲话, 闲聊"
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
millimetre,"n. 毫米
"
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
campus,"n. 校园, 大学生活"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
fluctuate,"vi. 变动, 起伏, 动摇
vt. 使波动, 使动摇"
sediment,"n. 沉淀物, 沉积
"
feat,"n. 壮举, 功绩, 技艺表演
a. 灵巧的, 合适的, 整洁的"
invert,"a. 转化的
vt. 使反转, 使颠倒, 使转化
n. 颠倒的事物
"
impair,"vt. 损害, 减少, 削弱
"
venue,"n. 犯罪地点, 审判地, 发生地点"
reel,"n. 卷轴, 一卷, 纺车, 旋转, 蹒跚
vt. 卷...于轴上, 绕, 使旋转
vi. 蹒跚地走, 旋转, 眩晕, 摇晃, 退缩
"
menace,"n. 威胁, 胁迫
v. 威吓, 胁迫"
symmetry,"n. 对称, 匀称
"
fret,"n. 烦躁, 磨损, 焦急, 网状饰物
vi. 烦恼, 不满, 磨损
vt. 使烦恼, 腐蚀, 使磨损, 使起波纹"
recur,"vi. 复发, 回到, 重现, 再来, 诉诸, 采用, 循环"
exquisite,"a. 精致的, 细腻的, 敏锐的"
transient,"n. 瞬, 短期居留者, 过境鸟, 瞬变现象
a. 短暂的, 易变的, 瞬变的, 路过的
"
envisage,"vt. 面对, 正视, 想象"
glide,"n. 滑动, 滑过, 流水
vi. 滑动, 滑翔, 溜走, 流逝
vt. 使滑动"
decimal,"a. 十进位的, 小数的
n. 十进制, 小数
"
reproach,"n. 责备, 耻辱
vt. 责备, 申斥, 使丢脸"
contempt,"n. 轻视, 轻蔑
"
preclude,"vt. 预先排除, 预防, 阻止, 妨碍
"
intimidate,"vt. 威胁, 恐吓
"
swamp,"n. 沼泽, 进退两难的困境
vt. 淹没, 击溃, 清除, 使陷于沼泽
vi. 陷于沼泽, 淹没"
infringe,"v. 破坏, 侵犯, 违反"
eject,"vt. 逐放, 放逐, 喷射
"
henceforth,"adv. 自此以后, 今后"
racket,"n. 球拍, 喧闹, 杂乱无章
vi. 喧闹
vt. 用球拍打"
juvenile,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
spinal,"a. 针的, 尖刺的, 尖刺状突起的, 脊骨的
"
smartphone,n. 智能手机
