able,"a. 能干的, 能够的"
boyhood,n. 少年时代
girl,"n. 女孩, 少女, 女佣"
juvenile,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
sex,"n. 性别, 性欲
vt. 区别...的性别, 引起...的性欲"
clean,"a. 干净的, 清白的, 简洁的
adv. 清洁地, 完全地
vt. 清理, 使干净, 出空
vi. 被搞干净
n. 打扫"
pollute,"vt. 污染, 弄脏, 玷污
"
dirty,"a. 肮脏的, 卑鄙的
vt. 弄脏
vi. 变脏"
dust,"n. 灰尘, 尘埃, 粉末, 花粉, 土, 骚乱
vt. 拂去灰尘, 撒, 弄成粉末
vi. 拂去灰尘, 化为粉末"
cloud,"n. 云, 阴暗, 烟雾, 疑团
vt. 以云遮敝, 笼罩, 使黯然
vi. 乌云密布, 阴沉"
cloudy,"a. 多云的, 有愁容的, 云的, 浑浊的
"
rain,"n. 雨, 下雨, 雨天
vi. 下雨
vt. 使大量落下"
rainbow,"n. 彩虹
a. 五彩缤纷的"
rainy,"a. 下雨的, 多雨的"
snow,"n. 雪, 积雪, 下雪, 雪花形干扰
vi. 下雪, 似雪般落下
vt. 使雪白, 用雪覆盖, 使像雪般落下"
fog,"n. 雾, 迷惑, (割后的)最生草, 苔藓
vi. 被雾笼罩, 变模糊
vt. 使困惑, 以雾笼罩"
wind,"n. 风, 气息, 气味, 呼吸, 风声, 趋势, 空谈, 卷绕, 弯曲
vt. 使通风, 嗅出, 使喘气, 吹号角, 上发条, 缠绕, 包, 绞起, 吊起, 使弯曲, 使迂回
vi. 嗅出猎物, 吹响号角, 卷曲, 蜿蜒, 迂回, 缠绕"
windy,"a. 多风的, 风强的, 腹胀的, 吹牛的"
storm,"n. 暴风雨, 骚动, 风波, 风暴, 猛攻
vi. 起风, 猛冲, 怒吼
vt. 猛攻"
wet,"n. 湿气, 潮湿, 水分, 雨天
a. 湿的, 潮的, 搞错的, 下雨的, 反对禁酒的
vi. 变湿
vt. 使...湿"
damp,"n. 潮湿, 湿气
a. 潮湿的
vt. 使潮湿, 使阻尼, 抑止
vi. 变潮湿, 衰减"
dry,"a. 干的, 无酒的, 枯燥无味的, 干燥的
vt. 把...弄干
vi. 变干
n. 干, 干涸"
drought,"n. 干旱, 缺乏"
fine,"n. 罚款, 罚金, 晴天, 精细
a. 好的, 晴朗的, 健康的, 细小的, 精细的
vt. 罚款, 精炼, 澄清
vi. 变清, 变细
adv. 很好
"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
"
closure,"n. 关闭
vt. 使终止"
shut,"n. 关闭
vt. 关上, 闭起, 幽禁, 合拢, 轧住
vi. 关上, 停止营业"
lock,"n. 锁, 刹车, 水闸, 一缕头发
vt. 锁, 锁上, 拘禁, 隐藏, (用锁等)拴住, 刹住
vi. 锁住, (齿轮等)啮合, (船)过闸"
unlock,"vt. 开...的锁, 开启, 表露, 放出
vi. 被开启, 揭开, 解放
"
open,"n. 公开, 户外, 空旷
a. 开着的, 开放的, 开阔的, 营业着的, 公开的, 悬而未决的
vt. 打开, 公开, 开放
vi. 展开, 开始, 展现
"
cocaine,"n. 可卡因, 古柯碱
"
drug,"n. 药, 麻药, 麻醉药
vi. 吸毒
vt. 使服麻醉药, 使麻木"
pill,"n. 药丸, 弹丸, 屈辱, 胡说
v. 做成药丸, 形成丸状, 服药丸, 挫败, 抢劫"
cold,"n. 感冒, 寒冷
a. 寒冷的, 冷淡的, 冷静的
adv. 完全地"
ice,"n. 冰, 冰淇淋, 糖衣, 冷若冰霜, 矜持, 贿赂
vt. 使结冰, 冰镇, 覆以糖衣
vi. 结冰"
freeze,"vi. 冻结, 冷冻, 僵硬, 楞住
vt. 使结冰, 使冻住, 使呆住
n. 结冰, 凝固
"
cool,"n. 凉爽, 凉爽的空气
a. 凉爽的, 冷淡的, 冷静的
vi. 冷却, 平息
vt. 使冷却, 使平静"
warm,"a. 暖和的, 暖的, 温暖的, 热烈的, 兴奋的, 激烈的, 多情的, 色情的
vt. 使温暖, 弄热, 使兴奋, 使充满仇恨
vi. 变暖和, 变温暖, 取暖, 激动, 同情, 爱好
n. 暖, 保暖物"
warmth,"n. 温暖, 温情, 暖和, 激动, 生气"
hot,"a. 热的, 热心的, 辣的, 热情的, 激动的, 猛烈的, 紧迫的
adv. 热, 紧迫地"
heat,"n. 热, 热度, 体温, 高潮
vi. 加热, 激昂, 加剧
vt. 把...加热, 使激动"
heater,"n. 加热器, 灯丝, 加热工
"
classification,"n. 分类, 分级
"
together,"adv. 一起, 共同, 彼此"
altogether,"adv. 完全地, 总而言之"
crowd,"n. 群众, 一伙人
vt. 拥挤, 挤满, 挤进"
separation,"n. 分离, 分居, 缺口, 退职
"
divisive,"a. 区分的, 制造分裂的, 造成不和的"
spread,"n. 传播, 散布, 伸展
a. 双唇展开的, 伸展的
vt. 展开, 铺开, 传播, 推广, 伸出, 涂, 敷, 延伸
vi. 展开, 扩大, 传开, 延伸
"
disconnect,"vt. 使分离, 使不相连, 拆开
vi. 断开
"
come,"vi. 过来, 来, 到达, 出现, 开始
interj. 喂"
enter,"vt. 进入, 参加, 开始, 输入, 回车
vi. 进去, 参加
"
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
"
go,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下
vt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)
n. 去, 尝试, 进行"
comfort,"n. 舒适, 安慰, 安慰者
vt. 安慰"
comfortable,"a. 舒服的, 轻松的
n. 盖被"
common,"a. 通常的, 共同的, 通俗的, 公共的
"
general,"n. 一般, 将军, 大体
a. 全面的, 大体的, 总的, 一般的, 普遍的
n. 常规
"
normal,"n. 常态, 标准, 正常, 普通
a. 正常的, 正规的, 标准的, 师范的, 正态的
"
standard,"n. 标准, 规格, 旗, 军旗, 本位
a. 标准的, 合规格的
"
norm,"n. 基准, 模范, 标准, 准则, 平均数
"
morality,"n. 道德, 教训, 品行
"
abnormal,"a. 反常的, 不规则的, 变态的, 畸形的
n. 畸形的人"
ordinary,"a. 平常的, 普通的, 平凡的
n. 平常的人(或事)"
usual,"a. 平常的, 通常的"
unusual,"a. 不寻常的, 罕见的, 与众不同的"
particular,"n. 一项(或条、点), 个别项目, 详细说明
a. 特别的, 独有的, 挑剔的, 详尽的"
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员
a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的"
especially,"adv. 尤其, 特别, 格外"
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
establishment,"n. 确立, 制定, 设施
"
fellow,"n. 男人, 朋友, 同事
a. 同伴的, 同事的, 同道的"
comrade,"n. 同志, 伙伴"
partnership,"n. 合伙, 合股, 合作关系
"
friend,"n. 朋友, 支持者, 赞助者
"
friendly,"a. 友好的, 亲切的, 互助的
adv. 友善地, 温和地"
friendship,"n. 友谊, 友爱, 友善"
enemy,"n. 敌人, 仇敌, 敌军
a. 敌人的"
discuss,"vt. 讨论, 论述
"
meeting,"n. 会议, 会面
"
chair,"n. 椅子, 显要的席位, 主席
vt. 使入座, 使就任要职"
meet,"n. 会, 集会
a. 适宜的, 合适的
vt. 遇见, 引见, 认识, 满足, 对付
vi. 相遇, 接触"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
exceptional,"a. 例外的, 异常的, 特别的"
without,"prep. 没有, 不, 在...之外
adv. 在外面, 户外
n. 外面, 外部"
continent,"n. 大陆, 洲
a. 自制的"
continental,"a. 大陆的, 洲的
n. 欧洲大陆人"
mainland,"n. 大陆, 本土
"
inland,"a. 内陆的, 国内的
n. 内地"
island,"n. 岛, 岛屿, 孤立地区, 安全岛
vt. 使成岛状, 孤立"
land,"n. 陆地, 地面, 地界, 地产, 国土, 土地
vi. 登陆, 登岸, 到达
vt. 使上岸, 使登陆, 使到达
"
landmark,"n. 陆标, 划时代的事, 地界标
"
landowner,"n. 地主
"
sand,"n. 沙, 沙子, 沙滩, 光阴, 生涯
vt. 撒沙, 以沙掩盖"
sea,"n. 海, 海洋, 海浪, 大量
"
ocean,"n. 海洋, 广阔, 许多, 一大片
"
oceanic,"a. 海洋的, 产于海洋的, 在海洋中生活的, 广阔的"
lake,"n. 湖, 池, 色淀
v. (使)血球溶解"
continue,"vi. 继续, 延续, 延长
vt. 使继续, 使延长"
discontinue,"vi. 中断, 终止, 停止
vt. 使中止"
stop,"n. 停止, 车站, 逗留, 填塞, 障碍, (风琴的)音栓
vi. 停止, 被塞住
vt. 塞住, 堵塞, 阻止, 击落, 停止, 终止, 断绝"
nonstop,"a. 直达的, 不着陆的, 不休息的
adv. 不休息地
n. 直达车, 直达行驶"
pause,"n. 暂停, 中止, 停顿, 间歇, 踌躇, 休止符
vi. 暂停, 中止, 停顿, 踌躇
"
interruption,"n. 打扰, 中断, 障碍物
"
control,"n. 控制, 管理, 克制, 控制器, 操纵装置
vt. 控制, 操纵, 抑制
"
ruler,"n. 统治者, 管理者, 尺, 直尺
n. 划线板
"
copy,"n. 副本, 摹仿, 一册
v. 复印, 抄袭, 复制
"
corn,"n. 玉蜀黍, 谷类, 谷粒, 鸡眼
vt. 使成颗粒, 腌"
crop,"n. 农作物, 产量, 平头
vt. 收割, 修剪, 种植
vi. 收获
"
wheat,n. 小麦
rice,"n. 米, 米饭, 稻
vt. 将...压成米粒状"
cotton,"n. 棉花
vi. 和谐, 有好感, 理解"
harvest,"n. 收获, 成果, 收获物, 收获期
v. 收割, 收获"
barn,"n. 谷仓
"
seed,"n. 种子, 籽, 萌芽, 子孙, 精液
vt. 在...播种, 催...发育, 脱...籽
vi. 结实, 播种"
soil,"n. 土壤, 土地, 国家, 国土, 温床, 污物, 粪便, 水池
vt. 弄脏, 污辱
vi. 变脏"
fertilizer,"n. 肥料, 促进发展者, 受精媒介物
"
fertiliser,[化] 肥料
corner,"n. 角落, 转角, 窘境
vt. 迫至一隅, 垄断, 使陷入绝境
vi. 相交成角, 垄断
"
exact,"a. 精确的, 准确的, 精密的
vt. 强求, 急需"
accurate,"a. 正确的, 精确的
"
exactly,"adv. 确切地, 精确地, 恰好, 完全地, 确实, 恰恰正是, 确实如此"
definitely,"adv. 明确无疑地, 清楚地"
wrong,"a. 错误的, 不正当的, 失常的
adv. 错误地"
error,"n. 错误, 过失, 失误, 误差
"
mistake,"n. 错误, 误会
vi. 犯错, 误认
vt. 误解, 弄错
"
count,"vt. 计算, 视为
vi. 计数
n. 计算, 合计, 计数, 伯爵
"
number,"n. 数, 数字, 数目, 号码
vt. 数, 计算, 共计
vi. 计算, 报数
"
many,"n. 多数, 多数人
a. 许多的
pron. 许多"
much,"n. 大量, 许多, 重要的事
a. 很多的, 重要的
adv. 多, 甚, 几乎"
more,"n. 更多
a. 多的, 程度较大的, 更大的
adv. 多, 更多, 进一步
"
most,"n. 最多, 最大
a. 大多数的, 几乎全部的, 最多的
adv. 最, 最多, 极其"
mostly,"adv. 大概, 大部分, 主要
"
mass,"n. 块, 大多数, 质量, 大量, 群众, 弥撒
a. 群众的, 大规模的, 整个的
vt. 使集合, 集中
vi. 聚集"
several,"a. 几个的, 一些的, 各自的
pron. 几个"
bit,"n. 少量, 马嚼子, 辅币
vt. 给马上嚼子, 控制
bite的过去式和过去分词
"
few,"a. 很少的, 不多的, 少数的
n. 少数"
little,"n. 一点点, 少许, 一会儿, 短时间
a. 小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的
adv. 很少, 稍微, 完全不"
less,"n. 较少, 较小
a. 少的, 小的
adv. 较少, 较小, 较差
"
lessen,"vt. 减少, 缩小, 减轻
vi. 变小"
least,"n. 最少, 最小, 最小限度
a. 最少的, 最小的
adv. 最小, 最少"
majority,"n. 多数, 大半
"
quantify,"vt. 定量, 用数量表示, 测量"
quality,"n. 品质, 特性, 才能, 质量
a. 优质的
"
qualitative,"a. 性质的, 质的, 定性的"
country,"n. 国家, 乡村, 地区, 故乡
a. 乡下的, 农村的
"
countryside,"n. 乡下地方, 乡下居民"
rural,"a. 乡下的, 田园的, 乡村风味的
"
village,"n. 村庄
a. 乡村的, 村庄的"
downtown,"n. 市中心区
a. 市中心的
adv. 往闹市区"
nation,"n. 国家, 民族
"
nationwide,"a. 全国性的
"
national,"a. 国家的, 国立的, 全国性的, 民族的
"
courtyard,"n. 庭院, 天井"
yard,"n. 码, 庭院, 工场
"
garden,"n. 花园, 果园, 菜园
vi. 栽培花木
vt. 造园
a. 花园的, 普通的"
cue,"n. 提示, 线索
vt. 给...暗示(或提示)
"
crazy,"a. 发狂的, 狂热的"
mad,"a. 疯狂的, 发疯的, 生气的, 愚蠢的, 狂欢的
n. 狂怒"
fever,"n. 发烧, 发热, 热病
"
zeal,"n. 热心, 热衷, 热诚"
fan,"n. 风扇, 迷, 狂热者, 爱好者
vt. 煽动, 刺激, 吹拂
vi. 飘动, 成扇形散开"
create,"vt. 创造, 建造, 引起, 任命"
creationism,"n. 创造宇宙说, 特别创造说"
creationist,"n. 神灵论者, 上帝论者; 特创论者（即相信万物皆由上帝一次造成者）"
cruelty,"n. 残酷, 野蛮, 残酷行为
"
kind,"n. 种类, 性质, 方式
a. 亲切的, 仁慈的, 和蔼的"
goodness,"n. 仁慈, 善良"
kindness,"n. 仁慈, 亲切, 和蔼"
outgoing,"n. 外出, 开支, 流出
a. 喜欢外出的, 即将离职的, 乐于助人的"
cry,"n. 叫声, 哭声, 大叫
vi. 哭, 叫, 喊
vt. 叫喊, 大声说, 哭出"
tear,"n. 泪滴, 眼泪, 撕, 扯, 裂缝, 激怒, 飞奔
vi. 流泪, 撕破, 赶快, 飞奔, 被撕破
vt. 撕裂, 戳破, 拉掉, 撕掉, 使分裂, 使精神不安, 折磨"
scream,"n. 尖叫声
vi. 尖叫, 大笑, 尖啸, 令人震惊
vt. 尖叫着说, 大叫大嚷着要求"
shout,"n. 呼喊, 喊声
vi. 呼喊, 喊叫, 嚷
vt. 高喊"
smile,"n. 微笑, 喜色, 笑容
vi. 微笑, 觉得好笑
vt. 微笑着表示"
laugh,"n. 笑, 笑声
vi. 笑, 大笑
vt. 以笑表示"
laughter,"n. 笑, 笑声
"
curious,"a. 好奇的, 求知的, 古怪的"
surprise,"n. 惊奇, 奇袭, 诧异
vt. 使惊奇, 撞见, 奇袭"
guest,"n. 客人, 来宾, 旅客
"
accustom,vt. 使习惯于
condition,"n. 情况, 条件
vt. 使健康, 以...为条件, 决定, 使适应
"
habitual,"a. 习惯的, 惯常的, 平常的
"
habituate,"vt. 使习惯于, 使熟习于"
hobby,"n. 嗜好, 癖好, 爱好"
cut,"n. 切口, 割伤, 降低, 切, 割, 砍, 削, 伤口, 削减, 缩短, 删节, 通路
a. 经切割的, 缩减的
vt. 切, 割, 减少, 刺痛, 开辟, 雕刻, 删节, 缩短, 停止, 排斥, 切断, 关, 显出
vi. 切, 割, 砍, 刺痛, 相交, 抄近路, 剪辑
"
knife,"n. 小刀, 匕首
vt. 切割, 伤害, 切, 戳
vi. 劈开, 穿过"
fork,"n. 叉子, 叉状物, 分岔
vi. 分支, 分歧
vt. 做成叉形, 叉起
"
dam,"n. 水坝, 障碍
v. 控制, 筑坝
"
pour,"n. 流出, 倾泻, 骤雨
vt. 倒, 灌, 注, 倾泻, 诉说, 倾吐
vi. 倾泻, 蜂涌而来, 下大雨"
flow,"n. 流程, 流动, 流量, 洋溢, 泛滥, 涨潮
vi. 流动, 流泄, 畅流, 川流不息, 飘扬, 涌出
vt. 使流动, 淹没, 流出"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
"
pipe,"n. 管, 导管, 输送管, 管状器官, 声带, 尖细的声音, 烟斗, 笛, 管乐器
vt. 以管输送, 吹哨子, 吹奏, 尖声唱
vi. 吹笛, 尖叫, 吹长哨发令
"
pipeline,"n. 管道, 传递途径
"
dead,"a. 死的, 不活泼的, 麻木的, 熄灭的
n. 死者
adv. 完全地, 直接地"
death,"n. 死亡
"
die,"vi. 死亡, 消逝, 平息, 熄灭, 漠然, 渴望
vt. 死
n. 骰子, 冲模"
kill,"n. 杀, 杀戮, 小河
vt. 杀, 破坏, 消灭, 使终止, 抵消, 否决
vi. 杀死
"
bury,"vt. 埋葬, 埋藏"
deviate,"vi. 脱离, 偏离
vt. 使偏离
a. 脱离常规的
n. 脱离常规的人"
deviation,"n. 背离
"
determination,"n. 决心, 果断
"
determinism,"n. 决定论
"
deep,"a. 深的
adv. 深入地
n. 深渊, 深处"
depth,"n. 深度, 深处, 深奥
"
high,"n. 高度, 高处
a. 高的, 高级的, 主要的, 高尚的, 高原的, 高音的, 昂贵的, 傲慢的
adv. 高度地, 奢侈地"
height,"n. 高度, 海拔, 高地, 顶点
"
tall,"a. 高的, 长的, 夸大的
adv. 夸大地"
low,"n. 低点, 低价, 低, 牛叫声
a. 低的, 消沉的, 低等的, 浅的, 卑贱的
adv. 低下地, 谦卑地, 低
vi. 牛叫"
lower,"a. 低的, 下级的, 下层的
vi. 降低, 跌落, 减弱
vt. 放下, 降下, 减弱, 贬低"
long,"a. 长的, 长久的, 冗长的, 做多头的
vi. 渴望, 热望, 极想
adv. 长久, 始终
n. 长时间, 长信号, 长整型
"
longing,"n. 渴望, 热望, 憧憬
a. 渴望的, 热望的"
length,"n. 长度, 长, 期间, 一段
"
lengthen,"vt. 加长, 使延长
vi. 变长"
lengthy,"a. 冗长的, 漫长的"
short,"a. 短的, 近的, 矮的, 短期的, 简短的, 少量的
adv. 简短地, 突然
n. 扼要, 短片, 缺乏
vt. 故意少给, 使短路"
shortly,"adv. 不久, 简短, 唐突地"
shorten,"vt. 弄短, 缩短, 减少
vi. 缩小, 变短"
shortlist,n. <英>供最后挑选(或考虑)用的候选人名单
shortcut,"n. 捷径, 最短路线
"
quick,"a. 快的, 迅速的, 敏捷的, 灵敏的, 急速的
adv. 快
n. 新长出的肉, 要害, 核心, 感觉敏锐部位"
rapid,"a. 迅速的, 飞快的, 急促的, 陡的
n. 急流"
speed,"n. 速率, 速度, 迅速
vi. 加速, 超速, 快进
vt. 快速传送, 促进, 使加速
"
slow,"a. 慢的, 缓慢的, 迟缓的, 迟钝的, 冷漠的, 落后的
adv. 慢地, 迟缓地
v. (使)慢下来"
slowdown,"n. 降低速度, 减速"
big,"a. 大的, 重要的
adv. 大量地"
vast,"a. 巨大的, 广大的, 非常的, 大量的"
great,"a. 大的, 非常的, 主要的, 重大的, 崇高的, 伟大的
adv. 顺利地, 得意地
n. 全部, 大人物, 大师"
huge,"a. 极大的, 巨大的, 无限的"
large,"a. 大的, 大量的, 宽大的, 广博的
adv. 大大地, 夸大地"
size,"n. 大小, 尺寸, 规模, 尺码, 能力, 浆料
vt. 上浆, 依大小排列
vi. 可比拟
a. 一定大小的, 一定尺寸的"
downsize,vt. 以较小尺寸设计；缩小尺寸；裁减人数
outsize,"a. 特大的
n. 特大号"
small,"a. 小的, 少的, 小型的, 低微的, 小气的, 细微的
adv. 些微地
n. 狭小部分"
tiny,"a. 很少的, 微小的"
thick,"a. 厚的, 粗壮的, 浓的, 迟钝的, 浑浊的, 多雾的, 过分的, 口齿不清的
adv. 厚地, 密地, 浓浓地
n. 最浓处, 最厚处, 最密集处
"
thin,"a. 薄的, 细的, 瘦的, 稀疏的, 稀薄的, 淡的, 弱的, 空洞的
vt. 使变薄, 使变细, 使稀少, 使淡
vi. 变薄, 变细, 变少, 变淡
adv. 薄地, 稀疏地, 微弱地
n. 细小部分"
broad,"a. 宽广的, 辽阔的, 广大的, 显著的
adv. 宽阔地
n. 宽阔部分"
extent,"n. 范围, 程度, 区域
"
broadcast,"n. 广播, 传播
a. 广播的
v. 广播
adv. 经广播, 四散地
"
wide,"a. 宽的, 广阔的, 普遍的, 宽阔的, 广泛的, 一般的
adv. 广阔地, 遍及各处地, 广泛地
n. 大千世界"
narrow,"n. 狭窄部分, 隘路
a. 狭窄的, 仔细的, 有限的, 勉强的, 狭隘的, 手紧的
vi. 变窄
vt. 使变狭窄"
hard,"a. 坚硬的, 硬的, 难的, 艰苦的, 困难的, 坚固的, 猛烈的, 艰难的, 结实的, 确实的
adv. 坚硬地, 努力地, 辛苦地, 接近地, 猛烈地, 牢固地"
soft,"a. 软的, 温和的, 柔和的, 柔滑的, 温柔的, 软弱的, 坡度小的, 笨的, 纸币的
n. 柔软的东西, 笨人, 纸币
adv. 柔软地, 温和地"
software,"n. 软件
"
heavy,"a. 重的, 巨大的, 沉重的, 笨重的, 过度的
adv. 沉重地
n. 重物, 严肃角色"
empty,"a. 空的, 空虚的, 空腹的, 空洞的
n. 空的东西, 空车
vt. 倒空, 使变空, 使排出
vi. 流空
"
weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚
vi. 称分量, 有意义, 重压, 起锚
n. 过秤, 称分量"
weight,"n. 重, 重量, 体重, 砝码, 重大, 影响, 力量
vt. 加重量于, 压迫, 使加权, 称重量
"
hurry,"n. 匆忙, 急忙, 急促
vt. 急派, 催促
vi. 匆忙, 赶快"
timely,"a. 及时的, 适时的
adv. 及时地"
delete,"vt. 删除
"
remove,"vt. 移动, 调动, 除去, 迁移, 开除, 移交
vi. 迁移, 移动, 搬家
n. 班级, 升级, 移动, 搬家, 间距
"
move,"n. 移动, 迁居, 步骤
vt. 移动, 开动, 感动, 搬(家)
vi. 移动, 离开, 运行, 迁移, 摇动, 搬家, 交往, 进展, 脱手
"
movement,"n. 运动, 动作, 运转, 移动, 倾向, 变化, 活动, 乐章
"
depend,"vi. 靠, 视...而定, 信赖"
dependable,"a. 可信任的, 可靠的, 可信赖的"
dependence,"n. 依赖, 依存, 信赖
"
develop,"vt. 发展, 使发达, 进步, 洗印, 显影
vi. 发展, 生长"
evolve,"vi. 进展, 进化, 展开
vt. 使发展, 使推断出, 使进化"
development,"n. 发展
"
underdeveloped,"a. 开发不充分的, 不发达的, 发育不全的"
grow,"vt. 种植, 使长满
vi. 生长, 变成, 发展"
growth,"n. 生长, 栽培, 增长
"
phrase,"n. 惯用语, 词组, 成语, 措词, 乐句
vt. 用短语表达, 把(乐曲)分成短句
"
preposition,"n. 前置词, 介词"
word,"n. 话, 消息, 词, 诺言, 命令
vt. 用言辞表达
"
letter,"n. 信, 字母, 证书, 字面意义, 铅字, 学问, 出租人
vt. 写字母于, 在...上刻字母, 用字母标明
vi. 写印刷体字
"
e-mail, 电子函政
paragraph,"n. 段落, 短评
vt. 将...分段, 分段落
vi. 写短讯
"
grammar,"n. 语法学, 入门书
"
different,"a. 不同的
"
same,"a. 相同的, 同样的
pron. 相同的人(或事物)
adv. 同样地"
difficult,a. 困难的
difficulty,"n. 困难, 难点"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
advanced,"a. 在前的, 高级的, 先进的, 年老的
"
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的
adv. 容易地, 慢慢地"
facility,"n. 容易, 灵巧, 设备
"
simple,"a. 简单的, 普通的, 朴素的, 单纯的, 绝对的, 初级的, 原始的, 迟钝的
n. 出身低微者, 傻子"
simplistic,a. 过分简单化的
simply,"adv. 简单地, 只是, 简直, 简朴地, 坦白地"
dig,"vt. 挖, 翻土, 发掘
vi. 挖掘
n. 挖掘
"
discontent,n. 不满
satisfy,"vt. 使满意, 满足, 符合, 使确信, 赔偿
vi. 令人满意, 替人赎罪"
dissatisfied,"a. 不满的, 显出不满的"
discover,"vt. 发现, 找到, 暴露
vi. 发现"
discovery,"n. 发现, 被发现的事物
"
find,"vt. 发现, 感到, 找到, 认为, 得到
vi. 裁决
n. 发现
"
like,"a. 相似的, 同样的
vt. 喜欢, 愿意, 想
vi. 喜欢, 希望
n. 爱好, 同样的人(或物)
prep. 象, 如同
adv. 可能"
unlike,"a. 不像的, 不同的
prep. 不像, 和...不同"
love,"n. 爱, 恋爱, 爱情, 爱好, 性爱
vt. 爱, 爱好, 爱慕
vi. 爱"
enjoy,"vt. 享受, 喜欢, 欣赏
"
fond,"a. 喜欢的, 宠爱的, 温柔的"
favorite,"n. 喜欢的事物, 幸运儿
a. 特别受喜爱的, 喜爱的, 宠爱的, 中意的"
favourite,"n. 喜欢的事物
a. 喜爱的, 宠爱的"
hate,"n. 憎恨, 恨, 厌恶
vt. 憎恨, 憎恶
vi. 仇恨"
