precise,"a. 精确的, 严谨的, 明确的
"
swallow,"n. 燕子, 吞咽, 喉
vt. 咽, 淹没, 吞没, 耗尽, 轻信, 忍受, 抑制
vi. 吞下, 咽下"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
agreement,"n. 同意, 合约, 协议
"
shooting,"n. 发射, 猎场, 射击"
minus,"n. 负号, 不足
a. 减的, 负的, 阴性的
prep. 减, 缺
"
typewriter,n. 打字机
satisfy,"vt. 使满意, 满足, 符合, 使确信, 赔偿
vi. 令人满意, 替人赎罪"
income,"n. 收入, 收益, 流入
"
absence,"n. 缺席, 缺乏, 没有
"
sleepy,"a. 困乏的, 欲睡的"
appointment,"n. 约会, 委任的职位, 委派
"
comprehension,"n. 理解, 包含"
withdraw,"vt. 撤回, 取回, 撤消, 使撤退, 拉开, 移开
vi. 撤退, 离开"
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
conversation,"n. 会话, 说话, 交谈
"
portable,"a. 可携带的, 可搬运的, 可移动的
"
solar,"a. 太阳的, 日光的, 源自太阳的
"
become,"vi. 变成, 变得
vt. 适合"
umbrella,"n. 伞, 雨伞, 保护伞
a. 伞的, 包罗万象的
vt. 用伞遮掩"
except,"vt. 除, 除外
vi. 反对
prep. 除了...之外, 若不是, 除非
conj. 只是"
painter,"n. 画家, 油漆匠
"
simplify,"vt. 单一化, 简单化"
percentage,"n. 百分比, 比率, 部分, 可能性
"
license,"n. 执照, 许可证, 特许
vt. 许可, 特许"
scarf,"n. 围巾, 头巾, 领带, 领巾, 嵌接
vt. 用围巾围, 嵌接"
memorize,"vt. 记住, 熟记, 背熟"
average,"n. 平均, 平均数, 一般水平, 海损
a. 平均的, 中等的, 平常的
vt. 算出...平均数, 平均做, 均分, 使平衡
vi. 平均为, 呈中间色"
entire,"n. 整个, 全部
a. 全体的, 完全的, 全部的"
plain,"n. 平原, 草原, 朴实无华的东西, 无格式
a. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的
adv. 清楚地, 显然地
"
fence,"n. 围墙, 栅栏, 买卖赃物的人, 剑术
vt. 用篱笆围住, 练习剑术, 防护
vi. 击剑, 搪塞"
basic,"n. 基本原理, 要素, 基本规律
a. 基本的, 碱性的
(计算机)BASIC语言"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
"
equip,"vt. 装备, 配备
"
software,"n. 软件
"
consultant,"n. 顾问, 征询意见者
"
shoulder,"n. 肩, 肩膀, 衣肩
vt. 肩负, 负担, 担任
vi. 用肩推挤"
degree,"n. 程度, 度数, 学位, 度
"
cheese,"n. 乳酪
"
optional,"a. 可选择的, 随意的
"
temptation,"n. 诱惑, 诱惑物
"
heaven,"n. 天堂, 上帝, 天空"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
wildlife,n. 野生动植物
urgent,"a. 紧急的, 急迫的, 催逼的
"
respond,"vt. 以...回答
vi. 回答, 响应, 回报, 有反应, 承担责任"
voluntary,"a. 自动的, 自愿的, 故意的, 志愿的, 自发的
n. 自愿行动, 志愿者, 自由调"
product,"n. 产品, 结果, 乘积
"
ladder,"n. 梯, 梯状物, 发迹的途径
vi. 袜子抽丝, 成名"
essay,"n. 随笔, 短文, 评论, 企图
vt. 试图"
playground,"n. 运动场, 操场, 度假胜地, 活动场所"
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
"
owe,"vt. 亏欠, 负...债, 归功于, 怀有, 应给予, 感恩
vi. 欠钱"
sick,"n. 病人
a. 不舒服, 有病的, 恶心的, 厌恶的, 渴望的, 病态的
vt. 呕吐, 追击, 使(狗)去攻击"
effort,"n. 努力, 成就"
fluent,"a. 流利的, 流畅的"
surprise,"n. 惊奇, 奇袭, 诧异
vt. 使惊奇, 撞见, 奇袭"
habit,"n. 习惯, 嗜好, 习性
vt. 使穿衣"
postcode,n. 邮政编码
temporary,"a. 暂时的, 临时的
n. 临时工, 临时雇员
"
iron,"n. 铁, 熨斗, 铁器, 坚强, 烙铁, 镣铐
vt. 烫平, 熨, 用铁包
vi. 烫平"
toothpaste,"n. 牙膏
"
annoy,"vt. 使恼怒, 骚扰"
private,"a. 私人的, 秘密的, 私立的, 隐蔽的
n. 士兵, 隐士, 阴部
"
importance,"n. 重要, 重要性, 重要地位, 自大
"
alphabet,"n. 字母
"
lie,"n. 谎言, 假象, 位置
vi. 躺着, 说谎, 位于, 展现, 存在, 停泊
vt. 谎骗"
decide,"v. 决定, 判决"
gesture,"n. 手势, 姿态
vi. 作手势, 作姿态"
insect,"n. 昆虫, 卑鄙的人
"
roast,"n. 烤肉, 烘烤, 嘲笑
a. 烘烤的, 烤过的
vt. 烤, 炙, 烘焙, 嘲笑
vi. 烤, 炙, 烘焙"
false,"a. 错误的, 虚伪的, 假的, 不老实的
adv. 不准确地, 欺诈地"
assume,"vt. 假定, 承担, 呈现
vi. 装腔作势, 僭越"
vivid,"a. 生动的, 鲜明的, 鲜艳的, 活泼的, 逼真的, 清晰的"
mushroom,"n. 蘑菇形物, 蘑菇, 暴发户
vi. 迅速生长, 迅速增加, 采蘑菇
a. 蘑菇形的, 迅速生长的"
elect,"n. 当选人, 被选的人
a. 被选的, 选出的
vt. 选举, 选择
vi. 作选择"
database,"n. 数据库
"
sow,"n. 母猪, 懒胖女人
vt. 播种, 散布, 使密布
vi. 播种"
pollute,"vt. 污染, 弄脏, 玷污
"
appeal,"n. 恳求, 诉请, 上诉, 吸引力
vi. 呼吁, 诉请, 要求, 上诉, 有吸引力
vt. 将...上诉"
helicopter,"n. 直升机
vt. 由直升机运送
vi. 乘直升机"
admirable,"a. 可钦佩的, 极好的, 令人惊奇的"
edge,"n. 边缘, 尖锐, 刀刃, 优势
vt. 使锐利, 挤进, 镶边
vi. 缓缓移动"
harmony,"n. 协调, 和睦, 调和
"
fluency,"n. 流畅, 雄辩, 善辩"
golden,"a. 金的, 含金的, 金色的, 贵重的, 繁盛的
"
block,"n. 街区, 木块, 石块, 块
vt. 阻塞, 封锁, 使成块状
"
ruin,"n. 毁灭, 推翻, 废墟
vi. 毁灭, 衰败, 破坏, 破产, 堕落
vt. 使毁灭, 毁坏, 使破产"
motorbike,"n. 机动脚踏两用车, 摩托车"
discount,"n. 折扣, 贴现率
vt. 打折扣
vi. 贴现"
slight,"n. 轻蔑, 怠慢
a. 轻微的, 纤细的, 脆弱的, 苗条的
vt. 轻视, 忽略, 怠慢"
microscope,"n. 显微镜
"
electrical,"a. 电的, 有关电的
"
apologize,"vi. 道歉, 辩解"
harm,"n. 伤害, 害处
vt. 伤害, 损害"
persuade,"vt. 劝, 使相信, 恳求, 敦促, 说服
vi. 劝服, 被说服"
ground,"n. 土地, 战场, 场地, 地面, 范围
a. 土地的, 地面上的
vt. 放在地上, 使搁浅, 打基础, 给...以训练
vi. 搁浅, 落地, 根据, 基于
a. 磨过的
grind的过去式和过去分词"
accomplish,"vt. 完成, 达到, 实现, 使完美"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
create,"vt. 创造, 建造, 引起, 任命"
thermos,n. 热水瓶
wealthy,"a. 富有的, 丰裕的, 充分的"
outline,"n. 大纲, 轮廓, 概要
vt. 描画轮廓, 描述要点
n. 大纲, 分级, 轮廓
"
fierce,"a. 凶猛的, 猛烈的, 热烈的, 暴躁的"
toothbrush,n. 牙刷
classify,"vt. 分类, 归类, 分等
"
disappointment,n. 失望
qualification,"n. 资格, 条件, 限制
"
unfold,"vt. 展开, 打开, 披露, 开展, 挑明
vi. 伸展, 开花, 呈现"
honour,"n. 荣誉, 头衔, 信用, 尊敬, 名誉, 阁下, 勋章
vt. 尊敬, 授予荣誉, 承兑, 实践"
sensitive,"a. 敏感的, 易感的, 灵敏的, 感光的
"
lamp,"n. 灯
vt. 照亮
"
poisonous,"a. 有毒的, 恶毒的, 讨厌的
"
circuit,"n. 电路, 环(行)道, 巡回
"
glasshouse,"n. 温室, 玻璃工场, 禁闭房"
instrument,"n. 工具, 手段, 仪器
"
topic,"n. 主题, 论题, 话题"
nurse,"n. 护士, 保姆, 奶妈
vt. 看护, 照顾, 培养
vi. 喂奶, 看护病人"
mist,"n. 雾, 迷蒙, 朦胧不清
vt. 使模糊, 使蒙上雾
vi. 变模糊, 下雾"
harvest,"n. 收获, 成果, 收获物, 收获期
v. 收割, 收获"
secretary,"n. 秘书, 书记, 大臣
"
stream,"n. 水流, 小河, 流出, 趋势, 人潮
vt. 流出, 流动, 展开
vi. 流, 涌, 飘扬
"
worthwhile,"a. 值得花时间的, 值得做的, 有真实价值的"
rough,"n. 粗糙的东西, 毛坯, 未加工品, 梗概, 草图, 暴徒, 艰难
a. 粗糙的, 粗暴的, 蓬乱的, 草率的, 大致的, 简陋的, 暴风雨的, 艰难的
vt. 使粗糙, 使不平, 使蓬乱, 粗制, 草拟, 粗暴对待, 对...动粗
vi. 变粗糙
adv. 粗糙地, 粗暴地"
garbage,"n. 垃圾, 废物
"
recommend,"vt. 推荐, 介绍, 劝告, 使受欢迎, 托付
"
moral,"n. 道德, 品行, 寓意
a. 道德的, 品性端正的, 精神上的"
classical,"a. 古典的, 正统派的, 经典的
"
allergic,"a. 对...过敏的, 极反感的
"
biscuit,"n. 饼干
"
brochure,"n. 小册子, 小册"
Internet,[网络] 互联网；因特网；网际网路
preference,"n. 偏爱, 优先, 喜爱物
"
nowadays,"n. 现在, 现时, 当今
adv. 时下, 现今"
bright,"a. 明亮的, 聪明的, 鲜明的, 欢快的
adv. 明亮地, 欢快地"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
disobey,"v. 违反, 不服从"
worn,"a. 用旧的, 穿旧的
wear的过去分词"
booth,"n. 亭, 摊棚
"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
rock,"n. 岩石, 岩礁, 石头, 基石, 暗礁, 摇动, 摇滚乐
vt. 摇摆, 摇动, 使摇晃, 使动摇
vi. 摇, 摇动"
dictionary,"n. 字典, 词典
"
independent,"n. 独立自主者, 无党派者
a. 独立的, 有主见的, 不须依赖的, 不受约束的"
conservative,"a. 保守的, 守旧的, 有保存力的
"
status,"n. 状态, 情形, 地位, 要人身份
"
organise,"vt. 组织, 有机化, 给予生机"
silk,"n. 丝, 绸, 绸锻类, 丝织品
a. 丝的, 丝织的"
assessment,"n. 评估, 估定, 评定的款额
"
mineral,"n. 矿物, 无机物, 苏打水
a. 矿物的, 似矿物的"
convey,"vt. 传达, 运输, 转让
"
appear,"vi. 出现, 显得, 来到
"
destroy,"vt. 破坏, 毁坏, 消灭"
shuttle,"n. 穿梭, 梭子, 往返移动之物
v. (使)穿梭移动, 往返运送"
lay,"vt. 放置, 产, 铺设, 布置, 提出, 平息
vi. 下蛋, 打赌
n. 位置, 层, 隐藏处
a. 世俗的, 外行的
lie的过去式"
labourer,"n. 劳动者, 干体力工作的工人, 劳工
"
contradict,"vt. 反驳, 与...抵触, 与...矛盾
vi. 反驳"
translate,"vt. 翻译, 解释, 转化, 转变为, 调动
vi. 翻译, 被译
"
dream,"n. 梦, 空想, 愿望
v. 做梦, 想象, 梦想"
operate,"v. 操作, 运转, 动手术, 活动"
circumstance,"n. 环境, 状况, 事件"
menu,"n. 菜单, (功能)选择单
"
flashlight,"n. 手电筒, 闪光信号灯"
pioneer,"n. 先锋, 拓荒者, 创始人
vt. 提倡, 开辟, 开创, 倡导
vi. 作先驱, 开路
a. 最早的, 开拓的, 先驱的, 有开拓者特点的"
patience,"n. 耐性, 忍耐"
dimension,"n. 尺寸, 次元, 面积, 维数
vt. 标出尺寸"
bake,"vt. 烘焙, 烤
vi. 烤面包
n. 烘焙, 烤"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
taste,"n. 味道, 品味, 味觉, 感受, 体验, 爱好, 审美, 少量
vt. 尝, 察觉...的味道, 体会
vi. 品尝, 察觉味道, 有某种味道"
purple,"n. 紫色, 帝位
a. 紫色的, 帝王的, 华而不实的
v. (使)成紫色"
compare,"vt. 比较, 比喻, 对照
vi. 相比
n. 比较
"
clarify,"vi. 澄清, 阐明
vt. 使明晰"
list,"n. 目录, 名单, 明细表, 布条, 条纹, 列表, 序列, 数据清单
vt. 列出, 列于表上, 记入名单内, 装布条
vi. 列于表上
"
rainbow,"n. 彩虹
a. 五彩缤纷的"
primitive,"n. 原始人, 早期艺术家
a. 原始的, 上古的
"
category,"n. 种类, 类项
"
present,"n. 现在, 礼品, 瞄准
a. 现在的, 出席的
vt. 介绍, 引见, 赠送, 提出, 呈现, 上演
vi. 举枪瞄准"
weigh,"vt. 称...重量, 衡量, 把...压弯, 考虑, 权衡, 起锚
vi. 称分量, 有意义, 重压, 起锚
n. 过秤, 称分量"
contain,"vt. 包含, 容纳, 控制
vi. 自制"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
reputation,"n. 名誉, 名声, 声望
"
maid,"n. 少女, 未婚女子, 女仆"
compulsory,"a. 被强制的, 强迫的, 义务的
"
fly,"n. 苍蝇, 两翼昆虫, 飞行
vi. 飞, 飞翔, 飘扬, 逃走
vt. 飞, 飞越, 使飘扬, 逃出
a. 敏捷的"
primary,"n. 最主要者, 原色
a. 主要的, 初期的, 根本的, 原始的, 首要的, 基本的
"
pulse,"n. 脉冲, 脉搏, 情绪, 意向, 拍子, 豆类
vi. 跳动, 脉跳
vt. 使跳动, 用脉冲调制
"
monument,"n. 纪念碑, 纪念物, 石碑"
ridiculous,"a. 荒谬的, 可笑的"
serious,"a. 严肃的, 认真的, 重要的, 严重的
"
encouragement,"n. 鼓励, 激励, 奖励
"
servant,"n. 仆人, 有用物, 公务员, 雇员
"
freeze,"vi. 冻结, 冷冻, 僵硬, 楞住
vt. 使结冰, 使冻住, 使呆住
n. 结冰, 凝固
"
send for,na. 派人去叫
take over,"na. 接管；继承
"
remove ... from ...,从...除去
be responsible for,"引起..., 是...的原因, 对...起作用, 构成...的一部分
"
fall behind,"落在后面, 拖欠"
turn around,"na. 转身；〈美〉使向好的方向转变
"
be ashamed of,"感到羞耻, 惭愧"
pay back,"na. 偿还；报答；向…报复；付还
"
look out,"na. 挑选；注意；看外头；展望 (on；over)
"
pass by,"na. 经过；不过问；打…旁边过去；通用(…这个名字)
"
so as to,"使得, 以致"
leave out,"na. 遗漏；忽略；〈口〉(告诉某人)停下来
"
run away,"潜逃
"
tire out,"na. 使疲倦到极度
"
look ahead,"向前看, 着眼未来"
in advance,"预先
"
believe in,"信仰, 信任"
react to,作出反应
put ... into ...,"na. 插入；注入；(船)入港
"
on average, 平均起来
roll over,"na. 滚动；使滚；〔美棒球〕得分；同“roll”
"
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
long before,在...以前很久
pass on,"na. “pass away”的变体；递；传达；通过
"
lead to,"导致, 通向"
push over,把...推倒
appeal to,[法] 诉诸...
stick out,"na. 突出；伸出手臂；伸展；(因为与众不同而)容易识别
"
infer from,从…中推导出
rely on,"依赖, 依靠"
in practice,"在实践中, 实际上, 熟练"
persist in,"坚持, 固执于"
throw off,"na. 摆脱(习惯,拘束等)；抛弃；脱掉(衣服)；甩掉
"
give away,"na. 赠送；分发；放弃；露马脚
"
learn about,"学习,听说,得悉,了解"
learn of,"听说..., 获悉..."
belong to,属于
on condition that,"若是…, 以…为条件"
tear up,"na. 撕碎；连根拔起；扰乱；跑上
"
approve of,"赞成,批准…"
make the best of,充分利用
by accident,偶然
adapt to,适应…;适合…
take the lead,"为首, 带头"
on the contrary,"正相反
"
other than,"不同于, 除了"
give off,"na. 发散(水蒸气等)
"
leave behind,"na. 遗留；留下；追过；留在后头
"
result from,"由...产生
"
turn a blind eye to,熟视无睹
refer to,"v. 查阅；提到
"
divide ... into ...,"把…划分成,分成"
take ... into account,"na. 考虑
"
go against,"反对, 违反, 不利于"
pass through,"通过..., 透过..., 穿过..., 流过..."
pile up,"堆积, 积累, 搁浅, 撞毁"
above all,"尤其是, 首先"
benefit from,从…获利
hunt for,搜寻
tell a lie,说谎话
reflect on,"深思, 反省, 导致, 招致非议"
stand by,"支持, 遵守, 袖手旁观, 准备行动
"
complain about,抱怨
complain of,"抱怨, 抗议"
look forward to," 期望, 盼望; 瞩望; 属望; 企"
call at,"停靠(车站), 拜访(家/办公室)"
work out,"v. 作出；拟定；制定；计划一下
"
stick to,粘住
be supposed to,"应该, 被期望"
figure out,"合计为, 计算出, 明白"
set out,"n. 开始；出发；动身；准备
"
keep up with,"跟上
"
turn in,"v. 向里弯曲
"
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
in spite of,不管
set off,"na. 分；分割；划开；区划
"
waste ... on sth.,在(某方面)浪费时间，浪费钱财
object to,"反对,不赞成"
change into,变成
agree with,"同意…,与…意见一致;适应…"
even if,即使
even though,"虽然, 尽管"
put down,"na. 平定；贬低(的话)；(飞机的)降落
"
recommend doing sth.,[网络] 建议做某事；推荐做某事；建议干
live by,靠…为生
look for,"寻找, 期待"
make up,"na. 弥补；起草；定；签订
"
in vain,"徒然
"
pull down,"na. 挣钱；压低；拆坏(房子等)；(疾病使人)衰弱
"
laugh at,"嘲笑, 漠视, 因...发笑"
depend on,"依靠, 依赖"
depend upon," 依赖, 依靠"
take risks,"冒险,担风险"
in detail,详细地
in demand,"[经] 销路好, 有需要"
turn to,"转向, 变成, 求助于, 起劲地开始行动"
take the place of,"代替
"
end up with,〈非正〉以…结束
be relevant to,与...有关
around the corner,"在拐角处, 在附近, 即将来临"
think of ... as ...,把...看作
keep up,"na. 支持；保持；继续；停歇
"
used to do sth., 过去常常做某事
mean to do sth., 打算做；有意做
up to,"从事于(坏事), 忙于, 胜任, 能做, 适合, 适于"
pull through,"(使)渡过难关, (使)恢复健康"
to one's delight,无
give in,"na. 让步；屈服；投降；上交
"
at all costs,不惜任何代价
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
insist on,"坚持, 坚决要求"
insist upon,"坚持(做)..., 坚决要求(做)..."
tell apart,分辨
attribute ... to ...,"na. 认为(成功)是(努力)的结果
"
calm down,"平静下来, 镇定下来"
get rid of,"摆脱, 除去"
aim at,"v. 目的在于
"
take one's time,从容不迫
result in,"导致
"
at the beginning of,在…刚开始的时候
build up,"树立, 增进, 增大, 堵塞
"
be able to do sth.,[网络] 能够做某事；能做某事；有能力做某事
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
"
consider ... as ..., 看成
at least,"至少
"
in a moment,立刻
see sb. off,"na. 送行；送别；告别；赶走
"
thanks to,由于
differ from,不同
warm up,"na. 加热；变暖；热中起来；【运】作准备动作
"
hurry up,"赶快, 匆匆完成"
at present,"现在, 目前"
out of the question,"不知底细
"
put aside,"na. “set aside”的变体
"
give out,"分发, 发出, 发表, 用尽, 精疲力竭"
begin with,"以…开始,首先"
make sense,有意义
look up,"v. 查找；查阅；探望；看望
"
on purpose,"故意
"
check in,"登记, 报到
"
consist in,存在于
lose touch with,和…失去联系
vote for,"[法] 赞成, 投票赞成, 选举"
name after, 以…的名字起名
in brief,"简言之, 以简洁的形式"
lay aside,"na. 保存；放在一边；丢弃；留着
"
read out,"na. 大声读；【自动化】读出
"
show off,"炫耀, 卖弄, 使显眼"
tell by,"v. 依据
"
attempt to do sth.,v. 尝试去做
out of breath,上气不接下气
in a way,"在某种程度上, 稍稍"
respond to,"答复,响应,对…作出反应"
put out,"v. 扑灭；熄灭；放出；伸出
"
would rather,"倒愿意…,宁愿…"
kick off,"踢脱, 中线开球"
pay a visit to,"访问,拜访,出诊"
on the run,"跑着, 逃跑, 急急忙忙, 奔走, 被通辑着
"
lack of, 缺乏
take apart,"na. 分解；拆分；剖析
"
in total,"总共, 总计
"
regardless of,"不注意, 不关心"
join up,"参军, 联合起来"
as a matter of fact,事实上
click on, 点击鼠标
run into,"跑进, 撞上, 遭遇, 陷入, 达到"
put off,"na. 延期；辩解
"
on show,"陈列着, 展览着"
in response to,"回答..., 响应..., 对...有反应
"
let down,"na. 使失望；放下；丢面子
"
on business,因公
apologize for,因…而道歉
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
keep to,"v. 坚持；固守
"
be popular with,为...所喜欢
manage to do sth., 设法做成某事
on the spot,"当场, 立即, 在危险中, 处境尴尬
"
once in a while,偶尔
stand for,"代表, 代替, 象征, 支持, 担任...的候选人
"
all over,"全部结束, 到处, 浑身"
without doubt,毫无疑问地
in a word,总之
be related to,"与...有关, 和...有联系, 和...有亲戚关系"
at ease,"na. 自由自在；=stand at ease.
"
look around, 四下观望; （作出选择前）进行调查; 骋目四顾; 四顾
on offer,"削价出售的, 供出售的
"
take effect,"见效, 生效
"
by nature,天生地
as long as,只要...
so long as,只要
view ... as ...,"把...看作..., 认为...是..."
look into,"窥视, 浏览, 观察
"
owe to ...,"v. 由于；把…归功于
"
be based on,"以…为基础,以…为根据"
the other day,不久前某一天
recover from,"恢复知觉, 恢复"
last but not least,最后但并不是最不重要的(一点)
think over,"v. 仔细考虑
"
in some case,[网络] 在某种情况下；在某些方面
take after,"像, 学样
"
lay off,"na. 辞退；停止；暂停
"
judge ... by ...,根据〔由〕…作出判断
pass away,"去世, 停止, 离去, 消逝"
pick out,"na. 挑选；掘出；闻出；领会
"
recognize ... as ...,[网络] 认出是；承认是；认为是
devote ... to ...,"v. 把…贡献给
"
return to,回复到...
out of order,"次序颠倒, 不整齐
"
come about,"发生, 改变方向"
under any circumstances,"在任何情况下,无论如何"
feed on,"以...为食, 以...为能源"
clear up,"na. 整顿；说明；(天气)转晴
"
out of date,"过时的, 废弃的
"
by all means,"尽一切办法, 一定"
take charge of,"掌管..., 负责..., 看管..., 不受...控制
"
in harmony with,"与...协调, 与...一致"
succeed in,在...方面成功
in reality,"实际上, 事实上"
put together,"na. 编辑；拼拢；比较考虑；使结婚
"
set down,"na. 记入；登记；定；设
"
settle down,"使舒服地坐下, 定居, 平静下来, 专心于"
speed up,"加速
"
contribute to,捐献
come across,偶遇
put up,"adj. 预先商定的
"
run for,竞选
take advantage of,"v. 利用
 欺骗, 占…的便宜"
keep in touch,保持联络
keep in touch with,与...保持联络
range from ... to ...,"从...到...(不等), 范围从...到..."
pay for,付...款
react against,反抗
be tired of,厌烦
can't help doing sth.,[网络] 禁不住做某事；情不自禁做某事；忍不住做某事
in need of,"需要...时, 如果需要..."
as far as,"远到, 直到, 至于"
be anxious about,"渴望, 担忧"
lead up to,"带到, 导致, 作为...的准备"
get down to,开始认真考虑
take off,"v. (飞机)起飞；出去；拿掉；移送
"
join in,"参加, 加入"
lift up,举起
be associated with, 和…联系在一起; 与…有关
compare ... to ..., 把…比作， 喻为; 与…相比
look as if,看起来好像…
tear down,"na. 拆毁；扯下；猛冲
"
log in,[计] 注册
log on,"[计] 注册, 登录, 登录入网"
participate in,"参加, 参与, 分享"
at table,在餐桌边
at the bottom of,在…的底部
stare at,"凝视, 盯住"
adjust to,[计] 调整至
put an end to,"结束, 终止"
yield to,"让步于,屈服于,向…投降"
in contrast to,"与...形成对照, 而..."
be fond of,"喜爱, 爱好"
as if,"na. 彷佛；活像
"
as though,"好像, 仿佛"
in addition,另外
on the increase,正在增长
make use of,使用
burst into,"闯入, 开出, 突然出现"
rob sb. of sth.,"v. 抢走
"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
ask for,"na. 要(价)；来找
"
owing to,"由于..., 因为..."
clean up,"na. 收拾干净；【机械工程】改正；〔俚语〕赚厚利
"
keep on,na. 继续；穿
remind sb. of sth.,"v. 提醒
"
next to,几乎
neither ... nor ...,[网络] 既不……也不；两者都不；均不
lie down,躺下
rather than,与其...不如...
take possession of,"占有, 占领"
all but,"几乎, 差一点"
run out,"na. 耗尽；用光；过有效期；失效
"
trade with,"与…交换,和…贸易"
on the stage, 在舞台上；现阶段
put away,"v. 把…收起来；储存
"
in order,"整齐, 状况良好, 适宜"
set an example to,"做…榜样,树立(好)榜样"
link to, 与…连接， 联系
make it,"及时抵达, 做成"
turn out,"v. 证明；原来；到场
"
bring about,"na. 造成；带来；【航】(使船)回转
"
pick up,"v. 拾起；探出；重新开始
"
sum up,"na. 〈口〉概括；总结
"
keep away,防范
learn from,向...学习
point at, （把…）对准，指向; 针对; 指画
replace ... with ...,"取代, 以...代替, 替换为
"
turn over,"na. ￡ 500 a week 每星期卖得五百镑
"
without delay,"毫不迟延地, 立即
"
play with,"和…一起玩耍,漫不经心地摆弄,玩弄"
in return,作为报答
take command of,开始控制
be bored with,对…感到厌倦
take action,"采取行动, 提出诉讼"
cut off,"na. 削除；截止；截断(退路等)；割下来
"
as for,至于
get in touch with,与...联系
have an effect on,(对…)有影响〔产生效果〕
deal with,"安排, 处理, 涉及, 做生意"
take turns,"轮流, 依次"
so long as,只要
be about to do sth., 即将做某事
be pleased at,"对…感到高兴,喜欢…"
be pleased about,无
be pleased with,"对…喜欢,满意于"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
"
live up to,"实践, 做到"
wind up,"na. 解散(公司等)；终止；卷紧；绕紧
"
go through,"经历, 经受, 仔细检查, 搜查, 参加, 履行, 被通过, 用完"
take control of,"控制,掌管"
leave for,"un. 到…地方去；去某地:
"
lie in,"在于..., 分娩, 睡懒觉"
let alone,"na. 任随；更不用说；放任；莫说…(连)
"
keep pace with,"并驾齐驱, 齐头并进"
take part in,"参与, 参加
"
up in the air,悬而未决
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
cheer up,"v. 鼓舞；振作一点
"
set about,"开始, 散布
"
dare to, 敢于
apart from,除了...之外
put pressure on,对…施加压力
stay up,不睡觉
take ... for example,以...为例
major in,"主修, 专攻"
make fun of,取笑
live on,"继续生活, 以...为主食, 靠...生活"
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
take pride in,以...为傲
go ahead,前进
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
in view of,"考虑到, 由于
"
expose ... to ...,"un. 暴露于
"
look down on,"轻视, 看不起"
look away, 不再看（某人或某物）
as soon as,一...就
push ahead with,"推动, 推进"
in the way,挡道
pull out,"拔出, 离开, (使)渡过难关, (使)恢复健康"
queue up,排队等候
ring up,"v. 在收款机上结算；一段时间内收入或损失的钱；打电话给
"
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
"
suffer from,"忍受, 遭受
"
come up with,"赶上, 提出"
to the point,"中肯, 扼要"
be opposed to,"反对..., 与...相对"
apply for,"申请,请求,要求…"
date from, 始于
blame sb. for,[网络] 因……责备；责怪；因…怪罪
on behalf of,"代表...
"
at hand,"在手边, 在附近, 即将到来"
by chance,"偶然, 也许"
relieve sb. of,"v. 解除
"
turn up,"v. 朝上翻；出现
"
wander about,"漫步, 徘徊"
wipe out,"na. 擦去；【无线】遮蔽；遮蔽地域；【信】封闭
"
run after,"追捕, 追求, 照顾"
be proud of,"自豪, 高兴"
in case,万一
take ... into consideration,"v. 顾及
"
