finale,"n. 结局, 最后乐章, 终曲"
abduct,"vt. 诱拐, 绑架, 使外展
"
crumbling,v. 破碎；崩溃（crumble的ing形式）
unpack,"vt. 从包裹中取出, 卸下, 打开
vi. 打开包裹
"
depress,"vt. 使沮丧, 压低, 降低, 使萧条
"
boon,n. 恩惠
lengthen,"vt. 加长, 使延长
vi. 变长"
sitter,"n. 坐着的人, 坐着被画像的人"
pointless,"a. 不尖的, 钝的, 不得要领的"
separated,a. 分居；分开的；不在一起生活的
songwriter,n. 流行歌曲的作者
geology,"n. 地质学, 地质情况"
tablecloth,n. 台布
smear,"vt. 涂, 擦上, 玷污, 把...擦模糊
vi. 被弄脏
n. 污点, 污迹, 污蔑"
conformity,"n. 遵照, 适合, 一致, 相似
"
slot,"n. 水沟, 细长孔, 硬币投币口, 缝, 狭槽, 狭通道, 位置, 一档(广播节目等)
vt. 开槽于, 把...纳入机构
"
rodeo,"n. 竞技表演
"
accelerator,"n. 加速剂, 加速器, 油门
"
hive,"n. 蜂房, 闹区, 蜜蜂群
vi. 进入蜂房, 储藏蜜于蜂房, 如蜂般群居
vt. 使进蜂房, 储备
"
joyful,"a. 欢喜的, 高兴的, 令人高兴的"
waking,a. 醒着的
seated,a. 就座的；固定的；根深蒂固的
yarn,"n. 纱, 纱线, 故事
"
fuse,"n. 保险丝, 导火线
v. 熔化, 融合"
converse,"n. 相反的事物, 倒, 逆向
a. 相反的, 逆向的, 颠倒的
vi. 交谈, 谈话"
liturgy,"n. 礼拜仪式, 祷告文, 圣餐仪式"
blank,"n. 空格, 空白
a. 空白的, 空虚的, 完全的, 无色的
vi. 消失, 成为空白
vt. 使无效, 取消, 封锁
"
secretive,"a. 秘密的, 偷偷摸摸的, 分泌的, 促进分泌的"
teeter,"vi. 步履不稳地走动, 踉跄, 摇晃, 摇摆不定, 摇摇欲坠, 玩跷跷板
n. 踉跄, 摇摆, 跷跷板"
slay,"v. 杀害, 残杀"
spit,"n. 唾液, 唾吐, 小雨, 炙叉, 一铲的深度
vt. 唾吐, 吐出, 降小雨, 用炙叉穿过
vi. 吐唾沫, 吐痰, 唾弃, 飘霏霏细雨"
horrifying,a. 令人恐惧的；使人惊骇的
stroller,"n. 散步者, 流浪者"
benevolent,"a. 善意的, 慈善的"
modestly,adv. 适当地；谨慎地
thrash,"vt. 打, 使逆行, 胜过, 推敲, 鞭打
vi. 打谷, 痛打, 剧烈扭动, 逆行
n. 打谷, (划水)鞭状动作"
crackle,"n. 劈啪响, 裂纹
vi. (使)发劈啪声"
bale,"n. 包, 捆, 货物, 灾难
vt. 打包, 捆包"
shaped,"a. 成某种形状的, 制成一定形状的, 有某种形状的, 合适的, 计划好的, 有目标的
"
logically,"adv. 逻辑, 合乎逻辑, 符合逻辑, 逻辑上, 有逻辑, 有逻辑头脑, 合理, 明智"
say,"vt. 说, 讲, 念, 说明, 指明
vi. 说, 讲
n. 意见, 发言权"
strut,"n. 高视阔步, 支柱, 压杆
vi. 趾高气扬地走, 肿胀
vt. 用支柱支撑, 炫耀"
drone,"n. 雄蜂, 懒惰者, 嗡嗡的声音, 无人驾驶飞机(或船)
vi. 嗡嗡作声, 混日子
vt. 低沉地说"
coward,"n. 懦弱的人, 胆小的人"
ploy,"n. 手段, 活动, 玩乐"
cooperative,a. 合作的；合作社的
toasted,"v. 向…祝酒, 为…干杯( toast的过去式和过去分词 ); 烤火, 取暖, 使暖和"
stirring,"a. 活跃的, 忙碌的, 激动人心的
"
pretense,"n. 借口, 虚假, 伪装"
vertically,adv. 垂直地
big-time,n. 第一流; 巨大成功; 愉快的时光
acclaimed,"v. 欢呼（acclaim的过去式及过去分词）
a. 受到赞扬的"
balancing,
manifest,"n. 载货单, 运货单, 旅客名单
a. 显然的, 明白的
vi. 显示, 出现
vt. 表明, 表现, 证明"
first-year, 头年
destroyer,"n. 破坏者, 消灭者, 起破坏作用的东西, 驱逐舰"
unborn,"a. 未诞生的, 未来的, 在胎内的
"
glittering,"a. 闪闪发光的, 光辉灿烂的, 华丽的, 极好的, 光彩夺目的, 炫耀的"
barley,"n. 大麦
"
quiver,"n. 震动, 颤抖, 箭袋
vi. 颤抖, 振动
vt. 使颤动
a. 敏捷的"
reactive,"a. 反动的, 反应的
"
coherence,"n. 黏合(性), 连贯性, 一致性
"
briskly,"adv. 活泼地, 精神勃勃地"
deceptive,"a. 迷惑的, 虚伪的, 欺诈的"
fabrication,"n. 制造, 建造, 虚构的谎言
"
fearless,"a. 大胆的, 勇敢的, 无畏的"
triumph,"n. 凯旋, 胜利, 欢欣
vi. 得胜, 成功"
manufactured,"a. 制造的, 已制成的"
barbed,a. 有倒刺的
dormant,"a. 睡眠状态的, 静止的
"
Californian,"n. 加利福尼亚州人
a. 加利福尼亚的"
birch,"n. 桦树, 桦木, 桦条
"
manpower,"n. 人力
"
disarmament,"n. 裁军
"
carnage,"n. 大屠杀, 残杀"
microorganism,"n. 微生物, 微小动植物
"
stiffness,"n. 坚硬, 呆板, 刻板
"
farm,"n. 农场, 农田
vt. 耕种
vi. 种田"
calculator,"n. 计算者, 计算器
"
lobe,"n. 叶, 耳垂, 裂片
"
damn,"n. 一点, 诅咒, 丝毫
interj. 该死, 该死的
vt. 诅咒, 罚...下地狱
vi. 指责, 谴责, 骂...该死, 证明...有罪"
even,"a. 平坦的, 相等的, 连贯的, 均等的, 公平的, 偶数的, 平均的, 平衡的, 恰好的
vt. 使平坦, 使相等
vi. 变平, 成为相等
adv. 甚至, 实际上, 完全, 十分
n. 偶数, 偶校验
"
Georgian,"n. 乔治亚州人, 乔治亚人
a. 乔治王时代的, 乔治王时代艺术风格的, 乔治亚的"
counterproductive,a. 反生产的；使达不到预期目标的
bulge,"n. 胀, 膨胀
vi. 凸出
vt. 使膨胀"
two-week,[网络] 两个礼拜的；为期两周的；双周抛
antidote,"n. 解毒剂, 解毒药
"
purge,"n. 净化, 清除, 泻药
v. (使)净化, 清除, (使)通便
"
legitimize,vt. 使…合法；立为嫡嗣
juncture,"n. 接合, 连接, 接缝"
antelope,n. 羚羊
ration,"n. 定额, 定量, 配给
vt. 配给, 定量供应"
autobiographical,"a. 自传的, 自传体的"
commando,"n. 突击队, 突击队员, (南非)布尔人部队"
smallpox,"n. 天花
"
sparkle,"n. 闪耀, 火花, 活力, 发泡
vi. 闪耀, 冒火花
vt. 使闪耀"
relativity,"n. 有关系, 相关性, 相对性
"
treatise,"n. 论文, 专著"
saliva,"n. 唾液, 唾沫, 涎
"
lunchtime,n. 午餐时间
clockwise,"a. 顺时针方向的
adv. 顺时针方向地"
labyrinth,"n. 迷宫, 难解事物, 迷路
"
deteriorating,"v. 恶化, 变坏( deteriorate的现在分词 )"
troupe,"n. 团, 班, 一伙
vi. 巡回演出"
fancy,"n. 想象力, 幻想, 喜好
a. 想象的, 精美的, 新奇的, 奇特的, 高价的, 特级的
vt. 想象, 设想, 相信, 喜爱
vi. 想象, 幻想"
veterinarian,"n. 兽医
"
headphone,"n. 戴在头上的收话器, 耳机
"
solo,"n. 独奏, 独唱, 单独表演
a. 单独的, 独奏的, 独唱的
vi. 放单飞"
LCD,[网络] 液晶；液晶显示器；液晶显示屏
vigilant,"a. 警觉的, 警戒的, 警惕的
"
reunification,"n. 使重新统一, 使重新团结"
sufferer,"n. 受难者, 被害者, 患者
"
contrasting,"v. （靠近或作比较时）显出明显的差异, 形成对比( contrast的现在分词 ); 对比, 对照"
ingenious,"a. 灵敏的, 精巧的, 聪明的"
totalitarian,"a. 极权主义的
n. 极权主义者"
nickname,"n. 绰号, 昵称
vt. 给...取绰号, 叫错名字
"
sushi,n. 寿司（生鱼片冷饭团）
contagious,"a. 触染性的, 会蔓延的
"
Baltic,a. 波罗的海的
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
replay,"vt. 重新比赛, 重演
n. 重赛"
thematic,"a. 题目的, 主题的, 主旋律的"
enlighten,"vt. 教育, 启发, 启蒙, 开导, 教导"
intertwine,"v. (使)纠缠, (使)缠绕"
inspirational,"a. 凭灵感的, 鼓舞人心的, 神感的"
bike,"n. 自行车, 脚踏车"
surfer,n. 冲浪运动员
birthplace,n. 诞生地
stewardship,"n. steward的职务, 管理工作"
lemonade,"n. 柠檬水
"
exploit,"n. 功绩, 勋绩
vt. 开发, 利用, 开拓, 剥削"
sporadic,"a. 偶尔发生的, 零星发生的, 分散的
"
squid,"n. 枪乌贼, 鱿鱼, 反潜水雷发射装置
"
unconditional,"a. 无条件的, 无限制的, 绝对的
"
victorious,"a. 胜利的, 得胜的, 战胜的"
outcry,"n. 尖叫, 倒彩, 强烈抗议, 喊价
vi. 喊叫
vt. 叫得比...响"
hazy,"a. 朦胧的, 模糊的, 烟雾弥漫的"
blockade,"n. 阻塞
vt. 封锁"
swan,"n. 天鹅, 天鹅星座, 有才华的诗人
vi. 闲荡, 蜿蜒而行"
supremacy,"n. 至高无上, 霸权地位, 优势, 至上
"
pore,"n. 毛孔, 小孔, 气孔
vi. 专心阅读, 细想, 钻研, 沉思, 注视
vt. 使注视得"
rebirth,"n. 再生, 复活, 新生"
pat,"n. 轻拍
v. 轻拍
adv. 适时, 正好, 恰好, 毫不迟疑, 熟记地
a. 恰好的, 合适的, 熟练的, 坚定的, 人为的"
procurement,"n. 获得
"
rooster,"n. 公鸡, 栖息的鸟
"
spaceship,n. 宇宙飞船
plop,"n. 扑通声, 掉下
adv. 扑通一声地
vt. 把...沉重地放下
vi. 扑通落下"
ligament,"n. 结带, 纽带, 韧带
"
conveniently,"a. 方便, 合宜"
composting,堆制肥料
dashboard,"n. 仪表板, 挡泥板"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
tally,"n. 符木, 记账, 得分, 比分, 计数器, 标签, 符合, 对应物
vt. 记录, 点数, 计算, 加标签于, 使符合
vi. 记帐, 符合, 吻合, 记分
"
puffy,"a. 胀大的, 肥胖的, 喘气的, 一阵阵吹的
"
unavoidable,"a. 不可避免的, 不得已的, 不能作废的
"
utopian,"a. 乌托邦的, 空想社会主义的
n. 理想社会主义者"
Caucasian,"n. 高加索人, 白种人
a. 高加索的, 白种人的"
rescuer,n. 救助者
geographically,[计] 自通地
swamp,"n. 沼泽, 进退两难的困境
vt. 淹没, 击溃, 清除, 使陷于沼泽
vi. 陷于沼泽, 淹没"
subtitle,n. 副标题
shin,"n. 胫骨
v. 攀, 爬"
correctness,
milieu,"n. 周围, 社会环境, 环境, 表达的手法
"
blush,"vi. 脸红, 羞愧
vt. 弄成红色
n. 脸红"
baptism,"n. 浸礼, 洗礼"
sabotage,"n. 怠工, 破坏活动, 破坏
vi. 从事破坏活动
vt. 妨害, 破坏"
shaman,"n. 萨满教巫医
"
hugely,"adv. 巨大地, 非常地"
marine,"n. 舰队, 水兵, 海景画
a. 海的, 海产的, 海底的, 船舶的, 海运的"
insensitive,"a. 对...没有感觉的, 感觉迟钝的
"
claw,"n. 爪, 螯, 抓伤
v. 用爪抓, 挖, 搜刮"
parochial,"a. 教区的, 地方性的, 目光偏狭的"
stench,"n. 恶臭, 臭气
v. (使)发恶臭"
buckle,"n. 皮带扣, 扣子
vt. 扣住, 使弯曲
vi. 扣住, 变弯曲, 屈服"
rave,"n. 狂吼, 狂暴
v. 愤怒地说, 叫嚷, 咆哮"
prosthesis,"n. 弥补, 添字首音"
diaspora,"n. 犹太人的离散, 离散的犹太人"
ingenuity,"n. 心灵手巧, 精巧, 精巧设计"
oregano,n. 〈植〉牛至
boulevard,n. 林荫大道
tower,"n. 塔, 高楼, 堡垒
vi. 高耸, 翱翔"
touring,"n. 游览
a. 游览的"
crutch,"n. 拐杖, 支撑, 依靠
vt. 支撑"
superstition,"n. 迷信
"
encode,"vt. 把(电文、情报等)译成密码
"
groin,"n. 腹股沟, 交叉拱
"
fidelity,"n. 忠实, 诚实, 忠诚, 保真度
"
solvent,"n. 溶剂
a. 有偿付能力的, 有溶解力的"
totality,"n. 全体, 总数, 全食"
conscientious,"a. 有责任心的, 负责的, 本着良心的
"
planter,"n. 种植者, 耕作者, 种植机, 花盆"
cascade,"n. 小瀑布, 瀑布状物
vi. 成瀑布落下
"
charisma,"n. 非凡的领导力, 神秘的个人魅力, 神授的能力"
topical,"a. 论题的, 题目的, 时事问题的, 局部的
"
violet,"n. 堇菜, 紫罗兰
a. 堇菜科的, 紫罗兰色的"
occupancy,"n. 占有, 居住, 占用
"
foreseeable,"a. 可预知的, 能预测的
"
braille,"n. 布莱叶点字法(盲人用点字法)
vt. 用布莱叶点字法印刷"
predominant,"a. 占主导地位的, 卓越的
"
instructive,"a. 有益的, 增进知识的"
shawl,"n. 披肩, 围巾
vt. 用披肩裹"
retribution,"n. 报应, 惩罚, 报酬
"
budding,"a. 萌芽的, 发育期的, 初露头角的
n. 发芽"
secretary-general,[经] 秘书长
optimize,"vt. 使完美, 使完善, 充分利用, 乐观地对待, 优化
vi. 持乐观态度
"
fiddle,"n. 小提琴, 提琴类乐器
vt. 虚度时光, 拉小提琴
vi. 拉小提琴, (无目的地)拨弄, 瞎搞"
apprehend,"vt. 理解, 忧虑, 逮捕
vi. 担心, 理解"
stony,"a. 多石的, 无情的"
unheard,"a. 没有被听到的, 未予倾听的, 未予考虑的"
solidly,adv. 坚硬地；坚固地；团结一致地
worrisome,"a. 令人烦恼的, 麻烦的, 劳碌命的"
fennel,"n. 茴香
"
tyrant,"n. 暴君
"
commotion,"n. 骚动, 暴乱
"
decry,"vt. 反对, 责难, 诽谤, 诋毁"
subjectivity,"n. 主观, 主观性
"
low-level,
receiving,[计] 接收
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
"
sinking,"n. 沉没, 降低, 衰颓感
"
peddle,"vi. 挑卖, 沿街叫卖, 游荡, 闲混
vt. 叫卖, 兜售, 散播"
threatened,"a. 受到威胁的
v. 威胁(threaten的过去分词)"
left-wing,"左翼,激进派;左边锋"
fastball,n. [棒](投手投出的)快球
stormy,"a. 暴风雨的, 粗暴的, 激烈的"
groan,"n. 呻吟, 叹息
vi. 呻吟, 抱怨, 受压迫
vt. 呻吟地说"
penguin,"n. 企鹅, 空军地勤人员"
depletion,"n. 消耗, 耗尽, 放血
"
highland,"n. 高地, 苏格兰高地"
sprawl,"vi. 伸开手足躺, 爬行, 蔓生, 蔓延
vt. 懒散地伸开, 使蔓生, 使不规则地伸展
n. 伸开手足躺卧姿势"
spoken,"a. 口头讲的, 口语的
speak的过去分词"
depot,"n. 停车场, 车站, 贮藏所, 仓库
"
easel,"n. 画架, 黑板架"
stretcher,"n. 担架, 延伸器
"
twenty-six, 二十六
bloodshed,n. 流血
coupling,"n. 联结, 结合, 耦合
"
knack,"n. 熟练技术, 巧妙手法, 诀窍
"
reliably,"adv. 可靠地, 可信赖地"
languish,"vi. 憔悴, 凋萎, 苦思"
medic,"n. 苜蓿属植物, 医师, 医科学生"
tremor,"n. 震动, 颤动
"
howl,"n. 嗥叫, 吠声, 号叫
vi. 狂吠, 咆哮, 呼啸
vt. 对...吼叫, 狂喊着说"
animosity,"n. 仇恨, 憎恶, 敌意"
predictably,adv. 可预言地
staunch,"vt. 止住, 止血
a. 坚固的, 坚强的, 忠实的, 忠诚的, 不透水的"
incomprehensible,"a. 不能理解的, 费解的, 无限的"
bask,"vi. 晒太阳, 感到舒适"
tripod,"n. 三脚桌, 三脚架
"
airwaves,电视广播
Frenchman,n. 法国人
outward,"a. 向外的, 表面的, 外服的
adv. 向外, 在外, 表面"
glucose,"n. 葡萄糖
"
squander,"vt. 浪费, 使分散
vi. 浪费, 漂泊, 四散"
flawless,"a. 无瑕疵的, 无缺点的
"
sway,"n. 摇摆, 影响力, 支配
vt. 摇动, 支配, 弄歪, 使倾斜, 使动摇, 影响
vi. 摇动, 摇摆, 倾斜, 动摇, 统治, 转向"
serpent,"n. 巨蛇座, 蛇, 蛇形管, 狡猾的人"
petite,"a. 小的, 次要的, 小个子的, 娇小玲珑的, 娇小的"
beggar,"n. 乞丐
vt. 使贫穷, 使成乞丐"
streamline,"n. 流线, 流线型
vt. 使成流线型, 使合理化"
branch,"n. 树枝, 支店, 支流, 分部
vi. 分支, 出枝
vt. 分割, 用枝状叶脉刺绣花纹装饰
"
prematurely,"adv. 过早地, 贸然地"
spasm,"n. 痉挛, 抽搐, 发作
"
matchup,"n. 火柴, 比赛, 竞赛, 匹配, (足球, 捧球, 蓝球)比赛
v. 相配, 相称, 比赛, 相比, 匹配"
real-world, 真实世界
staging,"n. 脚手架, 上演, 公共马车业
"
discontinue,"vi. 中断, 终止, 停止
vt. 使中止"
small-scale,"小比例(尺),小规模"
intermediary,"n. 仲裁者, 调解者, 媒介物, 中间人
a. 中间的, 媒介的"
prognosis,"n. 预测, 预后
"
miraculously,"adv. 超自然, 非凡, 不可思议, 令人惊叹, 象奇迹一样, 奇迹般, 能创造奇迹"
queer,"n. 怪人, 同性恋者
a. 奇怪的, 不舒服的, 可疑的
vt. 搞糟"
segregated,"a. 被分离的, 被隔离的, 实行种族隔离政策的, 偏析的"
etiquette,"n. 礼仪, 礼节, 成规
"
deportation,"n. 驱逐出境, 放逐
"
bourbon,[机] 波旁
skirt,"n. 裙子, 下摆, 边缘, 郊区
vt. 位于...边缘, 绕过, 回避
vi. 位于边缘"
intestine,"a. 内部的, 国内的
n. 肠"
caress,"n. 爱抚, 拥抱
vt. 爱抚, 抱, 宠爱"
galactic,"a. 乳汁的, 银河的, 极大的
"
crushing,"a. 碾碎的, 压倒的
"
inadequacy,"n. 不适当, 不足之处, 不充分
"
inland,"a. 内陆的, 国内的
n. 内地"
riddle,"n. 谜, 谜语, 粗筛
vt. 解谜, 给...出谜, 筛, 寻根究底地检验, 充满于
vi. 出谜"
immature,"a. 不成熟的, 未完全发育的, 粗糙的
"
sinus,"n. 窦, 静脉窦, 凹陷处"
volatility,"n. 挥发性, 挥发度, 轻快, 易变, 短暂
"
negligence,"n. 疏忽, 粗心大意, 忽视
"
harshly,"adv. 粗糙地, 粗暴地, 刺耳地"
durability,"[计] 耐久性, 耐用性, 持久性"
shutdown,"n. 关门, 停工, 停机
"
weakly,"a. 弱的, 虚弱的
adv. 微弱地, 虚弱地"
dimly,"adv. 微暗, 朦胧"
thirds,n. [法]归寡妇所得的亡夫遗产的三分之一；[商]（商品的）三等品
perceptual,"a. 知觉的, 有知觉的"
humankind,n. 人类
Englishman,n. 英国人
medicinal,"a. 药用的, 药的, 有益的
"
fraught,"a. 含有...的, 伴着...的, 充满...的"
lash,"n. 鞭子, 鞭打, 睫毛, 责骂, 讽刺
vt. 鞭打, 摆动, 扎捆, 冲击, 讽刺, 煽动
vi. 冲洗, 鞭打, 责骂"
low-key,[电] 暗键
wicker,"n. 柳条
a. 柳条编的"
overhaul,"vt. 分解检查, 翻修, 精细检查, 彻底革新
n. 分解检查, 精细检查, 大检修"
fruitful,"a. 结果实的, 多实的, 产量多的"
restroom,n. 洗手间；休息室；更衣室；厕所
ketchup,n. 蕃茄酱
squeal,"n. 尖叫, 抱怨
vi. 发出尖叫声, 高声埋怨
vt. 用尖声说"
image,"n. 影像, 肖像, 想象, 图像, 形象, 翻版
vt. 作...的像, 反映, 想象, 象征
n. 图像
"
mayonnaise,n. 蛋黄酱
cheekbone,n. 颧骨
junkie,"n. 有毒瘾者, 废旧品商人"
dishwasher,"n. 洗碗机, 洗碗工"
tally,"n. 符木, 记账, 得分, 比分, 计数器, 标签, 符合, 对应物
vt. 记录, 点数, 计算, 加标签于, 使符合
vi. 记帐, 符合, 吻合, 记分
"
double,"n. 两倍
a. 两倍的, 双重的
vt. 使加倍
vi. 加倍, 代替, 快步走
"
pathologist,"n. 病理学家
"
hobble,"vi. 蹒跚
vt. 使跛行, 阻碍
n. 跛行"
impatiently,"adv. 不耐烦, 忍受不了, 急躁, [表]急欲, 急切"
shrink,"n. 收缩, 萎缩, 回避
vi. 收缩, 退缩, 萎缩, 缩小, 回避
vt. 使收缩, 使缩小"
IPod,[网络] 苹果牌；备线；爱趴
contingent,"a. 或许发生的, 附随的, 偶然发生的
n. 偶然事件, 分遣队"
interracial,"a. 人种间的, 人种混合的"
tort,"n. 民事侵权行为
"
bruised,a. [医]青肿的；瘀紫的
torrent,"n. 奔流, 倾盆大雨, 倾注, 迸发"
fastest-growing,[网络] 最快速增长；人口增长幅度最快；增长最迅速
dribble,"vi. 流口水, 滴下
vt. 使滴下, 运球
n. 点滴, 口水, 少量"
interstellar,a. 星际的
unconsciously,"adv. 无意识地, 无意中, 不知不觉地"
breach,"n. 裂口, 违背, 破坏, 违反, 突破, 破裂
vt. 攻破, 突破
vi. 跳出水面"
primal,"a. 主要的, 最初的, 原始的"
glaze,"n. 釉, 上光, 光滑面
vt. 装以玻璃, 上釉于
vi. 变得光滑, (目光)变呆滞"
appellate,"a. 上诉的, 有权受理上诉的
"
better,"a. 较好的
adv. 比较好"
Chilean,"n. 智利人, 智利讲的西班牙语
a. 智利文化的, 智利人的, 智利的"
notification,"n. 通知, 通告, 告示
"
locomotive,"n. 火车头, 机车
a. 运转的, 火车头的, 移动的"
nitrate,"n. 硝酸盐
"
jack,"n. 插座, 千斤顶, 男人
vt. 抬起, 提醒, 扛举, 增加, 提高, 放弃
a. 雄的
"
shameful,"a. 可耻的, 丢脸的, 不道德的, 淫猥的, 猥亵的, 不体面的"
utmost,"n. 极限, 最大限度, 极度
a. 极度的, 最远的"
fiance,n. 未婚夫
fundamentalism,n. 基要主义
grandeur,"n. 庄严, 伟大, 壮丽"
peacekeeping,"[法] 维护和平的, 执行停火协定的"
plaster,"n. 石膏, 灰泥, 安慰(缓解)用品, 膏药
vt. 涂以灰泥, 敷以膏药, 掩饰, 使平服, 彻底击败, 减轻, 粘贴"
unmarked,"a. 未被注意的, 无记号的, 无标志的"
beaver,"n. 海狸(毛皮)
"
groundwork,"n. 地基, 基础, 根据"
silky,"a. 丝的, 柔滑的"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
aptly,"adv. 适当地, 适宜地"
precipitation,"n. 坠落, 沉淀, 降水, 轻率, 急速, 猛冲, 突如其来
"
candlelight,"n. 烛光, 黄昏"
mast,"n. 桅, 桅杆, 杆
vt. 装桅杆于"
cyberspace,"[计] 空间, 网控空间"
mesmerize,"vt. 施催眠术, 迷住, 迷惑
"
giftedness," 假资优, 天才, 资赋优异"
obscenity,"n. 淫秽, 淫秽的语言(或行为、动作), 可憎的事
"
situational,a. 环境形成的；情形的
bruise,"n. 青肿, 挫伤, 擦伤
vi. 受伤, 擦伤
vt. 使受伤, 研碎"
preschooler,n. 学龄前儿童
hard-line,"强硬路线, 强硬立场"
peek,"vi. 偷看, 窥视
n. 偷看, 看一眼"
protracted,a. 拖延的
tack,"n. 平头钉, 大头钉, 粗缝针脚, 行动方针, 食物
vt. 以大头针钉住, 附加"
dreamer,"n. 做梦的人, 梦想者"
interplay,"n. 互相作用, 互相影响
vi. 互相作用"
acculturation,"n. 文化互渗, 文化适应"
clinically,"adv. 临床, 临诊, 冷静, 不偏不倚, 分析"
baffle,"vt. 困惑, 为难, 使挫折
vi. 徒作挣扎
n. 迷惑, 挡板"
bye-bye,"睡觉,床铺,再见"
alloy,"n. 合金
vt. 将...铸成合金, 减低成色
vi. 合铸"
