economy,"n. 经济, 理财, 节约
"
subsidize,"vt. 补助, 资助, 贿赂
"
close,"n. 结束, 完结
a. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的
vt. 关, 结束, 使靠近, 封闭, 使接近
vi. 关闭, 结束, 靠近
adv. 接近地, 紧密地
"
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
enclosure,"n. 附件, 围墙, 围绕
"
disclose,"vt. 揭露, 透露
"
disclosure,"n. 揭发, 泄露, 揭发(或暴露)的事实
"
cozy,"a. 舒适的, 安逸的, 惬意的
n. (茶壶等的)保暖罩, 舒适的座位
vt. 以假话使安心"
closet,"n. 壁橱, 小室
a. 秘密的, 空谈的
vt. 把...关入小室"
psychology,"n. 心理学, 心理状态
"
psychological,"a. 心理学的, 精神上的, 心灵的
"
psychologist,"n. 心理学家
"
psychiatry,"n. 精神病学, 精神病治疗
"
psychiatric,"a. 精神病学的, 医精神病的
"
psychiatrist,"n. 精神病医生, 精神病学家
"
biology,"n. 生物学
"
biological,"a. 生物学的
"
biologist,"n. 生物学家
"
geology,"n. 地质学, 地质情况"
geological,"a. 地质学的, 地质的"
geologically,adv. 从地质上来说
ideology,"n. 思想体系, 意识形态, 观念学, 空论
"
ideological,"a. 意识形态的, 空想的
"
sell,"vt. 卖, 背叛, 销售, 出卖
vi. 卖, 销售
n. 卖, 推销术, 失望"
sale,"n. 出售, 卖, 拍卖, 销售额, 廉价出售
"
salesman,"n. 售货员, 推销员
"
wholesale,"n. 批发
a. 批发的, 大规模的
adv. 大规模, 照批发方式
vi. 经营批发业, 批发
vt. 批发"
salary,"n. 薪水
vt. 给...加薪"
best-seller,"畅销书, 畅销书作者
"
bestselling,a. 畅销的
seldom,"a. 不常的, 稀少的
adv. 很少, 不常"
case,"n. 情形, 情况, 箱, 容器, 事实, 病例, 案例, 框子
vt. 装箱, 包盖"
chase,"n. 追求, 狩猎, 追逐
vt. 追捕, 追逐, 雕刻, 在...上镶嵌宝石
vi. 追赶, 奔跑"
purchase,"n. 购买, 购买品, 紧握, 绞辘
vt. 购买, 赢得, 努力取得, 用滑轮起(锚等)"
showcase,"n. 陈列橱
"
staircase,"n. 楼梯, 梯子, 楼梯部分
"
suitcase,n. 手提箱
body,"n. 身体, 人, 尸体, 主要部分, 团体
vt. 赋以形体
"
bodily,"a. 身体的
adv. 亲自"
nobody,"n. 小人物, 无名小卒
pron. 无人, 没有人"
somebody,"n. 了不起的人, 大人物
pron. 有人, 某人"
embody,"vt. 具体表达, 使具体化
"
embodiment,"n. 具体化, 化身"
special,"n. 专辑, 专车, 号外, 特别的东西, 负有特别任务的人员
a. 特别的, 专门的, 特殊的, 额外的, 附加的, 特别亲密的"
specialize,"vt. 使特殊化, 列举, 特别指明, 限定...的范围
vi. 成为专家, 专攻"
specialization,"n. 专业化, 特殊化, 专门化
"
specialist,"n. 专门医师, 专家
a. 专业的, 专家的"
specialty,"n. 专业, 专长, 特产, 特制品, 特性, 特点
a. 专门的, 独立的"
especially,"adv. 尤其, 特别, 格外"
specific,"n. 特效药, 特性
a. 特殊的, 明确的, 具有特效的, 特定地, 具体地"
specifically,"adv. 特定地, 明确地, 按特性"
specification,"n. 规格, 详述, 详细说明书
"
specify,"vt. 详列, 指定, 说明
"
effectively,"adv. 有效地, 有力地, 实际上"
species,"n. 种, 类, 外形
"
specimen,"n. 样品, 标本, 试料
"
understand,"vt. 理解, 了解, 领会, 听说, 懂
vi. 懂得, 认为"
understanding,"n. 理解, 谅解
"
misunderstand,"vt. 误解, 误会"
misunderstanding,"n. 误会, 误解
"
stand,"n. 站立, 站住, 停顿, 讲台, 看台, 立场, 法院证人席
vi. 站, 立, 坐落, 停滞, 位于, 坚持, 维持原状
vt. 忍受, 使站立, 抵挡"
standing,"n. 起立, 持续, 身分
a. 立着的, 不动的, 经常的, 持续的"
standard,"n. 标准, 规格, 旗, 军旗, 本位
a. 标准的, 合规格的
"
standardize,"vt. 使标准化, 使合于标准, 用标准检验
"
standardization,
substandard,"a. 标准以下的, 不合规格的
"
standby,"n. 可依靠的人, 被喜爱的食品, 备用品, 准备发报, 准备收报
"
bystander,"n. 旁观者, 目击者
"
standstill,"n. 停止, 停顿
"
outstanding,"a. 杰出的, 突出的, 未偿付的, 未决定的
"
notwithstanding,"adv. 虽然, 尽管
prep. 尽管
conj. 虽然"
withstand,"vt. 抵住, 顶住, 经得起"
stance,"n. 准备击球姿势, 站立的姿势, 位置, 姿态
"
talk,"n. 谈话, 交谈, 会谈, 讲话, 演讲, 空谈, 谣言, 方言, 语言
vi. 讲话, 演讲, 说话, 谈话, 交流, 闲聊, 说闲话
vt. 讲, 说, 讨论, 谈论
"
talkative,"a. 喜欢说话的, 饶舌的, 多嘴的"
stalk,"n. 茎, 追踪, 高视阔步
vi. 悄悄靠近, 蹑手蹑脚地走近, 蔓延, 高视阔步
vt. 追踪, 搜索"
practice,"n. 实践, 练习, 实行, 惯例, 习惯, 开业
v. 实践, 实行, 练习, 实习, 业务"
practicable,"a. 可实行的, 可做的, 可用的"
practicality,"n. 实际性, 实用性, 实际事物"
practitioner,"n. 从业者, 开业者
"
malpractice,"n. 不当治疗, 不端行为, 渎职
"
practical,"a. 实际的, 现实的, 实用性的
"
radical,"n. 激进分子, 词根, 基础, 根式, 根
a. 激进的, 根本的, 基本的, 根的"
trade,"n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风
vi. 进行交易, 做买卖, 经商, 对换, 购物
vt. 用...进行交换"
tradeoff,n. （公平）交易（等于trade-off）；权衡；折衷
shade,"n. 荫, 阴暗, 遮光物, 灯罩, 帘, 浓淡, 微量, 底纹
vi. 渐变
vt. 使阴暗, 使渐变, 遮蔽, 微减
"
shady,"a. 荫凉的, 成荫的, 阴暗的, 隐蔽的
"
shabby,"a. 衣衫褴褛的, 低劣的, 破旧的, 吝啬的, 卑鄙的"
fade,"vi. 褪色, 消失, 凋谢
vt. 使褪色
n. 淡入, 淡出
a. 平淡的"
blade,"n. 叶片, 刀锋, 刀口, 剑
"
parade,"n. 游行, 炫耀, 阅兵
v. 游行, 炫耀, (使)列队行进"
wrestle with ...,与…角力，与…搏斗；全力对付，设法解决；与(良心、感情等)展开斗争；深思，斟酌
comrade,"n. 同志, 伙伴"
sleep,"n. 睡眠, 静止, 昏迷, 麻木, 长眠, 冬眠
vi. 睡觉, 睡眠, 静止
vt. 睡"
sleepy,"a. 困乏的, 欲睡的"
sleepiness,"n. 睡意
"
asleep,"a. 睡着的, 长眠的, 麻木的
adv. 熟睡地"
steep,"n. 浸渍, 悬崖
a. 险峻的, 陡峭的, 急剧升降的, 夸大的
v. 浸, 泡"
step,"n. 步骤, 步, 步幅, 脚步声, 踏级, 步伐, 短距离, 步态, 手段, 等级
vt. 踏, 以步测量, 跨步, 使成阶梯状
vi. 跨步, 轻快地走, 跳舞, 踩, 踏上, 行走
"
sweep,"n. 扫除, 打扫, 肃清, 视野, 范围, 全胜
vt. 扫除, 掸去, 猛拉, 扫荡, 肃清, 冲走, 刮起, 环视, 掠过, 扫射
vi. 扫, 打扫, 袭击, 席卷, 扫视, 掠过"
sleeve,"n. 袖子, 套管
vt. 缝上袖子"
weep,"n. 哭, 哭泣
vi. 哭泣, 流泪, 哀悼, 滴落
vt. 哭着使..., 悲叹, 滴下"
peep,"n. 一瞥, 偷看, 不完全的景象, 初现, 吱吱声, 嘀咕抱怨声, 汽车喇叭声
vi. 窥视, 出现, 吱吱叫
vt. 使隐约显现"
million,"n. 百万, 无数
num. 百万"
millionaire,"n. 百万富翁, 大富豪
"
billion,"num. 十亿, 十亿个"
billionaire,n. 亿万富翁
trillion,"n. 大量
"
copy,"n. 副本, 摹仿, 一册
v. 复印, 抄袭, 复制
"
cop,"n. 警官
vt. 抓住"
cope,"vi. 竞争, 应付
n. 长袍"
helicopter,"n. 直升机
vt. 由直升机运送
vi. 乘直升机"
coup,"n. 砰然的一击, 妙计, 出乎意料的行动, 政变
"
couple,"n. 对, 夫妇, 数个
vt. 使成双, 连接, 使成婚, 把...联系起来
vi. 结合, 成婚"
coupon,"n. 息票, 赠券
"
culture,"n. 文化, 修养, 耕种
vt. 耕种, 培养"
cultural,"a. 文化的, 教养的, 修养的
"
agriculture,"n. 农业
"
agricultural,"a. 农业的
"
culminate,"vi. 到绝顶, 达于极点, 达到高潮
vt. 使到绝顶, 使达到高潮"
culmination,"n. 顶点, 高潮, 最高点"
cult,"n. 膜拜, 礼拜式, 祭仪, 一群信徒
"
cultivate,"vt. 培养, 耕作"
cultivation,"n. 教化, 培养, 耕作
"
cumulative,"a. 累积的
"
future,"n. 未来, 将来
a. 将来的, 未来的"
futuristic,a. 未来派的
futurist,"n. 未来派画家, 未来主义者"
feature,"n. 面孔的一部分(如眼、口等), 特征, 容貌, 特色, 特写
vt. 是...的特色, 特写, 放映
vi. 起重要作用
"
mature,"a. 成熟的, 到期的, 充分考虑的
vt. 使成熟
vi. 成熟, 到期"
maturity,"n. 成熟, 完备, 到期
"
premature,"a. 早产的, 过早的, 不成熟的
n. 早产儿, 过早发生的事物"
miniature,"n. 缩图, 小画像
a. 小规模的, 纤小的"
sculpture,"n. 雕刻, 雕塑
vt. 雕刻, 雕塑
vi. 当雕刻师"
rapture,"n. 兴高采烈, 着迷, 欢天喜地, 狂喜
vt. 使狂喜"
goal,"n. 目标, 终点, 得分, 球门, 守门员
vi. 攻门, 射门得分"
coal,"n. 煤, 木炭
v. 加煤"
coat,"n. 外套
vt. 外面覆盖, 给...穿外套"
overcoat,n. 外套大衣
oath,"n. 誓约, 誓言, 咒骂
"
throat,"n. 咽喉, 喉咙, 嗓音
vt. 用喉音说, 开沟于"
float,"n. 漂流物, 浮舟, 漂浮, 浮萍, 彩车
vi. 浮动, 飘动, 散播, 摇摆, 动摇, 浮动
vt. 使漂浮, 容纳, 淹没, 发行, 实行
"
floating,"a. 漂浮的, 浮动的, 移动的
"
afloat,"a. 飘浮着的, 在海上的, 浸满水的, 在进行中的
adv. 飘浮着, 在海上, 浸满水, 在进行中"
decade,"n. 十年, 十"
debate,"n. 辩论, 讨论
v. 争论, 辩论"
decay,"n. 衰退, 腐败
v. (使)衰退, (使)腐败"
academy,"n. 学院, 院校, 学会"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
academician,"n. 学会会员, 院士, 学究, 大学生, 学者"
effort,"n. 努力, 成就"
fort,"n. 堡垒, 要塞, 易货站
vt. 设要塞保卫
vi. 设要塞"
fortify,"vt. 设要塞于, 加强, 使坚强, 增加
vi. 筑防御工事"
fortification,"n. 筑城, 防御工事, 要塞"
comfort,"n. 舒适, 安慰, 安慰者
vt. 安慰"
comfortable,"a. 舒服的, 轻松的
n. 盖被"
discomfort,"n. 困苦, 不适
"
fortune,"n. 财富, 运气, 兴隆, 大量财产, 好运, 命运
"
fortunate,"a. 幸运的, 幸福的"
fortunately,"adv. 幸运地, 幸亏"
unfortunate,"a. 不幸的, 不合适的, 不吉利的"
unfortunately,"adv. 恐怕, 不幸的是"
drive,"n. 驾车, 快车道, 推进力, 驱动, 动力, 击球, 驱动器
vt. 开车, 驱使, 推动, 驾驶
vi. 开车, 猛击, 飞跑
"
driver,"n. 驾驶员, 驱动器, 驱动程序
"
derive,"vt. 得自
vi. 起源"
derivative,"a. 引出的, 派生的
n. 引出之物, 派生物, 衍生字"
derivation,"n. 推论, 推导, 来历
"
deprive,"vt. 剥夺, 使丧失
"
deprivation,"n. 剥夺, 剥夺官职, 免职
"
strive,"vi. 努力, 奋斗, 斗争"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
contrive,"v. 发明, 设计, 图谋"
arrive,"vi. 到达, 抵达"
arrival,"n. 到达, 抵达, 到达者
"
rival,"n. 对手, 竞争者
a. 竞争的"
rivalry,"n. 竞争, 对抗
"
profession,"n. 职业, 表白, 声明
"
professional,"n. 专业人才
a. 专业的, 职业的"
professor,n. 教授
occasion,"n. 场合, 时机, 机会, 诱因, 理由
vt. 惹起, 引起"
occasional,"a. 偶然的, 临时的
"
occasionally,"adv. 有时候, 偶而"
lack,"n. 缺乏, 无, 不足
vt. 缺乏, 短少, 不足, 需要
vi. 缺乏"
sack,"n. 麻布袋, 洗劫
vt. 把...装入袋, 洗劫"
slack,"n. 松弛, 松懈, 淡季, 闲散, 家常裤
a. 松弛的, 不流畅的, 疏忽的, 无力的, 呆滞的, 软弱的, 漏水的
adv. 马虎地, 缓慢地
vt. 放松, 使缓慢
vi. 松懈, 减弱, 松弛"
snack,"n. 小吃, 点心, 快餐
vi. 吃零食, 吃快餐"
stack,"n. 堆叠, 堆, 大量, 书库, 枪架, 烟囱, 堆积, 存贮栈
vt. 堆积, 堆满, 暗中对...做手脚
vi. 堆起
"
rack,"n. 架, 行李架, 饲草架, 搁物架, 痛苦, 折磨, 齿条, 行云团
vt. 把...放在架上, 在架上制作, 折磨, 使痛苦, 压榨, 榨取, 猛烈撕拉, 拷问
vi. 变形, 倾斜, (云)随风飘, (马)小步跑
"
crack,"n. 裂缝, 爆裂声
v. (使)爆裂, (使)裂开, (使)发出爆裂声
a. 第一流的
adv. 啪地一声"
tradition,"n. 传说, 传统, 交付
"
traditional,"a. 传统的, 惯例的
"
invade,"vt. 侵入, 拥入, 侵略, 侵袭
"
invasion,"n. 侵犯, 侵入, 侵害
"
invader,"n. 侵略者
"
invasive,"a. 侵入的, 侵略性的, 攻击性的"
evade,"v. (巧妙地)逃脱, 规避, 逃避"
evasive,"a. 逃避的, 回避的, 托辞的
"
evasion,"n. 逃避, 藉口
"
Antarctic,"a. 南极的, 南极地带的
n. 南极地区"
Arctic,"a. 北极的, 极寒的
n. 北极圈, 北极"
arc,"n. 弧, 弧形, 弓形, 弧光
"
arch,"n. 拱门, 拱形, 足弓
vt. 使成弓形
vi. 拱起, 成弓形
a. 主要的, 调皮的, 傲慢无礼的, 狡猾的"
march,"n. 三月, 进行, 行军, 步伐, 长途跋涉, 进行曲, 边界
vi. 进军, 前进, 交界
vt. 使行军, 使行进"
architect,"n. 建筑师, 设计者, 缔造者"
architecture,"n. 建筑学, 建筑式样
"
monarch,"n. 帝王, 统治者, 元首
"
monarchy,"n. 君主政体, 君主国, 君主政治
"
hierarchy,"n. 等级制度, 僧侣统治, 等级体系
"
hierarchical,"[计] 分级的, 分层的, 层次的"
anchor,"n. 锚
vt. 抛锚停泊, 使固定
"
anchorage,"n. 下锚, 锚地, 停泊税
"
focus,"n. 焦点, 焦距
vi. 聚焦, 注视
vt. 使聚焦, 调焦, 集中
"
sex,"n. 性别, 性欲
vt. 区别...的性别, 引起...的性欲"
sexy,"a. 有性感的, 色情的"
sexual,"a. 性的, 性别的
"
annex,"n. 附加物, 附属建筑物
vt. 附加, 盖(印), 并吞"
annexation,"n. 合并, 附加, 附加物
"
index,"n. 索引, 指针, 指数, 指标
vt. 编入索引中, 指出
vi. 做索引
"
certain,"a. 确定的, 某一个的, 必然的
"
certainly,adv. 确定地
certainty,"n. 确定, 确实的事情
"
ascertain,"vt. 确定, 查明
"
uncertain,"a. 不确定的, 无常的, 不确信的, 不可预测的
"
uncertainty,"n. 不确定, 不可靠, 不确定的事物
"
talk about ...," 讨论, 谈论; 考虑（做…）; 唠; 话"
talk doing ...,无
captain,"n. 船长, 指挥官, 海军上校, 首领
vt. 率领, 指挥"
curtain,"n. 帐, 幕, 窗帘
vt. 装帘子于, 遮蔽"
being,"n. 存在, 性质, 生命, 人, 生物, be的现在分词"
well-being,n. 健康; 幸福; 保持良好状态
card,"n. 卡片, 纸牌, 节目单, 明信片, 梳棉机
vt. 备置卡片, 记于卡片上, 梳理
"
discard,"vt. 丢弃, 抛弃
vi. 垫牌
n. 垫牌, 抛弃"
cardinal,"n. 红衣主教, 鲜红色
a. 主要的, 深红色的"
demand,"n. 要求, 需求, 需要
v. 要求, 查询"
demanding,"a. 要求高的, 费力的"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
commander,"n. 司令官, 指挥官"
explain,"v. 解释, 说明"
explanation,"n. 解释, 说明, 辩解, 表明
"
explanatory,"a. 说明的, 解释的, 辩明的
"
complain,"v. 抱怨, 抗议, 控诉"
complaint,"n. 诉苦, 抱怨, 控诉
"
pain,"n. 痛苦, 疼痛, 辛苦
vt. 使痛苦, 痛苦
vi. 作痛, 疼"
painful,"a. 痛苦的, 困难的, 令人烦恼的
"
plain,"n. 平原, 草原, 朴实无华的东西, 无格式
a. 简单的, 明白的, 平常的, 不好看的, 朴素的, 清晰的, 普通的, 平坦的, 十足的
adv. 清楚地, 显然地
"
plaintiff,"n. 原告, 起诉人
"
popular,"a. 通俗的, 流行的, 受欢迎的, 大众的, 人民的, 普及的
"
popularity,"n. 名声, 受大众欢迎, 流行"
particular,"n. 一项(或条、点), 个别项目, 详细说明
a. 特别的, 独有的, 挑剔的, 详尽的"
particularly,"adv. 特别, 格外, 尤其, 详细地, 细致地"
peculiar,"a. 奇特的, 罕见的, 特殊的, 特别的
n. 特有财产, 特权"
mirror,"n. 镜子, 写真, 典范
vt. 反映, 映出"
peculiarity,"n. 特质, 特性, 怪癖"
secular,"n. 修道院外的教士
a. 世俗的, 现世的, 长期的"
regular,"a. 规则的, 常例的, 有秩序的, 整齐的, 等边的, 定期的, 经常的, 合格的, 常备军的
n. 正规军, 正式队员
adv. 经常地
n. 正常体
"
regularity,"n. 规则性, 匀整, 正规, 经常
"
irregular,"n. 不规则物, 不合规格之物
a. 不规则的, 不整齐的, 不合法的"
binoculars,"n. 双目镜, 双筒镜
"
speak,"vi. 说, 说话, 演说, 发言
vt. 说, 讲, 说出"
speaker,"n. 说话人, 讲演者, 发言人, 喇叭, 扬声器
"
spokesman,"n. 发言人, 代言者"
spokeswoman,"n. 女发言人, 女代言人"
spokesperson,"n. 发言人, 代言人"
speech,"n. 演讲, 说话, 谈话, 言语, 引语, 民族语言
"
speechless,"a. 不会说话的, 哑的, 说不出话的, 无言的, 非言语所能表达的, (非正式)烂醉的"
tend,"vi. 走向, 有某种的倾向, 易于, 照顾, 注意
vt. 照料, 护理"
tendency,"n. 趋向, 倾向
"
tender,"a. 嫩的, 柔软的, 脆弱的, 温柔的, 亲切的, 未成熟的, 微妙的, 棘手的, 审慎的
vt. 使变嫩, 提供, 偿还
vi. 变柔软, 投标
n. 照料, 看管人, 供应船, 小船, 提出, 偿付, 投标"
trend,"n. 趋势, 倾向, 走向
vi. 倾向, 转向
"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
attendance,"n. 出席, 出席的人数, 照料
"
attendant,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
attention,"n. 注意, 注意力
"
attentive,"a. 注意的, 留心的"
contend,"vi. 奋斗, 斗争, 竞争
vt. 为...斗争"
contention,"n. 争论, 争辩, 所持的论点
"
contentious,"a. 好争吵的, 爱争论的, 有异议的
"
extend,"v. 扩充, 延伸, 伸展, 扩大
"
extension,"n. 延长, 扩充, 范围, 扩展名
a. 伸缩的
"
extensive,"a. 广的, 广泛的, 多方面的
"
extended,"a. 延续的, 伸出的, 竭尽全力的, 广大的, 扩大范围的
"
extent,"n. 范围, 程度, 区域
"
intend,"vt. 计划, 打算, 意思是
"
intention,"n. 意图, 目的, 含义
"
intent,"n. 意图, 含义, 故意
a. 专心的, 决心的, 热心的"
intentional,"a. 故意的, 与目的有关的
"
pretend,"v. 假装, 伪称, 自命, 自称"
pretense,"n. 借口, 虚假, 伪装"
superintendent,"n. 监督人, 主管人, 主日学校校长
"
add,"vt. 增加, 添加, 附带说明, 计算...总和
vi. 做加法, 积累而成, 增添
"
addition,"n. 加法, 增加的人(或物)
"
additional,"a. 附加的, 另外的, 额外的
"
addict,"vt. 使沉溺, 使上瘾
n. 入迷的人, 上瘾者"
addiction,"n. 入迷, 瘾
"
addictive,a. 上瘾的
attract,"vt. 吸引, 诱惑
vi. 有吸引力"
attraction,"n. 吸引, 吸引人的事物, 吸引力
"
attractive,"a. 吸引人的, 有魅力的
"
abstract,"a. 抽象的, 深奥的
n. 摘要, 抽象概念
vt. 摘要, 提炼, 使抽象化
"
distract,"vt. 转移, 分心, 使发狂"
distraction,"n. 娱乐, 分心的事物, 分心
"
contract,"n. 合约, 婚约, 契约
vt. 使皱缩, 使缩短, 感染, 订约, 缔结
vi. 皱缩, 订约, 收缩"
contractor,"n. 立契约的人, 承包商
"
contraction,"n. 收缩, 缩写式, 害病
"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
extraction,"n. 抽出, 取出, 拔出术, 抽出物
"
subtract,"vt. 减去, 扣掉, 减少
vi. 做减法
"
subtraction,"n. 减少
"
face,"n. 脸, 面容, 正面, 外观
vt. 面对, 朝, 正视, 面临
vi. 朝, 向
"
facial,"n. 美颜, 脸部按摩
a. 脸的, 表面的, 脸部用的"
facet,"n. (多面体的)面, 方面, 琢面
"
surface,"n. 面, 表面, 水面, 外表, 平面
a. 表面的, 外观的, 肤浅的, 水面上的
vt. 使成平面, 使浮出水面
vi. 浮出水面, 呈现, 在地面上工作"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
furnace,"n. 火炉, 熔炉, 考验
vt. 在炉中烧"
custom,"n. 习惯, 风俗, 海关, 自定义
a. 定制的
"
customer,"n. 消费者
"
accustom,vt. 使习惯于
some,"pron. 一些, 一部分, 若干
adv. 大约
a. 一些的, 少许的, 某一的"
accustomed,"a. 惯常的, 习惯了的"
custody,"n. 监护, 拘留, 监禁
"
discuss,"vt. 讨论, 论述
"
discussion,n. 讨论
atom,"n. 原子, 核能, 微粒, 微量
"
atomic,"a. 原子的, 原子能的
"
bottom,"n. 底部
a. 底部的
vt. 给...装底, 查明真相
vi. 到达底部, 建立基础"
meet,"n. 会, 集会
a. 适宜的, 合适的
vt. 遇见, 引见, 认识, 满足, 对付
vi. 相遇, 接触"
meeting,"n. 会议, 会面
"
greet,"vt. 问候, 致敬, 欢迎, 映入眼帘"
