abdomen,"n. 腹部
"
soar,"n. 高扬, 翱翔
vi. 往上飞舞, 高耸, 翱翔"
sober,"a. 未醉的, 稳重的, 节制的, 严肃的, 不夸大的, 合理的, 朴素的
vt. 使醒酒, 使严肃
vi. 从醉里醒来, 变严肃"
solitary,"n. 独居者
a. 孤独的, 独居的"
spectacle,"n. 引人羡慕的东西, 景象, 眼镜, 场面, 公开展示"
spectator,"n. 观众, 目击者, 旁观者"
splash,"n. 飞溅, 污点, 一点儿, 溅泼声, 色斑
vi. 溅湿, 溅开, 飞溅
vt. 溅, 泼, 使溅起水, 洒, 使成斑驳状"
spur,"n. 马刺, 刺激物, 鼓舞
vt. 刺激, 激励, 用马刺策(马)前进
vi. 用马刺驱马, 疾驰"
stale,"n. 尿
a. 不新鲜的, 陈腐的, 疲惫的, 陈旧的
vt. 使变旧, 走味
vi. 变陈旧, 走味, 失时效, 撒尿"
static,"n. 静电, 静电干扰
a. 静态的, 静止的, 固有的, 静电的"
stereotype,"n. 铅版, 陈规, 老套
vt. 使用铅版, 把...印制成盲文, 套用老套, 使一成不变"
stroll,"n. 闲逛, 漫步
v. 闲逛, 漫步"
sturdy,"a. 强健的, 健全的
"
submerge,"vt. 使浸水, 使陷入, 淹没
vi. 潜入水中"
subscribe,"vt. 捐献, 签署
vi. 赞成, 同意, 捐款, 预订, 认购
"
subsequent,"a. 后来的, 接下去的
"
subsidy,"n. 补助金, 津贴
"
substantial,"n. 重要材料(或事物), 有实际价值的东西
a. 实质上的, 物质的, 有内容的, 结实的"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
successive,"a. 继承的, 连续的
"
suicide,"n. 自杀, 自杀者
v. 自杀
a. 自杀的"
summit,"n. 顶点, 最高阶层, 最高级会议
a. 政府首脑的, 最高级的"
summon,"vt. 召唤, 召集, 号召, 振奋, 唤起, 鼓起
"
superficial,"n. 表面, 外表
a. 表面的, 肤浅的, 面积的"
superstition,"n. 迷信
"
supervise,"v. 监督, 管理, 指导"
supreme,"n. 至高, 霸权
a. 至高的, 终极的, 极端的, 最大的"
surpass,"vt. 超越, 凌驾, 胜过"
surplus,"n. 剩余, 过剩, 盈余
a. 过剩的, 剩余的"
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
tendency,"n. 趋向, 倾向
"
territory,"n. 领土, 领地, 版图, 地区, 活动范围
"
thrift,"n. 节约, 茂盛, 海石竹"
thrive,"vi. 繁荣, 兴旺, 茁壮成长
"
torture,"n. 拷问, 苦闷
vt. 拷问, 曲解, 折磨, 使弯曲"
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
"
trigger,"n. 触发器, 扳机
vt. 触发, 发射, 引起
vi. 松开扳柄
"
tuition,"n. 学费, 讲授"
turbulent,"a. 狂暴的, 骚乱的, 紊乱的"
underline,"vt. 在...下面划线, 作...的衬里, 强调
n. 下划线, 图下说明文字
"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
undertake,"vt. 试图, 从事, 保证, 承担, 同意, 接受
"
vanish,"vi. 消失, 不见, 成为零"
vicious,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的
"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
abandon,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵
n. 放任, 无拘束, 狂热"
absence,"n. 缺席, 缺乏, 没有
"
abundance,"n. 丰富, 充足, 大量
"
abundant,"a. 丰富的, 充分的, 大量的"
academic,"a. 学院的, 学术的, 不切实际的
n. 大学生, 大学教师, 学者, 学会会员"
academy,"n. 学院, 院校, 学会"
accent,"n. 重音, 口音, 特点, 注重点
vt. 重读, 加重音号于, 强调"
acceptable,"a. 可接受的, 合意的, 可忍受的"
acceptance,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信
"
accidental,"a. 意外的, 偶然的, 非主要的, 附属的
n. 临时记号, 次要方面"
accommodation,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款
"
accompany,"vt. 陪伴, 伴随, 补充, 为...伴奏
vi. 伴奏, 伴唱"
accomplish,"vt. 完成, 达到, 实现, 使完美"
accord,"n. 一致, 调和, 协定
vt. 给与, 使一致
vi. 相符合"
accordance,"n. 一致, 和谐"
accordingly,"adv. 相应地, 因此, 于是"
accountant,"n. 会计人员, 会计师
"
accuracy,"n. 精确, 正确
"
accustomed,"a. 惯常的, 习惯了的"
achieve,"vt. 完成, 达到
vi. 如愿以偿"
acknowledge,"vt. 承认, 告知收悉, 答谢, 报偿
"
acquisition,"n. 获得, 获得物
"
acre,n. 英亩
acrobat,"n. 表演特技者, 杂技演员"
adapt,"vt. 使适应, 改编
vi. 适应"
additional,"a. 附加的, 另外的, 额外的
"
adjective,"n. 形容词
a. 形容词的, 从属的"
adjust,"vt. 调整, 使适应于, 校准
vi. 适应于, 被调节, 相互熟悉而适应"
administration,"n. 行政, 管理, 政府机关
"
admire,"vt. 赞美, 钦佩, 爱慕
vi. 称赞, 惊奇"
admission,"n. 准许进入, 入场费, 录用, 承认
"
adult,"n. 成人, 成虫
a. 成年的, 成熟的"
advanced,"a. 在前的, 高级的, 先进的, 年老的
"
adventure,"n. 冒险, 冒险经历
v. 冒险"
agency,"n. 代理机构, 经销商, 中介
"
agenda,"pl. 议程, 日常工作事项
"
agent,"n. 代理商, 政府代表, 动原, 媒介
"
agreeable,"a. 令人愉快的, 同意的
"
agriculture,"n. 农业
"
aisle,"n. 走廊, 侧廊, 过道
"
alarm,"n. 惊恐, 警报, 警钟
vt. 使惊恐, 警告
"
allowance,"n. 津贴, 零用钱, 限额, 折扣, 允许
vt. 定量供应"
alloy,"n. 合金
vt. 将...铸成合金, 减低成色
vi. 合铸"
alphabet,"n. 字母
"
altitude,"n. 高度, 海拔, 高处
"
aluminum,"n. 铝
"
ambassador,"n. 大使
"
ambition,"n. 野心, 志向"
ambulance,"n. 救护车
"
ample,"a. 大量的, 充足的, 丰富的"
amplifier,"n. 扩大的人(物), 放大器, 扩音器
"
amplify,"vt. 增强, 放大, 扩大, 详述
vi. 引伸"
analogue,"n. 类似物, 相似情况
"
analogy,"n. 相似, 类似
"
analyse,"vt. 分析, 细察, 分解
"
analysis,"n. 分析
"
analytic,"a. 分析的, 善于分析的, 解析的
"
ancestor,"n. 祖先, 祖宗"
ankle,"n. 踝
"
announce,"vt. 宣布, 声称, 显示, 预告
vi. 当报幕员, 宣布参加竞选"
annual,"n. 年刊, 年报
a. 每年的, 一年一次的, 全年的, 一年生的"
antenna,"n. 天线, 触须, 触角
"
antique,"n. 古董, 古物
a. 古老的, 古风的, 旧式的, 过时的"
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事
"
anxious,"a. 忧虑的, 发愁的, 渴望的"
apartment,"n. 房间, 公寓"
apology,"n. 道歉, 辩护
"
apparent,"a. 清晰可见的, 显然的, 表面上的
"
appearance,"n. 出现, 露面, 外观, 外表, 出版
"
appendix,"n. 附录, 附加物, 阑尾
"
applause,"n. 鼓掌, 喝彩, 赞许"
appliance,"n. 器械, 用具, 应用
"
applicable,"a. 合适的, 可应用的
"
application,"n. 应用, 申请, 志愿书, 应用程序
"
apply,"vt. 涂, 应用
vi. 申请, 适用"
appoint,"vt. 任命, 指定, 下令
"
appointment,"n. 约会, 委任的职位, 委派
"
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏
vi. 增值, 涨价"
appropriate,"a. 适当的
"
approval,"n. 赞成, 批准
"
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的
"
arch,"n. 拱门, 拱形, 足弓
vt. 使成弓形
vi. 拱起, 成弓形
a. 主要的, 调皮的, 傲慢无礼的, 狡猾的"
architect,"n. 建筑师, 设计者, 缔造者"
argument,"n. 争论, 论证, 论据, 自变量
"
arise,"vi. 站立, 出现, 起来"
arrange,"v. 安排, 排列, 达成协议
"
array,"n. 排列, 衣服, 大批, 军队
vt. 布署, 打扮, 排列
"
arrest,"n. 逮捕, 监禁
vt. 拘捕, 抑制, 吸引, 阻止"
artery,"n. 动脉, 干道, 要道
"
artistic,"a. 艺术的, 艺术家的, 富有艺术性的"
assembly,"n. 与会者, 集会, 装配, 组件
"
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述
"
assistance,"n. 协助, 援助
"
assistant,"n. 助手, 助理, 助教
a. 有帮助的, 辅助的, 助理的"
associate,"n. 同伴, 伙伴, 关联的事物
vt. 使联合, 使发生联系
vi. 交往
"
association,"n. 协会
"
assumption,"n. 假定, 自负, 担任, 假装
"
assurance,"n. 保证, 把握, 信心, 保险
"
astronaut,"n. 太空旅行者, 宇航员
"
astronomy,n. 天文学
atmosphere,"n. 大气, 空气, 气氛
"
atom,"n. 原子, 核能, 微粒, 微量
"
attack,"n. 攻击, 抨击
vt. 攻击, 抨击, 动手干
vi. 攻击"
attain,"vt. 达到, 获得
vi. 达到"
attempt,"n. 尝试, 企图
vt. 尝试, 企图"
attend,"vt. 参加, 照料, 伴随
vi. 专心于, 照顾, 服侍, 出席"
attendance,"n. 出席, 出席的人数, 照料
"
attendant,"n. 随从, 侍者, 出席者
a. 侍候的, 伴随的, 出席的, 在场的"
attractive,"a. 吸引人的, 有魅力的
"
authority,"n. 权力, 当权者, 当局, 权威, 专家
"
auto,"n. 汽车
pref. 表示""自己""、""本身"", 表示""自己的"", 表示""自动的"""
automatic,"n. 自动手枪, 自动机械
a. 自动的, 机械的, 必然的, 无意识的"
avenue,"n. 大街, 途径, 林荫路"
await,"vt. 等候
vi. 等待着"
award,"n. 奖品, 裁定, 判决
vt. 授予, 给予"
aware,"a. 知道的, 有觉悟的"
awe,"n. 敬畏
vt. 使敬畏"
awful,"a. 可怕的, 庄严的, 虔敬的"
awkward,"a. 笨拙的, 棘手的"
axe,"n. 斧, 斧头
vt. 削减(人员、经费、计划、机构等)"
axis,"n. 轴
"
bachelor,"n. 单身汉, 学士
"
background,"n. 背景, 背景资料
"
bacterium,"n. 细菌
"
balcony,"n. 阳台, 戏院楼厅"
ballet,n. 芭蕾舞
bandage,"n. 绷带
"
banner,"n. 旗帜
a. 显著的, 特别好的"
bare,"a. 赤裸的, 缺少的, 无遮蔽的, 坦率的
vt. 使赤裸, 露出"
bargain,"n. 交易, 买卖协定, 特价商品
v. 讲价, 交易"
bark,"n. 树皮, 吠声
vi. 吠, 叫骂
vt. 喊出, 剥树皮"
barn,"n. 谷仓
"
barrel,"n. 桶
vt. 装入桶内"
basement,"n. 地下室, 墙脚
"
batch,"n. 一次所烘的面包, 一次所制之量, 一组, 批, 成批, 分批
v. 成批, 分批处理
"
battery,"n. 电池, 殴打
"
battle,"n. 战役
v. 战斗"
bay,"n. 海湾, 狗吠声, 月桂
vt. 吠, 使走投无路
vi. 吠"
beam,"n. 横梁, 杆, 光线, 容光焕发
vi. 用梁支承, 微笑, 射出光线
vt. 照耀, 感到欣喜
"
bearing,"n. 举止, 轴承, 忍受, 关系, 意义, 方向, 生育
"
beforehand,adv. 预先
behalf,"n. 利益, 方面"
belly,"n. 腹部, 食欲
vt. 使鼓起
vi. 鼓起, 匍匐前进"
belt,"n. 带子, 地带
"
bend,"vi. 变弯曲, 屈服
vt. 使弯曲, 使屈服
n. 弯曲"
benefit,"n. 利益
vt. 有益于
vi. 受益"
betray,"vt. 出卖, 背叛, 辜负, 暴露
"
beware,"v. 小心, 谨防"
bid,"n. 出价
v. 命令, 吩咐, 请求, 表示, 宣布, 投标"
bind,"vt. 绑, 约束, 装订, 包扎, 使结合
vi. 凝固, 有约束力
"
blade,"n. 叶片, 刀锋, 刀口, 剑
"
blaze,"n. 火焰, 烈火, 光辉
vi. 燃烧, 发光
vt. 使燃烧, 宣布, 在树皮上刻痕"
block,"n. 街区, 木块, 石块, 块
vt. 阻塞, 封锁, 使成块状
"
bloody,"a. 血腥的, 嗜杀的, 有血的"
blossom,"n. 花, 花开的状态, 兴旺期
vi. 开花, 兴旺, 发展"
board,"n. 木板, 甲板, 膳食, 会议桌
vt. 乘船, 供膳食, 用板覆盖
vi. 搭伙
"
bold,"a. 大胆的
n. 粗体
"
bolt,"n. 门闩, 螺钉, 筛子, 闪电, 意外事件
vt. 闩住, 发射, 脱口而出, 筛, 囫囵吞下
vi. 囫囵吞枣, 射箭, 脱缰, 退出党派
adv. 突然"
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留
vt. 存入关栈, 使黏合
vi. 结合"
booth,"n. 亭, 摊棚
"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
bounce,"n. 跳, 跳跃, 弹力, 撞击
vi. 反跳, 弹跳
vt. 使跳回, 撞击
"
boundary,"n. 边界, 分界线
"
bow,"n. 弓, 眼睛框
v. 用弓拉琴, 弯成弓形
n. 鞠躬, 屈服"
bowel,"n. 肠, 内脏, 内部
vt. 挖...的内脏"
boycott,"n. 联合抵制
vt. 联合抵制"
bracket,"n. 支架, 括弧, 托架
vt. 装托架, 括入括弧
"
brake,"n. 刹车, 阻碍, 丛林
v. 刹车"
breadth,"n. 宽度
"
brief,"n. 摘要, 简报
a. 简短的, 短暂的
vt. 对...作简报, 摘要, 节录"
brilliant,"a. 光辉的, 灿烂的, 有才气的
"
brochure,"n. 小册子, 小册"
bubble,"n. 泡沫
vi. 冒泡, 沸腾
vt. 使冒泡, 滔滔不绝地说"
bucket,"n. 桶
"
bud,"n. 芽, 花蕾
vi. 发芽, 萌芽
vt. 使发芽"
budget,"n. 预算
vi. 编预算
vt. 编入预算, 安排
a. 廉价的"
buffet,"n. 自助餐, 小卖部, 碗橱, 殴打, 冲击
vt. 连续打, 冲击, 搏斗
vi. 奋斗"
bug,"n. 错误, 虫, 病菌, 缺陷, 窃听器, 癖好, 防盗报警器, 双座小汽车, 要人
vt. 装防盗报警器, 装窃听器, 激怒
vi. 捉虫, 暴突
"
bulb,"n. 球茎, 电灯泡
"
bulletin,"n. 公告, 布告, 公报
"
bully,"n. 欺凌弱小者, 土霸
vt. 威胁, 恐吓, 欺负
vi. 欺负
a. 特好的, 第一流的
adv. 十分"
bump,"n. 撞击, 肿块
vt. 碰撞
vi. 撞, 颠簸而行"
bunch,"n. 串, 束
"
bundle,"n. 捆, 束
vt. 包扎, 胡乱塞进
vi. 匆忙离开"
burden,"n. 负担, 重载, 担子, 责任
vt. 装货于, 烦扰, 使负担"
burglar,"n. 窃贼
"
burst,"n. 破裂, 突发, 爆发
v. 爆裂, 突发, 充满
"
cab,"n. 出租车, 出租汽车, 出租马车
vi. 乘出租马车(或汽车)"
cable,"n. 电缆, 海底电报, 缆, 索
vi. 打海底电报
vt. 发海底电报, 缚住
"
calcium,"n. 钙
"
calculate,"v. 计算, 预测, 计划, 打算"
calendar,"n. 日历, 日程表
vt. 列入表中
"
calorie,n. 卡路里（热量单位）
camera,"n. 照相机, 摄影机, 密谈室, 暗箱
"
cannon,"n. 大炮, 加农炮
v. 炮轰"
canoe,"n. 独木舟, 轻舟
vi. 乘独木舟
vt. 用独木舟运"
canvas,"n. 帆布, 画布, 油画
"
capacity,"n. 容量, 能力, 才能, 资格
"
carbon,"n. 碳, 副本, 复写纸
"
career,"n. 事业, 生涯, 成功
"
carve,"v. 雕刻, 切开"
cashier,"n. 出纳员
"
casual,"a. 偶然的, 不经意的, 便装的
n. 临时工, 待命士兵"
category,"n. 种类, 类项
"
cater,"v. 提供饮食及服务, 投合, 迎合"
cathedral,n. 大教堂
Catholic,"n. 天主教徒
a. 天主教的, 普遍的, 广泛的, 宽宏大量的"
cause,"n. 原因, 目标
vt. 引起, 使产生, 使遭受"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
cautious,"a. 谨慎的, 小心的"
ceiling,"n. 天花板
"
celebrate,"v. 庆祝, 祝贺, 举行"
cellar,"n. 地窖, 地下室, 藏酒"
cement,"n. 水泥, 胶结剂
vt. 胶合, 用水泥涂
vi. 黏牢"
centigrade,"a. 百分度的, 摄氏的
"
centimetre,"n. 厘米, 公分"
cereal,"n. 谷类食品, 谷类植物
a. 谷类的"
ceremony,"n. 典礼, 仪式, 礼节
"
certainty,"n. 确定, 确实的事情
"
chairman,"n. 主席, 会长
"
challenge,"n. 挑战, 盘问
vt. 向...挑战, 要求, 怀疑
vi. 挑战, 对(证据等)表示异议"
champagne,"n. 香槟酒, 香槟酒色
"
champion,"n. 冠军, 拥护者, 战士
vt. 保卫, 拥护
a. 优胜的"
chaos,"n. 大混乱, 混沌
"
chap,"n. 小伙子, 颌, 龟裂
v. 皲裂"
chapter,"n. 章, 篇, 重要章节
"
character,"n. 个性, 字符, 人物, 性质, 品格, 资格
"
charge,"n. 指控, 费用, 冲锋, 电荷, 炸药, 主管, 被托管人, 命令
vt. 控诉, 加罪于, 使充满, 使充电, 使承担
vi. 冲锋, 要价, 收费"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
chemical,"n. 化学药品
a. 化学的, 化学上用的"
chemist,"n. 化学家, 药剂师
"
cheque,n. 支票
chew,"vt. 咀嚼, 嚼碎
vi. 咀嚼, 细想
n. 咀嚼, 咀嚼物"
chin,"n. 下巴, 颏
"
chip,"n. 屑片, 薄片, 碎片
vt. 削, 切, 削成碎片, 使摔倒, 凿
vi. 削下屑片
"
choke,"vt. 窒息, 阻塞, 噎, 抑制
vi. 窒息, 阻塞, 噎
n. 窒息, 噎, 阻气门"
chop,"n. 肋条肉, 排骨, 砍, 戳记, 商标
vt. 剁碎, 砍, 切击, 割断
vi. 砍, 突然转向"
chorus,"n. 合唱队, 齐声
v. 齐声说道, 合唱"
circulate,"v. (使)流通, (使)循环, (使)传播"
circus,"n. 马戏团, 马戏, 竞技场"
civilization,"n. 文明, 教化
"
clap,"n. 拍手, 拍手声, 霹雳声, 花柳病
v. 鼓掌, (使)啪地关上"
clarity,"n. 清楚, 明晰
"
clasp,"n. 扣子, 钩, 紧握
v. 扣紧, 紧握"
classic,"n. 古典作品, 杰作, 大艺术家
a. 第一流的, 最优秀的, 古典的"
classical,"a. 古典的, 正统派的, 经典的
"
classify,"vt. 分类, 归类, 分等
"
clause,"n. 子句, 条款
"
claw,"n. 爪, 螯, 抓伤
v. 用爪抓, 挖, 搜刮"
clergy,"n. 牧师, 僧侣, 神职人员"
clerk,"n. 办事员, 职员, 文书
vi. 当店员"
cliff,"n. 悬崖, 绝壁"
clip,"n. 修剪, 夹子, 回形针, 剪下来的东西
vt. 修剪, 痛打, 夹牢, 剪报
vi. 剪报"
clockwise,"a. 顺时针方向的
adv. 顺时针方向地"
clone,"n. 无性系
"
closet,"n. 壁橱, 小室
a. 秘密的, 空谈的
vt. 把...关入小室"
clumsy,"a. 笨拙的, 不雅观的, 粗陋的"
cluster,"n. 串, 丛, 群, 簇
vi. 成串, 丛生
vt. 使聚集
"
code,"n. 代码, 密码, 法规, 法典
vt. 把...编码
"
coil,"n. 线圈, 盘绕, 骚动, 卷
vt. 盘绕, 卷"
coincidence,"n. 巧合, 同时发生
"
collect,"v. 收集, 聚集, 集中, 搜集
a. 由收到者付款的
adv. 由收到者付款地"
collection,"n. 收集, 采集, (一批)收藏品, 募捐
"
colonial,"a. 殖民的, 殖民地的
"
column,"n. 专栏, 圆柱, 纵队, 列, 柱形物
"
combine,"v. (使)联合, (使)结合
n. (企业的)联合, 联合收割机"
comedy,"n. 喜剧, 有趣的事情"
comfort,"n. 舒适, 安慰, 安慰者
vt. 安慰"
comic,"n. 连环漫画, 喜剧演员, 滑稽的人
a. 滑稽的, 有趣的, 喜剧的"
command,"n. 命令, 指挥, 控制, 部队, 司令部
v. 命令, 指挥, 控制
"
commerce,"n. 商业, 商务, 贸易
"
communicate,"vt. 显露, 传达, 感染
vi. 通讯"
communism,n. 共产主义
companion,"n. 朋友, 陪伴, 指南, 升降口围罩
vt. 陪伴"
comparable,"a. 可比较的, 比得上的"
compass,"n. 指南针, 范围, 音域
vt. 包围, 达到, 图谋, 理解"
compete,"vi. 竞争, 对抗"
complain,"v. 抱怨, 抗议, 控诉"
complaint,"n. 诉苦, 抱怨, 控诉
"
complex,"n. 综合体, 情结, 络合物
a. 复杂的, 组合的"
complicated,"a. 复杂的
"
complication,"n. 复杂化, 复杂情况
"
composition,"n. 作文, 创作, 组成
"
comprehension,"n. 理解, 包含"
concentrate,"n. 浓缩, 精选
v. 集中, 专心"
concentration,"n. 集中, 专心
"
concept,"n. 观念, 概念
"
concern,"n. 关心, 忧虑
vt. 与...有关, 使担心, 使挂念"
concerning,"prep. 关于
"
congratulation,"n. 祝贺, 恭喜"
connection,"n. 连接, 关系, 前后关系
"
consequently,adv. 所以
constant,"n. 常数, 恒量
a. 不变的, 一定的, 时常的
"
constituent,"n. 成分, 选民, 构成物
a. 构成的, 组织的, 选举的"
construction,"n. 建筑, 构造, 建筑物
"
consultant,"n. 顾问, 征询意见者
"
consumption,"n. 消费, 消费量, 痨病
"
contribute,"vt. 有助于, 捐助, 投稿
vi. 出力, 捐献, 投稿"
contribution,"n. 捐助, 捐助之物, 贡献
"
conversion,"n. 转变, 转换, 改变宗教信仰, 换位法
"
conviction,"n. 定罪, 信服, 坚信
"
cooperative,a. 合作的；合作社的
coordinates,n. 坐标；相配之衣物
cope,"vi. 竞争, 应付
n. 长袍"
copyright,"n. 版权, 著作权
"
cord,"n. 绳索, 束缚
"
core,"n. 核心, 果心, 要点
vt. 挖...的核
"
corporation,"n. 公司, 合作, 法人团体
"
correspondence,"n. 相符, 通信, 信件
"
corresponding,"a. 相当的, 一致的, 通信的
"
costly,"a. 昂贵的, 奢华的, 费用大的"
costume,"n. 装束, 服装"
cosy,"a. 温暖舒适的
n. 保暖套"
cottage,"n. 小屋, 茅舍"
counter,"n. 计算器, 计算者, 柜台, 筹码
a. 反方向的, 相反的
adv. 反方向地, 相反地
"
coupon,"n. 息票, 赠券
"
craft,"n. 技艺, 手艺, 诡计
vt. 精心制作"
crane,"n. 鹤, 起重机
vt. 伸颈, 起重机起吊
vi. 伸颈看, 迟疑"
crash,"n. 哗啦声, 猛撞, 崩溃, 粗布
v. 撞碎, 破碎, (使)...坠毁
a. 速成的
"
creative,"a. 有创造力的, 创作的, 产生的"
creature,"n. 人, 动物, 创造物, 生物"
credit,"n. 信用, 信任, 荣誉, 贷款, 学分
vt. 归功于, 赞颂, 信任, 相信
"
crew,"n. 全体人员, 一群人, 全体队员
crow的过去式"
criminal,"n. 罪犯, 犯人, 刑事
a. 犯了罪的, 刑事的, 有罪的"
crisis,"n. 危机, 危险期, 紧要关头
"
critic,"n. 批评家, 鉴定家"
criticize,"v. 批评, 吹毛求疵, 非难"
crown,"n. 王冠, 王权, 顶点
vt. 使成王, 加冕, 居...之顶"
crust,"n. 外壳, 坚硬外皮, 面包皮
vt. 盖以硬皮
vi. 结硬皮"
cure,"n. 治疗, 治愈, 治疗法
vt. 治疗, 治愈, 改正, 腌制, 加工处理, 使硫化
vi. 受治疗, 被加工处理, 被硫化"
curious,"a. 好奇的, 求知的, 古怪的"
curl,"n. 拳曲, 鬈发
vt. 弄卷
vi. 拳曲, 弯曲"
cushion,"n. 垫子, 橡皮软垫
vt. 加垫褥, 缓冲, 掩盖"
customary,"a. 习惯的, 惯常的
"
cyberspace,"[计] 空间, 网控空间"
cylinder,"n. 圆筒, 圆筒状物, 汽缸, 柱面
"
