absence,"n. 缺席, 缺乏, 没有
"
renewed,a. 复兴的；更新的；重建的
renewable,"a. 可更新的, 可恢复的, 可继续的, 可换新的, 可重复的, 可重说的
"
renewal,"n. 更新, 革新, 复兴, 恢复, 修补, 补充, 继续, 重订, 重申, 续借
"
reproduce,"v. 繁殖, 再生, 复制, 生殖
"
reproduction,"n. 再现, 复制, 生殖, 繁殖, 复制品
"
rigorous,"a. 严厉的, 严酷的, 严格的, 苛刻的, 严密的, 精确的"
rigour,"n. 严格, 严厉, 苛刻, 严酷, 严密, 精确"
ritual,"n. 仪式, 典礼, 宗教仪式
a. 仪式的, 依仪式进行的"
ritualistic,"a. 仪式的, 遵守仪式的"
ritualize,vt. 使仪式化
routine,"n. 常规, 日常工作, 惯例, 例行公事
a. 日常的, 常规的
"
routinize,"vt. 使惯例化, 使成常规
"
routinization,"n. 常规化, 惯例化"
routinist,"n. 事务主义者, 墨守成规者"
sail,"n. 帆, 篷, 帆船, 航程, 帆状物
vi. 航行, 启航, 张帆而行
vt. 航行于, 驾船"
sailor,"n. 水手, 船员, 海员
"
sailing,"n. 航行, 航海术, 启航
a. 航行的"
salespeople,"n. 售货员,店员"
salesman,"n. 售货员, 推销员
"
saleswoman,"n. 女售货员, 女店员"
salesmanship,"n. 售货, 售货术, 推销, 推销术, 游说, 游说术, 善于推销
"
scarce,"a. 难得的, 稀罕的, 缺乏的"
scarcely,"adv. 简直不, 一定不, 仅仅"
scholar,"n. 学者, 奖学金获得者, 有文化者, 学习者"
scholarship,"n. 学问, 学术成就, 奖学金"
scholarly,"a. 学者派头的, 学者风度的, 有学问的, 博学的, 好学的"
scholastic,"a. 学校的, 学校教育的, 学者的, 学究的
n. 经院哲学家, 学究, 墨守成规者, 学生"
semantic,"a. 语义的
"
semantically,[计] 语义地
semantics,n. [语]语义学；语义论
serial,"n. 分期连载作品, 连载小说
a. 连续的, 一连串的, 连载的, 分期偿还的
"
serialize,vt. 连载
shatter,"n. 碎片, 粉碎, 落叶, 喷洒
vt. 打碎, 使散开, 粉碎, 破坏
vi. 粉碎, 损坏, 脱落"
shelf,"n. 架子, 搁板
"
silt,"n. 淤泥
vt. 使淤塞
vi. 淤塞"
soar,"n. 高扬, 翱翔
vi. 往上飞舞, 高耸, 翱翔"
split,"n. 劈开, 裂片, 裂缝, 分裂, 派系, 派别, 柳条
a. 劈开的
vi. 分离, 分开, 裂开, 被劈开
vt. 劈开, 切开, 使分裂, 使分离
"
squash,"n. 挤压, 压碎的东西, 南瓜属植物, 拥挤的人群
vt. 压扁, 镇压, 压制
vi. 被压扁, 发溅泼声, 挤入"
squeeze,"n. 紧握, 挤, 榨, 榨取, 佣金
vt. 紧握, 挤, 榨取
vi. 压榨, 榨"
squeezer,"n. 压榨者, 剥夺者, 敲诈者, 压榨机, 轧水机, (美)(非正式)小气鬼, 吝啬者
"
stack,"n. 堆叠, 堆, 大量, 书库, 枪架, 烟囱, 堆积, 存贮栈
vt. 堆积, 堆满, 暗中对...做手脚
vi. 堆起
"
stomach,"n. 胃, 食欲, 欲望, 肚子
vt. 吃下, 忍受"
straightforward,"a. 笔直的, 率直的, 明确的, 简单的, 直接的"
strain,"n. 紧张, 拉紧, 张力, 过劳, 扭伤, 血缘, 种, 族, 气质, 曲调, 旋律, 口吻
vt. 使劳累, 拉紧, 过分使用, 扭伤, 滥用, 曲解, 滤
vi. 尽力, 努力, 紧拉, 弯曲, 被滤出"
sudden,"n. 突然, 忽然
a. 突然的, 意外的, 快速的"
suddenly,"adv. 突然, 意外, 忽然, 迅速, 即席作成, 即刻, 急速"
sufferer,"n. 受难者, 被害者, 患者
"
suffer,"vt. 遭受, 经历, 忍受
vi. 受痛苦, 受损害"
suffering,"n. 苦难, 受苦"
surge,"n. 巨涌, 汹涌, 澎湃
vi. 汹涌, 澎湃, 颠簸, 猛冲, 突然放松
vt. 使汹涌奔腾, 急放
"
sustain,"vt. 承受, 支持, 供养, 继续, 忍受, 蒙受, 证实, 准许
"
sustainable,"a. 足可支撑的, 养得起的, 可以忍受的"
sustenance,"n. 生活资料, 生计, 食物, 支持
"
sustainability,"n. 持续性, 能维持性, 永续性"
symptom,"n. 症状, 征候, 征兆
"
tackle,"n. 工具, 复滑车, 滑车, 装备, 扭倒
vt. 固定, 处理, 抓住
vi. 扭倒"
texture,"n. (织物的)密度, (材料等的)结构, 纹理
"
topsoil,"n. 上层土, 表层土"
trance,"n. 昏睡状态, 恍惚, 着迷
vt. 使恍惚, 使发呆"
transmit,"vt. 传输, 传染, 传达, 遗传, 发射, 传播
vi. 发射信号, 留传下来
"
transmission,"n. 传输, 传送, 变速器
"
transmitter,"n. 传送者, 传达人, (疾病的)传播者
"
transparent,"a. 透明的, 显然的, 清晰的
"
transparency,"n. 透明, 透明度, 透过性, 透明物, 清晰
"
triple,"n. 三倍数, 三个一组
a. 三倍的
vt. 使增至三倍
vi. 增至三倍"
tune,"n. 歌曲, 主旋律, 心情, 声调, 和谐, 一致, 语调, 程度
vt. 为...调音, 调整, 调谐, 使一致
vi. 协调, 调谐"
ultimate,"n. 终极, 根本, 顶点, 基本原则
a. 终极的, 根本的, 极限的, 最远的, 最后的, 最大的"
ultimately,"adv. 最后, 最终
"
unbiased,"a. 没有偏见的
"
undergo,"vt. 遭受, 经历, 忍受
"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
unprecedented,"a. 空前的
"
update,"vt. 更新, 使现代化
n. 更新
"
utilise,"vt. 利用, 运用, 使用"
utilisation,n. 利用；使用（等于utilization）
viable,"a. 能养活的, 能生长发育的
"
viability,"n. 生存能力, 发育能力
"
vigilance,"n. 警戒, 警觉, 失眠症
"
vigilant,"a. 警觉的, 警戒的, 警惕的
"
violence,"n. 猛烈, 暴力, 暴虐, 暴行
"
violent,"a. 暴力的, 猛烈的, 激烈的, 极端的, 凶暴的"
violently,"adv. 猛烈地, 激烈地, 极端地"
weave,"n. 编法, 织法, 编织式样
vt. 编织, 组合, 编排, 使迂回前进
vi. 纺织, 迂回行进"
wreck,"n. 失事, 残骸, 破坏
vt. 使失事, 拆毁, 破坏
vi. (船)失事, 营救失事船只"
wreckage,"n. 残骸, 失事, 破坏
"
yacht,"n. 快艇, 游艇
vi. 驾游艇, 乘游艇"
abundant,"a. 丰富的, 充分的, 大量的"
abundance,"n. 丰富, 充足, 大量
"
accumulate,"v. 积聚, 堆积"
accumulation,"n. 积聚, 累积, 积聚物
"
acid,"n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
"
advisable,"a. 适当的, 明智的"
artifact,"n. 人工制品
"
attain,"vt. 达到, 获得
vi. 达到"
attainment,n. 达到
attainable,"a. 可到达的, 可得到的"
audit,"n. 审计, 查帐
vt. 查(帐), 旁听
vi. 查账
"
auditor,"n. 审计员, 听者, 旁听生
"
auditory,"a. 听觉的, 听觉器官的
"
aspiration,"n. 热望, 志向, 渴望
"
aspire,"vi. 渴望, 立志于"
aspiring,"a. 有抱负的, 有志气的"
avenue,"n. 大街, 途径, 林荫路"
ban,"n. 禁令
vt. 禁止, 取缔"
band,"n. 带子, 队, 乐队
v. 联合, 结合
"
behalf,"n. 利益, 方面"
beneath,"prep. 在...下方
adv. 在...下方"
blend,"vt. 混合
n. 混合"
border,"n. 边缘, 边境, 边界, 花坛
vt. 在...上镶边, 接近
vi. 接界, 近似
"
bullet,"n. 子弹
"
calibrate,"vt. 测定口径, 校准, 使标准化, 调整
"
calibration,"n. 口径测定, 刻度, 校准
"
canvas,"n. 帆布, 画布, 油画
"
capitalism,"n. 资本主义
"
capital,"n. 首都, 大写字母, 资本
a. 首都的, 重要的"
capitalist,"n. 资本家, 资本主义者
a. 资本主义的"
cautious,"a. 谨慎的, 小心的"
caution,"n. 小心, 慎重, 警示
vt. 警告
"
cement,"n. 水泥, 胶结剂
vt. 胶合, 用水泥涂
vi. 黏牢"
collate,"vt. 校对, 校勘
"
collation,"n. 核对, 小吃, 斋日的点心, 茶点, 零食, (牧师职位的)委任
"
commence,"v. (使)开始, 得学位"
commencement,"n. 开始, 毕业典礼
"
commentary,"n. 注释, 评论, 说明
"
comment,"n. 注解, 批评, 评论, 备注
vi. 评论, 注解
"
commentate,"vt. 注释, 解说
vi. 评论时事"
commentator,"n. 评论员, 实况广播员, 注释者, 时事评论员"
compact,"a. 紧凑的, 紧密的, 简洁的
vt. 使紧密结合, 压缩
vi. 变坚实"
compactness,"n. 紧密, 紧密度, 简洁, 坚实
"
compile,"vt. 编译, 编辑, 编纂, 收集
"
compiler,"n. 编辑者
"
compilation,"n. 编辑, 编纂, 编辑(编纂)物
"
comprehend,"vt. 理解, 包括"
comprehension,"n. 理解, 包含"
comprehensible,a. 可理解的
comprehensive,"a. 广泛的, 有理解力的, 综合的
"
compromise,"n. 妥协, 折中, 折中方案, 和解
vi. 妥协处理
vt. 危害"
conceive,"vt. 构思, 认为
vi. 怀孕"
conceivable,"a. 想得到的, 可想象的, 可理解的"
conception,"n. 观念, 概念
"
conceptual,"a. 概念的
"
concept,"n. 观念, 概念
"
concession,"n. 特许, 让步, 认可
"
concede,"vt. 承认, 退让
vi. 让步"
confine,"vt. 限制, 使不外出, 禁闭
vi. 邻接, 交界
n. 边缘, 范围, 区域"
confinement,"n. 限制, 被禁闭, 分娩
"
consciousness,"n. 意识, 知觉, 自觉
"
conscious,"a. 有意识的, 知觉的, 觉察的
"
consciously,adv. 自觉地；有意识地
constrain,"vt. 强迫, 限制, 关押"
constraint,"n. 强制, 约束
"
controversy,"n. 论争, 辩论, 论战, 争论
"
controversial,"a. 争论的, 论争的, 被议论的"
convenience,"n. 方便, 便利的事物, 方便的时候"
convenient,"a. 方便的, 合宜的
"
cookery,"n. 烹调法, 烹调术"
cooker,"n. 炊事用具, 炉灶, 锅, 炊具, 烹饪用水果, 窜改者, 伪造者
"
cook,"n. 厨子, 厨师
vt. 烹调, 煮饭, 加热
vi. 在煮着"
county,"n. 县, 郡"
coverage,"n. 覆盖的范围, 保险总额, 新闻报导
"
cradle,"n. 摇篮, 发祥地, 孩提时代
vt. 放在摇篮内, 抚育
vi. 刈割"
crude,"a. 天然的, 未成熟的, 粗糙的, 粗鲁的
n. 天然的物质"
crush,"n. 压碎, 粉碎, 群众, 迷恋
vt. 压破, 征服, 塞, 弄皱, 榨出
vi. 被压碎, 起皱, 挤"
declaration,"n. 宣告, 说明, 宣布
"
declare,"v. 宣布, 声明, 申报, 断言"
decode,"vt. 解码, 译解
"
defence,"n. 防卫, 防卫设备
"
defend,"vt. 防护, 辩护, 防卫
"
defendant,"n. 被告
"
defender,"n. 防卫者, 防护者, 辩护者
"
defensible,"a. 可防卫的, 可防护的, 可辩护的
"
defensive,"a. 防卫的, 防备用的, 自卫的
n. 守势, 防卫姿势, 防卫物"
definite,"a. 明确的, 一定的
"
define,"vt. 定义, 规定, 使明确
"
definition,"n. 定义, 精确度, 清晰度
"
definitely,"adv. 明确无疑地, 清楚地"
definitive,"n. 限定词
a. 限定的, 决定性的"
deforestation,"n. 采伐森林, 森林开伐
"
deforest,"vt. 滥伐森林, 砍掉...上的树林"
democratic,"a. 民主的
"
democracy,"n. 民主政治, 民主主义
"
democrat,"n. 民主人士, 民主主义者, 民主党党员
"
demonstration,"n. 示范, 实证
"
demonstrate,"vt. 示范, 证明
vi. 示威"
demonstrative,"a. 说明的, 指示的"
demonstrator,"n. 论证者, 证明者, 指示者, 示威者
"
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
designation,"n. 指示, 指定, 命名
"
desperate,"a. 不顾一切的, 危急的, 令人绝望的, 极渴望的"
desperately,adv. 拼命地；绝望地；极度地
desperation,n. 绝望
destructive,"a. 毁灭性的, 破坏的, 有害的
"
destroy,"vt. 破坏, 毁坏, 消灭"
destruction,"n. 破坏, 毁灭
"
deteriorate,v. (使)恶化
deterioration,"n. 恶化, 衰退, 退化
"
discharge,"vt. 卸下, 放出, 解雇, 拔染, 履行, 放电
vi. 卸货, 流出
n. 卸货, 流出, 放电"
dismantle,"vt. 拆除...的设备, 分解, 去除覆盖物"
disrupt,"a. 分裂的, 中断的
vt. 使分裂, 使瓦解"
disruption,"n. 分裂, 崩溃, 瓦解"
disruptive,"a. 分裂的, 破坏(性)的
"
dive,"n. 潜水, 跳水
vi. 跳水, 俯冲, 猛冲
vt. 把...突然伸入"
diver,n. 潜水者
dock,"n. 码头, 船坞, 被告席, 尾巴的骨肉部分
vt. 使靠码头, 使(船)进港, 剪短
vi. 进港"
dockyard,"n. 造船厂, 海军工厂"
elaborate,"a. 精细的, 详尽的, 精心计划(或制作)的
vt. 详细地说明, 用心地制作, 发挥
vi. 变复杂, 作详细说明"
elaboration,"n. 苦心经营, 精巧
"
elaborateness,n. 尽心竭力;精巧
endure,"vt. 忍受, 忍耐, 容忍, 耐
vi. (正式)持久, 持续
"
endurance,"n. 忍耐, 忍耐力, 耐性
"
endurable,"a. 可忍受的, 能忍耐的"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
enthusiasm,"n. 巨大的热情, 热心"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
enthusiastically,"adv. 热心地, 狂热地"
enthusiast,"n. 热心家, 狂热者, 爱好者"
episode,"n. 插曲, 插话, 有趣的事件, 一段情节
"
episodic,a. 插曲似的
excursion,"n. 远足, 游览圆, 短程旅行
"
exemplify,"vt. 例证, 例示
"
exemplification,"n. 例证, 范例
"
expenditure,"n. 开支, 费用, 用光, 消费额
"
expense,"n. 费用, 代价, 开支, 损失
"
expend,"vt. 花费, 消耗, 用光"
exterior,"n. 外部, 表面, 外貌
a. 外部的, 外在的, 表面的"
fallow,"n. 休耕地
a. 休耕的, 淡棕色的"
fatigue,"n. 疲乏, 疲劳
vt. 使疲劳, 使心智衰弱
vi. 疲劳
a. 疲劳的"
federal,"a. 联邦的, 联合的, 同盟的
"
federalist,"n. 联邦制拥护者
"
federalism,"n. 联邦制, 联邦主义
"
federation,"n. 联邦, 联合, 联盟
"
fibrous,"a. 纤维的, 纤维性的
"
fibre,"n. 纤维, 构造, 纤维制品
"
flavour,"n. 味, 调味香料, 滋味, 香味, 气味, 风味, 情味, 情趣, 风韵
vt. 给...调味, 给...增添风趣, 加香料, 加味于"
flavouring,n. 调味料
gadget,"n. 小配件, 小玩意, 诡计"
grasp,"n. 把握, 抓紧, 理解, 抓, 柄, 控制
vt. 抓住, 紧握, 领会
vi. 抓"
hail,"n. 冰雹, 致敬, 欢呼, 招呼
vt. 向...欢呼, 致敬, 招呼, 使象下雹样落下
vi. 招呼, 下雹
interj. 万岁, 欢迎"
handful,"n. 少数, 一把, 棘手事"
hazard,"n. 冒险, 危险, 机会
vt. 冒...的危险, 赌运气, 使冒危险
"
hazardous,"a. 危险的, 冒险的, 碰运气的
"
herd,"n. 兽群, 人群, 牧人
vt. 群集, 使成群, 放牧
vi. 聚在一起"
herdsman,"n. 牧人, 牧主"
hockey,"n. 冰球, 曲棍球"
humanity,"n. 人性, 人类, 博爱"
humanist,"n. 人道主义者, 人文学者"
humanism,"n. 人本主义, 人文主义, 人道主义
"
humanitarian,"n. 人道主义者, 博爱者, 基督凡人论者
a. 人道主义的, 博爱的, 凡人论的"
immune,"a. 免疫的, 免除的, 不受影响的
n. 免疫者"
immunity,"n. 免疫, 免疫性, 免除
"
immunisation,n. 免疫(immunization)
impress,"n. 印象, 特征, 印记
vt. 使有印象, 印, 铭刻, 传送, 影响, 强征
vi. 给人印象"
impressive,"a. 给人深刻印象的, 威严的"
impression,"n. 印象, 意念, 盖印, 印记, 印数, 底色, 效果
"
impressionist,"n. 印象主义者, 印象派作家"
inadequate,"a. 不充分的, 不适当的
"
inadequacy,"n. 不适当, 不足之处, 不充分
"
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
inhibit,"vt. 禁止, 抑制
vi. 起抑制作用"
inhibition,"n. 禁止, 抑制, 压抑
"
inhibitor,"n. 禁止者, 抑制人, 抑制物, 抑制因素, 抑制剂, 阻化剂
"
inquiry,"n. 质询, 探索, 调查, 询盘
"
inquire,"v. 询问, 问明, 查究"
insulate,"vt. 使绝缘, 隔离
"
insulation,"n. 绝缘；隔离, 孤立"
insulator,"n. 绝缘体, 从事绝缘工作的工人
"
intricately,"adv. 杂乱地, 复杂地; 难懂地"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
intricacy,"n. 纷乱, 复杂, 错综"
intuition,"n. 直觉, 直觉的知识"
intuitive,a. 直觉的
intuitively,[计] 直觉地
invader,"n. 侵略者
"
invade,"vt. 侵入, 拥入, 侵略, 侵袭
"
invasion,"n. 侵犯, 侵入, 侵害
"
investigator,"n. 调查者, 审查者
"
investigate,"v. 调查, 审查"
investigative,"a. 审查的, 调查的, 好研究的
"
investigation,"n. 调查, 审查
"
isolation,"n. 隔绝, 孤立, 隔离
"
isolate,"vt. 使隔离, 使孤立, 使绝缘
n. 隔离种群"
itinerary,"n. 旅程, 旅行指南, 游记
a. 巡回的, 旅程的"
landlord,"n. 房东, 地主
"
landlady,"n. 女房东, 女地主"
leak,"n. 漏洞, 漏处, 漏出, 泄漏
vi. 漏, 泄漏
vt. 使渗漏"
leakage,"n. 漏, 漏出物, 泄漏
"
leaky,"a. 有漏洞的, 易泄漏秘密的, 爱哭的
"
leap,"n. 跳跃, 剧增, 急变, 被越过之物
vi. 跳跃, 突然经过
vt. 跃过, 使跃过"
lifespan,n. 预期生命期限；寿命；预期使用期限
likelihood,"n. 可能, 可能性"
likely,"a. 有可能的, 合适的, 前途有望的
adv. 或许, 可能"
litter,"n. 垃圾, 杂乱, 轿, 担架
vt. 乱丢, 铺草, 弄乱
vi. 产仔, 乱丢垃圾"
log,"n. 记录, 圆木, 日志, 计程仪
vt. 伐木, 切, 航行
vi. 伐木
"
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
magical,"a. 魔术的, 有魔力的, 不可思议的"
magician,"n. 魔术家, 幻术家, 术士"
malaria,"n. 疟疾, 瘴气
"
manipulate,"vt. 操纵, 利用, 操作, 巧妙地处理, 假造"
manipulation,"n. 操作, 处理
"
manual,"n. 手册, 指南
a. 手的, 手动的, 手工的, 体力的
"
menace,"n. 威胁, 胁迫
v. 威吓, 胁迫"
merchandising,"[经] 商品销售, 商品学, 推销"
meteorological,"a. 气象的, 气象学的"
meteorology,"n. 气象学, 气象状态
"
mimic,"a. 模仿的, 摹拟的
n. 效颦者, 模仿者, 小丑, 仿制品
vt. 模仿, 摹拟"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
monoculture,"n. 单一栽培, 单作
"
mundane,"a. 现世的, 世俗的, 宇宙的"
municipal,"a. 市政的, 自治区的, 内政的
"
municipality,"n. 自治区, 市当局, 市民
"
navigate,"vi. 航行
vt. 航行于, 驾驶, 操纵, 使通过"
navigator,"n. 航海家
"
navigable,"a. 可航行的, 可通船的, 适于航行的
"
navigation,"n. 航行, 航海, 导航
"
neighbourhood,"n. 邻接, 周围, 附近一带, 邻近, 邻居关系, 地区, 街道, 街坊, 四邻
"
neighbour,"n. 邻居, 邻接的东西, 邻国, 邻座, 邻人, 世人
a. 邻接的, 邻近的
vi.vt. 邻近, 与...结邻, 邻接"
nerve,"n. 精神, 勇气, 叶脉, 神经
vt. 鼓起勇气"
nervous,"a. 神经紧张的, 不安的, 神经的
"
notable,"n. 著名人士, 值得注意之事物
a. 值得注意的, 显著的"
notably,"adv. 显著地, 著名地, 尤其, 特别"
offspring,"n. 子孙, 后代, 产物
"
Olympic,"a. 奥林匹亚的, 奥林匹斯山的, 强有力的, 巨大的"
Olympics,n. 奥林匹克运动会
operational,"a. 操作的, 运作的
"
operate,"v. 操作, 运转, 动手术, 活动"
operation,"n. 操作, 动作, 手术, 运算, 作用, 业务
"
operator,"n. 操作员, 行家, 经纪人, 算子, 运算符
"
operative,"a. 动作的, 运转的, 有效的, 关键的, 手术的
n. 技工, 侦探"
opposition,"n. 反对, 敌对, 相反, 在野党
"
oppose,"vt. 反对, 以...对抗, 抗争
vi. 反对"
opposite,"a. 相对的, 相反的, 对面的
prep. 对面
n. 对立面"
optical,"a. 眼睛的, 视觉的, 光学的
"
optician,"n. 光学仪器商, 眼镜商, 光学仪器制造厂
"
optics,"n. 光学
"
orbit,"n. 轨道, 常轨, 眼眶
vt. 绕...轨道而行
vi. 进入轨道, 盘旋"
orbital,"a. 轨道的, 眼眶的
"
outlay,"n. 费用, 经费, 支出
vt. 花费"
overweight,"n. 超过重量, 过重, 优势
a. 超过重量的, 超重的
vt. 使超重, 重于, 过于重视"
overwhelming,"a. 压倒性的, 无法抵抗的"
overwhelmingly,"adv. 压倒性地, 不可抵抗地"
overwhelm,"vt. 淹没, 受打击, 制服, 压倒, 使不知所措
"
owe,"vt. 亏欠, 负...债, 归功于, 怀有, 应给予, 感恩
vi. 欠钱"
pace,"n. 速度, 步调, 步法
vi. 踱步, 缓慢走
vt. 用步测, 踱步于"
parallel,"n. 平行, 对比, 相匹敌之物
a. 平行的, 相似的
vt. 与...平行, 与...相似, 相比, 使平行
"
password,"n. 密码, 口令, 通行手段
"
plausible,"a. 貌似真实的, 貌似合理的, 说得煞有其事的
"
plausibly,adv. 似真地
plausibility,"n. 似有道理, 貌似可信
"
pliable,"a. 易弯的, 柔顺的, 圆通的"
portable,"a. 可携带的, 可搬运的, 可移动的
"
port,"n. 港口, 埠, 舱门, 避风港, 左舷, 炮眼, 姿势, 意义
vt. 左转舵, 持(枪)
vi. 左转舵
"
porter,"n. 大楼管理员, 门房, 搬运工人, 侍者, 服务员
"
possession,"n. 拥有, 占有, 所有, 财产, 领土, 领地, 自制, 着迷
"
