appropriate,"a. 适当的
"
irreparable,"a. 不能修补的, 不能挽回的
"
dab,"n. 少量, 轻拍, 比目鱼, 熟手
v. 轻拍, 轻擦"
efface,"vt. 抹去, 消除, 忘却"
obliterate,"vt. 擦去, 冲刷(掉), 消灭, 忘掉, 盖销(邮票等)
"
indelible,"a. 难以消除的, 不能拭除的, 难忘的"
corrode,"vt. 使腐蚀, 侵蚀, 破坏
vi. 被侵蚀, 起腐蚀作用"
etch,"vt. 蚀刻, 蚀镂
vi. 施行蚀刻法
n. 腐蚀剂
"
chisel,"n. 凿子
v. 凿, 刻, 雕凿, 欺骗"
recompense,"n. 报偿, 酬金, 赔偿
vt. 报偿, 赔偿, 报酬"
remunerate,"vt. 给与报酬, 赔偿, 酬劳"
reparation,"n. 补偿, 赔偿, 弥补, 修复, 修理
"
redress,"n. 赔偿, 补救, 矫正
vt. 纠正, 赔偿, 救济"
indemnify,"vt. 赔偿, 补偿, 保护, 保障
"
reimburse,"vt. 付还, 偿还, 赔偿
"
solvent,"n. 溶剂
a. 有偿付能力的, 有溶解力的"
surcharge,"n. 装载过多, 超载, 追加罚款, 附加税
vt. 使装载过多, 追加罚款, 收附加税"
undercharge,"vt. 对...索价过低, 未装足够弹药, 对...充电不足
n. 低的索价, 不够量的装填"
profiteer,"n. 获暴利的人, 奸商
vi. 获暴利, 赚大钱"
dividend,"n. 被除数, 股利
"
stoppage,"n. 停止, 中止, 阻塞, 阻碍, 堵塞, 故障, 停付, 扣除, 扣留, 停工, 罢工
"
fiscal,"a. 财政的, 国库的
"
debit,"n. 借方, 借
vt. 记入借方"
mercantile,"a. 商业的, 商人的
"
broke,"a. 一文不名的
break的过去式"
apprehend,"vt. 理解, 忧虑, 逮捕
vi. 担心, 理解"
misapprehend,"vt. 误会, 误解"
decipher,"vt. 译解, 解释
n. 密电译文"
perceptive,"a. 知觉的, 有知觉力的, 感知的
"
perceptible,"a. 可察觉的, 能感觉得到的, 看得见的"
flair,"n. 鉴别力, 才能, 天资, 资质, 眼光"
inborn,a. 天生的；先天的
explicable,"a. 可说明的, 可解释的"
inexplicable,"a. 不能说明的, 不能解释的, 费解的"
impromptu,"n. 即席演出, 即兴曲
a. 即席的
adv. 即席"
instantaneous,"a. 即时的, 瞬间的, 猝发的
"
improvise,"vt. 即席创作, 临时做"
collate,"vt. 校对, 校勘
"
emend,"vt. 修订, 校勘"
revamp,"vt. 换新鞋面, 修理, 修补, 修改
"
rectify,"vt. 订正, 矫正, 改正, 调正, 校正, 精馏, 整流
"
excise,"n. (烟、酒等)消费税, 货物税, 国产税
vt. 切除"
expurgate,"vt. 删除, 修订, 使纯洁"
expunge,"vt. 擦掉, 删掉, 除去"
spatial,"a. 空间的, 受空间条件限制的, 占地位的
"
configuration,"n. 结构, 表面配置, 外形, 配置
"
tarnish,"n. 失泽, 失泽膜, 污点
vt. 使失去光泽, 玷污
vi. 失去光泽, 被玷污"
oxidize,"vt. 使氧化, 使生锈
vi. 氧化"
galvanise,"vt. 通电流于, 给...镀锌, 电镀, 刺激, 使兴奋, 激动, 激励, 惊起"
galvanize,"vt. 通电, 镀锌, 使...感到震惊"
adorn,"vt. 装饰, 使生色"
embellish,"vt. 修饰, 装饰, 润色"
festoon,"n. 花彩
vt. 结彩于"
refurbish,"vt. 再磨光, 刷新"
plaster,"n. 石膏, 灰泥, 安慰(缓解)用品, 膏药
vt. 涂以灰泥, 敷以膏药, 掩饰, 使平服, 彻底击败, 减轻, 粘贴"
whitewash,"n. 白色涂料, 粉饰, 得零分的惨败"
lacquer,"n. 瓷漆, 漆, 漆器
vt. 涂漆"
glaze,"n. 釉, 上光, 光滑面
vt. 装以玻璃, 上釉于
vi. 变得光滑, (目光)变呆滞"
upholster,"vt. 为(沙发等)装上垫, 装饰, 装璜"
rivet,"n. 铆钉
vt. 用铆钉固定, 敲进去, 注目, 吸引住"
clinch,"n. 钉牢
v. 敲弯, 用臂钳住"
fixture,"n. 固定(状态), 固定物, 设备
"
cobble,"n. 圆石, 鹅卵石
vt. 铺鹅卵石, 修, 粗粗地修补"
tinker,"n. 补锅匠, 会做各种修补活计的人
vi. 做焊锅匠, 笨拙的修补
vt. 修补"
shoddy,"a. 用长弹毛做的, 以次充好的
n. 长弹毛, 软再生毛, 赝品"
conversant,"a. 熟悉的, 亲近的, 有交情的"
adroit,"a. 灵巧的, 敏捷的, 聪明的"
deft,"a. 敏捷熟练的, 灵巧的"
nimble,"a. 敏捷的, 伶俐的, 聪明的"
omniscient,"a. 全知的, 无所不知的
n. 无所不知者, 上帝"
callow,"a. 年轻而无经验的, (鸟)羽毛未丰的
"
infantile,"a. 婴儿的, 幼稚的, 初期的
"
feebleminded,"a. 低能的, 精神薄弱的, 意志薄弱的"
tact,"n. 机智, 手法, 老练
"
slick,"a. 光滑的, 熟练的, 聪明的, 华而不实的, 老套的, 陈腐的
adv. 灵活地, 聪明地
vt. 使光滑, 使漂亮
vi. 打扮整洁
n. 光滑平面, 平滑器, 修光工具"
canny,"a. 精明的, 谨慎的, 节约的"
nab,"vt. 捉住, 逮捕, 抢夺
"
procure,"vt. 获得, 取得, 导致
vi. 拉皮条"
scrounge,"vt. 乞讨, 搜寻
vi. 东张西望, 搜寻, 乞讨"
despoil,"vt. 夺取, 掠夺"
rend,"vt. 分裂, 劈开, 强夺, 撕碎, 划破
vi. 撕开, 裂开"
usurp,"vt. 篡夺, 侵占, 夺取
vi. 篡夺, 侵占"
predatory,"a. 掠夺成性的, 捕食生物的, 掠夺的
"
maul,"n. 大槌
vt. 打伤, 粗手粗脚地摆弄, 抨击"
fester,"vi. 溃烂, 生脓
vt. 使溃烂
n. 脓疮, 溃烂"
forsake,"vt. 放弃, 断念, 抛弃
"
forgo,"vt. 摒绝, 放弃"
forego,"vt. 放弃, 在...之前, 居先"
chuck,"n. 抚弄, 赶走, 抛掷, 咯咯声, 颈肉, 卡盘
vt. 轻拍, 抛掷, 驱逐, 丢弃, 用卡盘夹住
vi. 咯咯叫"
waive,"vt. 不坚持要求, 放弃, 推迟考虑, 丢弃
"
renunciation,"n. 放弃, 废弃, 弃权, 脱离关系
"
relinquish,"vt. 放弃, 撤回, 停止, 松开, 让与
"
abdicate,"vt. 正式放弃
vi. 退位, 退出, 辞职"
domain,"n. 领域, 领土, 产业, 范围
"
tenure,"n. 享有, 保有期
"
accede,"vi. 同意, 正式加入, 就任, 继任"
induct,"vt. 引导, 使入门, 引入, 使就职"
ordain,"vt. 注定, 规定, 任命
vi. 颁布命令"
incoming,"a. 进来的, 刚开始的, 新来的
n. 进来"
outgoing,"n. 外出, 开支, 流出
a. 喜欢外出的, 即将离职的, 乐于助人的"
incumbent,"a. 现任的, 依靠的, 负有义务的
n. 领圣俸者, 在职者"
feckless,"a. 无效的, 无能的, 不负责任的"
supersede,"vt. 代替, 取代, 接替
"
plenipotentiary,"n. 全权大使, 全权代表
a. 有全权的, 全权代表的"
enthrone,"vt. 立...为王, 使登基, 任为主教, 崇拜"
intern,"n. 实习生, 被拘留者
vi. 作实习医师(教师、实习生)
vt. 拘留, 扣留"
superintend,"v. 指挥, 管理, 监督"
invigilate,"vi. 看守, 监考"
vicarious,"a. 代理的, 代用的, 替代的
"
matriculate,"vt. 准许入学, 录取
vi. 入学, 进大学
n. 获准入学者"
adjudicate,"v. 判决, 宣告, 裁定"
umpire,"n. 裁判员, 仲裁人
vt. 对...进行仲裁, 当...的裁判
vi. 当裁判"
flunk,"n. 失败, 不及格
vi. 失败, 考试不及格, 放弃
vt. 使不及格"
perjury,"n. 伪誓, 伪证, 背信弃义
"
perpetrate,"vt. 做(恶), 犯(罪), 胡说, 恶劣地做
"
poach,"vt. 水煮(蛋), 偷猎, 侵入, 窃取
vi. 偷猎, 陷入泥中"
malpractice,"n. 不当治疗, 不端行为, 渎职
"
depose,"vt. 免职, 废黜, 作证
vi. 作证, 供证"
extradite,"vt. 引渡, 获取(逃犯等)的引渡
"
probation,"n. 鉴定, 查验, 证明, 试用, 察看, 缓刑
"
plead,"vi. 辩护, 恳求
vt. 为...辩护, 提出...借口, 托称, 恳求"
incriminate,"vt. 连累, 暗示...有罪, 控告
"
indict,"vt. 起诉, 控告, 指控
"
intercession,"n. 仲裁, 调解, 说情
"
exonerate,"vt. 免除, 证明无罪
"
acquit,"vt. 无罪释放, 表现, 使履行
"
oncoming,"a. 接近的, 即将到来的, 新兴的
n. 来临"
pending,"a. 未决定的, 待决的, 行将发生的, 向外伸出的
prep. 在等待...之际, 直到...时为止, 在...期间, 在...过程中"
impending,"a. 即将发生的, 迫切的, 悬空的
"
ensue,"vi. 跟着发生, 继起
vt. 追求"
befall,v. 降临(于)
incur,"vt. 招致, 蒙受, 遭遇
"
engender,"vt. 产生, 引起
vi. 发生, 形成"
flog,"vt. 鞭打, 鞭策, 严厉的批评, 迫使"
swipe,"n. 强打, 用力挥击, 尖刻的话, 碰擦, 起重杆
vt. 强打, 用力挥击, 偷"
slug,"n. 鼻涕虫, 刺蛾, 懒汉, 弹丸, 金属小块, 重击
vi. 偷懒, 动作迟缓
vt. 重击"
bash,"v. 猛击, 打坏
n. 猛撞, 猛击"
snipe,"n. 沙锥, 香烟屁股, 狙击, 街头流浪儿
vi. 猎鸟, 狙击, 诽谤
vt. 狙击"
swoop,"n. 俯冲, 攫取
vt. 抓取
vi. 猛扑, 突然袭击"
pounce,"n. 猛扑, 爪
vi. 猛扑, 突袭
vt. 扑住"
assail,"vt. 攻击, 质问
"
thump,"n. 重打, 重击声
v. 重打, 撞击, 痛打"
jab,"v. 刺, 戳, 猛击
n. 刺, 戳, 猛击"
lunge,"n. 刺, 刺进, 跃进, 套马索
v. 突进, 刺"
duff,"n. 水果干布丁, 细煤, 煤屑, 无用的东西
vt. 把...弄得像新的一样, 把...改头换面"
feint,"n. 伪装, 假装, 假托, 佯攻
vi. 装作, 假装, 佯攻
a. 假的, 虚饰的"
percussion,"n. 敲打, 碰撞, 叩击, 叩诊, 击发, 打击, 打击乐器组
"
flout,"vt. 嘲笑, 愚弄
vi. 表示轻蔑
n. 嘲笑, 愚弄, 轻视"
antagonize,"vt. 使对抗, 使敌对, 反对
vi. 引起反抗"
succumb,"vi. 屈从, 屈服, 死"
condescend,"vi. 谦逊, 屈就, 堕落"
capitulate,"vi. (有条件)投降
"
acquiesce,"vi. 默许, 默然同意"
endorse,"vt. 支持, 赞同, 背书于, 签署
"
assent,"n. 赞成
vi. 同意"
deprecate,"vt. 声明不赞成, 抗议, 反对
"
pro,"adv. 正面地
"
repudiate,"vt. 声明离婚, 拒绝, 拒付, 拒绝履行
"
disavow,"vt. 否认, 否定, 拒绝对...承担责任
"
disclaim,"v. 放弃, 弃权, 拒绝承认"
negate,"vt. 否定, 否认, 取消
"
override,"vt. 推翻, 无视, 对...有最后发言权, 制服, 践踏, 奔越过
"
fortify,"vt. 设要塞于, 加强, 使坚强, 增加
vi. 筑防御工事"
espouse,"vt. 支持, 赞成, 嫁, 娶
"
hamper,"n. 食篮, 阻碍物, 食盒
vt. 阻碍, 使困累, 妨碍, 牵制"
retard,"n. 阻止, 延迟
vt. 妨碍, 延迟, 使减速
vi. 减速, 延迟"
requisite,"n. 必需品, 要素, 必要物品
a. 必要的, 需要的"
gratuitous,"a. 免费的, 无理由的
"
irreducible,"a. 不能复归的, 不能削减的, 不可约的
"
redundant,"a. 多余的, 过多的, 冗长的
"
inordinate,"a. 过度的, 紊乱的, 过分的"
gag,"n. 箝口物, 箝制言论, 讨论终结
vt. 阻塞, 压制言论自由, 使窒息, 使呕吐, 插科打浑, 欺骗
vi. 窒息, 作呕, 欺骗, 插科打浑"
smother,"vt. 使喘不过气, 使窒息, 闷熄, 忍住, 抑制, 覆盖
vi. 窒息, 被抑制
n. 浓烟, 窒息状态, 杂乱无章"
throttle,"n. 节流阀, 节气阀, 喉咙
vt. 扼喉咙, 使窒息, 压制, 使节流
vi. 窒息, 节流, 减速"
lynch,"n. 私刑, 私罚
vt. 处以私刑处死, 加私刑"
crucify,vt. 十字架上钉死
behead,"vt. 斩首, 砍头"
exterminate,"vt. 扑灭, 消灭, 根绝"
annihilate,"vt. 消灭, 废止"
liquidate,"vt. 偿付, 清算, 扫除, 整理, 变卖, 消灭
vi. 清算, 清理"
purge,"n. 净化, 清除, 泻药
v. (使)净化, 清除, (使)通便
"
ruinous,"a. 破坏性的, 招致毁灭的"
extricate,"vt. 使解脱, 救出"
salvage,"n. 海上救助, 抢救, 打捞, 抢救出来的财物
vt. 海上救助, 抢救, 打捞, 营救
"
cramp,"n. 痉挛, 腹部绞痛, 铁夹钳
a. 狭窄的, 难认的
vt. 使抽筋, 以铁箍扣紧, 束缚"
spasm,"n. 痉挛, 抽搐, 发作
"
twitch,"vi. 急拉, 抽搐, 阵痛
vt. 急拉, 攫取, 抽动
n. 急拉, 抽搐, 阵痛"
convulse,"vt. 使震动, 使震撼, 使抽搐"
waddle,"vi. 摇摇摆摆地走, 蹒跚而行
n. 蹒跚"
hobble,"vi. 蹒跚
vt. 使跛行, 阻碍
n. 跛行"
shamble,"vi. 蹒跚地走, 摇摇晃晃地走, 摇晃不稳
n. 蹒跚"
totter,"vi. 蹒跚, 动摇
n. 蹒跚的步子"
lurch,"n. 惨败, 倾斜, 挫折, 举步蹒跚, 徘徊
vi. 惨败, 倾斜, 徘徊
vt. 击败"
wobble,"n. 摆动, 摇晃, 不稳定, 抖动
vi. 摇晃, 摇摆, 游移不定
vt. 使摇摆, 使颤动"
slither,"vi. 不稳地滑动
vt. 使滑动"
jolt,"n. 震摇, 摇动, 颠簸
vi. 颠簸而行, 震摇
vt. 使颠簸, 使慌张, 猛击"
skid,"vt. 刹住, 滚滑
vi. 打滑
n. 刹车, 滑动垫木"
meander,"n. (河流的)蜿蜒, 漫步, 迂回旅行
vi. 蜿蜒流动, 漫步
vt. 使蜿蜒曲折"
rove,"n. 徘徊, 粗纺, 流浪
vt. 漂泊于, 漫游于
vi. 流浪, 飘忽不定
reeve的过去式和过去分词"
dawdle,"v. 游手好闲, 混日子"
loiter,"v. 闲荡, 虚度, 徘徊"
muck,"n. 垃圾, 肥料
vt. 施肥, 弄脏, 弄糟
vi. 搬运矸石"
tarry,"vi. 耽搁, 逗留, 留住, 等候
n. 逗留
a. 涂了焦油的"
defer,"vi. 推迟, 延期, 听从
vt. 使推迟, 使延期"
protracted,a. 拖延的
straddle,"n. 跨坐, 观望
v. 跨坐, 两腿叉开坐, 观望"
slouch,"n. 没精打采的样子, 耷拉, 笨人
vi. 没精打采地走, 耷拉着
vt. 使低垂"
loll,"vi. 懒散地闲荡, 垂下头, 伸舌
vt. 垂, 伸, 靠着"
painstaking,"n. 辛苦, 苦心, 工夫
a. 辛苦的, 勤勉的, 小心的"
wade,"vi. 跋涉
vt. 涉水
n. 跋涉, 浅滩"
trundle,"n. 小车轮, 脚轮, 滚动
vi. 滚动, 移动, 投球
vt. 使滚动, 使移转"
clump,"n. 丛, 块, 笨重的脚步声
"
sidle,"v. 横着走, 悄悄贴近, 侧身而行
n. 侧走, 挨近"
slink,"vi. 鬼鬼祟祟地走, (动物)早产
vt. 早产
n. 鬼鬼祟祟的人, 早产的动物
a. 早产的"
jaywalk,vi. 乱穿马路
strut,"n. 高视阔步, 支柱, 压杆
vi. 趾高气扬地走, 肿胀
vt. 用支柱支撑, 炫耀"
swagger,"n. 大摇大摆, 吹牛, 妄自尊大, 威吓
vi. 虚张声势吓人, 大摇大摆, 吹牛
vt. 吓唬, 恫吓
a. 漂亮的, 时髦的"
pretentious,"a. 自负的, 自命不凡的, 夸耀的"
cocky,"a. 骄傲的, 自大的, 太过自信的"
snooty,"a. 傲慢的, 自大自满的, 鄙视别人的"
imperious,"a. 专横的, 傲慢的, 迫切的
"
highhanded,"a. 高压的,专横的"
domineer,"vi. 跋扈, 作威作福
vt. 盛气凌人"
headstrong,"a. 顽固的, 刚愎的, 任性的"
intransigent,"a. 非妥协性的
n. 不妥协的人"
meek,"a. 温顺的, 逆来顺受的"
servile,"a. 奴隶的, 奴性的, 卑屈的"
grovel,"vi. 趴, 匍匐, 卑躬屈膝"
enslave,"vt. 奴役, 束缚, 使受控制, 征服"
midget,"n. 侏儒
a. 小型的"
barter,"n. 物物交换, 实物交易
v. 物物交换, 交换"
haggle,"vi. 争论, 杀价
vt. 乱砍, 乱劈
n. 杀价, 讨论, 争论"
confer,"vt. 授予, 带来
vi. 协商"
squabble,"vi. 争吵, 口角
n. 争吵, 口角"
quibble,"n. 遁词, 双关语
vi. 吹毛求疵, 争吵, 说模棱两可的话
vt. 对...诡辩"
dissension,"n. 意见不合, 纠纷, 争吵
"
diverge,"vi. 分歧, 岔开
vt. 使岔开"
bicker,"vi. 斗嘴, 潺潺而流, 闪动
n. 口角, 流水声"
hassle,"n. 激烈而持久的争论
vi. 争论
vt. 与...争辩, 使烦恼"
spar,"n. 晶石, 圆材, 拳斗, 争论
vt. 装圆材于
vi. 拳斗, 争论"
nudge,"n. 用肘轻推, 推动, 讨厌家伙"
jostle,"n. 推挤, 冲撞
vi. 推挤, 冲撞
vt. 推, 挤, 煽动"
shove,"n. 推, 挤
vt. 推挤, 猛推, 强使
vi. 推"
seethe,"vi. 冒泡, 沸腾
vt. 使煮沸, 使浸透
n. 翻腾"
squash,"n. 挤压, 压碎的东西, 南瓜属植物, 拥挤的人群
vt. 压扁, 镇压, 压制
vi. 被压扁, 发溅泼声, 挤入"
unnerve,"vt. 使失去勇气, 使胆怯, 使不能自制
"
faze,"vt. 打扰, 折磨, 使狼狈"
dumfound,"vt. 使说不出话来, 使惊呆"
dumbfound,vt. 使...惊讶得发呆
gruesome,"a. 可怕的, 令人毛骨悚然的, 阴森的"
horrific,"a. 令人毛骨悚然的, 感到恐惧的"
horrid,"a. 可怕的, 极讨厌的, 毛骨悚然的"
grisly,"a. 可怕的, 厉害的, 令人畏惧的"
awesome,"a. 引起敬畏的, 可怕的"
auspicious,"a. 吉兆的, 幸运的"
disconcert,"vt. 使困惑, 使仓皇失措, 打乱(计划等)"
blanch,"vt. 漂白, 使变白
vi. 发白"
quail,"n. 鹌鹑
vi. 胆怯, 畏缩"
quiver,"n. 震动, 颤抖, 箭袋
vi. 颤抖, 振动
vt. 使颤动
a. 敏捷的"
tremor,"n. 震动, 颤动
"
throb,"n. 跳动, 搏动
vi. 博动, 抽动, 颤动"
afflict,"vt. 使苦恼, 折磨"
irk,"vt. 使厌倦, 使苦恼"
vex,"vt. 使烦恼, 使苦恼
vi. 烦恼"
harass,"vt. 使困扰, 使烦恼, 折磨"
molest,"vt. 妨碍, 干扰, 调戏
"
overshadow,"vt. 遮阴, 使阴暗, 使失色, 使相形见绌, 使蒙上阴影"
baffle,"vt. 困惑, 为难, 使挫折
vi. 徒作挣扎
n. 迷惑, 挡板"
bog,"n. 沼泽
vt. 使陷于泥沼
vi. 陷于泥沼"
trying,"a. 难受的, 难堪的
"
distraught,"a. 烦恼的, 心烦意乱的, 发狂的"
fraught,"a. 含有...的, 伴着...的, 充满...的"
fidget,"vi. 坐卧不安, 摆弄
vt. 使烦乱, 使不安
n. 烦躁不安, 坐立不安的人"
feverish,"a. 发热的, 极度兴奋的, 不安的"
strenuous,"a. 奋发的, 费劲的, 艰苦的"
backbreaking,a. 非常辛劳的
fiddly,"a. 需要手巧的, 要求高精度的"
assiduous,"a. 勤勉的, 刻苦的"
studious,"a. 爱好学问的, 用功的, 勤学的, 故意的"
indolent,"a. 懒惰的, 无痛的
"
hyperactive,"a. 活动过度的
"
hector,"n. 威吓者, 虚张声势的人
vt.vi. 说大话, 吓唬, 折磨, 愚弄"
spook,"n. 幽灵, 鬼
vt. 惊吓, 鬼怪般地出没
vi. 惊吓而逃窜, 受惊"
blackmail,"n. 勒索
vt. 勒索"
extort,"vt. 勒索, 敲诈, 强要
"
coerce,"vt. 强制, 强迫"
compulsion,"n. 强迫, 强制
"
inflict,"vt. 施以, 加害, 使承受
"
foist,"vt. 硬卖给, 偷偷插入, 使混入"
incite,"vt. 刺激, 激励, 引诱
"
agitate,"vt. 使摇动, 搅动, 使激动, 使不安
vi. 鼓动, 煽动"
incendiary,"a. 放火的, 煽动的, 燃烧的
n. 纵火犯人, 煽动者, 燃烧弹"
stoke,"v. 司炉, (使)大吃"
infuriate,"a. 狂怒的
vt. 激怒"
inflame,"vt. 激怒, 点火, 激起
vi. 着火, 激动, 发炎"
enrage,"vt. 激怒, 使暴怒"
madden,"vt. 使发狂, 激怒
vi. 发狂, 发怒"
sulk,"n. 闹情绪, 闷闷不乐
vi. 不高兴, 闷闷不乐, 不悦, 生气, 愠怒"
scowl,"n. 愁容, 阴沉脸色
vi. 皱眉, 绷着脸
vt. 怒视"
hacked,生气
livid,"a. 铁青的
"
exhilarate,"vt. 使高兴, 使愉快, 鼓励"
gratify,vt. 使满足
electrify,"vt. 通电, 上电, 使带电, 使电气化
"
gloat,"vi. 满足地看, 幸灾乐祸, 贪婪地盯视
n. 贪婪的盯视, 满足的注视, 幸灾乐祸"
peek,"vi. 偷看, 窥视
n. 偷看, 看一眼"
gape,"n. 裂口, 张嘴, 打哈欠
vi. 裂开, 张嘴, 打哈欠"
goggle,"n. 眼睛瞪视, 护目镜
a. 突出的, 瞪眼的
vi. 瞪眼看, 眼珠转动
vt. 使瞪眼, 使眼珠转动"
squint,"n. 斜视眼, 斜着
a. 斜视的
vt. 使变斜视眼
vi. 斜视, 倾向, 斜行"
flinch,"vi. 畏缩, 退缩, 畏首畏尾
n. 退缩, 弗林奇戏"
wince,"n. 畏缩, 退避
vi. 畏缩, 退缩, 退避"
boggle,"vi. 犹豫, 踌躇, 吃惊, 搪塞
vt. 搞坏
n. 犹豫, 吃惊"
dither,"n. 发抖, 兴奋
vi. 发抖"
balk,"n. 障碍, 错误, 失败
vt. 阻止, 错过, 推诿
vi. 逡巡不前"
waver,"n. 动摇, 踌躇, 挥动者
vi. 摇摆, 颤抖, 摆动, 摇曳, 犹豫"
cringe,"n. 畏缩, 奉承
vi. 畏缩, 抖缩, 阿谀"
scruple,"n. 踌躇, 犹豫, 微量
vi. 踌躇, 有顾忌"
uncanny,"a. 怪诞的, 可怕的, 离奇的, 神秘的"
whimsical,"a. 怪念头多的, 反复无常的, 古怪的, 异想天开的"
grotesque,"n. 奇异风格, 怪异图案
a. 奇怪的, 可笑的"
eerie,"a. 怪诞的, 可怕的, 奇异的, 令人迷惑不解的"
freak,"n. 畸形人, 畸形物, 不正常的事物, 反复无常
a. 奇异的, 反常的"
enigma,"n. 谜, 费解的事物"
spurious,"a. 假造的, 伪造的, 欺骗的
"
fallacious,"a. 使人误解的, 谬误的, 不合理的, 骗人的"
blunder,"n. 大错, 大失策
vi. 失策, 跌跌撞撞地走, 犯错
vt. 做错"
lapse,"n. 过失, 流逝, 失效
vi. 犯错, 堕落, 减退, 消失, 流逝
vt. 使失效"
fallible,"a. 易错的, 可能犯错的"
miscarriage,"n. 失败, 误送, 流产
"
misplace,vt. 放错地方
foolproof,"a. 十分简单的, 十分安全的"
infallible,"a. 绝无错误的, 绝对可靠的
n. 一贯正确的人"
deify,"vt. 奉为神, 奉若神明, 崇拜"
sanctify,"vt. 使神圣, 奉献给神, 使成为神圣之物"
incense,"n. 香, 香气, 奉承
vi. 焚香
vt. 用香焚, 使发怒"
impious,"a. 无信仰的, 不敬神的, 不虔诚的, 不孝的"
temporal,"a. 时间的, 暂时的, 现世的, 世俗的, 颞的, 太阳穴的
n. 世间万物, 教会财产"
mundane,"a. 现世的, 世俗的, 宇宙的"
pastoral,"n. 牧歌, 田园诗
a. 牧人的, 田园生活的, 牧师的, 田园式的"
agnostic,n. 不可知论者
herewith,"adv. 同此, 用此方法"
hereto,"adv. 到此为止, 关于这个
"
heretofore,"adv. 直到此时, 此时以前, 迄今"
herein,"adv. 在此处, 如此"
hereof,"adv. 于此, 关于此点"
henceforth,"adv. 自此以后, 今后"
hereafter,"n. 将来, 来世
adv. 此后, 将来, 来世"
hereby,"adv. 因此, 据此"
therewith,"adv. 随即, 与此, 此外"
thereto,"adv. 往那边, 到那"
therein,"adv. 在其中, 在那里, 在那一点上"
thereupon,"adv. 在其上, 关于那, 因此, 由此, 随即, 于是, 立即
"
nonetheless,"conj. 然而, 尽管, 不过
adv. 不过, 仍然, 尽管如此, 然而"
notwithstanding,"adv. 虽然, 尽管
prep. 尽管
conj. 虽然"
insomuch,"adv. 到这样的程度, 如此地, 因为, 由于"
insofar,adv. 在...的范围
inmost,"a. 心底的, 内心深处的"
hindmost,"a. 最后面的, 最后部的"
in-depth,"na. 广泛
"
endways,adv. 末端朝上地
ajar,"a. 微开的, 半开的, 不和谐的
adv. 微开, 半开, 不协调地"
abreast,"adv. 并肩地, 并列地"
forefront,"n. 最前部, 最前线"
foreground,"n. 前景, 最显著的位置
"
forewarn,vt. 预先警告
forebode,"v. 预示, 预兆, 预感"
foreshadow,"vt. 成为前兆, 预示"
foreknowledge,"n. 预知, 先见之明"
forethought,"n. 事先的考虑, 事先的筹划, 深虑, 先见
"
forerunner,"n. 先驱, 前兆"
harbinger,"n. 通告者, 预告者, 先驱, 预兆
vt. 预告, 充做...的前驱"
foretaste,"vt. 预尝, 先试
n. 先尝, 预示"
