abscissa,"n. 横坐标
"
descend,"vi. 下降, 世代相传, 屈尊, 袭击
vt. 下降"
decimate,"vt. 每十人杀一人, 大批杀害"
devastate,"vt. 毁坏
"
dismantle,"vt. 拆除...的设备, 分解, 去除覆盖物"
spoil,"n. 战利品, 赃物, 奖品, 变质, 次品
vt. 损坏, 破坏, 溺爱
vi. 腐坏, 掠夺"
spoilage,"n. 变质, 糟蹋, 损耗, 损坏
"
tatter,"n. 破布条, 破衣服, 梭编工人
vt. 把...扯碎
vi. 变破烂"
undermine,"vt. 在...下面挖, 渐渐破坏, 暗地里破坏
"
violate,"vt. 违犯, 亵渎, 违反, 侵犯, 妨碍
"
sabotage,"n. 怠工, 破坏活动, 破坏
vi. 从事破坏活动
vt. 妨害, 破坏"
topple,"vt. 推翻, 颠覆
vi. 倒塌, 摇摇欲坠"
decipher,"vt. 译解, 解释
n. 密电译文"
demonstrable,a. 可论证的
denote,"vt. 指示, 表示"
exemplify,"vt. 例证, 例示
"
explicate,"vt. 详细说明, 解释, 说明, 引伸"
expound,"v. 详细说明, 解释"
illustrate,"vt. 举例说明, 作图解, 阐明
vi. 举例说明"
interpretive,"[计] 解释的, 翻译的"
paraphrase,"n. 释义, 解述, 改写
vt. 改写, 解述
vi. 释义, 意译"
proclaim,"vt. 宣布, 公告, 宣言, 表明, 赞扬
"
prospectus,"n. 创办计划书, (内容)说明书, 内容简介
"
unravel,"vt. 阐明, 解决, 解开
vi. 散开"
verify,"vt. 证明, 查证, 证实, 检验, 校验
"
designate,"vt. 指定, 指明, 称呼
a. 已选出而未上任的"
endeavor,"n. 努力, 尽力
vi. 努力, 尽力"
preside,"vi. 统辖, 当主人, 主持
"
pragmatic,"a. 忙碌的, 爱管闲事的, 自负的, 固执己见的, 实际的, 务实的, 国事的, 国务的
"
discharge,"vt. 卸下, 放出, 解雇, 拔染, 履行, 放电
vi. 卸货, 流出
n. 卸货, 流出, 放电"
dismissal,"n. 免职, 解雇
"
impeach,"vt. 控告, 怀疑, 检举, 弹劾
"
diffuse,"v. 散播, 传播
a. 散开的, 弥漫的"
disperse,"vt. 分散, 传播, 散开
vi. 分散
a. 分散的
"
disseminate,"vt. 散播, 传播, 宣传
vi. 广为传播"
diffusive,"a. 散播的, 冗长的, 扩散的"
distribution,"n. 分配
"
dilute,"vt. 冲淡, 稀释
a. 淡的, 稀释的"
dissolve,"v. 溶解, 解散"
dissipate,"vt. 散失, 驱散, 浪费
vi. 消散, 放荡"
evacuate,"v. 疏散, 撤出, 排泄"
dislodge,"vt. 逐出, 使移动, 驱逐
vi. 离开原位"
evict,"vt. 逐出, 赶出, 驱逐
"
exile,"n. 放逐, 流放, 被放逐者
vt. 放逐, 流放, 使背井离乡"
exorcism,"n. 驱魔, 驱邪所用的咒语"
expulsion,"n. 逐出, 开除, 驱逐, 排气
"
oust,"vt. 逐出, 罢黜, 剥夺, 驱逐
"
repel,"vt. 逐退, 抵制, 使厌恶, 抗御
vi. 使厌恶, 相互排斥"
collapse,"n. 崩溃, 倒塌, 虚脱
vi. 倒塌, 崩溃, 瓦解
vt. 使倒塌, 折叠
"
eliminate,"vt. 除去, 排除, 剔除, 消除"
eradicate,"vt. 根除, 扑灭, 根绝, 消灭"
herbicide,"n. 除草剂
"
revoke,"vt. 撤回, 废除
vi. 藏牌
n. 藏牌
"
xenophobia,"n. 无端畏惧和憎恨外国人/陌生人, 对外国人的畏惧和憎恨
"
embed,"vt. 使插入, 使嵌入, 使深留脑中
"
engrave,"vt. 刻上, 雕刻, 铭记"
insertion,"n. 插入, 刊载, 插入物
"
penetrate,"vt. 穿透, 刺穿, 渗透, 看穿, 洞察, 了解, 使充溢
vi. 刺入, 看穿, 渗透, 打进"
permeate,"vt. 弥漫, 渗透, 充满, 影响, 感染
vi. 透入, 散布"
stab,"n. 刺, 戳, 剧痛, 尝试, 努力
vt. 刺, 戳, 刺入, 刺痛, 直入, 使伤心
vi. 刺, 刺伤"
extract,"n. 榨出物, 精汁, 摘录, 选段
vt. (费力地)取出, 采掘, 榨取, 摘录, 吸取
"
extraction,"n. 抽出, 取出, 拔出术, 抽出物
"
incisive,"a. 敏锐的, 机敏的, 激烈的, 切入的, 锋利的
"
shatter,"n. 碎片, 粉碎, 落叶, 喷洒
vt. 打碎, 使散开, 粉碎, 破坏
vi. 粉碎, 损坏, 脱落"
encase,"vt. 把...装入箱内, 包住"
enclose,"vt. 围绕, 圈起, 放入封套, 附上"
encompass,"vt. 围绕, 完成, 包括, 包含, 环绕, 包围"
entrench,"vt. 围以壕沟, 防护, 保卫, 使处于牢固地位
vi. 掘壕, 侵犯"
entrenched,"a. 牢固的, 根深蒂固的"
envelop,"vt. 包封, 遮盖, 包围
n. 信封"
girdle,"n. 腰带, 围绕物
vt. 用腰带束缚, 围绕"
inclusion,"n. 包含, 内含物
"
mob,"n. 暴民, 民众, 暴徒
vt. 大举包围, 蜂拥进入, 围攻
vi. 聚众生事"
occupy,"vt. 占领, 占(时间、空间等), 住进, 担任, 使从事, 使全神贯注
"
entail,"vt. 使成为必需, 需要, 使承担, 遗传给
n. 限定继承"
premise,"n. 前提, 房屋连地基, 上述各项
vt. 预先提出, 引出, 作为...的前提
vi. 作出前提"
prerequisite,"a. 先决条件的, 必要的
n. 先决条件, 必备条件"
requisite,"n. 必需品, 要素, 必要物品
a. 必要的, 需要的"
stipulate,"v. 规定, 保证"
excise,"n. (烟、酒等)消费税, 货物税, 国产税
vt. 切除"
intercept,"n. 截取, 妨碍, 截距
vt. 拦截, 阻止, 截取"
intersect,"vt. 贯穿, 横穿
vi. 交错, 相交"
severance,"n. 切断, 分离, 断绝
"
afoul,"adv. 冲撞着
"
implicate,"vt. 涉及, 含意, 暗示, 牵连
n. 包含的东西"
implication,"n. 牵连, 含义, 暗示
"
tangle,"n. 缠结, 纠结的一团, 困惑, 纠纷, 混乱
vt. 使缠结, 缠住
vi. 缠结, 乱作一团"
laudable,"a. 值得赞赏的, 值得佩服的
"
laudatory,"a. 赞美的, 赞赏的"
tout,"vi. 招徕顾客, 兜售物品
vt. 招徕, 刺探...情报
n. 兜售者, 侦查者"
inspection,"n. 检验, 检查, 视察
"
observation,"n. 观察, 注意, 观测, 观察力
"
perceive,"v. 感觉; 认识, 理解; 察觉到, 意识到, 注意到"
perceptive,"a. 知觉的, 有知觉力的, 感知的
"
scan,"n. 审视, 浏览, 扫描, 细查
vt. 细看, 浏览, 扫描, 详细调查, 标出格律
vi. 押韵, 扫描
"
screen,"n. 幕, 银幕, 屏风, 掩蔽物, 屏蔽, 筛子
vt. 掩蔽, 放映, 拍摄, 掩护, 筛, 甄别
vi. 拍电影
"
scrutinize,"vt.vi. 细看, 仔细检查, 审查, 细阅
"
surveillance,"n. 监视, 监督
"
persecute,"vt. 迫害, 虐待, 困扰, 同...捣乱
"
repress,"vt. 镇压, 抑制, 压制
vi. 压制"
suppress,"vt. 镇压, 使止住, 禁止, 抑制, 查禁
"
patron,"n. 赞助人, 顾客, 保护人
"
patronage,"n. 赞助, 恩赐态度, 光顾, 任免权, 保护人的身分
"
patronize,"vt. 保护, 支援, 赞助, 庇护, 惠顾"
proponent,"n. 建议者, 支持者
"
prop,"n. 支柱, 支持者, 倚靠人, 道具, 螺旋桨
vt. 支撑, 维持"
protagonist,"n. 主人公, 主角, 领导者"
responsive,"a. 回答的, 应答的, 易感应的"
sponsor,"n. 保证人, 赞助者, 发起者, 倡议者, 教父
vt. 发起, 赞助, 倡议"
supportive,"a. 支撑, 支承, 资助, 赞助, 支援, 经受, 忍受, 扶养, 证实, 鼓励, 维持, 伴奏"
underpin,"vt. 从下面支承, 支撑, 支持
"
withhold,"vt. 使停止, 扣留, 保留, 拒给
vi. 克制, 忍住"
preserve,"vt. 保护, 保持, 保存, 维持, 腌, 禁猎
vi. 加工食品, 禁猎
n. 加工成的食品, 禁猎地, 保护区, 防护物"
reservation,"n. 保留, 预定, 保留品, 保留地
"
retain,"vt. 保持, 保有, 留住, 记得, 付定金聘请
"
ambition,"n. 野心, 志向"
aspire,"vi. 渴望, 立志于"
enterprise,"n. 企业, 事业心, 进取心, 干事业
"
ardent,"a. 热心的, 激动的, 燃烧般的
"
enthusiastic,"a. 狂热的, 热心的, 热烈的"
fanatic,"n. 狂热者, 盲信
a. 狂热的, 盲信的"
fervent,"a. 热的, 炎热的, 热心的"
bounty,"n. 慷慨, 宽大, 礼物
"
charitable,"a. 大慈大悲的, 宽厚的, 慈善的
"
charity,"n. 慈悲, 博爱, 慈善团体, 施舍
"
hospitable,"a. 好客的, 招待周到的"
conscientious,"a. 有责任心的, 负责的, 本着良心的
"
deliberate,"a. 深思熟虑的, 故意的, 从容的
v. 仔细考虑"
discretion,"n. 慎重, 辨别力, 考虑, 处理权
"
intent,"n. 意图, 含义, 故意
a. 专心的, 决心的, 热心的"
meticulously,"adv. 过细地, 细致地"
modest,"a. 谦逊的, 羞怯的, 端庄的, 适度的
"
preoccupy,"vt. 抢先占领, 使全神贯注"
prudent,"a. 审慎的, 三思而后行的, 精明的, 节俭的"
prudery,"n. 拘守礼仪, 假正经行为"
scrupulous,"a. 小心谨慎的, 细心的"
vigilant,"a. 警觉的, 警戒的, 警惕的
"
visionary,"a. 幻像的, 幻想的, 梦想的
n. 有眼力的人, 空想家, 梦想者"
quiescent,"a. 静止的, 不活动的, 寂静的
"
delicate,"a. 细致优雅的, 微妙的, 美味的
"
esthetic,"a. 审美的
"
florid,"a. 华丽的, 红润的
"
animate,"vt. 使有生气, 赋予生命
a. 有生命的, 有生气的"
dynamic,"a. 动态的, 有活力的, 有力的, 动力的, 不断变化的
n. 动力, 动态
"
lush,"a. 苍翠繁茂的, 多青草的, 丰富的
n. 酒, 酒鬼
v. 饮"
perk,"vi. 昂首, 振作, 举止高傲, 神气活现, 滤煮
vt. 竖起, 打扮, 使振作, 滤煮
n. 小费"
radiant,"a. 发光的, 明亮的, 辐射的, 容光焕发的
"
reactive,"a. 反动的, 反应的
"
robust,"a. 健康的, 强健的, 要用力气的, 坚定的, 粗野的
"
vigorous,"a. 精力充沛的, 元气旺盛的, 茁壮的, 有力的"
efficacious,"a. 有效的, 灵验的"
efficacy,"n. 功效, 效力
"
efficiency,"n. 效率, 效能, 功效
"
operative,"a. 动作的, 运转的, 有效的, 关键的, 手术的
n. 技工, 侦探"
overwhelming,"a. 压倒性的, 无法抵抗的"
telling,"a. 有效的, 显著的, 显露内心活动的"
validate,"vt. 使有效, 使生效, 确认, 证实, 验证
"
valid,"a. 有确实根据的, 有法律效力的, 正当的, 正确的
"
propitious,"a. 顺利的, 适合的, 吉祥的, 慈悲的"
futile,"a. 无用的, 琐细的, 不重要的"
invalid,"n. 病人, 残废者
a. 有病的, 无效的"
invalidate,"vt. 使无效
"
null,"a. 无效力的, 无效的, 无价值的
n. 零, 空, 零位
"
eminent,"a. 显赫的, 杰出的, 有名的"
exceptional,"a. 例外的, 异常的, 特别的"
optimal,"a. 最佳的, 最理想的
"
pre-eminent,"adj. 优秀的
"
preponderant,"a. 占优势的, 多数的, 主要的, 突出的"
prominent,"a. 卓越的, 显著的, 突出的, 凸出的"
quintessential,"a. 精萃的, 精髓的, 典范的"
superb,"a. 极度的, 华丽的, 极好的"
prosper,"vi. 繁荣, 兴隆, 成功
vt. 使成功, 使昌盛"
prosperity,"n. 繁荣, 茂盛, 成功
"
renowned,"a. 有名的, 有声誉的"
reputable,"a. 受好评的, 有声望的, 规范的
"
reputation,"n. 名誉, 名声, 声望
"
advisable,"a. 适当的, 明智的"
ingenious,"a. 灵敏的, 精巧的, 聪明的"
judicious,"a. 头脑精明的, 贤明的, 判断正确的"
proficient,"n. 高手, 专家
a. 精通的, 熟练的"
sapience,"n. 象有学识, 装聪明, 智慧"
sensible,"a. 有感觉的, 敏感的, 明智的
"
shrewd,"a. 精明的, 锐利的, 剧烈的, 机灵的, 厉害的"
skillful,"a. 熟练的, 巧妙的
"
versatile,"a. 多才多艺的, 万用的, 万向的"
trenchant,"a. 锐利的, 尖锐的, 有力的, 鲜明的, 清晰的"
witty,"a. 富于机智的, 诙谐的"
irrational,"n. 无理数
a. 无理性的, 不合理的"
subtle,"a. 敏锐的, 精细的, 狡猾的, 稀薄的, 灵巧的, 微妙的
"
upright,"a. 正直的, 诚实的, 公正的, 垂直的, 竖式的
"
amiable,"a. 亲切的, 和蔼可亲的
"
audacious,"a. 大胆的, 鲁莽的, 胆大妄为的"
erudition,n. 博学
frugal,"a. 节俭的, 朴素的"
imperial,"a. 帝王的, 宗主国的, 至尊的, 壮丽的
n. 特等品"
painstaking,"n. 辛苦, 苦心, 工夫
a. 辛苦的, 勤勉的, 小心的"
strenuous,"a. 奋发的, 费劲的, 艰苦的"
acquisitive,"a. 渴望获得的, 贪婪的
"
cupidity,"n. 贪心, 贪婪"
insatiable,"a. 不知足的, 贪求无厌的
"
voracious,"a. 贪吃的, 狼吞虎咽的, 贪婪的"
adulatory,"a. 谄媚的, 过分称赞的"
artificial,"a. 人造的, 假的, 非原地产的
"
counterfeit,"n. 赝品, 伪造品
a. 假冒的, 假装的
v. 仿造, 伪装, 假装"
deceptive,"a. 迷惑的, 虚伪的, 欺诈的"
fake,"n. 假货, 欺骗, 诡计
a. 假的
vt. 假造, 仿造
vi. 伪装"
falsity,"n. 虚伪, 错误, 不忠实, 谎言
"
fictitious,"a. 假想的, 编造的, 虚伪的
"
fraudulent,"a. 欺诈的, 不正的, 不诚实的
"
illusionary,"a. (=illusional)错觉的, 幻影的"
illusory,"a. 产生幻觉的, 幻影的, 错觉的
"
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
pretentious,"a. 自负的, 自命不凡的, 夸耀的"
dummy,"n. 傀儡, 假人, 仿制品
a. 虚设的, 假的, 名义上的"
dupe,"n. 傻瓜, 易受骗的人
vt. 欺骗, 愚弄"
gullible,"a. 易受骗的
"
illiterate,"n. 文盲
a. 目不识丁的, 没受教育的"
obtrusive,"a. 强迫人的, 冒失的, 莽撞的, 伸出的"
obtuse,"a. 钝的, 不锋利的, 愚钝的
"
trite,"a. 老一套的, 陈腐的, 用坏的"
brutal,"a. 残忍的, 野蛮的, 不讲理的"
inhumane,"a. 无人情味的, 薄情的, 残忍的"
relentless,"a. 无情的, 冷酷的, 残酷的"
rigorous,"a. 严厉的, 严酷的, 严格的, 苛刻的, 严密的, 精确的"
vicious,"a. 邪恶的, 堕落的, 品性不端的, 恶毒的, 恶性的, 有错误的
"
deleterious,"a. 有害的, 造成伤害的
"
detriment,"n. 损害, 损害物
"
detrimental,a. 有害的
lethal,"a. 致命的
n. 致死因子"
noxious,"a. 有害的, 有毒的, 使道德败坏的
"
pernicious,"a. 有害的, 致命的, 恶劣的, 险恶的
"
prejudicial,"a. 造成偏见的, 有侵害的
"
victim,"n. 受害人, 牺牲者, 牺牲品
"
toxic,"a. 有毒的, 中毒的
"
toxin,"n. 毒素
"
disinclination,"n. 不愿, 不感兴趣, 厌恶"
idle,"a. 懒惰的, 闲散的, 停顿的, 空闲的, 无用的
vi. 无所事事, 闲散, 浪费, 空转
vt. 虚度, 使闲散, 使空转
n. 空转, 空闲时间
"
sloth,"n. 怠惰, 懒惰"
sluggish,"a. 偷懒的, 懒惰的, 迟钝的
"
loaf,"n. 一条面包, 块, 游荡
v. 游手好闲, 虚度光阴"
hideous,"a. 丑恶的, 可憎的, 令人沮丧的"
poisonous,"a. 有毒的, 恶毒的, 讨厌的
"
scandal,"n. 丑闻, 中伤, 耻辱, 反感, 流言蜚语
"
venomous,"a. 有毒的, 恶毒的, 分泌毒液的, 有毒腺的
"
monotonous,"a. 单调的, 无变化的"
needy,"a. 贫穷的, 贫困的, 生活艰苦的"
paucity,"n. 少数, 少量, 缺乏"
predicament,"n. 处境, 穷境, 困局"
scarcity,"n. 缺乏, 不足, 缺少
"
sparse,"a. 稀疏的, 稀稀落落的, 稀薄的"
complacent,"a. 满足的, 自满的, 得意的"
narcissism,"n. 自我陶醉, 自恋
"
ostentation,"n. 虚饰, 虚有其表, 卖弄"
overweening,"a. 骄傲的, 自负的, 过于自信的, 过分的"
pompous,"a. 爱炫耀的, 虚夸的, 盛大的"
superior,"n. 长者, 占优势的人, 上级
a. 上级的, 出众的, 高傲的"
vanity,"n. 虚荣心, 虚无, 自负, 空虚, 时髦的小摆饰"
profusion,"n. 大量, 慷慨, 挥霍, 充沛, 浪费"
redundant,"a. 多余的, 过多的, 冗长的
"
tedious,"a. 沉闷的, 冗长乏味的"
voluminous,"a. 卷数多的, 大部头的, 著书多的, 长篇的, 庞大的, 很多的, 盘绕的"
adamant,"n. 坚硬的东西
a. 非常坚硬的, 坚强的, 固执的"
apathetic,"a. 缺乏感情的, 无动于衷的, 缺乏兴趣的
"
bleak,"a. 萧瑟的, 荒凉的, 阴冷的"
crude,"a. 天然的, 未成熟的, 粗糙的, 粗鲁的
n. 天然的物质"
envious,"a. 嫉妒的, 羡慕的"
sapless,"a. 无树液的, 枯萎的, 无生气的"
afflict,"vt. 使苦恼, 折磨"
grueling,"a. 折磨人的, 使人精疲力尽的
n. 痛打, 惩罚"
pang,"n. 剧痛, 悲痛, 苦闷
vt. 使剧痛, 折磨"
convict,"n. 囚犯, 罪犯
vt. 宣告有罪, 使知罪"
criminology,"n. 犯罪学, 刑事学
"
guilty,"a. 犯罪的, 有过失的, 自觉有错的, 心虚的
"
homicide,"n. 杀人, 杀人者
"
illicit,"a. 不法的, 不正当的, 禁止的
"
incriminate,"vt. 连累, 暗示...有罪, 控告
"
inmate,"n. 同住者, 被收容者
"
reprisal,"n. 报复, 报仇, 报复性劫掠
"
shoplift,vi.vt. 入店偷窃商品
smuggle,"vt. 偷运, 走私, 私运
vi. 走私"
solicit,"v. 请求, 乞求, 招揽, 征求"
abduct,"vt. 诱拐, 绑架, 使外展
"
kidnap,"vt. 绑架, 诱拐, 拐骗
"
bereft,"a. 缺少的, 丧失的, 失去亲人的
bereave的过去式和过去分词"
denude,"vt. 使裸露, 剥下, 剥夺
"
deprive,"vt. 剥夺, 使丧失
"
encroach,"vi. 侵犯, 侵蚀, 蚕食
"
engulf,"vt. 卷入, 吸进, 吞没, 使全神贯注"
fade,"vi. 褪色, 消失, 凋谢
vt. 使褪色
n. 淡入, 淡出
a. 平淡的"
inalienable,"a. 不能让与的, 不能转售的, 不能夺取的, 不可分割的"
monopoly,"n. 垄断, 专卖权, 独占事业
"
undercut,"n. 底切, 牛腰部下侧嫩肉, 下口, 下旋削球
vt. 廉价出售, 底切, 雕出, 下旋削球
vi. 切除底部"
counteract,"vt. 抵消, 阻碍, 中和
"
acoustic,"a. 听觉的, 声学的, 音响的
"
chirp,"n. 喳喳声, 唧唧声
v. 吱喳而鸣"
monitor,"n. 监督器, 级长, 监听员, 班长, 监视器, 告诫物
v. 监视, 监听, 监督
"
pry,"n. 杠杆, 窥探, 好奇者
vi. 打听, 窥探
vt. 撬动, 撬开, 费力得到"
browse,"v. 浏览, 吃草
n. 浏览, 吃草
"
detect,"vt. 发现, 察觉, 探测
"
detectable,"a. 可察觉的, 易发现的
"
discern,"v. 辨别, 看清楚, 了解"
discernible,"a. 看得清的, 可看出的, 可辨别的, 辨别得出的
"
invisible,"a. 看不见的, 无形的
"
tangible,"n. 可触知的东西, 有形资产
a. 可触摸的, 有实体的, 非相像的, 有形的, 明确的"
visual,"a. 视觉的
"
short-sighted, [医]近视的
spectator,"n. 观众, 目击者, 旁观者"
interrogate,"vt. 质问, 讯问, 审问
vi. 质问, 讯问"
adolescent,"a. 青春期的, 青少年的
n. 青少年"
elevate,"vt. 举起, 提拔, 鼓舞"
embrace,"n. 拥抱
vt. 拥抱, 互相拥抱, 包含, 收买
vi. 拥抱"
excrete,"vt. 排泄, 分泌
"
excursion,"n. 远足, 游览圆, 短程旅行
"
expedition,"n. 远征, 探险队, 迅速"
hum,"n. 嗡嗡声, 哼声, 杂声
vi. 发低哼声
vt. 哼, 用哼声表示
interj. 哼, 嗯"
impact,"n. 冲击, 冲突, 影响, 效果
vt. 挤入, 撞击, 压紧, 对...发生影响"
indulge,"vt. 纵情于, 使高兴, 放任, 迁就
vi. 沉溺"
intangible,"a. 难以明了的, 无形的
"
posture,"n. 姿势, 态度, 情形, 形势
vt. 作...的姿势
vi. 作姿势"
raid,"n. 袭击, 突袭, 搜捕
v. 奇袭, 搜捕
"
rally,"n. 重振旗鼓, 集合, 群众集会, 跌停回升
v. 重整旗鼓, 集合, 恢复精神, 团结, 挖苦, 嘲笑"
sedentary,"a. 久坐的, 坐惯的, 定栖的
"
siege,"n. 包围, 围攻, 再三的努力
vt. 包围, 围攻"
stamp,"n. 印, 邮票, 打印器, 戳子, 图章, 印花税票, 标志, 特征, 类型, 跺脚
vt. 盖章于, 顿足, 贴上邮票, 铭刻, 捣碎, 扑灭
vi. 捣碎, 跺脚"
stance,"n. 准备击球姿势, 站立的姿势, 位置, 姿态
"
stroke,"n. 笔划, 打, 中风, 抚, 摩, 冲程
vt. 划尾桨, 抚, 摩, 划去
"
vulnerable,"a. 易受伤害的, 有弱点的, 易受影响的, 脆弱的, 成局的
"
barrack,"n. 兵舍, 军营
vt. 使驻兵营内"
behavioral,a. 行为的
startle,"n. 惊愕, 惊恐
vt. 吃惊, 使惊愕
vi. 惊起"
afford,"vt. 买得起, 足以, 给予"
aptitude,"n. 资质, 才能, 自然倾向
"
competent,"a. 能干的, 胜任的, 有效的, 足够的
"
omnipotent,"a. 全能的, 无所不能的, 彻头彻尾的, 臭名昭著的"
potent,"a. 有力的, 有说服力的, 有效的
"
viable,"a. 能养活的, 能生长发育的
"
inability,"n. 无能, 无力"
aromatic,"a. 芬芳的
"
aura,"n. 气氛, 气味
"
foul,"a. 污秽的, 邪恶的, 恶臭的, 肮脏的, 恶劣的, 淤塞的
vt. 弄脏, 妨害, 污蔑, 犯规, 淤塞
vi. 腐烂, 犯规, 缠结
adv. 违反规则地, 不正当地
n. 犯规, 缠绕"
fragrance,"n. 芬芳, 香味"
idiosyncrasy,"n. 气质, 特性, 风格
"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
gender,"n. 性
vt. 产生"
masculinity,"n. 男子气, 刚毅, 大丈夫气概
"
hardy,"a. 难的, 艰苦的, 坚硬的, 勇敢的
adv. 努力地, 辛苦地, 坚硬地"
viscous,"a. 粘的, 粘性的
"
absurd,"a. 荒谬的, 不合理的, 可笑的
n. 荒诞"
acid,"n. 酸, 酸类物质, 尖刻, 迷幻药
a. 酸的, 酸性的, 尖刻的, 敏锐的
"
cynical,"a. 愤世嫉俗的, 讽刺的, 冷嘲的"
ironic,"a. 冷嘲的, 挖苦的, 反话的, 讽刺的, 令人啼笑皆非的, 出乎意料的"
poke,"n. 刺, 戳, 袋子
vt. 戳, 捅, 拨弄, 刺
vi. 戳, 刺, 捅, 搜索, 伸出, 行动散慢
"
tease,"n. 揶揄, 戏弄, 逗惹
vt. 戏弄, 取笑, 强求, 梳理, 使起毛"
accuse,"vt. 指责, 控告, 归咎于
vi. 指责, 控告"
censure,"n. 责难
vt. 非难, 指责"
critique,"n. 评论文章, 评论"
denounce,"vt. 告发, 抨击, 谴责
"
denunciation,"n. 谴责, 告发
"
reproach,"n. 责备, 耻辱
vt. 责备, 申斥, 使丢脸"
repudiate,"vt. 声明离婚, 拒绝, 拒付, 拒绝履行
"
stigmatize,"vt. 打烙印, 诬蔑"
victimize,"vt. 使牺牲, 使受害
"
aspersions,"(aspersion 的复数) n. 诽谤, 中伤, 洒水
"
complaint,"n. 诉苦, 抱怨, 控诉
"
grievance,"n. 委屈, 冤情, 苦况
"
articulate,"a. 发音清晰的, 口才好的
vt. 明白地说, 以关节连接, 使成为系统的整体"
eloquence,"n. 口才, 雄辩术, 雄辩
"
eloquent,"a. 雄辩的, 有口才的, 有说服力的"
abruptly,"adv. 突然地, 唐突地"
afterlife,"n. 来世, 下半生"
alleged,"a. 被断言的, 所谓的
"
alumni,"pl. 男毕业生, 男校友"
burrow,"n. 洞穴, 藏身处
vi. 掘洞穴, 躲藏
vt. 掘, 打洞"
cellular,"a. 细胞的
"
cure-all,n. 万灵药
deluxe,"a. 高级的, 豪华的
adv. 豪华地"
despite,"n. 轻视, 憎恨
prep. 虽然, 尽管"
encode,"vt. 把(电文、情报等)译成密码
"
evolutionary,"a. 展开的, 进化论的, 进化的, 发展的
"
excavate,"v. 挖空, 挖出, 凿通"
excavation,"n. 挖掘, 发掘, 挖掘的洞
"
extant,"a. 现存的, 未毁的"
feat,"n. 壮举, 功绩, 技艺表演
a. 灵巧的, 合适的, 整洁的"
feudal,"a. 封建制度的, 封地的, 领地的"
granular,"a. 颗粒的, 粒状的
"
hallmark,"n. 纯度检验证明, 品质证明
vt. 加盖纯度检验证明"
hegemony,"n. 霸权, 领导权, 支配权, 拥有支配权的政府
"
heritage,"n. 遗产, 祖先遗留物, 继承物
"
hierarchy,"n. 等级制度, 僧侣统治, 等级体系
"
highlight,"n. 加亮区, 精彩场面
vt. 加亮, 使显著, 以强光照射, 突出
"
ice-polished,无
idealize,"vt. 使理想化
vi. 理想化, 形成思想, 描述理想"
immediacy,"n. 直接, 目前, 迫切需要的事物"
immobilize,"vt. 使不动, 使固定, 使不能移动
"
improvise,"vt. 即席创作, 临时做"
incomplete,"a. 不完全的, 未完成的, 不完善的
"
inconclusive,"a. 非决定性的, 无效果的, 不得要领的
"
incumbent,"a. 现任的, 依靠的, 负有义务的
n. 领圣俸者, 在职者"
indigenous,"a. 本土的, 国产的, 固有的
"
aquatic,"n. 水生动物, 水生植物
a. 水生的, 水中的, 水上的"
embalm,"vt. 以药物防腐, 铭记于心, 使不朽"
offshoot,"n. 分支, 旁系, 衍生事物"
particular,"n. 一项(或条、点), 个别项目, 详细说明
a. 特别的, 独有的, 挑剔的, 详尽的"
predicate,"n. 谓语, 谓项
a. 谓语的
vt. 断定为, 使基于, 意味着, 预言
vi. 断言
"
register,"n. 寄存器, 记录, 登记簿, 注册
vt. 记录, 注册, 提示, 表达, 把...挂号
vi. 登记, 注册, 挂号
"
reign,"v. 为王，为君；当政；统治
n. 为王，为君；当政；统治"
scapegoat,"n. 替罪羔羊, 替人顶罪者, 替身
"
seniority,"n. 长辈, 老资格
"
specialize,"vt. 使特殊化, 列举, 特别指明, 限定...的范围
vi. 成为专家, 专攻"
stitch,"n. 一针, 疼痛, 针法, 碎布条, 针脚
v. 缝, 缝合, 装订"
tenure,"n. 享有, 保有期
"
tickle,"n. 胳肢, 痒
vt. 胳肢, 使发痒, 使快乐, 逗乐
vi. 觉得痒, 使人痒"
trait,"n. 特征, 特性, 一笔, 少许"
virgin,"n. 处女
a. 处女的, 贞洁的, 纯洁的, 初始的, 纯的"
virtually,adv. 事实上
wingspan,n. 翼展
zing,"n. 尖啸声, 活力
vi. 发尖啸声
vt. 对...挑剔"
entrée,无
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
preface,"n. 序, 绪言, 前言
vi. 作序, 写前言
vt. 给...作序, 以...开始"
intermediary,"n. 仲裁者, 调解者, 媒介物, 中间人
a. 中间的, 媒介的"
intermediate,"n. 中间物, 调停者, 中级
a. 中间的, 中级的
vi. 起媒介作用
"
medium,"n. 媒体, 方法, 媒介
a. 半生熟的, 中间的
"
conclusive,"a. 决定性的, 确定性的, 最后的
"
demise,"n. 崩, 薨, 死亡
vt. 让渡, 遗赠, 转让"
denouement,"n. 结局, 终场"
destination,"n. 目的地, 目标, 目的
"
ramification,"n. 分枝, 分叉, 枝状物, 支脉, 支流, 衍生物
"
repercussion,"n. 弹回, 反响, 反射
"
