acrobatics,"n. 杂技, 杂技表演"
inside left forward,左内锋
inside right forward,右内锋
outside left forward,无
outside right forward,无
left halfback,左前卫
right halfback,右中卫
centre halfback,【足球、曲棍球】；中前卫；中前卫位置[亦作 centre half]
full back,n. 后卫
first half,[经] 上半
second half,[经] 下半年
team manager, [体]车队经理
trial match,预赛
preliminary,"n. 初步做法, 初步措施, 预试, 预选赛
a. 初步的, 开始的, 预备的"
semi-final, [体]准决赛
warming-up practice,无
football sock,无
tennis,n. 网球
racket,"n. 球拍, 喧闹, 杂乱无章
vi. 喧闹
vt. 用球拍打"
crosscourt,"adv. & adj.[网][篮]斜线地(的),斜切地(的), 向着对方半场(的)"
smash,"n. 打碎, 粉碎, 打碎时哗啦声, 猛击, 扣球, 杀球, 经营失败, 破产, 硬币, 假硬币
a. 非常轰动的, 了不起的
vt. 打碎, 粉碎, 击溃, 使破产, 使裂变, 使用假硬币
vi. 碎裂, 猛撞, 破产, 扣球, 杀球
adv. 轰隆一声, 哗啦一声"
cut,"n. 切口, 割伤, 降低, 切, 割, 砍, 削, 伤口, 削减, 缩短, 删节, 通路
a. 经切割的, 缩减的
vt. 切, 割, 减少, 刺痛, 开辟, 雕刻, 删节, 缩短, 停止, 排斥, 切断, 关, 显出
vi. 切, 割, 砍, 刺痛, 相交, 抄近路, 剪辑
"
spin,"n. 旋转, 自旋, 疾驰, 情绪低落
vt. 纺织, 纺, 使旋转, 编造
vi. 纺纱, 吐丝, 作茧, 结网, 旋转, 自旋, 疾驰"
volley,"n. 群射, 齐发, 迸发
vt. 群射, 齐发, 截击
vi. 进行群射, 齐鸣"
net,"n. 网, 网状物, 罗网, 净利, 净价
a. 净的, 最终的
vt. 用网捕, 撒网, 净赚, 得到
vi. 编网
"
let,"vt. 让, 假设, 出租, 排放, 妨碍
vi. 出租, 被承包
n. 出租屋, 障碍"
fluke,"v. 侥幸成功
n. 锚爪, 侥幸, 偶然事故"
set-up,"na. 建立；创立；发起；开办
"
easy,"a. 容易的, 缓缓的, 舒适的, 从容的, 宽容的, 流畅的, 随便的, 自在的, 疲软的
adv. 容易地, 慢慢地"
game,"n. 比赛, 玩耍, 比分, 得胜, 比赛规则, 策略, 游戏, 野味
vi. 赌博
a. 勇敢的, 有胆量的, 关于野味的, 跛的
"
set,"n. 日落, 同伙, 组合, 集合, 装置
vt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整
vi. 日落, 凝固, 定型, 搁住, 结果, 适合
a. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的
"
deuce,"n. 两点, 平手, 平分
"
server,"n. 服伺者, 上菜用具, 发球员
n. 服务器
"
receiver,"n. 接收器；接受者；收信机；收款员, 接待者"
wide,"a. 宽的, 广阔的, 普遍的, 宽阔的, 广泛的, 一般的
adv. 广阔地, 遍及各处地, 广泛地
n. 大千世界"
lawn tennis,n. 草地网球
grass court, 草地球场
racket press,n. 网球拍夹(夹网球拍以保持平整)
string,"n. 线, 细绳, 一串, 字符串
vt. 串起, 成串, 收紧, 缚, 扎
vi. 成一串
"
gut,"n. 剧情, 内容, 内脏, 肚子, 海峡, 勇气
vt. 取出内脏, 毁坏...的内部"
line ball,无
baseline ball,无
sideline ball,无
straight ball,n. 直球; [体]直线球
down-the-line shot,无
low ball,n. 低球
long shot,"胡乱的猜测, 远景, 风险大的赌注
"
short shot,欠注;喷丸不足
jump smash,无
low drive, [体]抽低球
low volley,低截球
deep ball, [体]深球
heavy ball, [体]重球
flat stroke,无
flat drive,平抽
ground stroke, 击触地球（区别于截击空中球）
overhead smash, [体]高球扣杀
overhand smash,无
fifteen all,一比一
thirty all, [体]二平
forty all, [体]三平
love game,一方得零分的一局
double fault," 两次发球失误, 双误"
service line,"发球界线
"
fore court,前场
back court,后场
centre mark,"定中心点,中心记号"
tennis court,网球场
basketball,n. 篮球
basket support,无
boundary line,"[法] 疆界线, 边界线"
side line,"[法] 副职, 副业, 兼职"
three seconds,三秒钟
technical offence,无
double foul,双方犯规
time-out,n. [体]暂停比赛时间; [计]超时
removal of player,无
change of player,无
extra game,无
extra period,延长期
miss the basket,【篮球】投篮未中
inaccurate shooting,无
volleyball,n. 排球
volleyball court, 排球场
volleyball net, 排球网
service area,"[计] 服务区, 有效作用区"
attack area,无
rugby,"n. 橄榄球, 橄榄球赛"
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
helmet,"n. 钢盔, 盔, 防护帽
vt. 给...戴头盔"
badminton,n. 羽毛球运动
shuttlecock,"n. 羽毛球, 一来一回的事物(如争论)
vt. 往返递送
vi. 往返移动"
racket,"n. 球拍, 喧闹, 杂乱无章
vi. 喧闹
vt. 用球拍打"
golf,"n. 高尔夫球
vi. 打高尔夫球"
hockey,"n. 冰球, 曲棍球"
billiards,"n. 台球, 桌球"
cricket,"n. 蟋蟀, 板球"
croquet,"n. 槌球游戏
vi. 贴击对方的球"
polo,"n. 马球, 水球"
baseball field, 棒球场
touch line,"na. 【足】边线
"
football helmet, 橄榄球头盔
badminton court, 羽毛球场
golf course,n. 高尔夫球场
table tennis,乒乓球
ice hockey,na. 冰球; 冰上曲棍球
water polo, 水球
polo player,无
trials,"n. 尝试, 努力；考验；审判；顿顽（trial的复数）"
javelin,n. 标枪
javelin throw,n. 掷标枪
discus,"n. 铁饼, 掷铁饼比赛
"
discus throw,掷铁饼
marathon,"n. 马拉松, 耐力的考验"
marathon race,马拉松赛跑
hurdles,n. 障碍( hurdle的名词复数 ); 跳栏; （供人或马跳跃的）栏架; 跨栏赛
hurdle race,n. 障碍竞赛，跳栏赛跑
finish,"n. 完成, 结束, 末道漆, 磨光, 完美
vt. 完成, 结束, 用完, 毁掉
vi. 结束
"
track,"n. 轨迹, 足迹, 径迹, 小道, 轨道, 磁轨, 途径
vt. 循路而行, 追踪, 通过, 用纤拉
vi. 追踪, 留下足迹, 沿轨道运行
"
gymnastics,"n. 体操, 体育
"
gymnast,n. 体操运动员
rings,n. 吊环（ring的复数）
swinging rings,无
springboard,"n. 跳板, 出发点"
difficulty,"n. 困难, 难点"
harmony,"n. 协调, 和睦, 调和
"
elegance,"n. 高雅, 典雅, 优雅"
accuracy,"n. 精确, 正确
"
fencing,"n. 围墙, 剑术
"
mask,"n. 面具, 假面具, 掩饰, 石膏面模
vt. 戴面具, 掩饰, 使模糊
vi. 化装, 戴面具, 掩饰, 参加化装舞会
"
helmet,"n. 钢盔, 盔, 防护帽
vt. 给...戴头盔"
boxing,"n. 拳击
"
karate,n. 空手道
boxer,n. 拳师
cycling,"n. 骑脚踏车兜风, 骑脚踏车消遣
"
shooting,"n. 发射, 猎场, 射击"
archery,n. 射箭术
gliding,"a. 游动的, 滑顺的, 滑行的"
wrestling,n. 摔跤
wrestler,n. 摔跤选手
sumo,n. （日）相扑
judo,"n. 柔道
"
parachutist,"n. 伞兵, 跳伞运动员"
martial arts,n. 武术（指功夫、柔道、空手道等）; 武术，技击( martial art的名词复数 ); 把式
wushu,n. 武术
parachute jumping,跳伞
parachuting, 跳伞运动
track & field events,无
field events,n. 田赛
track events,n. 径赛
sports meet,体育运动会
high jump, 跳高
broad jump, 跳远
long jump, 跳远
obstacle race,障碍赛跑
walking race,n. 竞走
starting line,起跑线
finishing tape,终点线
horizontal bar," 单[双]杠, 单杠; 横棒"
parallel bars, 双杠
uneven bars, 高低杠
balance beam,"平衡木
"
vaulting horse,跳马
pommelled horse,鞍马
box horse,无
free exercise,"[医] 自由操练, 主动运动(不借外力协助)"
floor exercise, 自由体操
fitness exercise,n. 健美操
bodybuilding exercise,健身操
hoop exercise,无
dumb-bell exercise,无
free-hand exercise,徒手体操
compulsory exercise,规定动作
optional exercise,自选动作
mat exercise,垫上运动
push-up,"v. 提高；强使(物价等)上升
n. 【体】俯卧撑
"
full score,满分
bonus point,n. [体]加分
fencing master,n. 剑术教练
fencing instructor,无
Thai boxing,[网络] 泰拳；泰国拳；泰拳系列教程
road cycling,公路自行车竞赛
track cycling,赛车场竞赛
free-style wrestling,n. 自由式摔跤
traditional wrestling,无
weight-lifting,举重
chess competition,n. 棋赛
chess board,n. 棋盘
bowling,n. 保龄球戏
bowler,"n. 玩滚球的人, 玩球戏的人, 投球手"
bowl,"n. 碗, 木球, 大酒杯
v. 滚木球, 快而稳地行驶"
bowling alley,"n. 保龄球场, 狭长木制跑道"
tenpin bowling,[网络] 十个球瓶的保龄球
ninepins,n. 九柱戏或其木柱
billiard room, [体]台球房
poolroom,"n. 台球房, 赌注登记处"
billiard table,台球台
billiard cloth,台球呢
billiard player, [体]打台球人
cardroom,n. 桥牌室
card,"n. 卡片, 纸牌, 节目单, 明信片, 梳棉机
vt. 备置卡片, 记于卡片上, 梳理
"
cardplayer,n. 玩牌的人
spade,"n. 铲子, 锄, 铲刀, 黑桃
vt. 以锄掘, 把...弄实抹平
vi. 铲"
heart,"n. 心, 心脏, 中心, 内心, 感情, 精神, 心情, 宝贝儿
vt. 鼓励"
diamond,"n. 钻石, 菱形
"
club,"n. 俱乐部, 木棍, 球棒
vt. 用棍棒打, 缴纳
vi. 联合起来
a. 俱乐部的"
trump,"n. 王牌, 法宝, 喇叭
vt. 打出王牌赢, 胜过
vi. 出王牌, 吹喇叭"
winner,"n. 胜利者, 优胜者
"
shuffle,"n. 拖着脚走, 曳步, 混乱, 蒙混, 洗纸牌
v. 拖曳, 马虎地做, 笨手笨脚地穿(脱)衣, 推诿, 洗牌
"
shuffler,"n. 曳步而行者, 洗牌者, 轮到洗牌的人, 做事漫不经心者, 蒙混者"
deal,"n. 交易, 协定, 数量, 买卖, 松木板
vi. 处理, 应付, 做生意
vt. 分配, 发牌, 给予
"
dealer,"n. 经销商, 商人
"
dealing box,【牌戏】(放置一副纸牌的)发牌盒[亦作shoe]
bridge,"n. 桥, 舰桥, 桥梁, 桥牌
vt. 架桥于, 跨越
"
bidding,"n. 命令, 邀请, 出价
"
play bridge,打桥牌
a pack of cards,无
card-game,n. 纸片对策; 卡片游戏
chessroom,无
chess,"n. 国际象棋
"
the game of chess,无
chessman,n. (国际象棋)棋子
king,"n. 国王, 君主
vt. 使...成为君主
vi. 君临, 统治"
queen,"n. 王后, 女王
vt. 立为女王
vi. 做女王"
bishop,"n. 主教, (国际象棋中的)象, 热果子酒"
rook,"n. (象棋)车, 骗子
vt. 骗"
castle,"n. 城堡, 象棋中的车
vt. 置于城堡中, 盘踞于"
pawn,"n. 典当, 抵押物, 人质, (象棋)兵, 马前卒, 工具
vt. 当掉, 以...担保"
chess player,"下象棋者,棋手"
chess fan,无
white piece,无
black piece,无
Chinese Chess,n. 象棋
halma,n. 跳棋
the game of halma,无
draughts,n. 国际跳棋
the game of draughts,无
chequers,n. 首相乡间别墅
checkers,n. 国际跳棋
dominoes,n. 多米诺骨牌( domino的名词复数 )
mahjong,n. 麻将
Chinese checkers,n. 跳棋
play dice,无
play mahjong,无
baggage,"n. 行李
"
luggage,"n. 行李, 皮箱"
baggageroom,无
checkroom,n. 衣帽寄放处
timetable,n. 时间表
token,"n. 表征, 记号, 代币
a. 象征的, 表意的
"
gateman,n. 看门人
stationmaster,n. 站长
porter,"n. 大楼管理员, 门房, 搬运工人, 侍者, 服务员
"
captain,"n. 船长, 指挥官, 海军上校, 首领
vt. 率领, 指挥"
late,"a. 迟的, 晚的, 已故的
adv. 很晚, 很迟, 晚"
behind schedule,落后于预定计划
destination,"n. 目的地, 目标, 目的
"
terminal,"n. 终端机, 终点, 末端, 极限, 终点站
a. 终点的, 定期的, 致死的, 结尾的, 末端的, 晚期的
"
trainsick,a. 晕车的
junction,"n. 连接, 会合处, 交叉点
"
subway,"n. 地铁, 地道
vi. 乘地铁"
underground railway,地铁
tube,"n. 管, 软管, 隧道
vt. 把...装管, 使通过管子
"
railroad car,有轨电车
carriage,"n. 马车, 客车, 举止, 运输
"
compartment,"n. 分隔间, 卧车包房, 防水舱隔
"
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
corridor,"n. 走廊, 回廊, 人口密集地带"
sleeping car,n. 卧车
sleeper,"n. 睡眠者, 枕木, 卧铺
"
bunk,"n. 铺位, 废话, 逃走
vi. 逃跑, 睡在铺上
vt. 提供铺位"
carriage,"n. 马车, 客车, 举止, 运输
"
coach,"n. 四轮大马车, 教练
vt. 训练, 指导
vi. 坐马车旅行, 作指导"
tramcar,"n. 有轨电车, 矿车"
bumper,"n. 缓冲器, 满杯
a. 大胜利的"
headlight,"n. 前灯, 桅灯
"
spotlight,"n. 照明灯, 反光灯, 聚光灯"
radiator,"n. 暖气装置, 散热器, 辐射体
"
dock,"n. 码头, 船坞, 被告席, 尾巴的骨肉部分
vt. 使靠码头, 使(船)进港, 剪短
vi. 进港"
canoe,"n. 独木舟, 轻舟
vi. 乘独木舟
vt. 用独木舟运"
raft,"n. 筏, 救生筏, 大量
vi. 乘筏
vt. 筏运, 制成筏"
rowboat,n. 划艇
sampan,n. 舢板
air-cushion vehicle,"un. 气垫车辆；气垫付船
"
motorboat,n. 汽船
yacht,"n. 快艇, 游艇
vi. 驾游艇, 乘游艇"
liner,"n. 班机, 划线者, 定期船, 衬里
"
crew,"n. 全体人员, 一群人, 全体队员
crow的过去式"
captain,"n. 船长, 指挥官, 海军上校, 首领
vt. 率领, 指挥"
mate,"n. 配偶, 对手, 助手, (象棋)将死
vt. 使配对, 使一致, 结伴, (象棋)将死
vi. 成配偶, 紧密配合"
quartermaster,"n. 军需官
"
airport,"n. 飞机场
"
helicopter,"n. 直升机
vt. 由直升机运送
vi. 乘直升机"
runway,"n. 跑道, 河床, 过道
"
elevator,"n. 电梯, 升降机
"
apron,"n. 围裙
"
airlines,n. 航空业；航空公司（airline的复数）
crewman,n. 机组乘员
pilot,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人
vt. 领航, 驾驶, 引导, 试用
a. 引导的, 控制的, 试点的
"
captain,"n. 船长, 指挥官, 海军上校, 首领
vt. 率领, 指挥"
co-pilot,"n. 驾驶员
"
seatmate,n. (汽车、火车、飞机等上的)同座乘客
land,"n. 陆地, 地面, 地界, 地产, 国土, 土地
vi. 登陆, 登岸, 到达
vt. 使上岸, 使登陆, 使到达
"
airsick,a. 晕机的
waiting room,"候车室, 等候室
"
railway platform,站台
arrival platform,(火车)到站月台
departure platform,发车站台
travelling staircase,"un. 自动楼梯
"
personal luggage,随身(小件)行李
excess luggage,超重行李
checked baggage,"un. 交运的行李
"
luggage tag,行李票签
luggage compartment, 行李舱[间]
baggage check,[法] 行李检查
lost and found office,失物招领处
refreshment room,"n. 饮食店,小吃部,茶点室"
train indicator,"列车指标, 列车标志"
one-way ticket,"n. 单程票
"
single ticket,单程票
round-trip ticket,[网络] 来回票；往返票；双程票
return ticket,[经] 来回票
express ticket,快车票
berth ticket,n. 卧铺票
commuter's ticket,无
season ticket,"季票, 长期票
"
platform ticket,站台票
ticket gate,无
examine tickets,无
ticket inspector,查票员
station staff,[网络] 车站职工；车站全体员工；车站职员
pull into the station,无
pull out of the station,无
time of arrival,[化] 运到时间
time of departure,[化] 发送时间
on schedule,"按时
"
book a hard seat,无
book a berth,预订铺位
miss a train,没赶上火车
ride the rails,乘火车(尤指不买票偷乘火车)
metro-liner,[网络] 都会特急；外观图装为都会公车路线
international train,国际列车
limited express train,限制座席和停车站的特别快车
through train,"直达快车,直快"
commuter train,使用定期票接送上下班人员的火车
bullet train,n. 子弹头列车（高速列车）; 弹速快车
special train,专列
observation car," <美>（火车的）游览车厢（有特大车窗或透明车顶）, 了望车"
hard seat,硬垫岩
aisle seat,n. 靠道座位
window seat,"n. （窗槛下的）窗座, 靠窗座位"
upper berth, 上铺
lower berth, 下铺
sleeping berth,卧铺
hard sleeper,n. 硬卧
dining-car,餐车
buffet car,n. 餐车
public transport company,公共交通公司
public transport,"n. 公共交通, 公共交通工具, 公交车辆"
bus line, 汇流线
double-decker bus,[网络] 双层公共汽车；双层巴士；双层公交车
single-decker,"n. 单层公共汽车
"
trolley bus,无轨电车
cross-town bus,穿越全城的公共汽车
long-distance bus,[网络] 长途汽车；长途巴士；长途汽车站
rush hour bus,无
night bus,[交] 夜班车
first bus,无
last bus, 末班车
one-man bus,[网络] 无人售票车
sightseeing bus,n. 旅游车
deadhead cab,无
miss the bus,"失掉机会, 事业失败"
bus token,无
jump the bus,无
peak traffic,高峰交通量;高峰运输
rush hour,"n. （上, 下班的）高峰期"
commutation,"n. 交换, 变换, 代替
"
traffic jam,"塞车, 交通阻塞"
traffic accident,[医] 交通事故
start the engine,启动发动机
shift gears,"变速, 改变方式"
step on the accelerator,无
step on the brake,无
speed up,"加速
"
slow down,(使)慢下来
hit the brakes,无
turn left,"向左转,向左拐弯"
turn right,v. 向右转
make a U-turn,无
have a flat tire,"车胎爆了,车胎跑气"
change the tire,无
park the car,无
break down,"v. 分解；抛锚；分析；划分
"
back seat,"后座,次要地位,默默无闻的地位"
license plate,牌照
spare tire,n. 备用轮胎
driver's seat,控制地位
passenger seat, 旅客席
cabin cruiser,n. 可住宿的游艇
passenger ship, 客船
ocean liner,"远洋班轮
"
container ship,n. 货柜船，集装箱运货船
passenger cabin,客舱
first mate,[经] 一等大副
second mate,二副
third mate,三副
hot air balloon,[网络] 热气球；热气球之旅；热气球旅行
supersonic transport aircraft,无
first class seating,无
tourist class seating,无
economy class seating,无
seat belt,安全带
life vest,救生衣
oxygen mask,[化] 氧气面具
survival parachute,无
air terminal,"航空终点站,飞机场"
running light,[化] 空车运转
control tower,n. （机场）指挥塔台
free luggage allowance,免费携带行李量
flight number,班号
flight engineer, 随机工程师
air hostess,空中小姐
take off,"v. (飞机)起飞；出去；拿掉；移送
"
forced landing,"n. 紧急降落, 迫降"
air-crash,[法] 飞机失事
air piracy,[法] 空中强盗行为
hijack an airplane,无
check-in procedure,无
flight regularity,无
flight irregularity,无
departure airport,无
arrival airport,无
security check,安全检查；安检
experience,"n. 经历, 经验, 体验
vt. 经历, 经验, 体验"
team selection,无
objective,"n. 目的, 目标, 宗旨, 宾格, 实物
a. 客观的, 如实的, 无偏见的, 宾格的"
personality,"n. 个性, 人格, (团体、地方、国家)特有特性, 名人
"
optimism,"n. 乐观主义, 乐观, 乐天
"
confidence,"n. 信心
"
enthusiasm,"n. 巨大的热情, 热心"
aggressiveness,"n. (贬)侵略, 侵犯, 寻衅, (褒)敢作敢为, 有进取心, (武器)攻击性, 过分, 放肆"
energy,"n. 精力, 精神, 活力, 能量
"
ideal,"n. 理想, 典范, 观念, 思想, 最后目标
a. 理想的, 完美的, 空想的, 观念的, 唯心论的"
positive attitude,正向态度、积极态度
personal relationship, [医]个人关系; 私情
star,"n. 星, 恒星, 星形物, 运气, 明星
vt. 以星状物装饰, 用星号标, 使成为明星
vi. 变成明星"
guest appearance,以客人身份露面
rise to stardom,无
film on location,无
scenario,"n. 剧本提纲, 情节, 剧本, 方案, 事态
"
edit,"vt. 编辑, 编校, 修订, 剪辑
"
caption,"n. 说明, 字幕, 标题
vt. 加上标题, 加上说明
"
subtitle,n. 副标题
narration,"n. 叙述, 故事, 叙述文
"
narrator,"n. 讲述者, 叙述者
"
dialogue,"n. 对话
vi. 对话
vt. 用对话表达"
superstar,n. 超级明星
fade out,"淡出, 渐弱
"
fade in,"(使)淡入, (使)渐显
"
trick drawing,无
movie king,无
movie queen,[网络] 影后
title role,剧名角色
leading role,[经] 主导地位
hero,"n. 英雄, 超越常人者, 男主角"
leading man,n. 饰男主角的演员
heroine,"n. 巾帼英雄, 烈妇, 女主角
"
leading lady,n. 饰女主角的演员
film extra,无
stand-in,"代演员站位, 使花费"
stunt man, 特技替身演员
theatre,"n. 戏院, 电影院, 剧场, 全体观众, 戏剧, 戏剧效果, 阶梯式讲堂, 场所"
drama,"n. 戏剧, 戏剧艺术"
comedy,"n. 喜剧, 有趣的事情"
tragedy,"n. 悲剧, 惨案, 悲剧作品
"
melodrama,"n. 音乐剧, 传奇剧, 戏剧似的事件"
pantomime,"n. 手势, 哑剧, 舞剧
v. 打手势, 演哑剧"
first night,n. 首夜演出
premiere,"v. 初次公演, 首次露面
n. 初次的演出
a. 首次的, 首位的"
prologue,"n. 开场白, 序言, 序幕
vt. 为...作序, 加上...前言"
entrance,"n. 入口, 进入点, 入场, 入学, 进入, 开始(阶段), 就任
vt. 使出神, 使入迷
"
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
"
intermission,"n. 中止, 中断, 停顿, 间歇
"
performance,"n. 施行, 工作情况, 成绩, 行为, 表现, 演出
"
rehearsal,"n. 预演, 排演, 练习, 叙述, 复述
"
aperture,"n. 孔, 缝隙, 孔径
"
cinecamera,n. 电影摄影机
eyepiece,"n. (接)目镜
"
filter,"n. 滤波器, 过滤器, 滤光器, 过滤嘴, 去尘器
vt. 过滤, 渗透, 走漏
vi. 滤过, 渗入
"
shutter,"n. 百叶窗, 关闭物, 照相机快门, 关闭者
vt. 为...装百叶窗, 以百叶窗遮闭"
viewfinder,"n. (照相机的)取景器
"
sunshade,"n. 遮阳伞, 天棚, 帽遮"
tripod,"n. 三脚桌, 三脚架
"
flashlight,"n. 手电筒, 闪光信号灯"
spool,"n. 线轴, 缠线框
vt. 缠绕在线轴上, 缠绕
"
film,"n. 软片, 薄膜, 胶卷, 电影
vt. 覆以薄膜, 拍摄
vi. 生薄膜, 拍电影"
plate,"n. 碟, 盘子, 盆中物, 金属板, 图版, 金银餐具, 印版, 金属牌(照)
vt. 镀金, 电镀, 用金属板固定, 给...装钢板, 为...制印版"
amphitheatre,"圆形剧场, 大会堂, 比赛场, 露天竞技场
"
stage,"n. 阶段, 舞台, 场所, 戏剧, 站, 驿站, 级, 层, 脚手架
vt. 上演, 表演, 筹划
vi. 适于上演, 乘驿车旅行"
wings,"n. 舞台两侧, 侧景"
property,"n. 财产, 所有权, 性质, 属性
"
footlight,"n. 脚光, 舞台生涯"
poster,"n. 海报, 招贴, 驿马"
program,"n. 节目, 节目单, 程序, 纲要, 大纲, 计划
vt. 规划, 拟...计划
vi. 安排节目, 编程序
"
repertoire,"n. 全部剧目, 全部技能, 全部节目, 全部作品"
cloakroom,n. 寄物间
lounge,"n. 闲逛, 休闲室, 长沙发
vi. 闲混, (懒洋洋地)躺
vt. 闲混"
box,"n. 盒子, 箱, 方框, 一巴掌
vt. 装...入盒中, 装箱, 打耳光
vi. 拳击
"
usher,"n. 引座员, 招待员
vt. 引导, 招待
vi. 作招待员"
applause,"n. 鼓掌, 喝彩, 赞许"
cheer,"n. 愉快, 振奋, 欢呼
vi. 欢呼, 喝彩, 快活起来
vt. 使振奋, 欢呼"
encore,"n. 再演唱的要求, 要次登场
interj. 再演唱一次
vt. 要求再演(或唱)"
playwright,n. 剧作家
juvenile,"n. 少年, 少年读物
a. 少年的, 不成熟的, 适于少年的"
audition,"n. 听, 听力, 试听
"
clown,"n. 小丑, 乡下人"
box office,"票房, 票房收入"
historical play,[网络] 历史剧
one-act play, 独幕剧
many-act play,无
musical comedy,舞台歌唱剧
soap opera,肥皂剧
dress rehearsal,彩排
run-in,"na. 跑进；(火车)进站；流入；注入
"
special performance,"特殊现象,特殊性能"
road show,"n. 巡回演出, 流动表演"
long-running play,无
title role,剧名角色
positive role,[网络] 积极作用；正面角色
male supporting role,无
female supporting role,无
minor part,无
walking part,【戏剧】跑龙套的演员
transformation scene,【戏剧】(在观众眼前) 变换的场景
curtain call,谢幕
protocol of the curtain calls,无
drop scene,"可升降幕布, 结局"
walk-through,"na. (= to rehearse)排练
"
television camera,[电] 电视摄像机
wide-angle lens,"un. 广角镜头；广角物镜
"
zoom lens,变焦镜头
open-air theatre,无
arena theatre,舞台在观众席中央的剧院
experimental theatre,实验剧场
revolving stage,旋转台
theater-in-the-round, （舞台在正中央，观众席在四周都的）圆形剧场
theatrical costume,无
stage setting,"舞台布景,舞台设备"
sky cloth,天幕
dressing room,n. 更衣室; 化妆室; （舞台的）后台
stage photo,无
stage name,n. 演员的艺名
box office,"票房, 票房收入"
privileged ticket,无
concert season ticket,无
front row ticket,无
back row ticket,无
ticket stub,票根
ticket tout," 票券黄牛, 票贩子"
orchestra pit, （剧场舞台前面的）乐池
emergency exit,n. 紧急出口，太平门
theatre-goer,"n. 经常看戏的人, 爱看戏的人"
first nighter,"爱看头场戏者, 头场的常客"
amateur performer,无
theatre fan,无
standing ovation,n. 长时间起立鼓掌
make cat-calls,无
show handclap,无
stage critic,无
stage actor,无
stage actress,无
stage director,"舞台监督, 导演"
dramatic personae,无
stage effect,舞台效果
stage fright,怯场
stage-wait,n. 冷场
Beijing opera,[网络] 京剧；国戏；京戏
painted face type,无
warrior role,无
female warrior role,无
film studio,电影制片厂
film dubbing studio,无
film a novel,无
make a film,[网络] 拍电影；制作电影；排电影
start filming,无
screen test,"试镜头
"
doll,"n. 洋娃娃, 无头脑的美丽女人"
Barbie,n. 芭比（女子名）；芭比娃娃（商标名）
stuffed animal," 填充玩具动物, 一种在布料内部装填粉状东西的布玩具"
transformer,"n. 变压器, 促使变化的人
"
teddy bear,n. 玩具熊
magic cube,[计] 魔方
toy gun,无
develop their intelligence,无
afford toys,无
play with toys,无
develop their wit and ability,无
brand,"n. 商标, 牌子, 烙印
vt. 打烙印于"
safety,"n. 安全, 保险, 平安, 保安设备
vt. 保护, 防护"
suburb,"n. 市郊住宅区, 郊区, 边缘"
healthy,"a. 健康的, 有益健康的, 卫生的
"
lane,"n. 小路, 巷, 弄, 单行道"
consumer,"n. 消费者
"
pedestrian,"n. 行人, 步行者
a. 人行的, 徒步的, 呆板的, 通俗的, 平淡无奇的"
exit,"n. 出口, 退场, 离去, 去世
vi. 退出, 脱离, 去世
"
crossing,"n. 横越, 横渡, 交叉点, 渡口
"
parking,"n. 停车
a. 停车的"
thief,"n. 小偷, 贼
"
economical,"a. 节俭的, 经济的, 合算的
"
streamlined,"a. 流线的, 流线型的, 集成一个整体的, 现代化了的, 精简了的, 合理化了的"
stereo system,n. 立体音响系统
black car,无
sunroof,n. 汽车顶上可开启的遮阳篷顶
enjoy the sunshine,无
chassis,"n. 底盘
"
on installment,"分期付款,以分期付款的方式"
traffic jam,"塞车, 交通阻塞"
possess a car,无
beneficial to one's health,无
get exhausted,无
ride bicycles,无
ride a bike, 骑自行车
exercise one's arm and leg muscles,无
build better road systems,无
license plate,牌照
familiar with the routes,无
driving skill,驾驶技能
respond to emergencies,无
levy heavy tax on private cars,无
oil price,油价
maintain the car,无
road construction,[经] 公路建设
ensure road safety,无
follow traffic rules,无
traffic lights,红绿灯
slow down in turns,无
traffic accidents, 交通事故
violate the traffic rules,无
means of transport,[法] 运输工具
lack physical exercise,无
busy traffic,无
protect environment,[网络] 保护环境；环境保护；关于保护环境
produce pollution,无
air is stuffy,无
private car,私人汽车
take the bus,[网络] 乘公共汽车；坐公共汽车；乘公交车
bus route,n. 公交线路
rush hour,"n. （上, 下班的）高峰期"
road system,道路系数
obey traffic rules,无
cause pollution,无
natural beauty, 自然美
historical place,无
tourism,"n. 观光业, 游览
"
itinerary,"n. 旅程, 旅行指南, 游记
a. 巡回的, 旅程的"
guidebook,"n. 指南, 手册, 要览"
destination,"n. 目的地, 目标, 目的
"
traveller,"n. 旅行者
"
hiker,n. 徒步旅行者
seafarer,"n. 船员, 航海家
"
excursion,"n. 远足, 游览圆, 短程旅行
"
outing,"n. 郊游, 远足
a. 远足适用的"
jaunt,"n. 远足, 徒步旅游
vi. 远足, 徒步旅游"
excursion,"n. 远足, 游览圆, 短程旅行
"
go for an outing, 去郊游
honeymoon,"n. 蜜月, 蜜月假期
vi. 渡蜜月"
sea journey,n. 海上航行
